id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
00A266660029,2018-04-17,00:00:13,  27.7,  53.7,2,5,6,440,95,14,2,62,53,82,48,15,4,62,  27.4,  32.8,25.039288,121.612939,0,0,0,0,450,436,452,0
00A266660029,2018-04-17,00:00:35,  27.7,  53.6,3,5,6,444,96,15,3,62,26,58,45,15,3,63,  27.5,  32.8,25.039288,121.612939,0,0,0,0,444,430,434,0
00A266660029,2018-04-17,00:02:14,  27.8,  53.5,2,5,5,468,95,15,3,62,14,43,56,15,4,62,  27.4,  32.8,25.039288,121.612939,0,0,0,0,444,436,448,0
00A266660029,2018-04-17,00:04:14,  27.8,  53.4,2,6,6,478,95,15,3,62,4,40,49,15,3,63,  27.5,  32.7,25.039288,121.612939,0,0,0,0,448,437,449,0
00A266660029,2018-04-17,00:05:14,  27.7,  53.5,2,4,5,450,95,15,4,62,4,49,52,15,3,62,  27.4,  32.8,25.039288,121.612939,0,0,0,0,447,437,449,0
00A266660029,2018-04-17,00:07:15,  27.7,  53.4,0,3,3,450,95,15,3,62,4,48,50,15,3,62,  27.4,  32.7,25.039288,121.612939,0,0,0,0,449,437,449,0
00A266660029,2018-04-17,00:09:16,  27.8,  53.4,2,5,5,452,95,15,3,62,24,70,42,15,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,446,437,450,0
00A266660029,2018-04-17,00:11:16,  27.7,  53.3,2,5,5,452,95,15,3,62,4,40,44,15,3,62,  27.4,  32.8,25.039288,121.612939,0,0,0,0,446,437,451,0
00A266660029,2018-04-17,00:12:16,  27.7,  53.3,2,6,6,456,95,15,3,62,21,66,40,14,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,451,438,449,0
00A266660029,2018-04-17,00:13:17,  27.7,  53.4,2,5,5,462,95,15,3,62,6,45,36,15,4,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,446,435,451,0
00A266660029,2018-04-17,00:15:17,  27.7,  53.3,2,4,5,464,95,15,3,62,8,55,64,15,4,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,450,438,451,0
00A266660029,2018-04-17,00:17:18,  27.7,  53.3,1,4,5,472,95,15,3,63,10,52,39,15,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,446,437,451,0
00A266660029,2018-04-17,00:19:18,  27.7,  53.3,3,6,6,468,95,15,3,62,14,68,62,15,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,446,438,450,0
00A266660029,2018-04-17,00:20:19,  27.7,  53.3,1,4,5,464,95,15,3,62,15,40,48,14,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,447,438,451,0
00A266660029,2018-04-17,00:22:19,  27.7,  53.3,1,4,5,455,95,15,3,62,10,54,42,15,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,445,438,450,0
00A266660029,2018-04-17,00:24:20,  27.7,  53.2,1,4,5,460,95,15,4,63,14,55,56,15,3,63,  27.5,  32.7,25.039288,121.612939,0,0,0,0,446,437,450,0
00A266660029,2018-04-17,00:25:20,  27.7,  53.3,2,5,5,458,95,15,3,62,10,56,40,15,3,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,449,437,449,0
00A266660029,2018-04-17,00:26:20,  27.7,  53.4,1,4,4,453,95,14,2,62,40,74,50,14,2,62,  27.5,  32.7,25.039288,121.612939,0,0,0,0,449,438,449,0
00A266660029,2018-04-17,00:27:21,  27.6,  53.4,1,3,3,443,95,14,2,62,35,65,49,15,3,63,  27.5,  32.8,25.039288,121.612939,0,0,0,0,449,437,452,0
00A266660029,2018-04-17,00:28:21,  27.7,  53.4,2,5,6,450,95,15,3,62,35,69,40,14,2,62,  27.5,  32.9,25.039288,121.612939,0,0,0,0,448,437,449,0
00A266660029,2018-04-17,00:30:21,  27.6,  53.4,1,5,6,454,95,15,3,62,32,70,51,15,3,63,  27.5,  32.9,25.039288,121.612939,0,0,0,0,447,437,450,0
00A266660029,2018-04-17,00:32:22,  27.7,  53.3,0,3,4,455,95,15,4,62,32,66,56,15,4,62,  27.5,  33.0,25.039288,121.612939,0,0,0,0,448,437,449,0
00A266660029,2018-04-17,00:33:22,  27.6,  53.4,2,5,5,449,95,15,4,62,24,51,41,15,3,63,  27.5,  33.1,25.039288,121.612939,0,0,0,0,447,437,451,0
00A266660029,2018-04-17,00:34:23,  27.7,  53.3,2,4,4,452,95,14,2,62,39,82,51,15,4,63,  27.5,  32.9,25.039288,121.612939,0,0,0,0,447,438,451,0
00A266660029,2018-04-17,00:35:23,  27.7,  53.4,1,4,4,450,95,15,3,62,36,72,53,15,3,63,  27.5,  32.9,25.039288,121.612939,0,0,0,0,446,436,447,0
00A266660029,2018-04-17,00:36:23,  27.6,  53.4,1,5,5,461,95,14,3,63,44,71,44,14,2,61,  27.5,  32.9,25.039288,121.612939,0,0,0,0,446,436,451,0
00A266660029,2018-04-17,00:37:23,  27.7,  53.4,2,5,5,465,95,15,3,63,38,68,40,15,3,63,  27.5,  32.8,25.039288,121.612939,0,0,0,0,448,438,451,0
00A266660029,2018-04-17,00:38:24,  27.7,  53.5,1,3,3,467,95,15,4,62,42,71,48,15,3,62,  27.5,  32.8,25.039288,121.612939,0,0,0,0,447,435,450,0
00A266660029,2018-04-17,00:39:24,  27.7,  53.5,2,5,5,471,95,15,4,62,24,58,54,15,4,62,  27.5,  32.9,25.039288,121.612939,0,0,0,0,448,436,451,0
00A266660029,2018-04-17,00:40:24,  27.7,  53.4,2,5,5,462,95,15,4,62,37,58,66,14,2,62,  27.5,  32.9,25.039288,121.612939,0,0,0,0,448,436,451,0
00A266660029,2018-04-17,00:41:24,  27.7,  53.5,2,4,4,462,95,15,3,63,51,77,45,14,2,62,  27.5,  32.8,25.039288,121.612939,0,0,0,0,448,438,452,0
00A266660029,2018-04-17,00:43:25,  27.7,  53.4,1,4,4,445,95,15,4,62,12,54,54,15,4,62,  27.5,  32.8,25.039288,121.612939,0,0,0,0,448,437,449,0
00A266660029,2018-04-17,00:45:26,  27.7,  53.3,2,4,5,469,95,15,3,63,14,54,52,15,3,63,  27.5,  32.8,25.039288,121.612939,0,0,0,0,450,437,451,0
00A266660029,2018-04-17,00:46:26,  27.7,  53.3,2,4,4,453,95,15,3,62,4,49,52,15,4,62,  27.5,  32.8,25.039288,121.612939,0,0,0,0,449,437,452,0
