id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
0C9A4249DB8A,2020-06-02,00:00:15,30.4,58.9,133,187,198,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:00:30,30.4,58.9,131,185,195,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:00:45,30.4,58.9,131,184,195,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:01:00,30.4,58.9,131,185,197,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:01:15,30.4,58.8,131,184,197,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:01:30,30.4,58.9,131,188,200,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:01:45,30.4,58.9,131,186,196,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:02:00,30.4,58.8,132,188,198,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:02:15,30.4,58.8,131,185,194,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:02:30,30.4,58.8,131,185,195,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:02:45,30.4,58.9,132,187,199,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:03:00,30.5,58.8,131,188,201,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:03:15,30.4,58.8,132,189,203,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:03:30,30.4,58.8,131,187,200,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:03:45,30.4,58.9,131,186,197,514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:04:00,30.4,58.8,130,185,196,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:04:15,30.4,58.9,129,184,195,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:04:30,30.4,58.8,129,183,195,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:04:45,30.5,58.8,129,181,197,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:05:00,30.4,58.9,127,181,198,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:05:15,30.4,58.9,131,183,199,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:05:30,30.4,58.8,129,183,197,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:05:45,30.4,58.8,132,186,196,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:06:00,30.5,58.9,132,186,193,517,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:06:15,30.4,58.9,128,183,193,517,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:06:30,30.4,58.8,127,183,195,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:06:45,30.4,58.8,129,183,195,516,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:07:00,30.4,58.9,129,183,195,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:07:15,30.4,58.8,129,183,195,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:07:30,30.4,58.8,127,181,191,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DB8A,2020-06-02,00:07:45,30.4,58.8,127,180,191,515,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
