time,site,site_pm2.5,high_level_pm2.5,ws,temperature,rh
2017/7/6 06:00,C_1,22.26,17.34,0,24.964,92.84
2017/7/6 06:05,C_1,21.6,16.82,0,25.264,91.82
2017/7/6 06:10,C_1,21.98,16.15,0,25.71,91.08
2017/7/6 06:15,C_1,21.5,19.14,0,25.842,90.22
2017/7/6 06:20,C_1,20.92,19.58,0,25.58,91.78
2017/7/6 06:25,C_1,20.42,19.04,0,25.75,91.66
2017/7/6 06:30,C_1,18.8,17.78,0,25.942,90.98
2017/7/6 06:35,C_1,19.86,17.44,0,26.416,90.5
2017/7/6 06:40,C_1,20.52,16.48,0,27.218,88.46
2017/7/6 06:45,C_1,21.72,15.6,0,26.926,86.82
2017/7/6 06:50,C_1,19.06,16.72,0,26.79,87.08
2017/7/6 06:55,C_1,17.65,16.36,0,26.904,87.56
2017/7/6 07:00,C_1,16.14,14.82,0,27.62,85.64
2017/7/6 07:05,C_1,15.64,13.98,0,27.588,84.66
2017/7/6 07:10,C_1,15.48,11.86,0.1,27.56,84.12
2017/7/6 07:15,C_1,14.58,12.18,0,28.374,83.2
2017/7/6 07:20,C_1,15.9,11.85,0,28.654,81.38
2017/7/6 07:25,C_1,12.58,11.86,0,28.412,80.92
2017/7/6 07:30,C_1,12.05,12.2,0,28.442,80.96
2017/7/6 07:35,C_1,11,11.56,0,28.312,81.46
2017/7/6 07:40,C_1,10.08,10.5,0,28.532,80.74
2017/7/6 07:45,C_1,9.96,9.4,0.4,28.508,79.88
2017/7/6 07:50,C_1,13.64,9.4,0.4,28.718,80.12
2017/7/6 07:55,C_1,12.2,9.16,0.5,28.632,79.42
2017/7/6 08:00,C_1,11.66,9.28,0,29.026,78.36
2017/7/6 08:05,C_1,10.76,8.84,0,29.82,76.76
2017/7/6 08:10,C_1,9.725,9.28,0,29.952,75.74
2017/7/6 08:15,C_1,9.68,9.06,0,30.118,75.08
2017/7/6 08:20,C_1,9.26,9.38,0.1,30.492,73.66
2017/7/6 08:25,C_1,11.92,9.06,0,30.322,73.88
2017/7/6 08:30,C_1,8.72,9.6,0.1,30.768,73.06
2017/7/6 08:35,C_1,12.3,9.55,0.6,30.638,72.66
2017/7/6 08:40,C_1,8.72,9.84,0.6,30.426,72.42
2017/7/6 08:45,C_1,8.34,11.52,0.3,30.886,72.02
2017/7/6 08:50,C_1,8.4,11.02,1,30.648,72
2017/7/6 08:55,C_1,7.42,10.24,0.6,30.624,70.52
2017/7/6 09:00,C_1,8.34,8.32,0.1,31.52,68.14
2017/7/6 09:05,C_1,8.22,7.22,0.6,31.574,65.9
2017/7/6 09:10,C_1,6.5,7.24,0.5,31.526,65.56
2017/7/6 09:15,C_1,7.02,6.9,0.4,31.744,64.98
2017/7/6 09:20,C_1,6.9,9.84,0.5,31.962,63.9
2017/7/6 09:25,C_1,8.575,9.38,0.4,32.1,64.06
2017/7/6 09:30,C_1,7.96,10.48,0.6,32.232,63.06
2017/7/6 09:35,C_1,8.46,9.4,0.3,32.442,62.56
2017/7/6 09:40,C_1,8.34,12.18,0.8,32.464,63.04
2017/7/6 09:45,C_1,10.32,14.1,0,32.762,63.26
2017/7/6 09:50,C_1,13.64,13.02,0.7,32.84,63.88
2017/7/6 09:55,C_1,11.94,14.64,1.2,32.242,65.34
2017/7/6 10:00,C_1,13.12,15.82,1.2,32.226,65.04
2017/7/6 10:05,C_1,16.025,16.06,0.6,32.93,64.06
2017/7/6 10:10,C_1,16.42,16.7,1.1,32.518,65.12
2017/7/6 10:15,C_1,17.58,18.3,1.9,31.718,67.02
2017/7/6 10:20,C_1,20.4,18.3,1.1,31.65,66.94
2017/7/6 10:25,C_1,18.8,19.02,0.8,31.554,66.8
2017/7/6 10:30,C_1,18.92,18.94,1,31.568,67.12
2017/7/6 10:35,C_1,17.46,18.4,0.9,31.584,67
2017/7/6 10:40,C_1,17.325,20.08,0.8,31.682,66.62
2017/7/6 10:45,C_1,17.22,18.2,0.8,31.964,66.4
2017/7/6 10:50,C_1,15.76,18.08,1.6,31.684,66.68
2017/7/6 10:55,C_1,16.68,17.88,0.9,31.954,66.1
2017/7/6 11:00,C_1,16.56,18.95,1.3,32.42,64.84
2017/7/6 11:05,C_1,16.54,18.38,1.2,32.222,64.34
2017/7/6 11:10,C_1,16.14,18.08,0.7,32.368,64.34
2017/7/6 11:15,C_1,16.92,19.04,1.1,32.986,63.22
2017/7/6 11:20,C_1,17.875,18.38,1.4,33.178,62.74
2017/7/6 11:25,C_1,17.84,20,0.4,33.476,62.56
2017/7/6 11:30,C_1,17.72,19.48,0.8,33.512,61.88
2017/7/6 11:35,C_1,17.88,18.5,0.6,33.584,61.86
2017/7/6 11:40,C_1,17.86,16.16,1.3,33.662,60.14
2017/7/6 11:45,C_1,15.9,15.82,1.5,33.064,60.14
2017/7/6 11:50,C_1,16.54,16.38,0.6,32.626,61.62
2017/7/6 11:55,C_1,16.85,20.2,1.1,32.7,61.88
2017/7/6 12:00,C_1,18.4,17.22,0.8,32.468,61.26
2017/7/6 12:05,C_1,18.66,18.5,0.1,32.834,61.96
2017/7/6 12:10,C_1,18.8,18.925,0.8,32.742,63.08
2017/7/6 12:15,C_1,19.98,18.62,0.8,32.37,63.16
2017/7/6 12:20,C_1,19.74,19.26,0.6,32.21,64.88
2017/7/6 12:25,C_1,19.74,19.7,0.8,32.17,64.96
2017/7/6 12:30,C_1,20.12,20,0.8,32.18,64.42
2017/7/6 12:35,C_1,19.5,19.48,0.8,32.23,64.92
2017/7/6 12:40,C_1,20,20,0.4,32.366,64.98
2017/7/6 12:45,C_1,20.4,20.4,0.4,32.32,65.24
2017/7/6 12:50,C_1,20.54,20,0.6,32.506,64.06
2017/7/6 12:55,C_1,20.26,19.9,0.5,32.502,63.62
2017/7/6 13:00,C_1,24.62,18.82,0,32.752,62.7
2017/7/6 13:05,C_1,19.22,20.02,0.4,32.696,63.22
2017/7/6 13:10,C_1,21.325,18.92,0.3,31.594,68.62
2017/7/6 13:15,C_1,20.68,20.2,0.1,31.178,70.54
2017/7/6 13:20,C_1,20.92,21.08,0.5,30.65,72.62
2017/7/6 13:25,C_1,21.46,22.275,1.5,30.016,75.12
2017/7/6 13:30,C_1,23.56,24.6,2.3,28.894,80.36
2017/7/6 14:15,C_1,36.26,47.98,0.1,24.68,97.52
2017/7/6 14:20,C_1,36.78,49.46,0,24.722,97.48
2017/7/6 14:25,C_1,36.7,59.04,0,24.906,97.58
2017/7/6 14:35,C_1,36.5,55.525,0,25.288,97.78
2017/7/6 14:40,C_1,36.12,42.2,0,25.246,97.9
2017/7/6 14:45,C_1,36.92,42.2,0,25.21,98.02
2017/7/6 14:50,C_1,37.32,46.92,0,25.25,98.16
2017/7/6 14:55,C_1,33.34,44.12,0,25.306,98.06
2017/7/6 15:00,C_1,32.56,42.34,0.2,25.22,98.14
2017/7/6 15:05,C_1,35.55,41.56,0.7,25.016,98.16
2017/7/6 15:10,C_1,40.62,38.76,0.3,24.916,98.2
2017/7/6 15:15,C_1,35.72,27.52,0.3,24.738,98.28
2017/7/6 15:20,C_1,29.38,23.12,0.9,24.454,98.1
2017/7/6 15:25,C_1,23.16,19.58,0.4,24.302,97.98
2017/7/6 15:30,C_1,23.58,18,0.3,24.266,97.76
2017/7/6 15:35,C_1,14.7,17.02,0.6,24.242,97.5
2017/7/6 15:40,C_1,17.85,19.36,1.2,24.258,97.62
2017/7/6 15:45,C_1,14.96,19.6,0.4,24.172,97.88
2017/7/6 15:50,C_1,22.64,19.26,0.5,24.32,98.02
2017/7/6 15:55,C_1,29,25.5,0.1,24.624,98.32
2017/7/6 16:00,C_1,30.56,27.16,0.2,24.788,98.3
2017/7/6 16:05,C_1,31.12,26.86,0.2,24.898,98.26
2017/7/6 16:10,C_1,30.22,26.22,0.7,24.962,98
2017/7/6 16:15,C_1,25.94,25.26,1.1,24.93,97.76
2017/7/6 16:20,C_1,25.26666667,26,0.2,24.924,97.86
2017/7/6 16:25,C_1,24.88,26.22,0.7,24.972,97.82
2017/7/6 16:30,C_1,24.625,26.54,0.5,25.028,97.92
2017/7/6 16:35,C_1,25.1,26.46,0,25.098,98.06
2017/7/6 16:40,C_1,25.26,25.68,0,25.134,98.18
2017/7/6 16:45,C_1,23.975,26.22,0,25.132,97.88
2017/7/6 16:50,C_1,25.8,26,0,25.198,98.02
2017/7/6 16:55,C_1,26.1,26.575,0,25.172,98.02
2017/7/6 17:00,C_1,27.94,26.32,0,25.132,98.02
2017/7/6 17:05,C_1,26.72,27.4,0,25.128,97.86
2017/7/6 17:10,C_1,27.92,26.96,0,25.188,97.36
2017/7/6 17:15,C_1,27.4,27.06,0.1,25.182,97.08
2017/7/6 17:20,C_1,27.14,25.9,0.2,25.122,96.12
2017/7/6 17:25,C_1,29.02,26.32,0,25.136,96.42
2017/7/6 17:30,C_1,30.08,25.14,0,25.186,96.36
2017/7/6 17:35,C_1,35.525,26,0,25.172,96.16
2017/7/6 17:40,C_1,37.06,25.9,0,25.184,96.28
2017/7/6 17:45,C_1,39.04,25.58,0.3,25.262,95.98
2017/7/6 17:50,C_1,34.02,26.96,0,25.228,96.4
2017/7/6 18:00,C_1,33.46,26.52,0.1,25.276,97.02
2017/7/6 18:05,C_1,27.82,25.775,0.4,25.252,96.64
2017/7/6 18:50,C_1,26.775,24.82,0,24.584,98.72
2017/7/6 19:00,C_1,26.6,23.34,0.1,24.514,98.8
2017/7/6 20:35,C_1,13.12,14.1,0.1,23.882,99.78
2017/7/6 20:40,C_1,19.825,17.96,0.2,23.95,99.6
2017/7/6 20:50,C_1,26.74,22.44,0.3,23.958,99.08
2017/7/6 21:00,C_1,23.84,20.64,0.1,23.882,98.78
2017/7/6 21:20,C_1,21.72,20.12,0,23.736,98.88
2017/7/6 21:25,C_1,22.08,20.42,0,23.728,99.14
2017/7/6 21:30,C_1,23.72,19.9,0,23.748,99.16
2017/7/6 21:40,C_1,27,19.04,0,23.74,99.44
2017/7/6 21:45,C_1,29.26,19.68,0,23.766,99.54
2017/7/6 21:50,C_1,29.12,21.38,0,23.858,99.68
2017/7/6 21:55,C_1,27.925,22.46,0,23.954,99.76
2017/7/7 06:00,C_1,,11.98,0,22.886,99.36
2017/7/7 06:05,C_1,,12.38,0,23.038,99.38
2017/7/7 06:10,C_1,,11.64,0,23.122,99.32
2017/7/7 06:15,C_1,,11.1,0,23.206,99.38
2017/7/7 06:20,C_1,,10.04,0,23.212,99.2
2017/7/7 06:25,C_1,,10.46,0,23.32,99.28
2017/7/7 06:30,C_1,,10.44,0,23.47,99.3
2017/7/7 06:35,C_1,,9.6,0,23.582,99.32
2017/7/7 06:40,C_1,,11.2,0,23.666,99.22
2017/7/7 06:45,C_1,,11.64,0,23.864,99.16
