mins 0 , noise_error =0.7731958762886598, delte = 0.05154639175257725
mins 1 , noise_error =0.8645833333333334, delte = 0.02083333333333326
mins 2 , noise_error =0.7340425531914894, delte = 0.05319148936170215
mins 3 , noise_error =0.7425742574257426, delte = 0.03960396039603964
mins 4 , noise_error =0.6145833333333333, delte = 0.1875000000000001
mins 5 , noise_error =0.9148936170212766, delte = 0.08510638297872342
mins 6 , noise_error =0.8111111111111111, delte = 0.18888888888888888
mins 7 , noise_error =0.8636363636363636, delte = 0.13636363636363635
mins 8 , noise_error =0.7931034482758621, delte = 0.2068965517241379
mins 9 , noise_error =0.945054945054945, delte = 0.05494505494505497
mins 10 , noise_error =0.9120879120879121, delte = 0.08791208791208793
mins 11 , noise_error =0.9213483146067416, delte = 0.0786516853932584
mins 12 , noise_error =0.9318181818181819, delte = 0.045454545454545414
mins 13 , noise_error =0.8620689655172413, delte = 0.05747126436781613
mins 14 , noise_error =0.8953488372093024, delte = 0.023255813953488302
mins 15 , noise_error =0.7078651685393258, delte = 0.04494382022471921
mins 16 , noise_error =0.4831460674157303, delte = 0.4269662921348315
mins 17 , noise_error =0.9512195121951219, delte = 0.024390243902439046
mins 18 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 19 , noise_error =0.9204545454545454, delte = 0.06818181818181823
mins 20 , noise_error =0.7176470588235294, delte = 0.19999999999999996
mins 21 , noise_error =0.8372093023255813, delte = 0.09302325581395354
mins 22 , noise_error =0.7619047619047619, delte = 0.23809523809523814
mins 23 , noise_error =0.9397590361445783, delte = 0.06024096385542166
mins 24 , noise_error =0.9080459770114943, delte = 0.05747126436781613
mins 25 , noise_error =0.8863636363636364, delte = 0.09090909090909094
mins 26 , noise_error =0.9767441860465116, delte = 0.023255813953488413
mins 27 , noise_error =0.7764705882352941, delte = 0.22352941176470587
mins 28 , noise_error =0.9294117647058824, delte = 0.05882352941176472
mins 29 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 30 , noise_error =0.9239130434782609, delte = 0.07608695652173914
mins 31 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 32 , noise_error =0.9080459770114943, delte = 0.02298850574712641
mins 33 , noise_error =0.8777777777777778, delte = 0.0888888888888889
mins 34 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 35 , noise_error =0.735632183908046, delte = 0.06896551724137934
mins 36 , noise_error =0.8470588235294118, delte = 0.03529411764705881
mins 37 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 38 , noise_error =0.9325842696629214, delte = 0.0674157303370786
mins 39 , noise_error =0.8522727272727273, delte = 0.06818181818181812
mins 40 , noise_error =0.797752808988764, delte = 0.1797752808988764
mins 41 , noise_error =0.945054945054945, delte = 0.05494505494505497
mins 42 , noise_error =0.9438202247191011, delte = 0.011235955056179803
mins 43 , noise_error =0.9222222222222223, delte = 0.033333333333333326
mins 44 , noise_error =0.9111111111111111, delte = 0.0888888888888889
mins 45 , noise_error =0.9767441860465116, delte = 0.023255813953488413
mins 46 , noise_error =0.9069767441860466, delte = 0.09302325581395343
mins 47 , noise_error =0.9325842696629214, delte = 0.0674157303370786
mins 48 , noise_error =0.9550561797752809, delte = 0.022471910112359494
mins 49 , noise_error =0.8505747126436781, delte = 0.09195402298850575
mins 50 , noise_error =0.7608695652173914, delte = 0.07608695652173902
mins 51 , noise_error =0.78125, delte = 0.14583333333333337
mins 52 , noise_error =0.8514851485148515, delte = 0.06930693069306937
mins 53 , noise_error =0.7821782178217822, delte = 0.05940594059405935
mins 54 , noise_error =0.9789473684210527, delte = 0.021052631578947323
mins 55 , noise_error =0.945054945054945, delte = 0.03296703296703296
mins 56 , noise_error =0.7640449438202247, delte = 0.1123595505617978
mins 57 , noise_error =0.6483516483516483, delte = 0.06593406593406603
mins 58 , noise_error =0.8571428571428572, delte = 0.09890109890109888
mins 59 , noise_error =0.6842105263157895, delte = 0.04210526315789476
