mins 2810 , noise_error =0.7962962962962963
mins 2811 , noise_error =0.9357798165137614
mins 2812 , noise_error =0.981651376146789
mins 2813 , noise_error =0.9252336448598131
mins 2814 , noise_error =0.8990825688073394
mins 2815 , noise_error =1.0
mins 2816 , noise_error =0.8942307692307693
mins 2817 , noise_error =0.9603960396039604
mins 2818 , noise_error =1.0
mins 2819 , noise_error =1.0
mins 2820 , noise_error =0.9696969696969697
mins 2821 , noise_error =0.794392523364486
mins 2822 , noise_error =0.9099099099099099
mins 2823 , noise_error =0.6875
mins 2824 , noise_error =0.7916666666666666
mins 2825 , noise_error =0.7130434782608696
mins 2826 , noise_error =0.6842105263157895
mins 2827 , noise_error =0.813953488372093
mins 2828 , noise_error =0.6693548387096775
mins 2829 , noise_error =0.8861788617886179
mins 2830 , noise_error =0.8240000000000001
mins 2831 , noise_error =0.8017241379310345
mins 2832 , noise_error =0.9026548672566371
mins 2833 , noise_error =0.8760330578512396
mins 2834 , noise_error =0.8031496062992126
mins 2835 , noise_error =0.8666666666666667
mins 2836 , noise_error =0.9333333333333333
mins 2837 , noise_error =1.0
mins 2838 , noise_error =0.9385964912280702
mins 2839 , noise_error =0.975609756097561
mins 2840 , noise_error =0.6178861788617886
mins 2841 , noise_error =0.8503937007874016
mins 2842 , noise_error =0.92
mins 2843 , noise_error =0.8632478632478633
mins 2844 , noise_error =0.8956521739130435
mins 2845 , noise_error =0.8103448275862069
mins 2846 , noise_error =0.6902654867256637
mins 2847 , noise_error =0.8125
mins 2848 , noise_error =0.6788990825688073
mins 2849 , noise_error =0.6810344827586207
mins 2850 , noise_error =0.7256637168141593
mins 2851 , noise_error =0.6902654867256637
mins 2852 , noise_error =0.7964601769911505
mins 2853 , noise_error =0.6283185840707964
mins 2854 , noise_error =0.6814159292035398
mins 2855 , noise_error =0.8869565217391304
mins 2856 , noise_error =0.8108108108108107
mins 2857 , noise_error =0.7818181818181819
mins 2858 , noise_error =0.8095238095238095
mins 2859 , noise_error =0.8240740740740741
mins 2860 , noise_error =0.6972477064220184
mins 2861 , noise_error =0.831858407079646
mins 2862 , noise_error =0.9107142857142857
mins 2863 , noise_error =0.8362068965517242
mins 2864 , noise_error =0.8672566371681416
mins 2865 , noise_error =1.0
mins 2866 , noise_error =0.970873786407767
mins 2867 , noise_error =0.941747572815534
mins 2868 , noise_error =0.8666666666666667
