1795, 1539798984, lead_off:True/12.133, confidence:0.798, big_r:0,  small_r0, Polarity:0, No_R:94, hfb: 0
2014, 1539812124, lead_off:False/5.787, confidence:0.740, big_r:1,  small_r0, Polarity:0, No_R:100, hfb: 3
2015, 1539812184, lead_off:False/3.794, confidence:0.718, big_r:1,  small_r0, Polarity:0, No_R:103, hfb: 4
2016, 1539812244, lead_off:False/3.467, confidence:0.687, big_r:1,  small_r0, Polarity:0, No_R:115, hfb: 2
2017, 1539812304, lead_off:False/3.632, confidence:0.673, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 1
2020, 1539812484, lead_off:False/4.029, confidence:0.696, big_r:0,  small_r0, Polarity:0, No_R:102, hfb: 1
2021, 1539812544, lead_off:False/4.265, confidence:0.710, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 3
2022, 1539812604, lead_off:False/5.260, confidence:0.693, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 1
2023, 1539812664, lead_off:False/6.229, confidence:0.748, big_r:0,  small_r0, Polarity:0, No_R:107, hfb: 1
2038, 1539813564, lead_off:False/3.509, confidence:0.670, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 4
2045, 1539813984, lead_off:False/2.710, confidence:0.735, big_r:0,  small_r0, Polarity:0, No_R:102, hfb: 0
2046, 1539814044, lead_off:False/2.225, confidence:0.736, big_r:0,  small_r0, Polarity:0, No_R:106, hfb: 2
2064, 1539815124, lead_off:False/2.184, confidence:0.750, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 0
2069, 1539815424, lead_off:False/2.328, confidence:0.747, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 0
2072, 1539815604, lead_off:False/4.150, confidence:0.635, big_r:2,  small_r0, Polarity:0, No_R:96, hfb: 6
2073, 1539815664, lead_off:False/3.153, confidence:0.673, big_r:2,  small_r0, Polarity:0, No_R:104, hfb: 8
2076, 1539815844, lead_off:False/1.840, confidence:0.878, big_r:2,  small_r0, Polarity:0, No_R:98, hfb: 3
2080, 1539816084, lead_off:False/2.481, confidence:0.683, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 0
2087, 1539816504, lead_off:False/3.532, confidence:0.750, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
2097, 1539817104, lead_off:False/2.963, confidence:0.652, big_r:0,  small_r0, Polarity:0, No_R:89, hfb: 2
2100, 1539817284, lead_off:False/2.775, confidence:0.736, big_r:1,  small_r0, Polarity:0, No_R:91, hfb: 3
2105, 1539817584, lead_off:False/5.162, confidence:0.644, big_r:0,  small_r0, Polarity:0, No_R:104, hfb: 7
2106, 1539817644, lead_off:False/2.885, confidence:0.697, big_r:0,  small_r0, Polarity:0, No_R:99, hfb: 4
2118, 1539818364, lead_off:False/5.562, confidence:0.731, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 1
2119, 1539818424, lead_off:False/5.083, confidence:0.740, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 3
2120, 1539818484, lead_off:False/5.369, confidence:0.705, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 2
2121, 1539818544, lead_off:False/3.785, confidence:0.684, big_r:0,  small_r0, Polarity:0, No_R:98, hfb: 4
2122, 1539818604, lead_off:False/4.402, confidence:0.728, big_r:1,  small_r0, Polarity:0, No_R:92, hfb: 2
2123, 1539818664, lead_off:False/5.129, confidence:0.576, big_r:0,  small_r0, Polarity:0, No_R:92, hfb: 9
2124, 1539818724, lead_off:False/4.469, confidence:0.648, big_r:0,  small_r0, Polarity:0, No_R:91, hfb: 6
2125, 1539818784, lead_off:False/3.830, confidence:0.701, big_r:1,  small_r0, Polarity:0, No_R:97, hfb: 5
2126, 1539818844, lead_off:False/5.068, confidence:0.611, big_r:1,  small_r0, Polarity:0, No_R:95, hfb: 3
2127, 1539818904, lead_off:False/6.303, confidence:0.683, big_r:1,  small_r0, Polarity:0, No_R:104, hfb: 1
2128, 1539818964, lead_off:False/5.497, confidence:0.673, big_r:2,  small_r0, Polarity:0, No_R:98, hfb: 6
2129, 1539819024, lead_off:False/6.671, confidence:0.663, big_r:1,  small_r0, Polarity:0, No_R:95, hfb: 3
2130, 1539819084, lead_off:False/6.718, confidence:0.585, big_r:1,  small_r0, Polarity:0, No_R:94, hfb: 5
2131, 1539819144, lead_off:False/5.506, confidence:0.608, big_r:1,  small_r0, Polarity:0, No_R:97, hfb: 4
2132, 1539819204, lead_off:False/7.838, confidence:0.567, big_r:2,  small_r0, Polarity:0, No_R:97, hfb: 8
2133, 1539819264, lead_off:False/9.249, confidence:0.593, big_r:0,  small_r0, Polarity:0, No_R:91, hfb: 5
2141, 1539819744, lead_off:False/5.216, confidence:0.708, big_r:0,  small_r0, Polarity:0, No_R:106, hfb: 0
2142, 1539819804, lead_off:False/5.708, confidence:0.743, big_r:0,  small_r0, Polarity:0, No_R:109, hfb: 1
2143, 1539819864, lead_off:False/4.180, confidence:0.680, big_r:1,  small_r0, Polarity:0, No_R:100, hfb: 4
2144, 1539819924, lead_off:False/6.723, confidence:0.525, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 1
2146, 1539820044, lead_off:False/8.416, confidence:0.615, big_r:1,  small_r0, Polarity:0, No_R:104, hfb: 4
2147, 1539820104, lead_off:False/7.912, confidence:0.553, big_r:3,  small_r0, Polarity:0, No_R:103, hfb: 9
2148, 1539820164, lead_off:False/6.814, confidence:0.594, big_r:3,  small_r0, Polarity:0, No_R:106, hfb: 8
2149, 1539820224, lead_off:False/4.051, confidence:0.732, big_r:1,  small_r0, Polarity:0, No_R:112, hfb: 6
2150, 1539820284, lead_off:False/3.047, confidence:0.729, big_r:1,  small_r0, Polarity:0, No_R:107, hfb: 4
2151, 1539820344, lead_off:False/3.779, confidence:0.728, big_r:1,  small_r0, Polarity:0, No_R:103, hfb: 2
