mins 820 , noise_error =1.0
mins 821 , noise_error =1.0
mins 822 , noise_error =1.0
mins 823 , noise_error =1.0
mins 824 , noise_error =1.0
mins 825 , noise_error =1.0
mins 826 , noise_error =0.9411764705882353
mins 827 , noise_error =0.9479166666666666
mins 828 , noise_error =0.9444444444444444
mins 829 , noise_error =1.0
mins 830 , noise_error =1.0
mins 831 , noise_error =1.0
mins 832 , noise_error =1.0
mins 833 , noise_error =1.0
mins 834 , noise_error =1.0
mins 835 , noise_error =0.9787234042553191
mins 836 , noise_error =1.0
mins 837 , noise_error =1.0
mins 838 , noise_error =0.99
mins 839 , noise_error =1.0
mins 840 , noise_error =1.0
mins 841 , noise_error =1.0
mins 842 , noise_error =1.0
mins 843 , noise_error =1.0
mins 844 , noise_error =0.9886363636363636
mins 845 , noise_error =1.0
mins 846 , noise_error =1.0
mins 847 , noise_error =1.0
mins 848 , noise_error =1.0
mins 849 , noise_error =0.989247311827957
mins 850 , noise_error =0.946236559139785
mins 851 , noise_error =1.0
mins 852 , noise_error =1.0
mins 853 , noise_error =1.0
mins 854 , noise_error =1.0
mins 855 , noise_error =1.0
mins 856 , noise_error =1.0
mins 857 , noise_error =1.0
mins 858 , noise_error =0.9886363636363636
mins 859 , noise_error =0.9770114942528736
mins 860 , noise_error =0.9540229885057472
mins 861 , noise_error =0.9506172839506173
mins 862 , noise_error =0.9512195121951219
mins 863 , noise_error =1.0
mins 864 , noise_error =0.9605263157894737
mins 865 , noise_error =0.9873417721518988
mins 866 , noise_error =0.9873417721518988
mins 867 , noise_error =1.0
mins 868 , noise_error =1.0
mins 869 , noise_error =1.0
mins 870 , noise_error =1.0
mins 871 , noise_error =1.0
mins 872 , noise_error =1.0
mins 873 , noise_error =1.0
mins 874 , noise_error =1.0
mins 875 , noise_error =1.0
mins 876 , noise_error =1.0
mins 877 , noise_error =1.0
mins 878 , noise_error =1.0
mins 879 , noise_error =1.0
mins 880 , noise_error =1.0
mins 881 , noise_error =0.9896907216494846
mins 882 , noise_error =0.9705882352941176
mins 883 , noise_error =0.9611650485436893
mins 884 , noise_error =0.946236559139785
mins 885 , noise_error =0.978494623655914
mins 886 , noise_error =1.0
mins 887 , noise_error =1.0
mins 888 , noise_error =1.0
mins 889 , noise_error =1.0
mins 890 , noise_error =1.0
mins 891 , noise_error =1.0
mins 892 , noise_error =1.0
mins 893 , noise_error =1.0
mins 894 , noise_error =1.0
mins 895 , noise_error =0.9913793103448276
mins 896 , noise_error =1.0
mins 897 , noise_error =1.0
mins 898 , noise_error =0.9789473684210527
mins 899 , noise_error =1.0
mins 900 , noise_error =1.0
mins 901 , noise_error =1.0
mins 902 , noise_error =1.0
mins 903 , noise_error =0.978494623655914
mins 904 , noise_error =1.0
mins 905 , noise_error =1.0
mins 906 , noise_error =0.9565217391304348
mins 907 , noise_error =0.9583333333333334
mins 908 , noise_error =1.0
mins 909 , noise_error =1.0
mins 910 , noise_error =1.0
mins 911 , noise_error =0.9787234042553191
mins 912 , noise_error =1.0
mins 913 , noise_error =1.0
mins 914 , noise_error =1.0
mins 915 , noise_error =1.0
mins 916 , noise_error =1.0
mins 917 , noise_error =1.0
mins 918 , noise_error =0.9894736842105263
mins 919 , noise_error =0.989247311827957
mins 920 , noise_error =1.0
mins 921 , noise_error =1.0
mins 922 , noise_error =0.967032967032967
mins 923 , noise_error =1.0
mins 924 , noise_error =0.9782608695652174
mins 925 , noise_error =0.9263157894736842
mins 926 , noise_error =0.8737864077669903
mins 927 , noise_error =0.9523809523809523
mins 928 , noise_error =1.0
mins 929 , noise_error =1.0
mins 930 , noise_error =1.0
mins 931 , noise_error =1.0
mins 932 , noise_error =1.0
mins 933 , noise_error =0.9895833333333334
mins 934 , noise_error =0.979381443298969
mins 935 , noise_error =1.0
mins 936 , noise_error =1.0
mins 937 , noise_error =1.0
mins 938 , noise_error =1.0
mins 939 , noise_error =1.0
mins 940 , noise_error =1.0
mins 941 , noise_error =1.0
mins 942 , noise_error =1.0
mins 943 , noise_error =1.0
mins 944 , noise_error =1.0
mins 945 , noise_error =0.9775280898876404
mins 946 , noise_error =0.989247311827957
mins 947 , noise_error =1.0
mins 948 , noise_error =1.0
mins 949 , noise_error =0.9787234042553191
mins 950 , noise_error =0.99
mins 951 , noise_error =0.9900990099009901
mins 952 , noise_error =1.0
mins 953 , noise_error =1.0
mins 954 , noise_error =0.9895833333333334
mins 955 , noise_error =1.0
mins 956 , noise_error =1.0
mins 957 , noise_error =1.0
mins 958 , noise_error =0.9587628865979382
mins 959 , noise_error =0.9489795918367347
mins 960 , noise_error =0.98
mins 961 , noise_error =0.94
mins 962 , noise_error =1.0
mins 963 , noise_error =1.0
mins 964 , noise_error =1.0
mins 965 , noise_error =0.9795918367346939
mins 966 , noise_error =0.9587628865979382
mins 967 , noise_error =1.0
mins 968 , noise_error =1.0
mins 969 , noise_error =0.9504950495049505
mins 970 , noise_error =1.0
mins 971 , noise_error =0.92
mins 972 , noise_error =0.9805825242718447
mins 973 , noise_error =0.9393939393939394
mins 974 , noise_error =0.9789473684210527
mins 975 , noise_error =1.0
mins 976 , noise_error =0.9789473684210527
mins 977 , noise_error =1.0
mins 978 , noise_error =0.9891304347826086
mins 979 , noise_error =0.9680851063829787
mins 980 , noise_error =1.0
mins 981 , noise_error =1.0
mins 982 , noise_error =0.978021978021978
mins 983 , noise_error =1.0
mins 984 , noise_error =0.9895833333333334
mins 985 , noise_error =0.9791666666666666
mins 986 , noise_error =0.9897959183673469
mins 987 , noise_error =1.0
mins 988 , noise_error =0.96875
mins 989 , noise_error =1.0
mins 990 , noise_error =1.0
mins 991 , noise_error =1.0
mins 992 , noise_error =1.0
mins 993 , noise_error =0.9789473684210527
mins 994 , noise_error =0.9897959183673469
mins 995 , noise_error =1.0
mins 996 , noise_error =0.9896907216494846
mins 997 , noise_error =1.0
mins 998 , noise_error =1.0
mins 999 , noise_error =0.9587628865979382
mins 1000 , noise_error =1.0
mins 1001 , noise_error =1.0
mins 1002 , noise_error =1.0
mins 1003 , noise_error =1.0
mins 1004 , noise_error =1.0
mins 1005 , noise_error =1.0
mins 1006 , noise_error =1.0
mins 1007 , noise_error =1.0
mins 1008 , noise_error =1.0
mins 1009 , noise_error =1.0
mins 1010 , noise_error =1.0
mins 1011 , noise_error =0.9895833333333334
mins 1012 , noise_error =1.0
mins 1013 , noise_error =1.0
mins 1014 , noise_error =1.0
mins 1015 , noise_error =1.0
mins 1016 , noise_error =1.0
mins 1017 , noise_error =0.9782608695652174
mins 1018 , noise_error =0.967391304347826
mins 1019 , noise_error =0.9555555555555556
mins 1020 , noise_error =1.0
mins 1021 , noise_error =0.9782608695652174
mins 1022 , noise_error =1.0
mins 1023 , noise_error =0.9555555555555556
mins 1024 , noise_error =1.0
mins 1025 , noise_error =1.0
