mins 0 , noise_error =0.9259259259259259, delte = 0.07407407407407407
mins 1 , noise_error =0.7804878048780488, delte = 0.20731707317073167
mins 2 , noise_error =0.7439024390243902, delte = 0.25609756097560976
mins 3 , noise_error =0.975, delte = 0.025000000000000022
mins 4 , noise_error =0.8987341772151899, delte = 0.10126582278481011
mins 5 , noise_error =0.9487179487179487, delte = 0.05128205128205132
mins 6 , noise_error =0.9090909090909091, delte = 0.09090909090909094
mins 7 , noise_error =0.9390243902439024, delte = 0.03658536585365857
mins 8 , noise_error =0.92, delte = 0.07999999999999996
mins 9 , noise_error =0.95, delte = 0.050000000000000044
mins 10 , noise_error =0.9024390243902439, delte = 0.09756097560975607
mins 11 , noise_error =0.9259259259259259, delte = 0.024691358024691357
mins 12 , noise_error =0.9135802469135803, delte = 0.061728395061728336
mins 13 , noise_error =0.9534883720930233, delte = 0.046511627906976716
mins 14 , noise_error =0.7906976744186046, delte = 0.2093023255813954
mins 15 , noise_error =0.9642857142857143, delte = 0.0357142857142857
mins 16 , noise_error =0.927710843373494, delte = 0.07228915662650603
mins 17 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 18 , noise_error =0.8823529411764706, delte = 0.11764705882352944
mins 19 , noise_error =0.9761904761904762, delte = 0.023809523809523836
mins 20 , noise_error =0.8690476190476191, delte = 0.1071428571428571
mins 21 , noise_error =0.7931034482758621, delte = 0.2068965517241379
mins 22 , noise_error =0.7764705882352941, delte = 0.21176470588235297
mins 23 , noise_error =0.9764705882352941, delte = 0.02352941176470591
mins 24 , noise_error =0.8117647058823529, delte = 0.18823529411764706
mins 25 , noise_error =0.8674698795180723, delte = 0.1325301204819277
mins 26 , noise_error =0.927710843373494, delte = 0.07228915662650603
mins 27 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 28 , noise_error =0.9047619047619048, delte = 0.09523809523809523
mins 29 , noise_error =0.9512195121951219, delte = 0.04878048780487809
mins 30 , noise_error =0.8780487804878049, delte = 0.08536585365853655
mins 31 , noise_error =0.9397590361445783, delte = 0.02409638554216864
mins 32 , noise_error =0.881578947368421, delte = 0.0921052631578948
mins 33 , noise_error =0.9382716049382716, delte = 0.03703703703703709
