mins 250 , noise_error =1.0
mins 251 , noise_error =1.0
mins 252 , noise_error =1.0
mins 253 , noise_error =1.0
mins 254 , noise_error =0.8352941176470589
mins 255 , noise_error =0.8809523809523809
mins 256 , noise_error =1.0
mins 257 , noise_error =0.9875
mins 258 , noise_error =1.0
mins 259 , noise_error =1.0
mins 260 , noise_error =1.0
mins 261 , noise_error =1.0
mins 262 , noise_error =1.0
mins 263 , noise_error =1.0
mins 264 , noise_error =1.0
mins 265 , noise_error =0.974025974025974
mins 266 , noise_error =1.0
mins 267 , noise_error =0.9240506329113924
mins 268 , noise_error =0.9325842696629214
mins 269 , noise_error =0.9775280898876404
mins 270 , noise_error =0.9493670886075949
mins 271 , noise_error =1.0
mins 272 , noise_error =1.0
mins 273 , noise_error =0.9759036144578314
mins 274 , noise_error =1.0
mins 275 , noise_error =0.9506172839506173
mins 276 , noise_error =0.975
mins 277 , noise_error =1.0
mins 278 , noise_error =0.926829268292683
mins 279 , noise_error =1.0
mins 280 , noise_error =1.0
mins 281 , noise_error =1.0
mins 282 , noise_error =0.9746835443037974
mins 283 , noise_error =0.9885057471264368
mins 284 , noise_error =0.9772727272727273
mins 285 , noise_error =0.9864864864864865
mins 286 , noise_error =1.0
mins 287 , noise_error =1.0
mins 288 , noise_error =1.0
mins 289 , noise_error =1.0
mins 290 , noise_error =0.9882352941176471
mins 291 , noise_error =0.79
mins 292 , noise_error =0.8736842105263158
mins 293 , noise_error =0.8522727272727273
mins 294 , noise_error =0.9431818181818182
mins 295 , noise_error =0.9484536082474226
mins 296 , noise_error =0.9215686274509804
mins 297 , noise_error =0.9772727272727273
mins 298 , noise_error =1.0
mins 299 , noise_error =0.9761904761904762
mins 300 , noise_error =0.9523809523809523
mins 301 , noise_error =0.8297872340425532
mins 302 , noise_error =1.0
mins 303 , noise_error =1.0
mins 304 , noise_error =0.9876543209876543
mins 305 , noise_error =1.0
mins 306 , noise_error =0.9746835443037974
mins 307 , noise_error =0.9871794871794872
mins 308 , noise_error =1.0
mins 309 , noise_error =1.0
mins 310 , noise_error =1.0
mins 311 , noise_error =1.0
mins 312 , noise_error =1.0
mins 313 , noise_error =0.9871794871794872
mins 314 , noise_error =0.963855421686747
mins 315 , noise_error =0.8947368421052632
mins 316 , noise_error =0.8947368421052632
mins 317 , noise_error =0.9125
mins 318 , noise_error =0.9240506329113924
mins 319 , noise_error =1.0
mins 320 , noise_error =1.0
mins 321 , noise_error =1.0
mins 322 , noise_error =0.9868421052631579
mins 323 , noise_error =0.963855421686747
mins 324 , noise_error =0.8636363636363636
mins 325 , noise_error =0.9333333333333333
mins 326 , noise_error =0.8631578947368421
mins 327 , noise_error =0.7272727272727273
mins 328 , noise_error =0.6947368421052631
mins 329 , noise_error =0.935483870967742
mins 330 , noise_error =0.9285714285714286
mins 331 , noise_error =0.8596491228070176
mins 332 , noise_error =0.8928571428571429
mins 333 , noise_error =0.8738738738738738
mins 334 , noise_error =0.9272727272727272
mins 335 , noise_error =0.905982905982906
mins 336 , noise_error =0.90625
mins 337 , noise_error =0.7798165137614679
mins 338 , noise_error =0.8235294117647058
mins 339 , noise_error =0.7959183673469388
mins 340 , noise_error =0.967032967032967
mins 341 , noise_error =0.9885057471264368
mins 342 , noise_error =0.8969072164948454
mins 343 , noise_error =0.9444444444444444
mins 344 , noise_error =1.0
mins 345 , noise_error =1.0
mins 346 , noise_error =1.0
mins 347 , noise_error =1.0
mins 348 , noise_error =1.0
mins 349 , noise_error =0.9767441860465116
mins 350 , noise_error =1.0
mins 351 , noise_error =1.0
mins 352 , noise_error =1.0
mins 353 , noise_error =1.0
mins 354 , noise_error =1.0
mins 355 , noise_error =0.9775280898876404
mins 356 , noise_error =1.0
mins 357 , noise_error =1.0
mins 358 , noise_error =1.0
mins 359 , noise_error =0.963855421686747
mins 360 , noise_error =0.9883720930232558
mins 361 , noise_error =1.0
mins 362 , noise_error =0.9761904761904762
mins 363 , noise_error =1.0
mins 364 , noise_error =0.9885057471264368
mins 365 , noise_error =1.0
mins 366 , noise_error =1.0
mins 367 , noise_error =1.0
mins 368 , noise_error =1.0
mins 369 , noise_error =1.0
mins 370 , noise_error =1.0
mins 371 , noise_error =1.0
mins 372 , noise_error =0.9294117647058824
mins 373 , noise_error =1.0
mins 374 , noise_error =1.0
mins 375 , noise_error =1.0
mins 376 , noise_error =1.0
mins 377 , noise_error =1.0
mins 378 , noise_error =1.0
mins 379 , noise_error =1.0
mins 380 , noise_error =1.0
mins 381 , noise_error =1.0
mins 382 , noise_error =1.0
mins 383 , noise_error =1.0
mins 384 , noise_error =1.0
mins 385 , noise_error =1.0
mins 386 , noise_error =1.0
mins 387 , noise_error =1.0
mins 388 , noise_error =1.0
mins 389 , noise_error =0.9367088607594937
mins 390 , noise_error =0.8735632183908046
mins 391 , noise_error =0.9761904761904762
mins 392 , noise_error =0.9069767441860466
mins 393 , noise_error =0.9625
mins 394 , noise_error =1.0
mins 395 , noise_error =1.0
mins 396 , noise_error =1.0
mins 397 , noise_error =1.0
mins 398 , noise_error =0.9863013698630136
mins 399 , noise_error =0.9487179487179487
mins 400 , noise_error =0.961038961038961
mins 401 , noise_error =0.9866666666666667
mins 402 , noise_error =1.0
mins 403 , noise_error =1.0
mins 404 , noise_error =1.0
mins 405 , noise_error =1.0
mins 406 , noise_error =1.0
mins 407 , noise_error =1.0
mins 408 , noise_error =0.9875
mins 409 , noise_error =0.95
mins 410 , noise_error =0.9871794871794872
mins 411 , noise_error =1.0
mins 412 , noise_error =0.9589041095890412
mins 413 , noise_error =0.7125
mins 414 , noise_error =0.9736842105263158
mins 415 , noise_error =0.9375
mins 416 , noise_error =0.9473684210526316
mins 417 , noise_error =0.9871794871794872
mins 418 , noise_error =0.9726027397260274
mins 419 , noise_error =0.9868421052631579
mins 420 , noise_error =0.9506172839506173
mins 421 , noise_error =1.0
mins 422 , noise_error =0.9722222222222222
mins 423 , noise_error =1.0
mins 424 , noise_error =1.0
mins 425 , noise_error =0.9873417721518988
mins 426 , noise_error =1.0
mins 427 , noise_error =1.0
mins 428 , noise_error =0.971830985915493
mins 429 , noise_error =0.9512195121951219
mins 430 , noise_error =0.9487179487179487
mins 431 , noise_error =0.9714285714285714
mins 432 , noise_error =1.0
mins 433 , noise_error =1.0
mins 434 , noise_error =0.9746835443037974
mins 435 , noise_error =0.8953488372093024
mins 436 , noise_error =0.8777777777777778
mins 437 , noise_error =0.9431818181818182
mins 438 , noise_error =0.9285714285714286
mins 439 , noise_error =0.9418604651162791
mins 440 , noise_error =0.8588235294117648
mins 441 , noise_error =0.7777777777777778
mins 442 , noise_error =0.8636363636363636
mins 443 , noise_error =0.651685393258427
mins 444 , noise_error =0.6555555555555556
mins 445 , noise_error =0.8369565217391304
mins 446 , noise_error =0.7578947368421053
mins 447 , noise_error =0.6382978723404256
mins 448 , noise_error =0.7916666666666666
mins 449 , noise_error =0.8958333333333334
