datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,cPM1,cPM2.5
2018-10-02 00:00:00,0C9A4249DB37,2018-10-02,00:00:00,28.9,57.4,26,35,45,500,1,0,-68,-5,78,86,80,-2,-70,-5,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,14.806999999999999,14.806999999999999
2018-10-02 00:00:15,0C9A4249DB37,2018-10-02,00:00:15,28.9,57.3,29,38,46,0,1,0,-68,-4,16,15,13,0,-67,-5,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,15.877999999999998,15.877999999999998
2018-10-02 00:00:30,0C9A4249DB37,2018-10-02,00:00:30,28.9,57.3,26,36,44,476,1,0,-67,-5,92,96,79,0,-67,-4,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,15.164,15.164
2018-10-02 00:00:45,0C9A4249DB37,2018-10-02,00:00:45,28.9,57.4,26,36,43,481,1,0,-67,-4,94,109,80,0,-68,-4,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,15.164,15.164
2018-10-02 00:01:00,0C9A4249DB37,2018-10-02,00:01:00,28.9,57.4,26,35,41,493,1,0,-68,-4,115,107,86,-1,-69,-6,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,14.806999999999999,14.806999999999999
2018-10-02 00:01:15,0C9A4249DB37,2018-10-02,00:01:15,28.9,57.4,26,35,41,493,1,-1,-69,-6,109,127,95,0,-68,-5,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,14.806999999999999,14.806999999999999
2018-10-02 00:01:30,0C9A4249DB37,2018-10-02,00:01:30,28.9,57.4,26,36,42,493,1,0,-68,-5,92,115,82,0,-69,-5,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,15.164,15.164
2018-10-02 00:01:45,0C9A4249DB37,2018-10-02,00:01:45,28.9,57.3,25,35,41,492,1,0,-69,-5,88,120,84,0,-67,-5,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,14.665000000000001,14.806999999999999
2018-10-02 00:02:00,0C9A4249DB37,2018-10-02,00:02:00,28.9,57.4,26,36,43,491,1,0,-67,-5,85,102,76,1,-67,-5,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,15.164,15.164
2018-10-02 00:02:15,0C9A4249DB37,2018-10-02,00:02:15,28.9,57.4,25,35,41,490,1,1,-67,-5,77,99,83,0,-68,-4,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,14.665000000000001,14.806999999999999
2018-10-02 00:02:30,0C9A4249DB37,2018-10-02,00:02:30,28.9,57.4,25,34,41,490,1,0,-68,-4,101,111,88,-1,-67,-4,0.0,0.0,25.039288,121.61293899999998,0,0,0,0,0,0,0,0,AL-0226,14.45,14.45
