datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,cPM1,cPM2.5
2018-10-02 00:00:00,0C9A4249DB90,2018-10-02,00:00:00,29.5,57.2,23,33,38,803,1,1,0,59,50,80,86,1,-2,59,0.0,0.0,25.013476999999998,121.468719,36,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:00:30,0C9A4249DB90,2018-10-02,00:00:30,29.5,57.3,23,33,38,803,1,-1,-1,57,145,168,257,0,-1,58,0.0,0.0,25.013488,121.468681,24,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:00:45,0C9A4249DB90,2018-10-02,00:00:45,29.5,57.3,23,33,37,802,1,0,-1,58,211,181,288,-1,-2,58,0.0,0.0,25.0135,121.46866599999998,24,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:01:00,0C9A4249DB90,2018-10-02,00:01:00,29.6,57.1,23,32,36,803,1,-1,-2,58,91,94,160,2,0,54,0.0,0.0,25.013509,121.468681,26,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:01:15,0C9A4249DB90,2018-10-02,00:01:15,29.6,57.1,23,32,37,802,1,2,0,54,151,184,225,-1,-4,53,0.0,0.0,25.0135,121.46873400000001,33,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:01:30,0C9A4249DB90,2018-10-02,00:01:30,29.6,57.1,22,32,36,802,1,-1,-4,53,133,166,212,0,-4,59,0.0,0.0,25.013476999999998,121.46873400000001,33,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:01:45,0C9A4249DB90,2018-10-02,00:01:45,29.6,57.0,23,32,37,802,1,0,-4,59,156,185,270,2,-1,57,0.0,0.0,25.013463,121.46873400000001,30,1,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:02:00,0C9A4249DB90,2018-10-02,00:02:00,29.5,57.0,22,32,36,800,1,2,-1,57,191,250,314,3,-1,59,0.0,0.0,25.013505,121.46875,41,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:02:15,0C9A4249DB90,2018-10-02,00:02:15,29.6,57.0,22,32,36,798,1,3,-1,59,190,218,306,-1,1,53,0.0,0.0,25.013552999999998,121.46876499999999,50,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:02:30,0C9A4249DB90,2018-10-02,00:02:30,29.6,57.0,22,31,34,795,1,-1,1,53,82,81,122,1,0,57,0.0,0.0,25.01357,121.46878000000001,55,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:02:45,0C9A4249DB90,2018-10-02,00:02:45,29.5,57.1,21,31,35,792,1,1,0,57,82,120,162,1,0,59,0.0,0.0,25.013552999999998,121.46878000000001,47,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:03:00,0C9A4249DB90,2018-10-02,00:03:00,29.6,57.0,22,32,36,790,1,1,0,59,140,169,231,3,1,54,0.0,0.0,25.013525,121.46878000000001,46,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:03:15,0C9A4249DB90,2018-10-02,00:03:15,29.6,57.0,22,31,35,790,1,3,1,54,174,199,243,-1,0,55,0.0,0.0,25.013496,121.46878000000001,43,1,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:03:30,0C9A4249DB90,2018-10-02,00:03:30,29.5,56.9,21,30,33,790,1,-1,0,55,130,167,239,-1,-1,56,0.0,0.0,25.013481,121.468795,48,0,0,1,0,0,0,0,AL-0309,13.336999999999998,15.855
2018-10-02 00:03:45,0C9A4249DB90,2018-10-02,00:03:45,29.6,56.8,23,32,35,789,1,-1,-1,56,204,212,343,1,1,59,0.0,0.0,25.013460000000002,121.468818,50,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:04:00,0C9A4249DB90,2018-10-02,00:04:00,29.6,56.8,23,32,36,788,1,1,1,59,52,56,98,1,-3,55,0.0,0.0,25.013463,121.468833,52,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:04:15,0C9A4249DB90,2018-10-02,00:04:15,29.6,56.8,23,33,37,783,1,1,-3,55,87,83,127,0,-2,56,0.0,0.0,25.013484,121.468818,44,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:04:30,0C9A4249DB90,2018-10-02,00:04:30,29.6,56.8,23,33,37,777,1,0,-2,56,82,99,147,0,1,53,0.0,0.0,25.013467000000002,121.468795,39,1,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:04:45,0C9A4249DB90,2018-10-02,00:04:45,29.6,56.8,23,33,38,771,1,0,1,53,76,112,128,0,1,57,0.0,0.0,25.013481,121.468833,38,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:05:00,0C9A4249DB90,2018-10-02,00:05:00,29.6,56.7,23,34,38,767,1,0,1,57,99,109,160,-1,-2,55,0.0,0.0,25.013471,121.468849,42,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.695
2018-10-02 00:05:15,0C9A4249DB90,2018-10-02,00:05:15,29.6,56.8,23,34,38,764,1,-1,-2,55,96,143,141,3,1,56,0.0,0.0,25.013451999999997,121.468833,39,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.695
2018-10-02 00:05:30,0C9A4249DB90,2018-10-02,00:05:30,29.6,56.9,22,33,37,764,1,3,1,56,105,122,167,0,1,61,0.0,0.0,25.013451999999997,121.468833,38,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:05:45,0C9A4249DB90,2018-10-02,00:05:45,29.6,56.9,23,33,36,764,1,0,1,61,128,154,153,-2,-1,58,0.0,0.0,25.013481,121.468818,35,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:06:00,0C9A4249DB90,2018-10-02,00:06:00,29.6,56.9,23,33,36,765,1,-2,-1,58,101,116,224,-1,1,58,0.0,0.0,25.013492000000003,121.46878000000001,31,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:06:15,0C9A4249DB90,2018-10-02,00:06:15,29.6,56.9,22,31,34,765,1,-1,1,58,124,116,191,1,-3,55,0.0,0.0,25.013492000000003,121.468795,29,1,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:06:30,0C9A4249DB90,2018-10-02,00:06:30,29.6,56.9,23,32,35,769,1,1,-3,55,128,158,207,1,-1,56,0.0,0.0,25.013481,121.46876499999999,32,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:06:45,0C9A4249DB90,2018-10-02,00:06:45,29.6,56.9,23,33,36,773,1,1,-1,56,139,162,235,0,-1,55,0.0,0.0,25.013471,121.46875,35,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:07:00,0C9A4249DB90,2018-10-02,00:07:00,29.6,56.9,23,33,38,775,1,0,-1,55,158,161,262,2,-2,55,0.0,0.0,25.013481,121.46875,35,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:07:15,0C9A4249DB90,2018-10-02,00:07:15,29.6,56.9,23,33,38,776,1,2,-2,55,154,153,200,-2,-1,57,0.0,0.0,25.013492000000003,121.46876499999999,33,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:07:30,0C9A4249DB90,2018-10-02,00:07:30,29.6,56.9,23,33,36,777,1,-2,-1,57,174,177,275,2,0,56,0.0,0.0,25.013481,121.46876499999999,33,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:07:45,0C9A4249DB90,2018-10-02,00:07:45,29.6,56.9,23,33,37,779,1,2,0,56,62,75,118,0,-1,54,0.0,0.0,25.013467000000002,121.468719,33,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:08:00,0C9A4249DB90,2018-10-02,00:08:00,29.6,56.9,22,31,34,780,1,0,-1,54,76,78,123,2,-1,57,0.0,0.0,25.013476999999998,121.46875,35,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:08:15,0C9A4249DB90,2018-10-02,00:08:15,29.6,56.9,22,31,34,783,1,2,-1,57,127,134,224,1,1,63,0.0,0.0,25.013509,121.46875,22,1,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:08:30,0C9A4249DB90,2018-10-02,00:08:30,29.6,57.0,22,32,35,783,1,1,1,63,141,149,252,0,0,57,0.0,0.0,25.013521,121.46873400000001,17,1,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:08:45,0C9A4249DB90,2018-10-02,00:08:45,29.6,56.9,22,32,35,782,1,0,0,57,160,227,283,-2,-3,60,0.0,0.0,25.013513,121.46873400000001,16,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:09:00,0C9A4249DB90,2018-10-02,00:09:00,29.6,56.9,23,32,37,783,1,-2,-3,60,108,109,175,0,0,59,0.0,0.0,25.013492000000003,121.46866599999998,15,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:09:15,0C9A4249DB90,2018-10-02,00:09:15,29.6,56.9,23,32,37,782,1,0,0,59,181,187,365,3,-1,54,0.0,0.0,25.013492000000003,121.46865,17,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:09:30,0C9A4249DB90,2018-10-02,00:09:30,29.5,57.0,22,32,36,782,1,3,-1,54,203,235,319,2,0,57,0.0,0.0,25.013481,121.468704,19,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:09:45,0C9A4249DB90,2018-10-02,00:09:45,29.5,56.9,22,31,34,780,1,2,0,57,223,259,337,1,-1,56,0.0,0.0,25.013471,121.468681,18,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:10:00,0C9A4249DB90,2018-10-02,00:10:00,29.5,57.0,23,32,34,780,1,1,-1,56,198,221,305,1,2,55,0.0,0.0,25.013471,121.46866599999998,15,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:10:15,0C9A4249DB90,2018-10-02,00:10:15,29.5,57.1,23,31,35,779,1,1,2,55,231,216,320,0,2,59,0.0,0.0,25.013471,121.46866599999998,18,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.315
2018-10-02 00:10:30,0C9A4249DB90,2018-10-02,00:10:30,29.5,57.1,23,32,35,779,1,0,2,59,77,111,157,1,1,56,0.0,0.0,25.013476999999998,121.468681,18,0,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:10:45,0C9A4249DB90,2018-10-02,00:10:45,29.5,57.1,22,33,37,779,1,1,1,56,151,164,214,-2,-5,56,0.0,0.0,25.013484,121.468681,17,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:11:00,0C9A4249DB90,2018-10-02,00:11:00,29.5,57.1,22,33,37,779,1,-2,-5,56,199,215,315,-3,-2,59,0.0,0.0,25.013476999999998,121.468704,20,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:11:15,0C9A4249DB90,2018-10-02,00:11:15,29.5,57.1,21,31,34,781,1,-3,-2,59,93,112,131,-2,0,60,0.0,0.0,25.013484,121.46873400000001,19,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:11:30,0C9A4249DB90,2018-10-02,00:11:30,29.5,57.0,21,31,34,780,1,-2,0,60,97,112,162,1,0,54,0.0,0.0,25.013505,121.46873400000001,17,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:11:45,0C9A4249DB90,2018-10-02,00:11:45,29.5,57.0,21,32,35,781,1,1,0,54,95,118,211,0,0,53,0.0,0.0,25.013496,121.46873400000001,19,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.775000000000002
2018-10-02 00:12:00,0C9A4249DB90,2018-10-02,00:12:00,29.5,57.0,22,33,37,780,1,0,0,53,114,128,171,2,-2,56,0.0,0.0,25.013484,121.46873400000001,23,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:12:15,0C9A4249DB90,2018-10-02,00:12:15,29.5,57.1,22,33,36,780,1,2,-2,56,115,102,178,-1,-2,56,0.0,0.0,25.0135,121.468719,21,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:12:30,0C9A4249DB90,2018-10-02,00:12:30,29.5,57.1,21,32,34,780,1,-1,-2,56,149,113,182,0,1,56,0.0,0.0,25.013496,121.468719,23,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.775000000000002
2018-10-02 00:12:45,0C9A4249DB90,2018-10-02,00:12:45,29.5,57.0,22,32,35,780,1,0,1,56,127,173,183,-1,-2,59,0.0,0.0,25.013471,121.468704,27,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:13:00,0C9A4249DB90,2018-10-02,00:13:00,29.5,56.9,23,33,37,778,1,-1,-2,59,120,172,205,-1,4,60,0.0,0.0,25.013463,121.468681,25,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:13:15,0C9A4249DB90,2018-10-02,00:13:15,29.5,57.0,22,31,35,777,1,-1,4,60,149,162,207,-4,-2,61,0.0,0.0,25.013471,121.468635,22,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:13:30,0C9A4249DB90,2018-10-02,00:13:30,29.5,56.9,22,31,35,776,1,-4,-2,61,169,202,264,-3,0,61,0.0,0.0,25.013488,121.46866599999998,20,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:13:45,0C9A4249DB90,2018-10-02,00:13:45,29.5,57.0,23,33,37,775,1,-3,0,61,114,150,268,-1,0,59,0.0,0.0,25.013488,121.46866599999998,22,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:14:00,0C9A4249DB90,2018-10-02,00:14:00,29.5,56.9,23,34,39,772,1,-1,0,59,109,151,203,0,1,58,0.0,0.0,25.013488,121.468681,26,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.695
2018-10-02 00:14:15,0C9A4249DB90,2018-10-02,00:14:15,29.5,56.9,24,34,39,768,1,0,1,58,163,172,258,-1,-1,60,0.0,0.0,25.013476999999998,121.46873400000001,30,0,0,1,0,0,0,0,AL-0309,15.031999999999998,17.695
2018-10-02 00:14:30,0C9A4249DB90,2018-10-02,00:14:30,29.5,56.9,22,32,36,764,1,-1,-1,60,170,178,251,-1,-1,57,0.0,0.0,25.013463,121.468795,33,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:14:45,0C9A4249DB90,2018-10-02,00:14:45,29.5,56.9,23,32,37,761,1,-1,-1,57,169,161,229,-2,0,60,0.0,0.0,25.013456,121.468849,41,1,0,1,0,0,0,0,AL-0309,14.466999999999999,16.775000000000002
2018-10-02 00:15:00,0C9A4249DB90,2018-10-02,00:15:00,29.5,57.0,22,32,38,761,1,-2,0,60,160,203,235,-2,-1,59,0.0,0.0,25.013451999999997,121.468879,42,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:15:15,0C9A4249DB90,2018-10-02,00:15:15,29.5,56.9,21,31,36,760,1,-2,-1,59,164,200,245,2,-3,58,0.0,0.0,25.013460000000002,121.468833,37,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:15:30,0C9A4249DB90,2018-10-02,00:15:30,29.5,57.0,22,33,36,760,1,2,-3,58,202,193,281,-2,0,59,0.0,0.0,25.013476999999998,121.46873400000001,31,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:15:45,0C9A4249DB90,2018-10-02,00:15:45,29.5,56.9,23,35,39,761,1,-2,0,59,215,203,303,-1,-1,54,0.0,0.0,25.013476999999998,121.468719,29,0,0,1,0,0,0,0,AL-0309,14.466999999999999,18.155
2018-10-02 00:16:00,0C9A4249DB90,2018-10-02,00:16:00,29.5,56.9,22,34,39,762,1,-1,-1,54,110,145,161,-1,0,61,0.0,0.0,25.013481,121.468704,30,0,0,1,0,0,0,0,AL-0309,13.902,17.695
2018-10-02 00:16:15,0C9A4249DB90,2018-10-02,00:16:15,29.5,56.9,22,33,37,761,1,-1,0,61,157,207,300,-4,1,57,0.0,0.0,25.013476999999998,121.468704,32,0,0,1,0,0,0,0,AL-0309,13.902,17.235000000000003
2018-10-02 00:16:30,0C9A4249DB90,2018-10-02,00:16:30,29.5,57.0,21,32,35,761,1,-4,1,57,171,223,346,-1,0,57,0.0,0.0,25.013476999999998,121.468719,29,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.775000000000002
2018-10-02 00:16:45,0C9A4249DB90,2018-10-02,00:16:45,29.5,57.0,22,32,35,761,1,-1,0,57,77,87,80,0,-1,57,0.0,0.0,25.013492000000003,121.468704,23,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:17:00,0C9A4249DB90,2018-10-02,00:17:00,29.5,57.0,23,33,37,761,1,0,-1,57,66,78,142,0,1,55,0.0,0.0,25.013488,121.468704,26,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:17:15,0C9A4249DB90,2018-10-02,00:17:15,29.5,57.0,23,33,37,762,1,0,1,55,100,109,109,0,-2,58,0.0,0.0,25.013496,121.468719,27,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:17:30,0C9A4249DB90,2018-10-02,00:17:30,29.5,56.8,22,31,35,762,1,0,-2,58,90,94,152,-2,-2,56,0.0,0.0,25.013505,121.468719,26,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:17:45,0C9A4249DB90,2018-10-02,00:17:45,29.5,56.9,21,31,35,762,1,-2,-2,56,116,120,165,0,2,57,0.0,0.0,25.0135,121.468704,21,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:18:00,0C9A4249DB90,2018-10-02,00:18:00,29.5,57.0,21,32,34,761,1,0,2,57,143,127,175,1,1,54,0.0,0.0,25.013505,121.46866599999998,19,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.775000000000002
2018-10-02 00:18:15,0C9A4249DB90,2018-10-02,00:18:15,29.5,57.0,23,33,37,761,1,1,1,54,118,117,177,3,2,55,0.0,0.0,25.013505,121.468681,18,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:18:30,0C9A4249DB90,2018-10-02,00:18:30,29.4,57.0,23,33,37,762,1,3,2,55,101,135,173,0,-3,58,0.0,0.0,25.0135,121.468704,19,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:18:45,0C9A4249DB90,2018-10-02,00:18:45,29.4,57.1,21,31,35,762,1,0,-3,58,136,131,194,0,0,60,0.0,0.0,25.0135,121.468681,20,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:19:00,0C9A4249DB90,2018-10-02,00:19:00,29.5,57.1,22,32,35,762,1,0,0,60,140,141,205,-2,-1,57,0.0,0.0,25.013492000000003,121.46866599999998,21,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:19:15,0C9A4249DB90,2018-10-02,00:19:15,29.4,57.2,22,32,34,763,1,-2,-1,57,149,160,253,-1,1,60,0.0,0.0,25.013488,121.46866599999998,23,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:19:30,0C9A4249DB90,2018-10-02,00:19:30,29.4,57.1,22,31,35,764,1,-1,1,60,168,184,247,1,-1,57,0.0,0.0,25.013488,121.46866599999998,23,0,0,1,0,0,0,0,AL-0309,13.902,16.315
2018-10-02 00:19:45,0C9A4249DB90,2018-10-02,00:19:45,29.4,57.2,22,32,35,764,1,1,-1,57,183,214,232,2,1,57,0.0,0.0,25.013496,121.46866599999998,20,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:20:00,0C9A4249DB90,2018-10-02,00:20:00,29.4,57.2,22,32,36,768,1,2,1,57,168,175,262,0,-2,55,0.0,0.0,25.013505,121.468681,19,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:20:15,0C9A4249DB90,2018-10-02,00:20:15,29.4,57.2,23,33,37,771,1,0,-2,55,171,218,317,-1,0,60,0.0,0.0,25.013517,121.468704,20,0,0,1,0,0,0,0,AL-0309,14.466999999999999,17.235000000000003
2018-10-02 00:20:30,0C9A4249DB90,2018-10-02,00:20:30,29.4,57.1,22,32,38,771,1,-1,0,60,67,79,119,-2,1,59,0.0,0.0,25.013525,121.468719,22,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
2018-10-02 00:20:45,0C9A4249DB90,2018-10-02,00:20:45,29.5,57.2,21,31,36,772,1,-2,1,59,112,107,128,0,0,55,0.0,0.0,25.013528,121.46875,23,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:21:00,0C9A4249DB90,2018-10-02,00:21:00,29.5,57.1,21,31,37,775,1,0,0,55,75,92,115,3,0,54,0.0,0.0,25.013528,121.46875,24,0,0,1,0,0,0,0,AL-0309,13.336999999999998,16.315
2018-10-02 00:21:15,0C9A4249DB90,2018-10-02,00:21:15,29.5,57.0,22,32,37,777,1,3,0,54,79,92,127,0,-2,57,0.0,0.0,25.013528,121.468719,21,0,0,1,0,0,0,0,AL-0309,13.902,16.775000000000002
