id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
0C9A4249DB4D,2019-03-08,00:00:00,20.4,61.9,29,45,56,597,0,-12,-5,57,61,44,38,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:00:15,20.4,61.9,29,46,56,597,0,-13,-5,57,70,46,40,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:00:30,20.4,61.9,29,45,56,599,0,-13,-5,57,51,52,36,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:00:45,20.4,62,28,45,56,602,0,-12,-5,57,54,34,32,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:01:00,20.4,62,29,47,58,606,0,-12,-5,57,57,36,38,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:01:15,20.4,62.1,29,46,57,610,0,-13,-5,57,57,32,26,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:01:30,20.4,62,29,45,56,612,0,-12,-5,57,6,2,0,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:01:45,20.3,61.7,29,44,55,614,0,-12,-5,57,32,31,18,-12,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:02:00,20.3,62,28,44,54,614,0,-12,-4,57,58,39,38,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:02:15,20.3,62,28,46,56,614,0,-12,-5,57,56,38,18,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:02:30,20.4,62,28,44,55,613,0,-12,-5,57,57,38,36,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:02:45,20.3,62,28,45,55,612,0,-13,-5,57,62,30,25,-13,-5,58,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:03:00,20.3,62,28,45,55,612,0,-13,-5,58,57,48,37,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:03:15,20.3,62,28,45,56,612,0,-12,-5,57,55,42,36,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:03:30,20.4,62.1,28,45,56,609,0,-13,-5,57,45,53,30,-12,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:03:45,20.4,62,28,46,58,608,0,-12,-4,57,49,39,36,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:04:00,20.4,62,28,45,55,607,0,-13,-5,57,64,42,36,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:04:15,20.4,62,28,45,56,606,0,-13,-5,57,65,40,34,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:04:30,20.4,61.8,28,45,56,606,0,-12,-5,57,50,50,30,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:04:45,20.4,61.9,28,45,56,605,0,-12,-5,57,48,50,34,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:05:00,20.3,62,28,45,56,604,0,-12,-5,57,58,46,20,-12,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:05:15,20.3,62,28,45,57,604,0,-12,-5,57,54,35,28,-12,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:05:30,20.3,62.1,28,44,55,605,0,-12,-4,57,63,40,32,-13,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:05:45,20.3,62.3,27,43,54,605,0,-13,-4,57,48,28,26,-13,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:06:00,20.3,62.5,29,44,54,604,0,-13,-4,57,62,35,28,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:06:15,20.3,63,28,44,55,603,0,-13,-5,57,52,31,44,-13,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:06:30,20.3,62.9,29,45,56,601,0,-13,-4,57,58,33,44,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:06:45,20.3,62.9,30,46,57,598,0,-13,-5,57,44,46,26,-13,-5,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-08,00:07:00,20.4,63,29,46,58,594,0,-13,-5,57,58,33,38,-13,-4,57,0,0,25.015031,121.467788,0,0,0,0,0,0,0,0
