mins 0 , noise_error =0.7844827586206897
mins 1 , noise_error =0.8421052631578947
mins 2 , noise_error =0.8909090909090909
mins 3 , noise_error =0.8725490196078431
mins 4 , noise_error =0.9805825242718447
mins 5 , noise_error =1.0
mins 6 , noise_error =0.96
mins 7 , noise_error =0.8932038834951457
mins 8 , noise_error =0.8712871287128713
mins 9 , noise_error =0.9813084112149533
mins 10 , noise_error =0.9320388349514563
mins 11 , noise_error =0.900990099009901
mins 12 , noise_error =0.94
mins 13 , noise_error =0.8725490196078431
mins 14 , noise_error =0.8725490196078431
mins 15 , noise_error =0.81
mins 16 , noise_error =0.84
mins 17 , noise_error =0.7798165137614679
mins 18 , noise_error =0.7476635514018692
mins 19 , noise_error =0.4814814814814815
mins 20 , noise_error =0.30097087378640774
mins 21 , noise_error =0.576271186440678
mins 22 , noise_error =0.5752212389380531
mins 23 , noise_error =0.5929203539823009
mins 24 , noise_error =0.6697247706422018
mins 25 , noise_error =0.2934782608695652
mins 26 , noise_error =0.09090909090909094
mins 27 , noise_error =0.173469387755102
mins 28 , noise_error =0.3771929824561403
mins 29 , noise_error =0.6022727272727273
mins 30 , noise_error =0.44999999999999996
mins 31 , noise_error =0.8990825688073394
mins 32 , noise_error =0.8415841584158416
mins 33 , noise_error =0.8316831683168316
mins 34 , noise_error =0.7474747474747474
mins 35 , noise_error =0.7096774193548387
mins 36 , noise_error =0.8061224489795918
mins 37 , noise_error =0.5473684210526315
mins 38 , noise_error =0.37234042553191493
mins 39 , noise_error =0.37037037037037035
mins 40 , noise_error =0.8468468468468469
mins 41 , noise_error =0.6464646464646464
mins 42 , noise_error =0.6734693877551021
mins 43 , noise_error =0.9306930693069306
mins 44 , noise_error =0.8
mins 45 , noise_error =0.7727272727272727
mins 46 , noise_error =0.5321100917431192
mins 47 , noise_error =0.8823529411764706
mins 48 , noise_error =0.7171717171717171
mins 49 , noise_error =0.6145833333333333
mins 50 , noise_error =0.5825242718446602
mins 51 , noise_error =0.4838709677419355
mins 52 , noise_error =0.16666666666666663
mins 53 , noise_error =0.13978494623655913
mins 54 , noise_error =0.19480519480519476
mins 55 , noise_error =0.2716049382716049
mins 56 , noise_error =0.9622641509433962
mins 57 , noise_error =0.98
mins 58 , noise_error =0.38053097345132747
mins 59 , noise_error =0.6857142857142857
mins 60 , noise_error =0.989247311827957
mins 61 , noise_error =0.696969696969697
mins 62 , noise_error =0.5607476635514019
mins 63 , noise_error =0.9696969696969697
mins 64 , noise_error =0.3047619047619048
mins 65 , noise_error =0.0888888888888889
mins 66 , noise_error =0.13829787234042556
mins 67 , noise_error =0.11392405063291144
mins 68 , noise_error =0.8041237113402062
mins 69 , noise_error =0.5212765957446808
mins 70 , noise_error =0.9247311827956989
mins 71 , noise_error =0.9693877551020408
mins 72 , noise_error =0.96875
mins 73 , noise_error =0.8461538461538461
mins 74 , noise_error =0.8446601941747574
mins 75 , noise_error =0.9607843137254902
mins 76 , noise_error =1.0
mins 77 , noise_error =1.0
mins 78 , noise_error =0.9622641509433962
mins 79 , noise_error =0.9811320754716981
mins 80 , noise_error =0.9514563106796117
mins 81 , noise_error =0.8818181818181818
mins 82 , noise_error =0.691588785046729
mins 83 , noise_error =0.5
mins 84 , noise_error =0.9326923076923077
mins 85 , noise_error =0.9611650485436893
mins 86 , noise_error =1.0
mins 87 , noise_error =1.0
mins 88 , noise_error =1.0
mins 89 , noise_error =0.9626168224299065
mins 90 , noise_error =0.7961165048543689
mins 91 , noise_error =1.0
mins 92 , noise_error =1.0
mins 93 , noise_error =0.9908256880733946
mins 94 , noise_error =1.0
mins 95 , noise_error =0.9537037037037037
mins 96 , noise_error =0.8828828828828829
mins 97 , noise_error =0.9814814814814815
mins 98 , noise_error =0.9814814814814815
mins 99 , noise_error =0.9545454545454546
mins 100 , noise_error =0.9444444444444444
mins 101 , noise_error =0.8691588785046729
mins 102 , noise_error =0.8828828828828829
mins 103 , noise_error =0.9553571428571429
mins 104 , noise_error =1.0
mins 105 , noise_error =0.9913793103448276
mins 106 , noise_error =0.9732142857142857
mins 107 , noise_error =0.9826086956521739
mins 108 , noise_error =1.0
mins 109 , noise_error =0.9830508474576272
mins 110 , noise_error =0.9754098360655737
mins 111 , noise_error =0.9672131147540983
mins 112 , noise_error =0.9663865546218487
mins 113 , noise_error =1.0
mins 114 , noise_error =1.0
mins 115 , noise_error =0.9913793103448276
mins 116 , noise_error =1.0
mins 117 , noise_error =0.911504424778761
mins 118 , noise_error =0.7456140350877193
mins 119 , noise_error =0.9279279279279279
mins 120 , noise_error =0.990909090909091
mins 121 , noise_error =0.9739130434782609
mins 122 , noise_error =0.9557522123893806
mins 123 , noise_error =0.9636363636363636
mins 124 , noise_error =0.9444444444444444
mins 125 , noise_error =0.9107142857142857
mins 126 , noise_error =0.9739130434782609
mins 127 , noise_error =0.9818181818181818
mins 128 , noise_error =0.42727272727272725
mins 129 , noise_error =0.36036036036036034
mins 130 , noise_error =0.44036697247706424
mins 131 , noise_error =0.5663716814159292
mins 132 , noise_error =0.20588235294117652
mins 133 , noise_error =0.13
mins 134 , noise_error =0.23076923076923073
mins 135 , noise_error =0.5984251968503937
mins 136 , noise_error =0.8584905660377359
mins 137 , noise_error =0.8857142857142857
mins 138 , noise_error =0.9724770642201834
mins 139 , noise_error =0.9722222222222222
mins 140 , noise_error =0.9519230769230769
mins 141 , noise_error =0.9444444444444444
mins 142 , noise_error =0.8165137614678899
mins 143 , noise_error =0.9459459459459459
mins 144 , noise_error =0.926605504587156
mins 145 , noise_error =0.8
mins 146 , noise_error =0.8037383177570093
mins 147 , noise_error =0.8888888888888888
mins 148 , noise_error =0.9907407407407407
mins 149 , noise_error =1.0
mins 150 , noise_error =1.0
mins 151 , noise_error =1.0
mins 152 , noise_error =0.9711538461538461
mins 153 , noise_error =1.0
mins 154 , noise_error =1.0
mins 155 , noise_error =1.0
mins 156 , noise_error =0.9719626168224299
mins 157 , noise_error =1.0
mins 158 , noise_error =0.9705882352941176
mins 159 , noise_error =1.0
mins 160 , noise_error =0.9807692307692307
mins 161 , noise_error =0.970873786407767
mins 162 , noise_error =1.0
mins 163 , noise_error =1.0
mins 164 , noise_error =0.9411764705882353
mins 165 , noise_error =0.9313725490196079
mins 166 , noise_error =0.9903846153846154
mins 167 , noise_error =0.9903846153846154
mins 168 , noise_error =1.0
mins 169 , noise_error =1.0
mins 170 , noise_error =1.0
mins 171 , noise_error =1.0
mins 172 , noise_error =0.9702970297029703
mins 173 , noise_error =0.9811320754716981
mins 174 , noise_error =0.9807692307692307
mins 175 , noise_error =0.9519230769230769
mins 176 , noise_error =0.9900990099009901
mins 177 , noise_error =0.99
mins 178 , noise_error =0.9326923076923077
mins 179 , noise_error =0.8846153846153846
mins 180 , noise_error =0.9484536082474226
mins 181 , noise_error =1.0
mins 182 , noise_error =0.99
mins 183 , noise_error =1.0
mins 184 , noise_error =1.0
mins 185 , noise_error =1.0
mins 186 , noise_error =1.0
mins 187 , noise_error =1.0
mins 188 , noise_error =0.98989898989899
mins 189 , noise_error =1.0
mins 190 , noise_error =0.970873786407767
mins 191 , noise_error =1.0
mins 192 , noise_error =0.8613861386138614
mins 193 , noise_error =0.9313725490196079
mins 194 , noise_error =0.9795918367346939
mins 195 , noise_error =0.968421052631579
mins 196 , noise_error =0.979381443298969
mins 197 , noise_error =1.0
mins 198 , noise_error =0.9504950495049505
mins 199 , noise_error =0.9468085106382979
mins 200 , noise_error =1.0
mins 201 , noise_error =1.0
mins 202 , noise_error =1.0
mins 203 , noise_error =0.9705882352941176
mins 204 , noise_error =0.9902912621359223
mins 205 , noise_error =0.98
mins 206 , noise_error =0.9900990099009901
mins 207 , noise_error =1.0
mins 208 , noise_error =0.9805825242718447
mins 209 , noise_error =0.9801980198019802
mins 210 , noise_error =0.9801980198019802
mins 211 , noise_error =1.0
mins 212 , noise_error =1.0
mins 213 , noise_error =1.0
mins 214 , noise_error =1.0
mins 215 , noise_error =1.0
mins 216 , noise_error =0.9803921568627451
mins 217 , noise_error =0.8865979381443299
mins 218 , noise_error =0.9381443298969072
mins 219 , noise_error =0.9215686274509804
mins 220 , noise_error =0.8113207547169812
mins 221 , noise_error =0.7314814814814814
mins 222 , noise_error =0.5528455284552846
mins 223 , noise_error =0.5523809523809524
mins 224 , noise_error =0.6517857142857143
mins 225 , noise_error =0.4629629629629629
mins 226 , noise_error =0.5631067961165048
mins 227 , noise_error =0.69
mins 228 , noise_error =0.6060606060606061
mins 229 , noise_error =0.7040816326530612
mins 230 , noise_error =0.7575757575757576
mins 231 , noise_error =0.8617021276595744
mins 232 , noise_error =0.9148936170212766
mins 233 , noise_error =0.631578947368421
mins 234 , noise_error =0.6990291262135923
mins 235 , noise_error =0.968421052631579
mins 236 , noise_error =0.9574468085106383
mins 237 , noise_error =0.989247311827957
mins 238 , noise_error =0.9148936170212766
mins 239 , noise_error =0.8979591836734694
mins 240 , noise_error =0.9680851063829787
mins 241 , noise_error =0.7628865979381443
mins 242 , noise_error =0.8173076923076923
mins 243 , noise_error =0.8541666666666666
mins 244 , noise_error =0.9230769230769231
mins 245 , noise_error =1.0
mins 246 , noise_error =1.0
mins 247 , noise_error =0.8947368421052632
mins 248 , noise_error =1.0
mins 249 , noise_error =0.5471698113207547
mins 250 , noise_error =0.4285714285714286
mins 251 , noise_error =0.8041237113402062
mins 252 , noise_error =0.21999999999999997
mins 253 , noise_error =0.6931818181818181
mins 254 , noise_error =0.8539325842696629
mins 255 , noise_error =0.8910891089108911
mins 256 , noise_error =0.5546218487394958
mins 257 , noise_error =0.2566371681415929
mins 258 , noise_error =0.44036697247706424
mins 259 , noise_error =0.9428571428571428
mins 260 , noise_error =0.9906542056074766
mins 261 , noise_error =0.8504672897196262
mins 262 , noise_error =0.6228070175438596
mins 263 , noise_error =0.9734513274336283
mins 264 , noise_error =0.9818181818181818
mins 265 , noise_error =0.9439252336448598
mins 266 , noise_error =0.9741379310344828
mins 267 , noise_error =0.9035087719298246
mins 268 , noise_error =1.0
mins 269 , noise_error =1.0
mins 270 , noise_error =1.0
mins 271 , noise_error =1.0
mins 272 , noise_error =0.9813084112149533
mins 273 , noise_error =1.0
mins 274 , noise_error =1.0
mins 275 , noise_error =0.9541284403669725
mins 276 , noise_error =1.0
mins 277 , noise_error =1.0
mins 278 , noise_error =0.981651376146789
mins 279 , noise_error =0.8952380952380953
mins 280 , noise_error =1.0
mins 281 , noise_error =1.0
mins 282 , noise_error =1.0
mins 283 , noise_error =0.9904761904761905
mins 284 , noise_error =0.9803921568627451
mins 285 , noise_error =0.9809523809523809
mins 286 , noise_error =0.9722222222222222
mins 287 , noise_error =0.514018691588785
mins 288 , noise_error =0.9619047619047619
mins 289 , noise_error =0.9047619047619048
mins 290 , noise_error =0.970873786407767
mins 291 , noise_error =0.99
mins 292 , noise_error =0.98
mins 293 , noise_error =1.0
mins 294 , noise_error =0.981651376146789
mins 295 , noise_error =0.9711538461538461
mins 296 , noise_error =1.0
mins 297 , noise_error =0.9903846153846154
mins 298 , noise_error =0.9523809523809523
mins 299 , noise_error =0.9907407407407407
mins 300 , noise_error =0.9904761904761905
mins 301 , noise_error =0.9626168224299065
mins 302 , noise_error =1.0
mins 303 , noise_error =0.9814814814814815
mins 304 , noise_error =0.9819819819819819
mins 305 , noise_error =0.9649122807017544
mins 306 , noise_error =0.9819819819819819
mins 307 , noise_error =1.0
mins 308 , noise_error =0.956140350877193
mins 309 , noise_error =0.6822429906542056
mins 310 , noise_error =0.46031746031746035
mins 311 , noise_error =0.46153846153846156
mins 312 , noise_error =0.4818181818181818
mins 313 , noise_error =0.16842105263157892
mins 314 , noise_error =0.368
mins 315 , noise_error =0.7
mins 316 , noise_error =0.9615384615384616
mins 317 , noise_error =0.7523809523809524
mins 318 , noise_error =0.3298969072164949
mins 319 , noise_error =0.5950413223140496
mins 320 , noise_error =0.859504132231405
mins 321 , noise_error =0.5169491525423728
mins 322 , noise_error =0.6428571428571428
mins 323 , noise_error =0.8348623853211009
mins 324 , noise_error =0.9801980198019802
mins 325 , noise_error =0.9705882352941176
mins 326 , noise_error =0.9292929292929293
mins 327 , noise_error =1.0
mins 328 , noise_error =1.0
mins 329 , noise_error =0.9902912621359223
mins 330 , noise_error =0.98989898989899
mins 331 , noise_error =1.0
mins 332 , noise_error =1.0
mins 333 , noise_error =1.0
mins 334 , noise_error =0.9795918367346939
mins 335 , noise_error =0.970873786407767
mins 336 , noise_error =0.9801980198019802
mins 337 , noise_error =0.9591836734693877
mins 338 , noise_error =0.9803921568627451
mins 339 , noise_error =0.9803921568627451
mins 340 , noise_error =1.0
mins 341 , noise_error =1.0
mins 342 , noise_error =1.0
