mins 0 , noise_error =0.9805825242718447
mins 1 , noise_error =1.0
mins 2 , noise_error =0.9791666666666666
mins 3 , noise_error =0.9795918367346939
mins 4 , noise_error =1.0
mins 5 , noise_error =0.95
mins 6 , noise_error =0.9900990099009901
mins 7 , noise_error =0.9900990099009901
mins 8 , noise_error =0.9509803921568627
mins 9 , noise_error =0.9901960784313726
mins 10 , noise_error =0.9795918367346939
mins 11 , noise_error =1.0
mins 12 , noise_error =0.9509803921568627
mins 13 , noise_error =0.9587628865979382
mins 14 , noise_error =1.0
mins 15 , noise_error =1.0
mins 16 , noise_error =0.9896907216494846
mins 17 , noise_error =1.0
mins 18 , noise_error =1.0
mins 19 , noise_error =1.0
mins 20 , noise_error =0.9902912621359223
mins 21 , noise_error =0.9469026548672567
mins 22 , noise_error =0.9813084112149533
mins 23 , noise_error =1.0
mins 24 , noise_error =0.9902912621359223
mins 25 , noise_error =0.9166666666666666
mins 26 , noise_error =0.8571428571428572
mins 27 , noise_error =0.8407079646017699
mins 28 , noise_error =0.8396946564885497
mins 29 , noise_error =0.9396551724137931
mins 30 , noise_error =0.9813084112149533
mins 31 , noise_error =0.9811320754716981
mins 32 , noise_error =1.0
mins 33 , noise_error =1.0
mins 34 , noise_error =0.9626168224299065
mins 35 , noise_error =0.9795918367346939
mins 36 , noise_error =0.9537037037037037
mins 37 , noise_error =0.9444444444444444
mins 38 , noise_error =0.9528301886792453
mins 39 , noise_error =0.8380952380952381
mins 40 , noise_error =0.8411214953271028
mins 41 , noise_error =0.9074074074074074
mins 42 , noise_error =0.9545454545454546
mins 43 , noise_error =1.0
mins 44 , noise_error =0.9719626168224299
mins 45 , noise_error =0.9196428571428571
mins 46 , noise_error =0.9528301886792453
mins 47 , noise_error =0.9904761904761905
mins 48 , noise_error =1.0
mins 49 , noise_error =0.98
mins 50 , noise_error =0.9272727272727272
mins 51 , noise_error =0.88
mins 52 , noise_error =0.8514851485148515
mins 53 , noise_error =0.9591836734693877
mins 54 , noise_error =0.967741935483871
mins 55 , noise_error =1.0
mins 56 , noise_error =1.0
mins 57 , noise_error =0.9893617021276596
mins 58 , noise_error =0.978021978021978
mins 59 , noise_error =1.0
mins 60 , noise_error =1.0
mins 61 , noise_error =1.0
mins 62 , noise_error =1.0
mins 63 , noise_error =0.9019607843137255
mins 64 , noise_error =0.8962264150943396
mins 65 , noise_error =0.925531914893617
mins 66 , noise_error =0.9574468085106383
mins 67 , noise_error =1.0
mins 68 , noise_error =0.9782608695652174
mins 69 , noise_error =0.8137254901960784
mins 70 , noise_error =0.9272727272727272
mins 71 , noise_error =0.83
mins 72 , noise_error =0.8454545454545455
mins 73 , noise_error =1.0
mins 74 , noise_error =0.9514563106796117
mins 75 , noise_error =0.9021739130434783
mins 76 , noise_error =0.8709677419354839
mins 77 , noise_error =0.9347826086956522
mins 78 , noise_error =0.935483870967742
mins 79 , noise_error =0.875
mins 80 , noise_error =1.0
mins 81 , noise_error =0.975
mins 82 , noise_error =0.9772727272727273
mins 83 , noise_error =0.911504424778761
mins 84 , noise_error =0.978021978021978
mins 85 , noise_error =0.9662921348314607
mins 86 , noise_error =0.8631578947368421
mins 87 , noise_error =0.9074074074074074
mins 88 , noise_error =0.9574468085106383
mins 89 , noise_error =0.9693877551020408
mins 90 , noise_error =1.0
mins 91 , noise_error =1.0
mins 92 , noise_error =0.9622641509433962
mins 93 , noise_error =0.9117647058823529
mins 94 , noise_error =0.8942307692307693
mins 95 , noise_error =0.9711538461538461
mins 96 , noise_error =0.967391304347826
mins 97 , noise_error =0.9690721649484536
mins 98 , noise_error =0.8055555555555556
mins 99 , noise_error =0.8130841121495327
mins 100 , noise_error =0.8888888888888888
mins 101 , noise_error =0.9611650485436893
mins 102 , noise_error =0.9719626168224299
mins 103 , noise_error =0.8584070796460177
mins 104 , noise_error =0.9696969696969697
mins 105 , noise_error =0.9230769230769231
mins 106 , noise_error =0.9278350515463918
mins 107 , noise_error =0.96875
mins 108 , noise_error =0.9787234042553191
mins 109 , noise_error =0.9897959183673469
mins 110 , noise_error =0.9489795918367347
mins 111 , noise_error =0.87
mins 112 , noise_error =0.8
mins 113 , noise_error =0.7927927927927928
mins 114 , noise_error =0.9259259259259259
mins 115 , noise_error =0.88
mins 116 , noise_error =1.0
mins 117 , noise_error =0.9809523809523809
mins 118 , noise_error =1.0
mins 119 , noise_error =0.9906542056074766
