Year,Month,Day,Hour,StnPres,SeaPres,Temperature,Td.dew.point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud.Amount
2018,9,17,0,1009.8,1011,26.7,22.6,78,1.3,200,2.7,210,0,0,...,0,...,...,...
2018,9,17,1,1009.6,1010.8,26.3,22.4,79,1.9,190,3.7,180,0,0,...,0,15,...,8
2018,9,17,2,1009.7,1010.9,26.5,22.2,77,0.2,0,3.5,200,0,0,...,0,...,...,...
2018,9,17,3,1010.3,1011.5,26.1,22.3,80,0.9,210,2,240,0,0,...,0,...,...,...
2018,9,17,4,1010.6,1011.8,26,22.3,80,0.8,200,2.5,210,0,0,...,0,20,...,4
2018,9,17,5,1011.1,1012.3,25.9,22.2,80,1.2,200,2.7,240,0,0,0,0,...,...,...
2018,9,17,6,1011.5,1012.7,26.5,22.7,80,1.2,230,2.5,250,0,0,0.6,0.32,...,...,...
2018,9,17,7,1011.7,1012.9,29.1,24,74,0.1,0,1.9,250,0,0,0.2,0.03,25,...,2
2018,9,17,8,1011.9,1013.1,30.6,23,64,0.5,100,2.1,280,0,0,0.6,1.3,25,...,2
2018,9,17,9,1011.6,1012.8,34,24.4,57,1.2,240,2.7,230,0,0,1,2.66,...,...,...
2018,9,17,10,1011.1,1012.3,34.5,25,58,0.2,0,3.2,300,0,0,1,3,25,...,5
2018,9,17,11,1010.1,1011.3,35.8,25,54,2,260,3.2,20,0,0,1,3.27,...,...,...
2018,9,17,12,1009.3,1010.5,35.3,24.2,53,0.6,200,3.3,300,0,0,0.9,2.91,...,...,...
2018,9,17,13,1008.8,1010,36,24.7,52,1.1,280,3.2,320,0,0,1,2.79,25,...,3
2018,9,17,14,1008.8,1010,35.5,24.2,52,2.4,10,4.6,350,0,0,1,2.41,...,...,...
2018,9,17,15,1009.2,1010.4,34.5,23.5,53,1.9,30,5.3,350,0,0,1,1.61,...,...,...
2018,9,17,16,1009.9,1011.1,33,23.3,57,1.7,10,4.5,350,0,0,0.9,0.76,20,...,5
2018,9,17,17,1010.5,1011.7,31.2,24.1,66,0.3,330,3.4,350,0,0,0,0,...,...,...
2018,9,17,18,1011.4,1012.6,30.6,23.7,67,1.9,60,4,70,0,0,0,0,...,...,...
2018,9,17,19,1012.3,1013.5,30.4,23.7,67,1.4,50,3.4,80,0,0,...,0,20,...,9
2018,9,17,20,1013.3,1014.5,30.2,23.5,67,1,40,3.8,80,0,0,...,0,20,...,6
2018,9,17,21,1013.7,1014.9,28.9,23.7,74,1.2,190,3.8,60,0,0,...,0,...,...,...
2018,9,17,22,1013.8,1015,28.7,23.4,73,1.3,200,3.7,200,0,0,...,0,20,...,3
2018,9,17,23,1014,1015.2,28.8,23.4,73,0.8,220,2.5,190,0,0,...,0,...,...,...
2018,9,18,0,1013.9,1015.1,28.3,23.4,75,1.6,210,3.1,170,0,0,...,0,...,...,...
2018,9,18,1,1013.2,1014.4,27.9,23.5,77,1.5,210,3.5,220,0,0,...,0,15,...,3
2018,9,18,2,1013.3,1014.5,28,23.3,76,1,210,3.2,220,0,0,...,0,...,...,...
2018,9,18,3,1013.4,1014.6,27.7,23.1,76,0.7,230,2.6,180,0,0,...,0,...,...,...
2018,9,18,4,1013.6,1014.8,27.2,22.9,77,0.6,230,2,210,0,0,...,0,15,...,8
2018,9,18,5,1013.5,1014.7,26.7,22.8,79,1.1,250,2,230,0,0,0,0,...,...,...
2018,9,18,6,1013.8,1015,27.8,23.1,76,0.3,350,2.2,350,0,0,0.6,0.33,...,...,...
2018,9,18,7,1013.9,1015.1,29.8,24,71,0.7,130,2.2,70,0,0,0.1,0.6,20,...,8
2018,9,18,8,1014,1015.2,30.7,23.3,65,1.8,60,3.7,50,0,0,0.6,1.52,20,...,8
2018,9,18,9,1013.7,1014.9,32.5,24.6,63,1.9,60,5.4,80,0,0,1,2.62,...,...,...
2018,9,18,10,1012.8,1014,34.3,24.8,58,2.8,60,6.1,30,0,0,1,3.03,25,...,5
2018,9,18,11,1012,1013.2,34.5,23.7,54,2,50,6.3,50,0,0,1,3.39,...,...,...
2018,9,18,12,1011,1012.2,35.1,23.7,52,2.5,70,8.1,60,0,0,1,3.6,...,...,...
2018,9,18,13,1010.4,1011.6,34.7,24.1,54,3.2,60,9,80,0,0,1,3.18,25,...,3
2018,9,18,14,1010.2,1011.4,33.5,23.5,56,3.5,70,9.2,70,0,0,1,2.6,...,...,...
2018,9,18,15,1010,1011.2,32.3,22.2,55,3.3,70,8.7,70,0,0,1,1.81,...,...,...
2018,9,18,16,1010.2,1011.4,31.1,21.6,57,4.3,60,10.3,70,0,0,1,0.92,30,...,2
2018,9,18,17,1010.8,1012,30.2,21.3,59,4,60,8.9,90,0,0,0.6,0.17,...,...,...
2018,9,18,18,1011.6,1012.8,29.7,21.5,61,3.5,60,7.2,60,0,0,0,0,...,...,...
2018,9,18,19,1012.3,1013.5,29.6,21.6,62,2.9,60,7.7,60,0,0,...,0,30,...,0
2018,9,18,20,1013.3,1014.5,29.4,21.7,63,2.3,70,7.1,60,0,0,...,0,30,...,0
2018,9,18,21,1013.3,1014.5,29.2,21.6,64,2.9,70,6.2,70,0,0,...,0,...,...,...
2018,9,18,22,1013,1014.2,29.3,21.5,63,2.7,60,5.8,40,0,0,...,0,30,...,1
2018,9,18,23,1012.8,1014,29,21.6,64,2.3,70,7,70,0,0,...,0,...,...,...
2018,9,19,0,1012.2,1013.4,28.6,21.7,66,1.6,50,6,50,0,0,...,0,...,...,...
2018,9,19,1,1011.7,1012.9,28.4,21.7,67,2.7,60,5.8,80,0,0,...,0,30,...,1
2018,9,19,2,1011.2,1012.4,28,21.5,68,2.6,60,4.8,50,0,0,...,0,...,...,...
2018,9,19,3,1011,1012.2,27.7,20.9,67,3.2,60,6.5,70,0,0,...,0,...,...,...
2018,9,19,4,1011.2,1012.4,27.5,20.8,67,3.3,70,6.3,70,0,0,...,0,30,...,1
2018,9,19,5,1011.7,1012.9,27.3,20.8,68,1.6,60,5.2,90,0,0,0,0,...,...,...
2018,9,19,6,1011.9,1013.1,27.9,21,66,2.6,60,5.8,90,0,0,0.6,0.29,...,...,...
2018,9,19,7,1012.3,1013.5,29.5,22.3,65,1.3,60,5.5,70,0,0,0.4,0.6,30,...,0
2018,9,19,8,1012.1,1013.3,30.7,21.6,58,1.3,60,4.3,90,0,0,0.6,1.32,30,...,0
2018,9,19,9,1011.7,1012.9,32.6,22.8,56,1.3,50,4.7,30,0,0,1,2.76,...,...,...
2018,9,19,10,1011.2,1012.4,33.7,23.1,54,2.7,60,5.3,90,0,0,1,3.29,25,...,1
2018,9,19,11,1010.7,1011.9,33.7,23.4,55,1.8,60,5.7,40,0,0,1,3.6,...,...,...
2018,9,19,12,1010.2,1011.4,34.1,23.1,53,3.3,60,10.1,30,0,0,1,3.6,...,...,...
2018,9,19,13,1009.4,1010.6,33.6,23.1,54,1.7,60,6.8,70,0,0,1,3.11,25,...,1
2018,9,19,14,1008.9,1010.1,33.6,22.9,54,3.8,60,8.1,60,0,0,1,2.48,...,...,...
2018,9,19,15,1008.7,1009.9,32.7,22.4,55,2.6,60,6.3,70,0,0,1,1.61,...,...,...
2018,9,19,16,1009,1010.2,31.4,22.1,58,1.8,60,7.1,90,0,0,1,0.79,25,...,1
2018,9,19,17,1009.3,1010.5,30.2,21.4,59,3.3,70,7,70,0,0,0.4,0.1,...,...,...
2018,9,19,18,1009.8,1011,29.6,21.3,61,2.6,60,6,80,0,0,0,0,...,...,...
2018,9,19,19,1010.2,1011.4,29,21.2,63,1.2,40,5.1,50,0,0,...,0,25,...,1
2018,9,19,20,1010.8,1012,28.8,21.3,64,2.2,60,4.9,60,0,0,...,0,22,...,1
2018,9,19,21,1010.9,1012.1,28.6,21.3,65,1.4,60,4.5,70,0,0,...,0,...,...,...
2018,9,19,22,1010.4,1011.6,27.9,21.3,67,1.5,60,4.4,80,0,0,...,0,20,...,1
2018,9,19,23,1009.9,1011.1,27.6,21.2,68,1,40,3.3,70,0,0,...,0,...,...,...
2018,9,20,0,1009.4,1010.6,26.7,20.9,71,0.4,240,2.4,80,0,0,...,0,...,...,...
2018,9,20,1,1008.7,1009.9,26,21,74,0.9,V,3.1,80,0,0,...,0,20,...,1
2018,9,20,2,1008.7,1009.9,25,20.9,78,1.5,200,3,200,0,0,...,0,...,...,...
2018,9,20,3,1008.9,1010.1,24.8,20.5,77,1.6,200,3.2,190,0,0,...,0,...,...,...
2018,9,20,4,1009.3,1010.5,24.8,20,75,1.4,200,3.7,200,0,0,...,0,15,...,8
2018,9,20,5,1009.7,1010.9,25,20,74,1.2,200,3.1,190,0,0,0,0,...,...,...
2018,9,20,6,1010.4,1011.6,25.4,20.8,76,1.3,200,2.6,220,0,0,0.1,0.23,...,...,...
2018,9,20,7,1010.6,1011.8,27.6,21.7,70,1.2,250,2.1,200,0,0,X,0.6,18,...,0
2018,9,20,8,1010.6,1011.8,29.5,21.8,63,0.7,310,2.3,220,0,0,0.6,1.31,18,...,0
2018,9,20,9,1010.2,1011.4,31.4,24,65,2.2,210,4.7,230,0,0,1,2.32,...,...,...
2018,9,20,10,1009.4,1010.6,32.9,24.5,61,1.6,220,3.8,240,0,0,1,3.02,15,...,2
2018,9,20,11,1008.7,1009.9,32.8,24.2,61,1.7,230,4.4,220,0,0,0.9,3.18,...,...,...
2018,9,20,12,1008.1,1009.3,32.7,25.4,66,2.3,360,4.6,20,0,0,0.8,2.93,...,...,...
2018,9,20,13,1007.8,1009,33,25,63,1.8,350,7.6,360,0,0,0.6,2.07,10,...,4
2018,9,20,14,1007.7,1008.9,31.9,24.6,65,2.4,20,5.8,10,0,0,0.4,1.22,...,...,...
2018,9,20,15,1008,1009.2,31.3,24.1,66,2,30,5.5,330,0,0,0.4,0.9,...,...,...
2018,9,20,16,1008.4,1009.6,30.3,23.8,68,1.2,20,4.6,50,0,0,0,0.3,12,...,9
2018,9,20,17,1008.7,1009.9,29.6,23.2,69,0.6,20,3.4,350,0,0,0,0,...,...,...
2018,9,20,18,1009.2,1010.4,29.1,23.2,71,0.5,40,2,50,0,0,0,0,...,...,...
2018,9,20,19,1009.6,1010.8,29.1,23.4,71,1.4,230,2.6,220,0,0,...,0,10,...,6
2018,9,20,20,1010.3,1011.5,28.4,23.4,74,0.9,240,2.3,250,0,0,...,0,10,...,4
2018,9,20,21,1010.5,1011.7,27.6,23.3,77,0.9,210,3,80,0,0,...,0,...,...,...
2018,9,20,22,1010.4,1011.6,27.3,22.9,77,0.9,200,2.1,190,0,0,...,0,8,...,2
2018,9,20,23,1010.2,1011.4,27,22.6,77,0.6,220,2.3,210,0,0,...,0,...,...,...
2018,9,21,0,1009.9,1011.1,26.6,22.8,80,0.7,210,2.4,210,0,0,...,0,...,...,...
2018,9,21,1,1009.8,1011,26.3,22.4,79,1.4,200,2.3,190,0,0,...,0,8,...,6
2018,9,21,2,1009.9,1011.1,26.3,22.4,79,0.9,220,2.7,200,0,0,...,0,...,...,...
2018,9,21,3,1010.1,1011.3,26,22.1,79,1.8,190,3.7,210,0,0,...,0,...,...,...
2018,9,21,4,1010.2,1011.4,26.4,22.1,77,1.1,210,3.3,180,0,0,...,0,7,...,9
2018,9,21,5,1010.6,1011.8,26.3,22.1,78,0.9,230,2.5,190,0,0,0,0,...,...,...
2018,9,21,6,1010.8,1012,26.5,22.5,79,1.1,200,3,200,0,0,0.1,0.2,...,...,...
2018,9,21,7,1011,1012.2,28.5,23.1,73,0.9,240,2.7,230,0,0,X,0.6,10,...,1
2018,9,21,8,1010.9,1012.1,29.6,22.9,67,0.6,180,4.3,200,0,0,0.6,1.41,10,...,1
2018,9,21,9,1010.6,1011.8,32.1,23.8,62,2.1,230,5.6,220,0,0,1,2.51,...,...,...
2018,9,21,10,1010.2,1011.4,33.1,22.1,53,2.7,250,6,220,0,0,0.8,2.46,20,...,4
2018,9,21,11,1009.7,1010.9,32.4,23.3,59,2.2,270,7,280,0,0,0.5,2.22,...,...,...
2018,9,21,12,1009.3,1010.5,32.4,23.2,58,1.7,270,5.5,270,0,0,0.5,2.21,...,...,...
