datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,lab_id,cPM1,cPM2.5
2018-10-02 00:00:00,0C9A4249DBBC,2018-10-02,00:00:00,27.8,59.2,25,36,43,441,1,-1,-65,-1,75,76,64,0,-65,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.663,17.284
2018-10-02 00:00:15,0C9A4249DBBC,2018-10-02,00:00:15,27.8,59.2,25,35,43,439,1,-2,-64,-1,17,16,19,-1,-66,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.663,16.86
2018-10-02 00:00:30,0C9A4249DBBC,2018-10-02,00:00:30,27.8,59.2,24,35,43,436,1,-1,-66,0,106,120,103,-1,-64,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.058999999999997,16.86
2018-10-02 00:00:45,0C9A4249DBBC,2018-10-02,00:00:45,27.8,59.3,25,35,44,435,1,-1,-64,-1,84,92,84,-1,-66,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.663,16.86
2018-10-02 00:01:00,0C9A4249DBBC,2018-10-02,00:01:00,27.8,59.2,25,35,42,435,1,-1,-66,-1,87,76,92,-2,-66,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.663,16.86
2018-10-02 00:01:15,0C9A4249DBBC,2018-10-02,00:01:15,27.7,59.3,26,35,43,434,1,-2,-66,-1,86,93,88,-2,-65,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.86,16.86
2018-10-02 00:01:30,0C9A4249DBBC,2018-10-02,00:01:30,27.7,59.3,25,35,41,434,1,-2,-65,-1,89,98,100,-1,-65,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.663,16.86
2018-10-02 00:01:45,0C9A4249DBBC,2018-10-02,00:01:45,27.7,59.3,25,35,42,433,1,-1,-65,-1,91,83,85,-2,-66,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,16.663,16.86
2018-10-02 00:02:00,0C9A4249DBBC,2018-10-02,00:02:00,27.8,59.3,26,36,43,433,1,-2,-66,0,95,99,104,-1,-65,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,17.267,17.284
2018-10-02 00:02:15,0C9A4249DBBC,2018-10-02,00:02:15,27.7,59.3,27,38,45,432,1,-1,-65,0,84,90,86,-1,-67,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0228,AS_Lung_I,17.871,18.131999999999998
