datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,lab_id,cPM1,cPM2.5
2018-10-08 00:00:41,F0038CE7A9EB,2018-10-08,00:00:41,24.7,75.3,22,34,36,519,64,4,-1,63,8,4,4,4,-1,63,24.5,70.8,25.039288,121.61293899999998,0,0,0,0,500,462,517,0,AL-0160,AS_Lung_O,13.035000000000002,15.713000000000001
2018-10-08 00:01:03,F0038CE7A9EB,2018-10-08,00:01:03,24.7,75.3,24,35,39,530,64,4,-1,63,22,8,6,4,-1,63,24.5,70.7,25.039288,121.61293899999998,0,0,0,0,496,459,507,0,AL-0160,AS_Lung_O,14.133000000000003,16.15
2018-10-08 00:02:41,F0038CE7A9EB,2018-10-08,00:02:41,24.8,75.2,25,36,40,536,64,4,-1,63,20,4,16,4,-1,63,24.5,70.8,25.039288,121.61293899999998,0,0,0,0,501,462,515,0,AL-0160,AS_Lung_O,14.682000000000002,16.587
2018-10-08 00:03:41,F0038CE7A9EB,2018-10-08,00:03:41,24.8,75.2,24,36,42,518,64,3,-1,63,19,6,22,4,-1,63,24.5,70.9,25.039288,121.61293899999998,0,0,0,0,500,463,517,0,AL-0160,AS_Lung_O,14.133000000000003,16.587
2018-10-08 00:04:41,F0038CE7A9EB,2018-10-08,00:04:41,24.8,75.2,25,39,46,528,64,4,-1,63,24,6,16,4,-1,63,24.4,70.9,25.039288,121.61293899999998,0,0,0,0,502,463,516,0,AL-0160,AS_Lung_O,14.682000000000002,17.898
2018-10-08 00:05:41,F0038CE7A9EB,2018-10-08,00:05:41,24.8,75.2,25,37,41,531,64,4,-1,63,22,12,10,4,-1,63,24.5,70.9,25.039288,121.61293899999998,0,0,0,0,499,463,516,0,AL-0160,AS_Lung_O,14.682000000000002,17.024
2018-10-08 00:06:41,F0038CE7A9EB,2018-10-08,00:06:41,24.8,75.2,24,37,43,535,64,4,-1,63,18,8,2,4,-1,63,24.5,70.9,25.039288,121.61293899999998,0,0,0,0,501,465,517,0,AL-0160,AS_Lung_O,14.133000000000003,17.024
2018-10-08 00:07:41,F0038CE7A9EB,2018-10-08,00:07:41,24.7,75.3,24,36,39,537,64,4,-1,63,18,4,10,4,-1,63,24.5,70.9,25.039288,121.61293899999998,0,0,0,0,499,463,516,0,AL-0160,AS_Lung_O,14.133000000000003,16.587
2018-10-08 00:08:41,F0038CE7A9EB,2018-10-08,00:08:41,24.8,75.3,23,34,39,501,64,4,-1,63,8,8,4,4,-1,63,24.5,70.9,25.039288,121.61293899999998,0,0,0,0,501,462,518,0,AL-0160,AS_Lung_O,13.584000000000001,15.713000000000001
2018-10-08 00:09:41,F0038CE7A9EB,2018-10-08,00:09:41,24.7,75.3,25,37,43,511,64,4,-1,63,8,6,10,4,-1,63,24.5,70.9,25.039288,121.61293899999998,0,0,0,0,501,463,517,0,AL-0160,AS_Lung_O,14.682000000000002,17.024
