"Season","AL_Type","datatime","date","time","sht_t","sht_h","co2","cPM1","cPM2.5"
0,2,"2018-10-08 00:00:00","2018-10-08","00:00:00",26.7,71.4,420,14.307,15.182
0,2,"2018-10-08 00:00:15","2018-10-08","00:00:15",26.7,71.4,419,13.708,14.278
0,2,"2018-10-08 00:00:30","2018-10-08","00:00:30",26.7,71.3,417,13.708,14.278
0,2,"2018-10-08 00:00:45","2018-10-08","00:00:45",26.8,71.3,417,13.708,13.826
0,2,"2018-10-08 00:01:00","2018-10-08","00:01:00",26.8,71.2,415,13.708,13.826
0,2,"2018-10-08 00:01:15","2018-10-08","00:01:15",26.8,71.2,414,13.708,13.826
0,2,"2018-10-08 00:01:30","2018-10-08","00:01:30",26.8,71.2,414,13.708,13.826
0,2,"2018-10-08 00:01:45","2018-10-08","00:01:45",26.8,71.2,414,13.109,13.826
0,2,"2018-10-08 00:02:00","2018-10-08","00:02:00",26.8,71.1,414,13.109,13.826
0,2,"2018-10-08 00:02:15","2018-10-08","00:02:15",26.8,71,414,13.109,13.826
0,2,"2018-10-08 00:02:30","2018-10-08","00:02:30",26.8,71.1,413,13.109,13.826
0,2,"2018-10-08 00:02:45","2018-10-08","00:02:45",26.8,71,413,13.708,14.278
0,2,"2018-10-08 00:03:00","2018-10-08","00:03:00",26.8,71,413,13.708,13.826
0,2,"2018-10-08 00:03:15","2018-10-08","00:03:15",26.8,71.2,413,13.708,14.278
0,2,"2018-10-08 00:03:30","2018-10-08","00:03:30",26.8,71.3,412,13.708,14.73
0,2,"2018-10-08 00:03:45","2018-10-08","00:03:45",26.7,71.3,411,13.708,14.278
0,2,"2018-10-08 00:04:00","2018-10-08","00:04:00",26.8,71.3,411,13.708,14.278
0,2,"2018-10-08 00:04:15","2018-10-08","00:04:15",26.8,71.2,411,13.708,13.826
0,2,"2018-10-08 00:04:30","2018-10-08","00:04:30",26.8,71.1,411,13.708,14.278
0,2,"2018-10-08 00:04:45","2018-10-08","00:04:45",26.8,71.1,411,13.708,14.73
0,2,"2018-10-08 00:05:00","2018-10-08","00:05:00",26.8,71.1,411,13.708,15.182
0,2,"2018-10-08 00:05:15","2018-10-08","00:05:15",26.8,71.1,411,13.109,15.182
0,2,"2018-10-08 00:05:30","2018-10-08","00:05:30",26.8,71.1,411,13.109,14.73
0,2,"2018-10-08 00:05:45","2018-10-08","00:05:45",26.8,71.2,411,13.109,15.182
0,2,"2018-10-08 00:06:00","2018-10-08","00:06:00",26.7,71.3,411,13.708,14.73
0,2,"2018-10-08 00:06:15","2018-10-08","00:06:15",26.7,71.3,411,13.708,14.73
0,2,"2018-10-08 00:06:30","2018-10-08","00:06:30",26.8,71.3,411,13.109,14.278
0,2,"2018-10-08 00:06:45","2018-10-08","00:06:45",26.8,71.3,410,13.109,14.278
0,2,"2018-10-08 00:07:00","2018-10-08","00:07:00",26.8,71.2,411,13.109,14.278
0,2,"2018-10-08 00:07:15","2018-10-08","00:07:15",26.7,71.3,410,13.109,14.278
0,2,"2018-10-08 00:07:30","2018-10-08","00:07:30",26.7,71.3,411,13.708,15.182
0,2,"2018-10-08 00:07:45","2018-10-08","00:07:45",26.8,71.2,410,13.109,14.73
0,2,"2018-10-08 00:08:00","2018-10-08","00:08:00",26.8,71.2,410,13.109,15.182
0,2,"2018-10-08 00:08:15","2018-10-08","00:08:15",26.8,71.2,410,13.109,14.73
