"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-09 00:00~4","LA020",1,3,24.3,65.445,4.0252,4.8629,762.55
"2019-03-09 00:05~9","LA020",1,3,24.3,65.4,3.9734,4.4366,765.2
"2019-03-09 00:10~4","LA020",1,3,24.3,65.41,3.7403,4.4975,761.9
"2019-03-09 00:15~9","LA020",1,3,24.3,65.47,3.8439,4.4772,756.2
"2019-03-09 00:20~4","LA020",1,3,24.3,65.495,3.9993,4.7411,746.6
"2019-03-09 00:25~9","LA020",1,3,24.3,65.49,4.1029,4.6802,743.7
"2019-03-09 00:30~4","LA020",1,3,24.285,65.495,3.9734,4.5787,743.1
"2019-03-09 00:35~9","LA020",1,3,24.285,65.495,3.7403,4.3351,737.55
"2019-03-09 00:40~4","LA020",1,3,24.295,65.5,4.0511,4.9035,734.95
"2019-03-09 00:45~9","LA020",1,3,24.285,65.43,3.6626,4.4163,742.65
"2019-03-09 00:50~4","LA020",1,3,24.285,65.39,3.9216,4.6802,748.15
"2019-03-09 00:55~9","LA020",1,3,24.295,65.395,3.8957,4.5584,749.45
"2019-03-09 01:00~4","LA020",1,3,24.285,65.415,4.2324,4.8223,748.15
"2019-03-09 01:05~9","LA020",1,3,24.2052631578947,65.5263157894737,4.3768947368421,5.02636842105263,769.210526315789
"2019-03-09 01:10~4","LA020",1,3,24.225,66.155,4.3619,4.9238,804.15
"2019-03-09 01:15~9","LA020",1,3,24.2,65.785,4.6932,5.3704,816
"2019-03-09 01:20~4","LA020",1,3,24.2578947368421,65.6105263157895,5.14026315789474,5.8811052631579,808.526315789474
"2019-03-09 01:25~9","LA020",1,3,24.275,65.5,5.3202,6.1215,806.45
"2019-03-09 01:30~4","LA020",1,3,24.2473684210526,65.3684210526316,5.52194736842105,6.26573684210526,795.157894736842
"2019-03-09 01:35~9","LA020",1,3,24.255,65.31,6.0454,6.8523,790.95
"2019-03-09 01:40~4","LA020",1,3,24.215,65.37,6.6152,7.1568,779.6
"2019-03-09 01:45~9","LA020",1,3,24.235,65.38,6.5634,7.3801,770.65
"2019-03-09 01:50~4","LA020",1,3,24.27,65.395,6.6077,7.2786,764.7
"2019-03-09 01:55~9","LA020",1,3,24.225,65.51,6.8483,7.6643,764.45
"2019-03-09 02:00~4","LA020",1,3,24.2,65.62,6.789,7.3598,764.8
"2019-03-09 02:05~9","LA020",1,3,24.2,65.5368421052632,7.15773684210526,7.86836842105263,752.578947368421
"2019-03-09 02:10~4","LA020",1,3,24.205,65.395,7.6512,8.1921,744.55
"2019-03-09 02:15~9","LA020",1,3,24.2,65.385,7.4699,7.9485,742.15
"2019-03-09 02:20~4","LA020",1,3,24.2,65.42,7.6253,8.1312,732.85
"2019-03-09 02:25~9","LA020",1,3,24.2,65.4,7.0296,7.8673,728.95
"2019-03-09 02:30~4","LA020",1,3,24.2,65.3736842105263,7.21226315789474,7.82563157894737,730.789473684211
"2019-03-09 02:35~9","LA020",1,3,24.2,65.315,7.2627,7.8064,734.75
"2019-03-09 02:40~4","LA020",1,3,24.2,65.285,7.2496,7.6643,727.9
"2019-03-09 02:45~9","LA020",1,3,24.2,65.26,7.0296,7.8064,726.85
"2019-03-09 02:50~4","LA020",1,3,24.2,65.225,6.926,7.5831,723.75
"2019-03-09 02:55~9","LA020",1,3,24.2,65.255,6.7447,7.4004,719.35
"2019-03-09 03:00~4","LA020",1,3,24.2,65.2736842105263,6.47615789473684,7.24868421052632,719.263157894737
"2019-03-09 03:05~9","LA020",1,3,24.2,65.31,6.4857,7.1771,717.05
"2019-03-09 03:10~4","LA020",1,3,24.205,65.285,6.5097,7.035,709.15
"2019-03-09 03:15~9","LA020",1,3,24.2,65.2631578947368,6.06721052631579,6.77857894736842,707.105263157895
"2019-03-09 03:20~4","LA020",1,3,24.21,65.275,6.2785,6.7914,708.1
"2019-03-09 03:25~9","LA020",1,3,24.21,65.22,5.8123,6.4869,707.9
"2019-03-09 03:30~4","LA020",1,3,24.2,65.33,5.8641,6.426,710
"2019-03-09 03:35~9","LA020",1,3,24.205,65.335,5.631,6.5072,710.9
"2019-03-09 03:40~4","LA020",1,3,24.245,65.285,5.4756,6.2027,712.3
"2019-03-09 03:45~9","LA020",1,3,24.2315789473684,65.2157894736842,5.38563157894737,5.96657894736842,720.894736842105
"2019-03-09 03:50~4","LA020",1,3,24.275,65.205,5.0871,5.9388,724.2
"2019-03-09 03:55~9","LA020",1,3,24.265,65.155,5.1648,5.7764,729.55
"2019-03-09 04:00~4","LA020",1,3,24.27,65.19,4.8281,5.5734,732.35
"2019-03-09 04:05~9","LA020",1,3,24.2894736842105,65.1736842105263,5.03121052631579,5.56057894736842,735.421052631579
"2019-03-09 04:10~4","LA020",1,3,24.285,65.2,4.9317,5.4922,742.5
"2019-03-09 04:15~9","LA020",1,3,24.26,65.195,5.1907,5.8373,746.4
"2019-03-09 04:20~4","LA020",1,3,24.275,65.14,5.1389,5.7764,751.45
"2019-03-09 04:25~9","LA020",1,3,24.26,65.125,4.7968,5.3704,755.95
"2019-03-09 04:30~4","LA020",1,3,24.2526315789474,65.1894736842105,5.14026315789474,5.68878947368421,761.368421052632
"2019-03-09 04:35~9","LA020",1,3,24.27,65.2,5.3461,5.9185,764
"2019-03-09 04:40~4","LA020",1,3,24.25,65.18,5.4238,6.1215,767.95
"2019-03-09 04:45~9","LA020",1,3,24.27,65.185,5.4497,6.1824,770.95
"2019-03-09 04:50~4","LA020",1,3,24.2368421052632,65.2,5.82184210526316,6.54352631578947,771.894736842105
"2019-03-09 04:55~9","LA020",1,3,24.21,65.245,5.89,6.6899,772.3
"2019-03-09 05:00~4","LA020",1,3,24.2368421052632,65.321052631579,6.44689473684211,7.01363157894737,764.421052631579
"2019-03-09 05:05~9","LA020",1,3,24.2,65.43,6.6929,7.5019,758.9
"2019-03-09 05:10~4","LA020",1,3,24.2,65.535,6.9519,7.7658,749.4
"2019-03-09 05:15~9","LA020",1,3,24.2,65.42,7.1591,7.7455,745.35
"2019-03-09 05:20~4","LA020",1,3,24.2,65.35,7.3791,8.05,739.15
"2019-03-09 05:25~9","LA020",1,3,24.225,65.325,7.3663,7.9485,733.15
"2019-03-09 05:30~4","LA020",1,3,24.245,65.305,7.185,8.0094,730.95
"2019-03-09 05:35~9","LA020",1,3,24.255,65.295,7.185,8.1312,726.35
"2019-03-09 05:40~4","LA020",1,3,24.235,65.275,7.2368,7.7049,729.3
"2019-03-09 05:45~9","LA020",1,3,24.225,65.255,7.1073,7.847,728.55
"2019-03-09 05:50~4","LA020",1,3,24.23,65.245,7.2699,7.8267,730.25
"2019-03-09 05:55~9","LA020",1,3,24.23,65.265,7.4699,8.1312,730.1
"2019-03-09 06:00~4","LA020",1,3,24.24,65.245,6.926,7.7861,731
"2019-03-09 06:05~9","LA020",1,3,24.25,65.24,6.9778,7.7049,732.4
"2019-03-09 06:10~4","LA020",1,3,24.275,65.28,7.2886,8.0297,737.1
"2019-03-09 06:15~9","LA020",1,3,24.23,65.29,7.0037,7.8064,736.8
"2019-03-09 06:20~4","LA020",1,3,24.205,65.28,7.1073,7.7861,738.2
"2019-03-09 06:25~9","LA020",1,3,24.24,65.225,6.6411,7.5019,743.35
"2019-03-09 06:30~4","LA020",1,3,24.205,65.305,7.2109,7.9688,746
"2019-03-09 06:35~9","LA020",1,3,24.22,65.275,7.185,7.847,742.45
"2019-03-09 06:40~4","LA020",1,3,24.21,65.255,7.2627,7.9079,744.9
"2019-03-09 06:45~9","LA020",1,3,24.2263157894737,65.2473684210526,7.10321052631579,7.82563157894737,746.578947368421
"2019-03-09 06:50~4","LA020",1,3,24.2,65.37,7.1073,7.7861,750.4
"2019-03-09 06:55~9","LA020",1,3,24.215,65.395,6.6373,7.4004,771.45
"2019-03-09 07:00~4","LA020",1,3,24.215,65.41,6.8149,7.5831,789.8
"2019-03-09 07:05~9","LA020",1,3,24.235,65.41,6.7188,7.3801,799.8
"2019-03-09 07:10~4","LA020",1,3,24.205,65.395,6.6651,7.2989,813.35
"2019-03-09 07:15~9","LA020",1,3,24.2,65.45,6.6411,7.4207,827.35
"2019-03-09 07:20~4","LA020",1,3,24.21,65.525,7.703,8.3342,856.3
"2019-03-09 07:25~9","LA020",1,3,24.215,65.51,7.503,7.9485,879.25
"2019-03-09 07:30~4","LA020",1,3,24.26,65.71,8.3425,8.862,905.15
"2019-03-09 07:35~9","LA020",1,3,24.28,65.71,8.0875,8.6184,923.25
"2019-03-09 07:40~4","LA020",1,3,24.295,65.785,8.8904,9.6943,928.6
"2019-03-09 07:45~9","LA020",1,3,24.3,66.015,12.6499,13.9776,963.15
"2019-03-09 07:50~4","LA020",1,3,24.3,66.155,13.4787,14.8099,980.15
"2019-03-09 07:55~9","LA020",1,3,24.3,66.17,13.2974,14.8505,979.9
"2019-03-09 08:00~4","LA020",1,3,24.3,66.245,12.9089,14.3633,974.9
"2019-03-09 08:05~9","LA020",1,3,24.3,66.395,12.7794,14.2009,973.85
"2019-03-09 08:10~4","LA020",1,3,24.3,66.455,12.2873,13.734,967.5
"2019-03-09 08:15~9","LA020",1,3,24.3,66.545,12.2355,13.3077,964.6
"2019-03-09 08:20~4","LA020",1,3,24.3,66.6,11.8729,13.0641,961
"2019-03-09 08:25~9","LA020",1,3,24.3,66.53,11.6139,12.5972,962.85
"2019-03-09 08:30~4","LA020",1,3,24.3,66.635,10.9923,12.0491,961.25
"2019-03-09 08:35~9","LA020",1,3,24.28,66.935,10.8628,11.6634,970.2
"2019-03-09 08:40~4","LA020",1,3,24.2210526315789,67.0894736842105,10.4987894736842,11.2659473684211,971.263157894737
"2019-03-09 08:45~9","LA020",1,3,24.2777777777778,67.0388888888889,10.1485555555556,10.9145555555556,961.055555555556
"2019-03-09 08:50~4","LA020",1,3,23.7210526315789,72.0421052631579,10.1834210526316,11.0095263157895,953.421052631579
"2019-03-09 08:55~9","LA020",1,3,23.0105263157895,75.9631578947368,10.4020526315789,11.2018421052632,878.894736842105
"2019-03-09 09:00~4","LA020",1,3,22.82,75.14,9.6196,10.3642,871.85
"2019-03-09 09:05~9","LA020",1,3,22.7555555555556,74.1388888888889,9.68866666666667,10.5536666666667,901.277777777778
"2019-03-09 09:10~4","LA020",1,3,22.8055555555556,73.8222222222222,9.02677777777778,10.08,964.111111111111
"2019-03-09 09:15~9","LA020",1,3,22.9315789473684,73.0105263157895,9.00152631578947,9.98384210526316,947.421052631579
"2019-03-09 09:20~4","LA020",1,3,22.9052631578947,73.4473684210526,9.80226315789474,10.7317368421053,908.052631578947
"2019-03-09 09:25~9","LA020",1,3,22.895,73.47,9.1793,10.08,865.45
"2019-03-09 09:30~4","LA020",1,3,22.895,73.14,9.3865,10.1612,848.3
"2019-03-09 09:35~9","LA020",1,3,22.9263157894737,73.178947368421,10.1294210526316,10.9881578947368,762.368421052632
"2019-03-09 09:40~4","LA020",1,3,22.83,73.715,9.7232,10.689,749.55
"2019-03-09 09:45~9","LA020",1,3,22.8736842105263,74.2,9.72047368421053,10.689,756.789473684211
