"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-06 15:00~4","LA021",1,1,,,16.5728,17.075,642.8
"2019-03-06 15:05~9","LA021",1,1,,,16.4366,16.533,667.8
"2019-03-06 15:10~4","LA021",1,1,,,20.1974,20.6522,637.4
"2019-03-06 15:15~9","LA021",1,1,,,21.3586,22.1698,647
"2019-03-06 15:20~4","LA021",1,1,,,20.993,21.3026,637.2
"2019-03-06 15:25~9","LA021",1,1,,,18.4384,19.0262,627.8
"2019-03-06 15:30~4","LA021",1,1,,,19.639,20.2186,631.2
"2019-03-06 15:35~9","LA021",1,1,,,20.8782,21.411,631.6
"2019-03-06 15:40~4","LA021",1,1,,,21.6452,22.495,623.2
"2019-03-06 15:45~9","LA021",1,1,,,21.58,22.2782,628.4
"2019-03-06 15:50~4","LA021",1,1,,,20.7946,21.5194,639
"2019-03-06 15:55~9","LA021",1,1,,,21.8955,23.037,636.833333333333
"2019-03-06 16:00~4","LA021",1,1,,,34.3978,34.7442,630.2
"2019-03-06 16:05~9","LA021",1,1,,,22.7356,23.579,640.6
"2019-03-06 16:10~4","LA021",1,1,,,22.5858,23.6874,645.2
"2019-03-06 16:15~9","LA021",1,1,,,33.735,34.0938,640
"2019-03-06 16:20~4","LA021",1,1,,,23.1994,23.7958,666
"2019-03-06 16:25~9","LA021",1,1,,,20.0928,20.9774,630.6
"2019-03-06 16:30~4","LA021",1,1,,,19.6712,21.0858,637.2
"2019-03-06 16:35~9","LA021",1,1,,,19.019,19.785,636.8
"2019-03-06 16:40~4","LA021",1,1,,,18.387,19.3514,640
"2019-03-06 16:45~9","LA021",1,1,,,21.365,22.3866,630.8
"2019-03-06 16:50~4","LA021",1,1,,,18.8022,19.243,622
"2019-03-06 16:55~9","LA021",1,1,,,19.6712,21.1942,638.6
"2019-03-06 17:00~4","LA021",1,1,,,22.7722,23.7958,634
"2019-03-06 17:05~9","LA021",1,1,,,23.486,24.7714,625.4
"2019-03-06 17:10~4","LA021",1,1,,,21.9722,23.1454,635.4
"2019-03-06 17:15~9","LA021",1,1,,,23.1994,24.5546,634
"2019-03-06 17:20~4","LA021",1,1,,,31.424,32.3594,646.6
"2019-03-06 17:25~9","LA021",1,1,,,30.1024,31.709,638.8
"2019-03-06 17:30~4","LA021",1,1,,,47.7434,49.4866,630
"2019-03-06 17:35~9","LA021",1,1,,,46.0008,47.8606,643
"2019-03-06 17:40~4","LA021",1,1,,,48.2058,49.1614,653.4
"2019-03-06 17:45~9","LA021",1,1,,,43.9101666666667,45.4396666666667,634.666666666667
