"S_no","Season","AL_Type","Date","TEM","HUM","PM1","PM2.5","CO2"
"LA026",0,3,2018-10-01 08:02:00,27.48,58.73,14.1207,15.7525,508.8
"LA026",0,3,2018-10-01 08:07:00,27.79,58,14.6467,16.4165,505.3
"LA026",0,3,2018-10-01 08:12:00,28.035,56.875,14.3048,16.22975,492.5
"LA026",0,3,2018-10-01 08:17:00,28.3684210526316,58.105,15.0149,17.26725,641.75
"LA026",0,3,2018-10-01 08:22:00,28.8,56.935,13.9629,15.6695,575.35
"LA026",0,3,2018-10-01 08:27:00,28.585,54.96,13.4369,14.90175,474
"LA026",0,3,2018-10-01 08:32:00,28.5,54.88,13.1739,14.6735,459
"LA026",0,3,2018-10-01 08:37:00,28.485,54.5,13.0161,14.798,439.3
"LA026",0,3,2018-10-01 08:42:00,28.575,54.07,12.7794,14.5075,441.2
"LA026",0,3,2018-10-01 08:47:00,28.71,53.41,13.1213,15.0055,472.55
"LA026",0,3,2018-10-01 08:52:00,28.73,52.61,13.8577,15.4205,467.8
"LA026",0,3,2018-10-01 08:57:00,28.7947368421053,50.5789473684211,12.3890526315789,13.9155789473684,458.736842105263
"LA026",0,3,2018-10-01 09:02:00,28.835,48.335,12.0956,13.44925,439.55
"LA026",0,3,2018-10-01 09:07:00,28.99,48.93,12.7005,14.5075,438.6
"LA026",0,3,2018-10-01 09:12:00,29.125,48.815,12.4375,13.82275,450
"LA026",0,3,2018-10-01 09:17:00,29.195,47.245,12.4901,14.0925,431
"LA026",0,3,2018-10-01 09:22:00,29.155,45.28,10.7806,12.37025,430.85
"LA026",0,3,2018-10-01 09:27:00,29.315,44.385,11.4381,12.9305,431.3
"LA026",0,3,2018-10-01 09:32:00,29.075,45.61,11.0173,12.4325,444.15
"LA026",0,3,2018-10-01 09:37:00,29.03,43.965,10.728,12.20425,434
"LA026",0,3,2018-10-01 09:42:00,29.195,42.555,10.5176,11.893,425.45
"LA026",0,3,2018-10-01 09:47:00,29.455,42.16,10.6754,11.99675,442.25
"LA026",0,3,2018-10-01 09:52:00,29.74,41.46,10.7017,12.20425,484.8
"LA026",0,3,2018-10-01 09:57:00,29.795,41.28,10.5176,11.9345,457.05
"LA026",0,3,2018-10-01 10:02:00,30.1526315789474,41.0052631578947,11.7246315789474,13.1511052631579,485.105263157895
"LA026",0,3,2018-10-01 10:07:00,30.12,38.725,10.8069,12.059,460.65
"LA026",0,3,2018-10-01 10:12:00,30.055,36.275,10.7543,11.87225,441.7
"LA026",0,3,2018-10-01 10:17:00,29.93,35.875,9.3078,10.54425,432.95
"LA026",0,3,2018-10-01 10:22:00,30.045,35.32,10.202,11.561,434.25
"LA026",0,3,2018-10-01 10:27:00,30.095,36.525,18.1709,19.75725,465.4
"LA026",0,3,2018-10-01 10:32:00,30.22,35.445,15.3305,16.8315,492.1
"LA026",0,3,2018-10-01 10:37:00,30.415,35.07,14.8308,16.4165,482.55
"LA026",0,3,2018-10-01 10:42:00,30.2,35.22,10.3861,11.8515,448.05
"LA026",0,3,2018-10-01 10:47:00,30.24,35.645,15.8302,17.2465,466.9
"LA026",0,3,2018-10-01 10:52:00,30.45,35.205,14.9623,16.624,469.55
"LA026",0,3,2018-10-01 10:57:00,30.315,35.1,11.6485,13.1795,446.1
"LA026",0,3,2018-10-01 11:02:00,30.41,35.23,10.3598,11.95525,439.4
"LA026",0,3,2018-10-01 11:07:00,30.645,34.795,10.5176,11.976,434.9
"LA026",0,3,2018-10-01 11:12:00,30.715,34.085,10.1757,11.6025,436.8
"LA026",0,3,2018-10-01 11:17:00,30.375,34.305,9.5971,11.24975,435.55
"LA026",0,3,2018-10-01 11:22:00,30.545,33.675,10.1231,11.395,427.75
"LA026",0,3,2018-10-01 11:27:00,30.51,33.63,10.0442,11.24975,428.75
"LA026",0,3,2018-10-01 11:32:00,30.715,33.17,9.9653,11.478,426.6
"LA026",0,3,2018-10-01 11:37:00,31.035,33.83,10.4124,12.03825,434
"LA026",0,3,2018-10-01 11:42:00,31.065,33.93,12.3586,14.69425,437.35
"LA026",0,3,2018-10-01 11:47:00,30.8,34.26,10.0968,11.62325,430.35
"LA026",0,3,2018-10-01 11:52:00,30.635,34.835,10.0442,11.37425,433.3
"LA026",0,3,2018-10-01 11:57:00,30.65,34.845,10.2283,11.7685,434.6
"LA026",0,3,2018-10-01 12:02:00,30.78,34.15,10.4913,12.0175,435.15
"LA026",0,3,2018-10-01 12:07:00,30.45,33.71,10.6754,12.308,428.25
"LA026",0,3,2018-10-01 12:12:00,30.235,34.11,10.7543,12.28725,426.9
"LA026",0,3,2018-10-01 12:17:00,30.365,34.54,10.6228,12.308,427.95
"LA026",0,3,2018-10-01 12:22:00,30.565,34.21,11.4907,13.4285,437.5
"LA026",0,3,2018-10-01 12:27:00,30.57,34.62,11.254,12.99275,437.35
"LA026",0,3,2018-10-01 12:32:00,30.615,34.31,11.8063,13.4285,434.75
"LA026",0,3,2018-10-01 12:37:00,30.865,34.89,11.9115,13.6775,433.9
"LA026",0,3,2018-10-01 12:42:00,30.97,34.64,13.6473,15.4205,440.55
"LA026",0,3,2018-10-01 12:47:00,30.91,35.235,12.1482,14.1755,432.4
"LA026",0,3,2018-10-01 12:52:00,30.715,35.19,12.3849,14.44525,431.8
"LA026",0,3,2018-10-01 12:57:00,30.875,35.045,13.1739,15.13,429.45
"LA026",0,3,2018-10-01 13:02:00,30.785,35.455,13.2265,15.23375,429.2
"LA026",0,3,2018-10-01 13:07:00,30.74,35.94,13.0687,15.06775,429.25
"LA026",0,3,2018-10-01 13:12:00,30.61,36.73,13.3317,15.27525,429.1
"LA026",0,3,2018-10-01 13:17:00,30.7,37.245,13.4632,15.628,429.35
"LA026",0,3,2018-10-01 13:22:00,30.635,37.33,13.4369,15.31675,433.9
"LA026",0,3,2018-10-01 13:27:00,30.36,38.57,13.7525,15.8355,429
"LA026",0,3,2018-10-01 13:32:00,30.42,39.185,13.9629,16.06375,427.4
"LA026",0,3,2018-10-01 13:37:00,30.385,39.945,13.9103,16.18825,424.1
"LA026",0,3,2018-10-01 13:42:00,30.23,39.99,13.9892,16.10525,421.5
"LA026",0,3,2018-10-01 13:47:00,30.115,41.115,13.9892,16.14675,423.45
"LA026",0,3,2018-10-01 13:52:00,30.13,40.91,14.0418,16.10525,424.9
"LA026",0,3,2018-10-01 13:57:00,30.13,41.33,14.0681,16.27125,426.95
"LA026",0,3,2018-10-01 14:02:00,30.245,41.44,13.9892,16.292,431.45
"LA026",0,3,2018-10-01 14:07:00,30.24,41.54,14.9886,17.2465,439
"LA026",0,3,2018-10-01 14:12:00,29.96,41.015,16.0143,17.97275,437.9
"LA026",0,3,2018-10-01 14:17:00,29.55,40.61,14.4363,16.7485,447
"LA026",0,3,2018-10-01 14:22:00,29.7789473684211,41.015,14.41,16.5825,431.25
"LA026",0,3,2018-10-01 14:27:00,29.9315789473684,41.83,14.9886,17.35025,434.35
"LA026",0,3,2018-10-01 14:32:00,29.875,42.61,14.9886,17.47475,449.2
"LA026",0,3,2018-10-01 14:37:00,29.7157894736842,42.51,13.4895,15.44125,420.6
"LA026",0,3,2018-10-01 14:42:00,29.69,43.385,14.8308,17.10125,422.1
"LA026",0,3,2018-10-01 14:47:00,29.91,44.55,15.3568,17.55775,441
"LA026",0,3,2018-10-01 14:52:00,29.945,45.725,15.0412,17.3295,468.15
"LA026",0,3,2018-10-01 14:57:00,30.18,48.425,15.199,17.39175,620.6
"LA026",0,3,2018-10-01 15:02:00,30.3631578947368,49.21,15.1201,17.7445,653.2
"LA026",0,3,2018-10-01 15:07:00,29.9833333333333,48.0315789473684,15.7942105263158,17.8908421052632,520.052631578947
"LA026",0,3,2018-10-01 15:12:00,29.645,48.22,15.9091,18.2425,439.9
"LA026",0,3,2018-10-01 15:17:00,29.745,48.1,15.9617,18.34625,445.7
"LA026",0,3,2018-10-01 15:22:00,29.94,47.785,16.0143,18.118,446.8
"LA026",0,3,2018-10-01 15:27:00,29.61,48.185,15.7776,17.9105,427.95
"LA026",0,3,2018-10-01 15:32:00,29.545,48.875,15.9091,18.2425,428.55
"LA026",0,3,2018-10-01 15:37:00,29.77,48.145,15.8039,18.09725,439.15
"LA026",0,3,2018-10-01 15:42:00,29.9052631578947,49.6631578947368,17.4275789473684,20.2497894736842,444.736842105263
"LA026",0,3,2018-10-01 15:47:00,29.74,50.595,16.4088,18.8235,475.2
"LA026",0,3,2018-10-01 15:52:00,29.54,49.61,16.4351,18.92725,466.95
"LA026",0,3,2018-10-01 15:57:00,29.83,49.025,16.7244,19.4045,523.4
"LA026",0,3,2018-10-01 16:02:00,29.745,48.38,16.8822,19.59125,458.3
"LA026",0,3,2018-10-01 16:07:00,29.6,48.445,17.4871,20.193,478.1
"LA026",0,3,2018-10-01 16:12:00,29.585,47.925,17.4871,20.21375,455.65
"LA026",0,3,2018-10-01 16:17:00,29.59,47.905,17.9342,20.75325,451.75
"LA026",0,3,2018-10-01 16:22:00,29.755,48.055,18.9073,21.77,480.85
"LA026",0,3,2018-10-01 16:27:00,30.005,48.13,19.1177,21.95675,509.65
"LA026",0,3,2018-10-01 16:32:00,30.0473684210526,48.4315789473684,18.4242105263158,21.0142631578947,464.421052631579
