id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
00A266660032,2018-04-16,16:09:38,  23.6,  56.8,5,8,8,1374,88,-1,-1,59,121,124,184,0,-1,59,  22.7,  56.1,25.039288,121.612939,0,0,0,0,469,413,462,0
00A266660032,2018-04-16,16:10:00,  23.6,  57.4,5,8,9,1310,90,0,-1,59,55,48,86,-1,-1,59,  22.8,  55.6,25.039288,121.612939,0,0,0,0,473,413,454,0
00A266660032,2018-04-16,16:10:38,  23.6,  58.2,7,10,11,909,89,-1,-1,60,21,22,42,0,-1,60,  22.9,  53.5,25.039288,121.612939,0,0,0,0,471,415,459,0
00A266660032,2018-04-16,16:11:38,  23.8,  58.6,5,9,10,817,89,0,-1,60,30,38,41,0,-1,59,  23.0,  52.0,25.039288,121.612939,0,0,0,0,484,427,478,0
00A266660032,2018-04-16,16:12:39,  23.9,  58.9,5,8,9,858,90,0,-1,59,37,28,50,1,-1,59,  23.1,  51.5,25.039288,121.612939,0,0,0,0,475,421,470,0
00A266660032,2018-04-16,16:13:39,  24.1,  59.1,4,10,11,946,90,0,-1,59,25,36,48,-1,-1,59,  23.1,  51.6,25.039288,121.612939,0,0,0,0,474,421,470,0
00A266660032,2018-04-16,16:14:39,  24.2,  59.3,5,9,10,902,90,0,-1,59,31,24,48,-1,-1,59,  23.3,  50.2,25.039288,121.612939,0,0,0,0,475,424,475,0
00A266660032,2018-04-16,16:15:39,  24.4,  59.3,4,8,8,835,90,0,0,59,32,21,30,0,-1,59,  23.4,  49.1,25.039288,121.612939,0,0,0,0,477,421,470,0
00A266660032,2018-04-16,16:16:40,  24.5,  59.2,5,10,11,811,90,0,-1,58,42,6,29,0,-1,59,  23.5,  48.9,25.039288,121.612939,0,0,0,0,489,432,478,0
00A266660032,2018-04-16,16:17:40,  24.7,  59.1,4,9,11,995,90,0,-1,59,37,4,32,-1,-1,59,  23.7,  50.7,25.039288,121.612939,0,0,0,0,475,428,473,0
00A266660032,2018-04-16,16:19:40,  25.0,  51.2,3,7,9,1250,90,-1,-1,59,48,42,51,-1,-1,58,  23.9,  51.8,25.039288,121.612939,0,0,0,0,494,444,483,0
00A266660032,2018-04-16,16:20:41,  25.2,  50.4,4,7,7,1082,90,0,-1,58,47,40,39,-1,-1,59,  24.1,  50.3,25.039288,121.612939,0,0,0,0,485,437,477,0
00A266660032,2018-04-16,16:21:41,  25.3,  48.9,5,8,10,1018,90,-1,-2,58,42,36,48,-1,-2,58,  24.1,  49.9,25.039288,121.612939,0,0,0,0,485,439,476,0
00A266660032,2018-04-16,16:22:41,  25.5,  49.0,4,8,9,1035,90,0,-2,58,28,17,27,0,-1,59,  24.3,  50.7,25.039288,121.612939,0,0,0,0,492,444,478,0
00A266660032,2018-04-16,16:23:41,  25.7,  49.4,5,8,8,997,90,0,-1,58,42,18,26,0,-1,58,  24.4,  49.3,25.039288,121.612939,0,0,0,0,486,442,474,0
00A266660032,2018-04-16,16:24:42,  25.9,  50.1,5,8,9,950,90,0,-1,58,24,12,6,0,-1,58,  24.5,  49.0,25.039288,121.612939,0,0,0,0,489,450,479,0
00A266660032,2018-04-16,16:25:42,  26.0,  50.7,4,8,8,859,90,0,-1,59,38,12,13,0,-1,58,  24.6,  47.8,25.039288,121.612939,0,0,0,0,502,456,485,0
00A266660032,2018-04-16,16:26:42,  26.1,  51.2,5,9,10,956,90,0,-1,58,22,19,12,0,-2,58,  24.7,  47.8,25.039288,121.612939,0,0,0,0,493,454,481,0
00A266660032,2018-04-16,16:27:42,  26.2,  51.6,4,8,10,1144,90,1,-1,58,44,8,24,-1,-1,58,  24.8,  48.3,25.039288,121.612939,0,0,0,0,496,449,480,0
00A266660032,2018-04-16,16:28:42,  26.3,  51.9,4,7,7,899,90,-1,-1,58,27,6,40,0,-1,58,  24.9,  46.3,25.039288,121.612939,0,0,0,0,502,462,484,0
00A266660032,2018-04-16,16:29:43,  26.4,  52.0,3,6,6,828,90,0,-1,57,31,0,33,-1,-1,58,  25.1,  44.3,25.039288,121.612939,0,0,0,0,502,463,486,0
00A266660032,2018-04-16,16:30:43,  26.5,  52.1,3,7,8,780,90,-1,-1,57,37,10,47,0,-1,58,  25.2,  43.3,25.039288,121.612939,0,0,0,0,500,460,483,0
00A266660032,2018-04-16,16:31:43,  26.6,  52.2,3,7,7,753,89,0,-1,58,46,8,52,0,-1,58,  25.3,  42.8,25.039288,121.612939,0,0,0,0,497,451,481,0
00A266660032,2018-04-16,16:32:43,  26.6,  52.3,3,7,8,738,90,0,-1,58,29,10,49,-1,-1,57,  25.5,  41.8,25.039288,121.612939,0,0,0,0,500,456,481,0
00A266660032,2018-04-16,16:33:44,  26.7,  52.3,3,7,7,715,89,0,-1,57,34,4,49,0,-1,58,  25.5,  41.3,25.039288,121.612939,0,0,0,0,494,451,481,0
00A266660032,2018-04-16,16:34:44,  26.8,  52.4,4,7,8,705,90,-1,-1,58,35,2,33,0,-1,57,  25.7,  40.4,25.039288,121.612939,0,0,0,0,501,465,482,0
00A266660032,2018-04-16,16:35:44,  26.8,  52.5,3,6,7,698,89,0,-1,57,38,2,31,0,-1,58,  25.7,  41.3,25.039288,121.612939,0,0,0,0,501,463,484,0
00A266660032,2018-04-16,16:36:44,  26.8,  52.6,3,7,8,654,89,0,-1,58,34,8,27,0,-1,57,  25.8,  41.1,25.039288,121.612939,0,0,0,0,495,458,482,0
00A266660032,2018-04-16,16:37:45,  26.9,  52.5,4,7,8,636,89,0,-1,57,100,66,124,0,-1,57,  25.9,  40.3,25.039288,121.612939,0,0,0,0,504,463,485,0
00A266660032,2018-04-16,16:38:45,  26.9,  49.4,4,9,10,677,89,-1,-2,56,42,17,23,-1,-1,57,  26.1,  40.9,25.039288,121.612939,0,0,0,0,492,456,476,0
00A266660032,2018-04-16,16:39:45,  27.0,  49.3,4,8,8,642,89,0,-1,57,46,14,30,0,-1,57,  26.1,  40.1,25.039288,121.612939,0,0,0,0,494,463,477,0
00A266660032,2018-04-16,16:40:45,  27.0,  49.4,4,8,8,622,89,0,-1,57,52,6,14,0,-1,57,  26.3,  39.1,25.039288,121.612939,0,0,0,0,499,468,481,0
00A266660032,2018-04-16,16:41:46,  27.1,  49.4,3,6,6,638,89,0,-1,57,54,18,32,0,-1,57,  26.3,  40.0,25.039288,121.612939,0,0,0,0,494,464,479,0
00A266660032,2018-04-16,16:42:46,  27.0,  49.6,4,8,8,637,89,0,0,57,42,13,22,0,-1,57,  26.4,  39.6,25.039288,121.612939,0,0,0,0,491,456,476,0
00A266660032,2018-04-16,16:43:46,  27.1,  49.7,5,7,8,627,89,0,-1,57,54,8,28,0,-1,57,  26.4,  39.0,25.039288,121.612939,0,0,0,0,499,468,481,0
00A266660032,2018-04-16,16:44:46,  27.1,  49.8,4,8,9,605,89,-1,-1,57,55,8,10,0,-1,57,  26.5,  38.7,25.039288,121.612939,0,0,0,0,495,464,480,0
00A266660032,2018-04-16,16:45:47,  27.1,  49.9,3,7,8,589,89,0,-1,57,45,18,12,-1,-1,57,  26.6,  38.1,25.039288,121.612939,0,0,0,0,494,463,477,0
00A266660032,2018-04-16,16:46:47,  27.2,  50.0,3,7,9,569,89,-1,-1,57,47,8,20,0,-1,57,  26.7,  37.9,25.039288,121.612939,0,0,0,0,507,471,486,0
00A266660032,2018-04-16,16:48:47,  27.2,  50.3,4,6,7,689,89,-1,-1,57,48,26,22,-1,-1,57,  26.7,  39.6,25.039288,121.612939,0,0,0,0,501,466,481,0
00A266660032,2018-04-16,16:49:48,  27.2,  50.4,4,8,9,649,89,-1,-2,57,48,11,18,-1,-1,57,  26.8,  39.5,25.039288,121.612939,0,0,0,0,509,474,487,0
00A266660032,2018-04-16,16:50:48,  27.2,  45.5,4,8,10,1560,89,0,0,58,44,13,21,0,-1,57,  26.9,  41.6,25.039288,121.612939,0,0,0,0,503,472,484,0
00A266660032,2018-04-16,16:51:48,  27.2,  46.7,5,9,9,915,89,0,-2,57,55,19,18,-1,-1,57,  26.9,  41.6,25.039288,121.612939,0,0,0,0,498,469,481,0
00A266660032,2018-04-16,16:52:48,  27.3,  47.3,4,8,9,732,89,-1,-1,57,56,30,22,-1,-1,57,  26.9,  40.8,25.039288,121.612939,0,0,0,0,503,470,482,0
00A266660032,2018-04-16,16:53:48,  27.3,  47.8,6,9,10,679,89,-1,-1,57,79,35,62,0,-2,57,  27.0,  39.9,25.039288,121.612939,0,0,0,0,506,474,481,0
00A266660032,2018-04-16,16:54:49,  27.3,  48.0,5,8,10,665,89,0,-1,57,50,14,14,0,-1,57,  27.0,  39.6,25.039288,121.612939,0,0,0,0,510,482,485,0
00A266660032,2018-04-16,16:55:49,  27.4,  48.3,5,8,8,634,89,-1,-1,57,50,21,18,-1,-2,57,  27.1,  38.9,25.039288,121.612939,0,0,0,0,503,480,482,0
00A266660032,2018-04-16,16:56:49,  27.4,  48.5,5,8,10,628,89,-1,-2,57,45,21,18,0,-1,57,  27.1,  38.2,25.039288,121.612939,0,0,0,0,498,469,479,0
00A266660032,2018-04-16,16:58:50,  27.4,  48.7,5,9,11,603,89,-1,-1,57,51,18,30,0,-1,57,  27.2,  37.4,25.039288,121.612939,0,0,0,0,507,477,484,0
00A266660032,2018-04-16,17:00:50,  27.4,  48.9,6,10,10,598,89,0,-1,57,39,2,12,-1,-1,57,  27.3,  36.5,25.039288,121.612939,0,0,0,0,501,472,479,0
00A266660032,2018-04-16,17:02:51,  27.5,  49.0,4,7,8,592,89,0,-1,57,50,18,22,0,-1,57,  27.4,  36.1,25.039288,121.612939,0,0,0,0,511,482,487,0
00A266660032,2018-04-16,17:04:51,  27.6,  49.1,3,8,10,585,89,0,-1,57,49,8,13,-1,-1,56,  27.4,  35.9,25.039288,121.612939,0,0,0,0,499,472,479,0
00A266660032,2018-04-16,17:06:51,  27.6,  49.1,5,10,11,592,89,-1,-1,57,44,10,8,-1,-1,57,  27.5,  35.2,25.039288,121.612939,0,0,0,0,510,479,484,0
00A266660032,2018-04-16,17:08:52,  27.6,  49.1,4,8,10,580,89,0,-1,57,51,12,16,-1,-1,57,  27.6,  34.7,25.039288,121.612939,0,0,0,0,500,471,482,0
00A266660032,2018-04-16,17:09:52,  27.6,  49.1,4,7,9,587,89,-1,-1,57,49,16,26,0,-1,57,  27.6,  34.8,25.039288,121.612939,0,0,0,0,505,475,483,0
00A266660032,2018-04-16,17:10:52,-999.0,  -1.0,5,8,9,596,89,-1,-1,57,244,89,129,-45,-14,56,  27.6,  34.8,25.039288,121.612939,0,0,0,0,510,471,457,0
00A266660032,2018-04-16,17:26:59,  24.6,  52.6,5,10,10,591,100,-5,1,58,36,44,49,-5,1,59,  26.2,  45.0,25.039288,121.612939,0,0,0,0,489,469,456,0
00A266660032,2018-04-16,17:28:00,  24.6,  52.2,7,12,12,607,100,-5,0,59,42,52,44,-5,0,59,  26.2,  45.1,25.039288,121.612939,0,0,0,0,498,477,465,0
00A266660032,2018-04-16,17:29:01,  24.6,  52.0,7,11,15,587,100,-6,1,59,29,50,42,-5,1,59,  26.1,  45.2,25.039288,121.612939,0,0,0,0,496,479,466,0
00A266660032,2018-04-16,17:30:02,  24.5,  51.7,7,11,12,573,100,-5,1,58,39,46,47,-6,1,59,  26.0,  45.3,25.039288,121.612939,0,0,0,0,497,479,465,0
00A266660032,2018-04-16,17:31:03,  24.5,  50.7,7,11,13,589,100,-5,0,59,33,49,49,-6,1,58,  25.9,  45.0,25.039288,121.612939,0,0,0,0,501,480,469,0
00A266660032,2018-04-16,17:32:04,  24.5,  49.5,8,12,12,597,100,-5,1,58,27,45,43,-6,0,59,  25.9,  43.8,25.039288,121.612939,0,0,0,0,500,479,466,0
00A266660032,2018-04-16,17:33:05,  24.3,  48.7,8,11,13,583,100,-5,0,59,37,45,34,-6,1,59,  25.8,  43.6,25.039288,121.612939,0,0,0,0,501,482,466,0
00A266660032,2018-04-16,17:34:06,  24.4,  48.8,5,9,9,656,100,12,2,58,18,47,34,12,1,58,  25.7,  41.7,25.039288,121.612939,0,0,0,0,504,483,470,0
00A266660032,2018-04-16,17:35:07,  24.4,  49.2,5,10,11,674,100,12,2,58,24,51,41,12,1,57,  25.7,  40.5,25.039288,121.612939,0,0,0,0,502,482,468,0
00A266660032,2018-04-16,17:36:08,  24.5,  49.6,4,9,9,842,100,12,1,57,22,40,35,12,1,58,  25.7,  41.1,25.039288,121.612939,0,0,0,0,496,480,463,0
00A266660032,2018-04-16,17:37:09,  24.6,  49.8,6,9,11,742,100,11,2,57,17,35,52,12,1,57,  25.7,  40.5,25.039288,121.612939,0,0,0,0,505,484,476,0
00A266660032,2018-04-16,17:39:11,  24.9,  50.1,25,33,42,737,100,12,2,57,20,42,36,12,2,57,  25.8,  41.0,25.039288,121.612939,0,0,0,0,504,482,471,0
00A266660032,2018-04-16,17:41:12,  25.1,  50.3,233,281,287,765,100,11,1,57,25,43,51,12,2,58,  25.8,  41.1,25.039288,121.612939,0,0,0,0,504,485,472,0
00A266660032,2018-04-16,17:43:14,  25.2,  50.4,272,346,353,711,100,12,2,57,18,40,50,12,2,57,  25.8,  40.7,25.039288,121.612939,0,0,0,0,506,486,469,0
00A266660032,2018-04-16,17:45:16,  25.4,  50.5,325,428,445,701,100,12,2,58,2,42,35,12,2,57,  25.8,  40.5,25.039288,121.612939,0,0,0,0,505,487,474,0
00A266660032,2018-04-16,17:46:17,  25.5,  50.6,339,464,481,682,100,12,2,58,4,45,35,12,1,57,  25.9,  40.1,25.039288,121.612939,0,0,0,0,501,483,468,0
00A266660032,2018-04-16,17:47:18,  25.6,  50.6,355,513,528,688,100,12,1,57,2,49,32,12,2,57,  25.9,  40.3,25.039288,121.612939,0,0,0,0,504,486,472,0
00A266660032,2018-04-16,17:48:19,  25.7,  50.7,371,558,581,676,100,12,2,57,6,39,26,12,1,57,  26.0,  40.0,25.039288,121.612939,0,0,0,0,500,484,468,0
00A266660032,2018-04-16,17:49:20,  25.7,  50.7,379,574,600,692,100,12,2,57,6,41,20,12,1,57,  26.0,  40.0,25.039288,121.612939,0,0,0,0,505,484,473,0
00A266660032,2018-04-16,17:50:21,  25.8,  50.7,377,603,631,664,100,12,2,57,8,50,35,12,2,58,  26.1,  39.5,25.039288,121.612939,0,0,0,0,502,483,469,0
00A266660032,2018-04-16,17:51:22,  25.8,  50.8,372,600,619,676,100,12,2,57,2,41,26,12,1,57,  26.1,  39.6,25.039288,121.612939,0,0,0,0,504,488,472,0
00A266660032,2018-04-16,17:52:23,  25.9,  50.9,382,615,646,649,100,12,2,57,2,36,12,12,2,57,  26.2,  39.2,25.039288,121.612939,0,0,0,0,501,484,469,0
00A266660032,2018-04-16,17:53:24,  26.0,  50.9,375,564,577,663,100,12,1,57,8,47,16,12,2,57,  26.2,  39.3,25.039288,121.612939,0,0,0,0,505,488,473,0
00A266660032,2018-04-16,17:54:25,  26.0,  50.9,363,541,559,643,100,12,2,57,0,44,12,12,2,57,  26.2,  38.9,25.039288,121.612939,0,0,0,0,502,484,470,0
00A266660032,2018-04-16,17:55:25,  26.1,  51.0,353,514,538,644,100,12,2,57,4,51,12,12,1,57,  26.2,  39.1,25.039288,121.612939,0,0,0,0,506,489,473,0
00A266660032,2018-04-16,17:56:26,  26.1,  51.1,342,498,512,623,100,12,2,57,3,39,10,13,1,57,  26.3,  38.6,25.039288,121.612939,0,0,0,0,501,487,471,0
00A266660032,2018-04-16,17:57:27,  26.2,  51.1,340,489,501,635,100,12,1,57,8,51,8,12,2,57,  26.3,  38.8,25.039288,121.612939,0,0,0,0,506,488,474,0
00A266660032,2018-04-16,17:58:28,  26.2,  51.1,327,492,516,620,100,12,2,57,8,43,0,12,1,57,  26.4,  38.4,25.039288,121.612939,0,0,0,0,502,487,470,0
00A266660032,2018-04-16,17:59:29,  26.3,  51.1,332,501,518,622,100,12,1,57,4,45,6,12,2,57,  26.4,  38.5,25.039288,121.612939,0,0,0,0,507,491,474,0
00A266660032,2018-04-16,18:00:30,  26.3,  51.3,358,569,595,625,100,12,2,57,10,46,14,12,2,57,  26.4,  38.1,25.039288,121.612939,0,0,0,0,503,485,471,0
00A266660032,2018-04-16,18:01:31,  26.3,  51.2,354,568,593,621,100,12,1,57,2,44,2,12,1,57,  26.4,  38.4,25.039288,121.612939,0,0,0,0,506,491,473,0
00A266660032,2018-04-16,18:02:32,  26.4,  51.3,369,622,648,604,100,12,2,57,4,33,14,12,1,57,  26.5,  37.9,25.039288,121.612939,0,0,0,0,502,487,471,0
00A266660032,2018-04-16,18:03:33,  26.4,  51.3,379,605,632,612,100,12,2,57,6,46,14,12,2,57,  26.5,  38.2,25.039288,121.612939,0,0,0,0,506,490,473,0
00A266660032,2018-04-16,18:04:34,  26.5,  51.4,370,597,616,608,100,12,1,57,8,48,22,12,1,57,  26.6,  37.8,25.039288,121.612939,0,0,0,0,503,486,471,0
00A266660032,2018-04-16,18:05:35,  26.5,  51.4,362,598,621,609,100,12,2,57,12,41,11,12,1,56,  26.6,  38.1,25.039288,121.612939,0,0,0,0,507,493,475,0
00A266660032,2018-04-16,18:06:36,  26.5,  51.5,368,611,640,599,100,12,2,57,6,43,16,12,1,57,  26.6,  37.7,25.039288,121.612939,0,0,0,0,505,488,471,0
00A266660032,2018-04-16,18:07:37,  26.5,  51.5,371,595,630,599,100,12,2,57,2,44,28,12,2,57,  26.6,  37.9,25.039288,121.612939,0,0,0,0,507,493,475,0
00A266660032,2018-04-16,18:08:38,  26.5,  51.6,374,644,670,597,100,12,2,56,4,40,27,12,2,57,  26.7,  37.5,25.039288,121.612939,0,0,0,0,503,486,471,0
00A266660032,2018-04-16,18:09:39,  26.6,  51.6,374,604,628,598,100,12,1,57,4,48,16,12,1,57,  26.7,  37.8,25.039288,121.612939,0,0,0,0,508,492,475,0
00A266660032,2018-04-16,18:10:40,  26.6,  51.7,378,621,644,585,100,12,1,57,5,50,26,11,1,57,  26.8,  37.4,25.039288,121.612939,0,0,0,0,504,489,471,0
00A266660032,2018-04-16,18:11:40,  26.7,  51.7,369,577,603,585,100,12,1,57,10,44,28,12,1,57,  26.7,  37.7,25.039288,121.612939,0,0,0,0,508,493,477,0
00A266660032,2018-04-16,18:12:41,  26.7,  51.8,371,577,589,576,100,12,1,57,6,39,25,12,2,56,  26.8,  37.4,25.039288,121.612939,0,0,0,0,503,486,471,0
00A266660032,2018-04-16,18:13:42,  26.7,  51.8,362,576,586,596,100,12,2,57,2,44,16,12,2,57,  26.8,  37.6,25.039288,121.612939,0,0,0,0,507,493,477,0
00A266660032,2018-04-16,18:14:43,  26.7,  51.9,371,653,673,586,100,12,2,57,14,43,27,12,1,56,  26.8,  37.2,25.039288,121.612939,0,0,0,0,505,487,469,0
00A266660032,2018-04-16,18:15:44,  26.7,  51.9,380,618,634,608,100,12,2,57,8,42,42,12,2,57,  26.8,  37.4,25.039288,121.612939,0,0,0,0,508,493,476,0
00A266660032,2018-04-16,18:16:45,  26.8,  52.0,370,609,626,582,100,12,2,57,4,47,34,12,1,57,  26.9,  37.1,25.039288,121.612939,0,0,0,0,503,490,472,0
00A266660032,2018-04-16,18:17:46,  26.8,  52.0,363,597,617,584,100,12,1,57,10,45,37,12,2,56,  26.9,  37.2,25.039288,121.612939,0,0,0,0,509,494,477,0
00A266660032,2018-04-16,18:18:47,  26.8,  52.1,371,567,583,570,100,12,2,57,10,39,36,12,1,57,  26.9,  37.2,25.039288,121.612939,0,0,0,0,509,494,478,0
00A266660032,2018-04-16,18:20:49,  26.8,  52.1,375,578,594,563,100,12,1,56,6,54,37,12,1,57,  26.9,  37.1,25.039288,121.612939,0,0,0,0,509,496,478,0
00A266660032,2018-04-16,18:22:51,  26.8,  52.3,353,517,529,562,100,12,1,57,8,44,26,12,1,57,  26.9,  36.9,25.039288,121.612939,0,0,0,0,512,497,478,0
00A266660032,2018-04-16,18:24:53,  26.8,  52.4,354,548,570,563,100,12,2,58,4,38,30,12,2,56,  27.0,  36.9,25.039288,121.612939,0,0,0,0,510,495,479,0
00A266660032,2018-04-16,18:26:54,  26.8,  52.5,354,545,566,575,100,12,2,57,4,38,32,12,2,57,  27.0,  36.8,25.039288,121.612939,0,0,0,0,510,498,479,0
00A266660032,2018-04-16,18:28:56,  26.8,  52.6,364,583,602,561,100,12,2,57,8,34,30,12,2,57,  27.0,  36.6,25.039288,121.612939,0,0,0,0,511,496,478,0
00A266660032,2018-04-16,18:30:58,  26.9,  52.7,372,623,642,546,100,12,1,57,10,44,34,12,1,57,  27.0,  36.6,25.039288,121.612939,0,0,0,0,512,498,477,0
00A266660032,2018-04-16,18:33:00,  26.9,  52.8,374,649,686,564,100,12,1,56,20,53,41,12,2,57,  27.0,  36.5,25.039288,121.612939,0,0,0,0,511,496,479,0
00A266660032,2018-04-16,18:35:02,  26.9,  52.8,366,667,691,570,99,12,1,57,12,45,42,12,2,57,  27.1,  36.4,25.039288,121.612939,0,0,0,0,513,498,479,0
00A266660032,2018-04-16,18:37:04,  26.9,  52.9,371,646,683,566,100,12,1,57,12,39,32,12,2,57,  27.1,  36.3,25.039288,121.612939,0,0,0,0,513,498,479,0
