id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
0C9A4249DBC6,2020-08-17,00:00:00,29.0,79.1,23,33,38,457,0,0,-64,-7,61,65,83,-1,-65,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:00:15,29.0,79.0,23,34,39,457,0,-1,-65,-4,50,52,58,-1,-65,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:00:30,29.0,79.0,24,35,41,457,0,-1,-65,-4,88,79,114,-1,-64,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:00:45,29.0,79.0,23,34,40,457,0,-1,-64,-4,59,86,105,0,-66,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:01:00,29.0,79.0,22,33,40,457,0,0,-66,-5,71,80,102,-1,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:01:15,29.0,79.0,23,36,43,457,0,-1,-64,-5,85,88,115,0,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:01:30,29.0,79.0,22,34,40,457,0,0,-64,-6,77,77,98,-1,-63,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:01:45,29.0,79.0,19,31,36,456,0,-1,-63,-6,81,78,101,0,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:02:00,29.0,79.0,21,32,36,457,0,0,-65,-5,73,76,95,-1,-65,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:02:15,29.0,79.0,21,30,34,457,0,-1,-65,-6,78,84,98,-1,-65,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:02:30,29.0,79.0,20,29,33,457,0,-1,-65,-4,86,80,95,-1,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:02:45,29.0,79.0,19,28,30,457,0,-1,-65,-5,81,72,91,0,-65,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:03:00,29.0,79.0,18,27,30,457,0,0,-65,-6,91,77,105,-1,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:03:15,29.0,79.1,18,26,29,457,0,-1,-64,-5,91,68,97,0,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:03:30,29.0,79.1,19,27,29,457,0,0,-64,-6,76,71,97,0,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:03:45,29.0,79.1,20,31,35,458,0,0,-65,-5,79,64,100,-1,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:04:00,29.0,79.1,22,34,40,458,0,-1,-65,-5,75,82,96,0,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:04:15,29.0,79.1,20,31,34,458,0,0,-65,-5,90,81,114,0,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:04:30,29.0,79.1,19,30,32,458,0,0,-64,-5,88,85,104,0,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:04:45,29.0,79.1,20,29,31,458,0,0,-65,-5,64,88,101,0,-65,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:05:00,29.0,79.1,20,30,33,458,0,0,-65,-6,87,87,100,-1,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:05:15,29.0,79.1,22,31,34,457,0,-1,-64,-6,79,83,102,0,-65,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:05:30,29.0,79.1,21,30,33,458,0,0,-65,-6,91,78,113,-1,-63,-7,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:05:45,29.0,79.0,20,30,31,458,0,-1,-63,-7,88,75,109,-1,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:06:00,29.0,79.1,19,29,31,458,0,-1,-64,-6,94,82,111,-1,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:06:15,29.0,79.1,18,29,32,458,0,-1,-64,-5,73,101,109,-2,-63,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:06:30,29.0,79.1,19,30,33,458,0,-2,-63,-6,85,96,93,-1,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:06:45,29.0,79.0,20,28,30,458,0,-1,-65,-5,96,86,112,-1,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:07:00,29.0,79.1,20,30,33,458,0,-1,-65,-5,76,85,104,-1,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:07:15,29.0,79.1,20,30,34,458,0,-1,-64,-5,81,86,85,0,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:07:30,29.0,79.1,20,29,33,458,0,0,-64,-6,69,82,97,-1,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:07:45,29.0,79.0,20,30,33,458,0,-1,-64,-5,88,74,101,-1,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:08:00,29.0,79.0,20,30,34,459,0,-1,-64,-6,68,72,101,-1,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:08:15,29.0,79.1,20,30,34,459,0,-1,-64,-5,79,82,87,-2,-64,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:08:30,29.0,79.1,21,31,34,458,0,-2,-64,-4,82,80,104,0,-64,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:08:45,29.0,79.1,21,31,34,457,0,0,-64,-4,79,68,92,-1,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:09:00,29.0,79.1,21,31,35,457,0,-1,-64,-6,61,76,101,-2,-64,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:09:15,29.0,79.1,21,32,36,457,0,-2,-64,-5,97,77,94,-1,-65,-5,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:09:30,29.0,79.1,21,32,37,458,0,-1,-65,-5,73,77,116,0,-64,-7,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:09:45,29.0,79.0,22,32,37,458,0,0,-64,-7,79,95,101,-1,-65,-4,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
0C9A4249DBC6,2020-08-17,00:10:00,29.0,79.0,22,32,36,459,0,-1,-65,-4,77,93,82,0,-64,-6,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0
