mins 0 , noise_error =0.9482758620689655
mins 1 , noise_error =1.0
mins 2 , noise_error =1.0
mins 3 , noise_error =1.0
mins 4 , noise_error =0.9904761904761905
mins 5 , noise_error =1.0
mins 6 , noise_error =1.0
mins 7 , noise_error =1.0
mins 8 , noise_error =1.0
mins 9 , noise_error =1.0
mins 10 , noise_error =1.0
mins 11 , noise_error =1.0
mins 12 , noise_error =1.0
mins 13 , noise_error =1.0
mins 14 , noise_error =1.0
mins 15 , noise_error =1.0
mins 16 , noise_error =1.0
mins 17 , noise_error =1.0
mins 18 , noise_error =1.0
mins 19 , noise_error =0.9901960784313726
mins 20 , noise_error =1.0
mins 21 , noise_error =0.9903846153846154
mins 22 , noise_error =1.0
mins 23 , noise_error =1.0
mins 24 , noise_error =1.0
mins 25 , noise_error =1.0
mins 26 , noise_error =0.9902912621359223
mins 27 , noise_error =1.0
mins 28 , noise_error =1.0
mins 29 , noise_error =1.0
mins 30 , noise_error =1.0
mins 31 , noise_error =1.0
mins 32 , noise_error =1.0
mins 33 , noise_error =1.0
mins 34 , noise_error =1.0
mins 35 , noise_error =0.9910714285714286
mins 36 , noise_error =0.9152542372881356
mins 37 , noise_error =0.9920634920634921
mins 38 , noise_error =1.0
mins 39 , noise_error =1.0
mins 40 , noise_error =0.990990990990991
mins 41 , noise_error =1.0
mins 42 , noise_error =0.990990990990991
mins 43 , noise_error =1.0
mins 44 , noise_error =1.0
mins 45 , noise_error =0.9912280701754386
mins 46 , noise_error =1.0
mins 47 , noise_error =1.0
mins 48 , noise_error =1.0
mins 49 , noise_error =1.0
mins 50 , noise_error =1.0
mins 51 , noise_error =0.9385964912280702
mins 52 , noise_error =0.9913793103448276
mins 53 , noise_error =0.9912280701754386
mins 54 , noise_error =1.0
mins 55 , noise_error =0.9830508474576272
mins 56 , noise_error =1.0
mins 57 , noise_error =0.9586776859504132
mins 58 , noise_error =1.0
mins 59 , noise_error =1.0
mins 60 , noise_error =0.990909090909091
mins 61 , noise_error =1.0
mins 62 , noise_error =1.0
mins 63 , noise_error =1.0
mins 64 , noise_error =0.9661016949152542
mins 65 , noise_error =0.9829059829059829
mins 66 , noise_error =0.9914529914529915
mins 67 , noise_error =1.0
mins 68 , noise_error =0.9917355371900827
mins 69 , noise_error =0.9918032786885246
mins 70 , noise_error =0.9583333333333334
mins 71 , noise_error =0.9736842105263158
mins 72 , noise_error =1.0
mins 73 , noise_error =1.0
mins 74 , noise_error =0.9724770642201834
mins 75 , noise_error =1.0
mins 76 , noise_error =0.9901960784313726
mins 77 , noise_error =1.0
mins 78 , noise_error =1.0
mins 79 , noise_error =1.0
mins 80 , noise_error =1.0
mins 81 , noise_error =1.0
mins 82 , noise_error =1.0
mins 83 , noise_error =1.0
mins 84 , noise_error =1.0
mins 85 , noise_error =1.0
mins 86 , noise_error =1.0
mins 87 , noise_error =0.9907407407407407
mins 88 , noise_error =0.925
mins 89 , noise_error =0.9576271186440678
mins 90 , noise_error =0.9844961240310077
mins 91 , noise_error =1.0
mins 92 , noise_error =0.975609756097561
mins 93 , noise_error =0.8487394957983193
mins 94 , noise_error =0.7983870967741935
mins 95 , noise_error =0.7698412698412699
mins 96 , noise_error =0.7734375
mins 97 , noise_error =0.872
mins 98 , noise_error =0.904
mins 99 , noise_error =0.9098360655737705
mins 100 , noise_error =0.8359375
mins 101 , noise_error =0.825
mins 102 , noise_error =0.8244274809160306
mins 103 , noise_error =0.7426470588235294
mins 104 , noise_error =0.904
mins 105 , noise_error =0.952
mins 106 , noise_error =0.9917355371900827
mins 107 , noise_error =1.0
mins 108 , noise_error =0.9557522123893806
mins 109 , noise_error =0.9658119658119658
mins 110 , noise_error =0.6793893129770993
mins 111 , noise_error =0.8347107438016529
mins 112 , noise_error =0.8521739130434782
mins 113 , noise_error =0.8739495798319328
mins 114 , noise_error =0.9545454545454546
mins 115 , noise_error =0.7704918032786885
mins 116 , noise_error =0.8699186991869918
mins 117 , noise_error =0.8661417322834646
mins 118 , noise_error =0.7651515151515151
mins 119 , noise_error =0.9037037037037037
mins 120 , noise_error =0.976
mins 121 , noise_error =1.0
mins 122 , noise_error =1.0
mins 123 , noise_error =1.0
mins 124 , noise_error =0.84
mins 125 , noise_error =0.8448275862068966
mins 126 , noise_error =0.7226890756302521
mins 127 , noise_error =0.8373983739837398
mins 128 , noise_error =0.7723577235772358
mins 129 , noise_error =0.8425196850393701
mins 130 , noise_error =0.7372881355932204
mins 131 , noise_error =0.813953488372093
mins 132 , noise_error =1.0
mins 133 , noise_error =0.9838709677419355
mins 134 , noise_error =1.0
mins 135 , noise_error =0.96875
mins 136 , noise_error =1.0
mins 137 , noise_error =1.0
mins 138 , noise_error =0.9734513274336283
mins 139 , noise_error =0.9834710743801653
mins 140 , noise_error =1.0
mins 141 , noise_error =1.0
mins 142 , noise_error =1.0
mins 143 , noise_error =0.9741379310344828
mins 144 , noise_error =0.9836065573770492
mins 145 , noise_error =0.9921259842519685
mins 146 , noise_error =0.95
mins 147 , noise_error =0.9836065573770492
mins 148 , noise_error =1.0
mins 149 , noise_error =1.0
mins 150 , noise_error =1.0
mins 151 , noise_error =1.0
mins 152 , noise_error =1.0
mins 153 , noise_error =0.9508196721311475
mins 154 , noise_error =0.944
mins 155 , noise_error =0.9761904761904762
mins 156 , noise_error =0.9848484848484849
mins 157 , noise_error =0.9285714285714286
mins 158 , noise_error =0.888
mins 159 , noise_error =0.916030534351145
mins 160 , noise_error =0.9545454545454546
mins 161 , noise_error =0.9774436090225564
mins 162 , noise_error =0.9461538461538461
mins 163 , noise_error =0.9398496240601504
mins 164 , noise_error =0.9851851851851852
mins 165 , noise_error =0.9473684210526316
mins 166 , noise_error =0.9530201342281879
mins 167 , noise_error =0.9811320754716981
mins 168 , noise_error =0.9813664596273292
mins 169 , noise_error =0.9932432432432432
mins 170 , noise_error =1.0
mins 171 , noise_error =1.0
mins 172 , noise_error =0.9931972789115646
mins 173 , noise_error =0.8987341772151899
mins 174 , noise_error =0.9182389937106918
mins 175 , noise_error =0.9634146341463414
mins 176 , noise_error =0.9391891891891891
mins 177 , noise_error =0.9296875
mins 178 , noise_error =0.9652173913043478
mins 179 , noise_error =1.0
mins 180 , noise_error =1.0
mins 181 , noise_error =0.9911504424778761
mins 182 , noise_error =0.9576271186440678
mins 183 , noise_error =1.0
mins 184 , noise_error =1.0
mins 185 , noise_error =1.0
mins 186 , noise_error =1.0
mins 187 , noise_error =1.0
mins 188 , noise_error =1.0
mins 189 , noise_error =1.0
mins 190 , noise_error =1.0
