mins 2590 , noise_error =1.0
mins 2591 , noise_error =1.0
mins 2592 , noise_error =1.0
mins 2593 , noise_error =1.0
mins 2594 , noise_error =0.9529411764705882
mins 2595 , noise_error =0.9659090909090909
mins 2596 , noise_error =1.0
mins 2597 , noise_error =0.8681318681318682
mins 2598 , noise_error =1.0
mins 2599 , noise_error =1.0
mins 2600 , noise_error =1.0
mins 2601 , noise_error =1.0
mins 2602 , noise_error =1.0
mins 2603 , noise_error =1.0
mins 2604 , noise_error =1.0
mins 2605 , noise_error =0.9791666666666666
mins 2606 , noise_error =1.0
mins 2607 , noise_error =1.0
mins 2608 , noise_error =1.0
mins 2609 , noise_error =1.0
mins 2610 , noise_error =1.0
mins 2611 , noise_error =1.0
mins 2612 , noise_error =1.0
mins 2613 , noise_error =1.0
mins 2614 , noise_error =0.9896907216494846
mins 2615 , noise_error =1.0
mins 2616 , noise_error =1.0
mins 2617 , noise_error =0.9891304347826086
mins 2618 , noise_error =1.0
mins 2619 , noise_error =0.9880952380952381
mins 2620 , noise_error =1.0
mins 2621 , noise_error =0.9775280898876404
mins 2622 , noise_error =1.0
mins 2623 , noise_error =1.0
mins 2624 , noise_error =1.0
mins 2625 , noise_error =1.0
mins 2626 , noise_error =1.0
mins 2627 , noise_error =1.0
mins 2628 , noise_error =1.0
mins 2629 , noise_error =1.0
mins 2630 , noise_error =0.9886363636363636
mins 2631 , noise_error =1.0
mins 2632 , noise_error =0.989010989010989
mins 2633 , noise_error =0.9285714285714286
mins 2634 , noise_error =0.9885057471264368
mins 2635 , noise_error =0.7848101265822784
mins 2636 , noise_error =0.6363636363636364
mins 2637 , noise_error =0.5757575757575757
mins 2638 , noise_error =0.8518518518518519
mins 2639 , noise_error =1.0
mins 2640 , noise_error =1.0
mins 2641 , noise_error =1.0
mins 2642 , noise_error =0.9885057471264368
mins 2643 , noise_error =1.0
mins 2644 , noise_error =0.9404761904761905
mins 2645 , noise_error =1.0
mins 2646 , noise_error =1.0
mins 2647 , noise_error =1.0
mins 2648 , noise_error =1.0
mins 2649 , noise_error =1.0
mins 2650 , noise_error =0.9880952380952381
mins 2651 , noise_error =1.0
mins 2652 , noise_error =1.0
mins 2653 , noise_error =0.9880952380952381
mins 2654 , noise_error =1.0
mins 2655 , noise_error =1.0
mins 2656 , noise_error =1.0
mins 2657 , noise_error =0.6567164179104478
mins 2658 , noise_error =0.5666666666666667
mins 2659 , noise_error =0.6567164179104478
mins 2660 , noise_error =1.0
mins 2661 , noise_error =1.0
mins 2662 , noise_error =0.4727272727272728
mins 2663 , noise_error =1.0
mins 2664 , noise_error =1.0
mins 2665 , noise_error =0.55
mins 2666 , noise_error =1.0
mins 2667 , noise_error =1.0
mins 2668 , noise_error =1.0
mins 2669 , noise_error =1.0
mins 2670 , noise_error =1.0
mins 2671 , noise_error =1.0
mins 2672 , noise_error =1.0
mins 2673 , noise_error =0.543859649122807
mins 2674 , noise_error =1.0
mins 2675 , noise_error =1.0
mins 2676 , noise_error =1.0
mins 2677 , noise_error =1.0
