mins 1020 , noise_error =0.9047619047619048
mins 1021 , noise_error =0.9418604651162791
mins 1022 , noise_error =0.9873417721518988
mins 1023 , noise_error =0.9662921348314607
mins 1024 , noise_error =0.8817204301075269
mins 1025 , noise_error =0.9880952380952381
mins 1026 , noise_error =1.0
mins 1027 , noise_error =1.0
mins 1028 , noise_error =1.0
mins 1029 , noise_error =1.0
mins 1030 , noise_error =0.9759036144578314
mins 1031 , noise_error =1.0
mins 1032 , noise_error =1.0
mins 1033 , noise_error =0.9761904761904762
mins 1034 , noise_error =1.0
mins 1035 , noise_error =1.0
mins 1036 , noise_error =0.9772727272727273
mins 1037 , noise_error =0.9878048780487805
mins 1038 , noise_error =1.0
mins 1039 , noise_error =1.0
mins 1040 , noise_error =1.0
mins 1041 , noise_error =1.0
mins 1042 , noise_error =1.0
mins 1043 , noise_error =1.0
mins 1044 , noise_error =1.0
mins 1045 , noise_error =1.0
mins 1046 , noise_error =1.0
mins 1047 , noise_error =1.0
mins 1048 , noise_error =1.0
mins 1049 , noise_error =1.0
mins 1050 , noise_error =1.0
mins 1051 , noise_error =1.0
mins 1052 , noise_error =1.0
mins 1053 , noise_error =1.0
mins 1054 , noise_error =0.9746835443037974
mins 1055 , noise_error =1.0
mins 1056 , noise_error =1.0
mins 1057 , noise_error =1.0
mins 1058 , noise_error =0.9886363636363636
mins 1059 , noise_error =1.0
mins 1060 , noise_error =1.0
mins 1061 , noise_error =1.0
mins 1062 , noise_error =1.0
mins 1063 , noise_error =1.0
mins 1064 , noise_error =1.0
mins 1065 , noise_error =1.0
mins 1066 , noise_error =1.0
mins 1067 , noise_error =1.0
mins 1068 , noise_error =0.9873417721518988
mins 1069 , noise_error =1.0
mins 1070 , noise_error =1.0
mins 1071 , noise_error =1.0
mins 1072 , noise_error =1.0
mins 1073 , noise_error =1.0
mins 1074 , noise_error =1.0
mins 1075 , noise_error =1.0
mins 1076 , noise_error =1.0
mins 1077 , noise_error =1.0
mins 1078 , noise_error =0.9882352941176471
mins 1079 , noise_error =1.0
mins 1080 , noise_error =1.0
mins 1081 , noise_error =0.9746835443037974
mins 1082 , noise_error =1.0
mins 1083 , noise_error =0.872093023255814
mins 1084 , noise_error =1.0
mins 1085 , noise_error =1.0
mins 1086 , noise_error =1.0
mins 1087 , noise_error =1.0
mins 1088 , noise_error =1.0
mins 1089 , noise_error =1.0
mins 1090 , noise_error =1.0
mins 1091 , noise_error =1.0
mins 1092 , noise_error =1.0
mins 1093 , noise_error =1.0
mins 1094 , noise_error =1.0
mins 1095 , noise_error =1.0
mins 1096 , noise_error =0.9795918367346939
mins 1097 , noise_error =1.0
mins 1098 , noise_error =1.0
mins 1099 , noise_error =1.0
mins 1100 , noise_error =1.0
mins 1101 , noise_error =1.0
mins 1102 , noise_error =1.0
mins 1103 , noise_error =1.0
mins 1104 , noise_error =0.9777777777777777
mins 1105 , noise_error =1.0
mins 1106 , noise_error =1.0
mins 1107 , noise_error =1.0
mins 1108 , noise_error =1.0
mins 1109 , noise_error =1.0
mins 1110 , noise_error =1.0
mins 1111 , noise_error =1.0
mins 1112 , noise_error =1.0
mins 1113 , noise_error =0.8764044943820225
mins 1114 , noise_error =0.868421052631579
mins 1115 , noise_error =1.0
mins 1116 , noise_error =0.9537037037037037
mins 1117 , noise_error =0.7264150943396226
mins 1118 , noise_error =0.7102803738317758
mins 1119 , noise_error =0.9456521739130435
mins 1120 , noise_error =1.0
mins 1121 , noise_error =0.9438202247191011
mins 1122 , noise_error =0.9318181818181819
mins 1123 , noise_error =0.9302325581395349
mins 1124 , noise_error =1.0
mins 1125 , noise_error =1.0
mins 1126 , noise_error =0.8181818181818181
mins 1127 , noise_error =0.8620689655172413
mins 1128 , noise_error =0.9887640449438202
mins 1129 , noise_error =1.0
mins 1130 , noise_error =1.0
mins 1131 , noise_error =1.0
mins 1132 , noise_error =0.8913043478260869
mins 1133 , noise_error =1.0
mins 1134 , noise_error =1.0
mins 1135 , noise_error =1.0
mins 1136 , noise_error =1.0
mins 1137 , noise_error =0.8292682926829268
mins 1138 , noise_error =0.8295454545454546
mins 1139 , noise_error =0.7906976744186046
mins 1140 , noise_error =0.963855421686747
mins 1141 , noise_error =1.0
mins 1142 , noise_error =1.0
mins 1143 , noise_error =1.0
mins 1144 , noise_error =0.9545454545454546
mins 1145 , noise_error =1.0
mins 1146 , noise_error =1.0
mins 1147 , noise_error =1.0
mins 1148 , noise_error =1.0
mins 1149 , noise_error =1.0
mins 1150 , noise_error =0.9753086419753086
mins 1151 , noise_error =1.0
mins 1152 , noise_error =1.0
mins 1153 , noise_error =1.0
mins 1154 , noise_error =1.0
mins 1155 , noise_error =1.0
mins 1156 , noise_error =1.0
mins 1157 , noise_error =1.0
