1949, 1551776521, lead_off:True/12.699, confidence:0.000, big_r:0, small_r0, Polarity:0, No_R:16, hfb: 3
1950, 1551776581, lead_off:True/13.065, confidence:0.000, big_r:1, small_r0, Polarity:0, No_R:26, hfb: 2
1951, 1551776641, lead_off:True/13.010, confidence:0.034, big_r:0, small_r0, Polarity:0, No_R:29, hfb: 0
1952, 1551776701, lead_off:False/9.910, confidence:0.440, big_r:2, small_r0, Polarity:0, No_R:25, hfb: 3
1987, 1551778801, lead_off:False/7.970, confidence:0.897, big_r:2, small_r0, Polarity:0, No_R:97, hfb: 2
1989, 1551778921, lead_off:False/8.345, confidence:0.954, big_r:2, small_r0, Polarity:0, No_R:108, hfb: 5
2004, 1551779821, lead_off:False/8.259, confidence:0.892, big_r:3, small_r0, Polarity:0, No_R:120, hfb: 3
2029, 1551781321, lead_off:False/8.683, confidence:0.972, big_r:3, small_r0, Polarity:0, No_R:106, hfb: 3
2040, 1551781981, lead_off:False/8.941, confidence:0.736, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
2044, 1551782221, lead_off:False/8.927, confidence:0.681, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 3
2045, 1551782281, lead_off:False/8.707, confidence:0.657, big_r:3, small_r0, Polarity:0, No_R:108, hfb: 6
2046, 1551782341, lead_off:False/9.022, confidence:0.653, big_r:2, small_r0, Polarity:0, No_R:121, hfb: 3
2060, 1551783181, lead_off:False/9.209, confidence:0.648, big_r:0, small_r0, Polarity:0, No_R:125, hfb: 1
2061, 1551783241, lead_off:False/9.291, confidence:0.694, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
2062, 1551783301, lead_off:False/9.300, confidence:0.678, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 1
2063, 1551783361, lead_off:False/9.313, confidence:0.667, big_r:1, small_r0, Polarity:0, No_R:123, hfb: 1
2064, 1551783421, lead_off:False/9.311, confidence:0.738, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
2065, 1551783481, lead_off:False/9.367, confidence:0.702, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
2066, 1551783541, lead_off:False/9.462, confidence:0.720, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
2067, 1551783601, lead_off:False/9.402, confidence:0.564, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 1
2068, 1551783661, lead_off:False/9.491, confidence:0.637, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2069, 1551783721, lead_off:False/9.537, confidence:0.757, big_r:3, small_r0, Polarity:0, No_R:115, hfb: 4
2070, 1551783781, lead_off:False/9.562, confidence:0.730, big_r:1, small_r0, Polarity:0, No_R:111, hfb: 4
2086, 1551784741, lead_off:False/6.737, confidence:0.595, big_r:0, small_r2, Polarity:0, No_R:111, hfb: 5
