mins 540 , noise_error =1.0
mins 541 , noise_error =1.0
mins 542 , noise_error =1.0
mins 543 , noise_error =1.0
mins 544 , noise_error =1.0
mins 545 , noise_error =1.0
mins 546 , noise_error =1.0
mins 547 , noise_error =1.0
mins 548 , noise_error =1.0
mins 549 , noise_error =1.0
mins 550 , noise_error =1.0
mins 551 , noise_error =1.0
mins 552 , noise_error =1.0
mins 553 , noise_error =1.0
mins 554 , noise_error =1.0
mins 555 , noise_error =1.0
mins 556 , noise_error =1.0
mins 557 , noise_error =1.0
mins 558 , noise_error =1.0
mins 559 , noise_error =1.0
mins 560 , noise_error =1.0
mins 561 , noise_error =1.0
mins 562 , noise_error =1.0
mins 563 , noise_error =0.9797979797979798
mins 564 , noise_error =0.9888888888888889
mins 565 , noise_error =1.0
mins 566 , noise_error =1.0
mins 567 , noise_error =1.0
mins 568 , noise_error =1.0
mins 569 , noise_error =1.0
mins 570 , noise_error =1.0
mins 571 , noise_error =1.0
mins 572 , noise_error =1.0
mins 573 , noise_error =1.0
mins 574 , noise_error =1.0
mins 575 , noise_error =1.0
mins 576 , noise_error =1.0
mins 577 , noise_error =0.9885057471264368
mins 578 , noise_error =1.0
mins 579 , noise_error =0.989010989010989
mins 580 , noise_error =1.0
mins 581 , noise_error =1.0
mins 582 , noise_error =0.83
mins 583 , noise_error =0.5888888888888889
mins 584 , noise_error =0.9523809523809523
mins 585 , noise_error =0.9885057471264368
mins 586 , noise_error =1.0
mins 587 , noise_error =1.0
mins 588 , noise_error =1.0
mins 589 , noise_error =1.0
mins 590 , noise_error =1.0
mins 591 , noise_error =0.9340659340659341
mins 592 , noise_error =1.0
mins 593 , noise_error =1.0
mins 594 , noise_error =1.0
mins 595 , noise_error =0.7261904761904762
mins 596 , noise_error =1.0
mins 597 , noise_error =0.9545454545454546
mins 598 , noise_error =0.9545454545454546
mins 599 , noise_error =1.0
mins 600 , noise_error =1.0
mins 601 , noise_error =1.0
mins 602 , noise_error =1.0
mins 603 , noise_error =1.0
mins 604 , noise_error =1.0
mins 605 , noise_error =1.0
mins 606 , noise_error =1.0
mins 607 , noise_error =1.0
mins 608 , noise_error =1.0
mins 609 , noise_error =1.0
mins 610 , noise_error =1.0
mins 611 , noise_error =1.0
mins 612 , noise_error =0.8275862068965517
mins 613 , noise_error =0.9764705882352941
mins 614 , noise_error =1.0
mins 615 , noise_error =1.0
mins 616 , noise_error =0.9868421052631579
mins 617 , noise_error =1.0
mins 618 , noise_error =1.0
mins 619 , noise_error =0.97
mins 620 , noise_error =0.989010989010989
mins 621 , noise_error =1.0
mins 622 , noise_error =1.0
mins 623 , noise_error =1.0
mins 624 , noise_error =1.0
mins 625 , noise_error =1.0
mins 626 , noise_error =1.0
mins 627 , noise_error =1.0
mins 628 , noise_error =1.0
mins 629 , noise_error =1.0
mins 630 , noise_error =1.0
mins 631 , noise_error =1.0
mins 632 , noise_error =1.0
mins 633 , noise_error =1.0
mins 634 , noise_error =1.0
mins 635 , noise_error =1.0
mins 636 , noise_error =1.0
mins 637 , noise_error =1.0
mins 638 , noise_error =1.0
mins 639 , noise_error =1.0
mins 640 , noise_error =1.0
mins 641 , noise_error =1.0
mins 642 , noise_error =1.0
mins 643 , noise_error =1.0
mins 644 , noise_error =1.0
mins 645 , noise_error =1.0
mins 646 , noise_error =1.0
mins 647 , noise_error =1.0
mins 648 , noise_error =1.0
mins 649 , noise_error =1.0
