mins 740 , noise_error =1.0
mins 741 , noise_error =0.8243243243243243
mins 742 , noise_error =1.0
mins 743 , noise_error =1.0
mins 744 , noise_error =1.0
mins 745 , noise_error =1.0
mins 746 , noise_error =1.0
mins 747 , noise_error =1.0
mins 748 , noise_error =1.0
mins 749 , noise_error =1.0
mins 750 , noise_error =1.0
mins 751 , noise_error =1.0
mins 752 , noise_error =1.0
mins 753 , noise_error =1.0
mins 754 , noise_error =1.0
mins 755 , noise_error =1.0
mins 756 , noise_error =1.0
mins 757 , noise_error =0.9253731343283582
mins 758 , noise_error =1.0
mins 759 , noise_error =1.0
mins 760 , noise_error =1.0
mins 761 , noise_error =1.0
mins 762 , noise_error =1.0
mins 763 , noise_error =1.0
mins 764 , noise_error =1.0
mins 765 , noise_error =1.0
mins 766 , noise_error =1.0
mins 767 , noise_error =1.0
mins 768 , noise_error =1.0
mins 769 , noise_error =1.0
mins 770 , noise_error =1.0
mins 771 , noise_error =1.0
mins 772 , noise_error =1.0
mins 773 , noise_error =1.0
mins 774 , noise_error =1.0
mins 775 , noise_error =1.0
mins 776 , noise_error =1.0
mins 777 , noise_error =0.9552238805970149
mins 778 , noise_error =0.9428571428571428
mins 779 , noise_error =0.8588235294117648
mins 780 , noise_error =0.7692307692307692
mins 781 , noise_error =0.95
mins 782 , noise_error =1.0
mins 783 , noise_error =1.0
mins 784 , noise_error =0.9871794871794872
mins 785 , noise_error =0.9166666666666666
mins 786 , noise_error =1.0
mins 787 , noise_error =1.0
mins 788 , noise_error =1.0
mins 789 , noise_error =1.0
mins 790 , noise_error =0.935483870967742
mins 791 , noise_error =0.9523809523809523
mins 792 , noise_error =1.0
mins 793 , noise_error =1.0
mins 794 , noise_error =1.0
mins 795 , noise_error =1.0
mins 796 , noise_error =0.7761194029850746
mins 797 , noise_error =0.7397260273972603
mins 798 , noise_error =1.0
mins 799 , noise_error =1.0
mins 800 , noise_error =1.0
mins 801 , noise_error =1.0
mins 802 , noise_error =0.9666666666666667
mins 803 , noise_error =1.0
mins 804 , noise_error =1.0
mins 805 , noise_error =0.96875
mins 806 , noise_error =0.9836065573770492
mins 807 , noise_error =1.0
mins 808 , noise_error =1.0
mins 809 , noise_error =1.0
mins 810 , noise_error =0.9523809523809523
mins 811 , noise_error =1.0
mins 812 , noise_error =1.0
mins 813 , noise_error =1.0
mins 814 , noise_error =0.8450704225352113
mins 815 , noise_error =0.8571428571428572
mins 816 , noise_error =1.0
mins 817 , noise_error =1.0
mins 818 , noise_error =0.967741935483871
mins 819 , noise_error =1.0
mins 820 , noise_error =1.0
mins 821 , noise_error =1.0
mins 822 , noise_error =0.8615384615384616
mins 823 , noise_error =1.0
mins 824 , noise_error =0.9833333333333333
mins 825 , noise_error =1.0
mins 826 , noise_error =1.0
mins 827 , noise_error =1.0
mins 828 , noise_error =1.0
mins 829 , noise_error =0.9090909090909091
mins 830 , noise_error =1.0
mins 831 , noise_error =1.0
mins 832 , noise_error =0.8656716417910448
mins 833 , noise_error =1.0
mins 834 , noise_error =1.0
mins 835 , noise_error =1.0
mins 836 , noise_error =1.0
mins 837 , noise_error =1.0
mins 838 , noise_error =1.0
mins 839 , noise_error =1.0
mins 840 , noise_error =1.0
mins 841 , noise_error =1.0
mins 842 , noise_error =1.0
mins 843 , noise_error =1.0
mins 844 , noise_error =1.0
mins 845 , noise_error =1.0
mins 846 , noise_error =1.0
mins 847 , noise_error =0.9846153846153847
mins 848 , noise_error =1.0
mins 849 , noise_error =1.0
mins 850 , noise_error =1.0
mins 851 , noise_error =1.0
mins 852 , noise_error =1.0
mins 853 , noise_error =1.0
mins 854 , noise_error =1.0
mins 855 , noise_error =1.0
mins 856 , noise_error =0.9705882352941176
mins 857 , noise_error =0.9078947368421053
mins 858 , noise_error =0.8666666666666667
mins 859 , noise_error =1.0
mins 860 , noise_error =1.0
mins 861 , noise_error =1.0
mins 862 , noise_error =1.0
mins 863 , noise_error =1.0
mins 864 , noise_error =0.9846153846153847
mins 865 , noise_error =0.8985507246376812
mins 866 , noise_error =1.0
mins 867 , noise_error =1.0
mins 868 , noise_error =1.0
mins 869 , noise_error =1.0
mins 870 , noise_error =1.0
mins 871 , noise_error =0.9855072463768116
mins 872 , noise_error =1.0
mins 873 , noise_error =1.0
mins 874 , noise_error =1.0
mins 875 , noise_error =0.9452054794520548
mins 876 , noise_error =0.9841269841269842
mins 877 , noise_error =1.0
mins 878 , noise_error =0.9661016949152542
mins 879 , noise_error =0.90625
mins 880 , noise_error =0.8985507246376812
mins 881 , noise_error =1.0
mins 882 , noise_error =1.0
mins 883 , noise_error =1.0
mins 884 , noise_error =1.0
mins 885 , noise_error =1.0
mins 886 , noise_error =0.967741935483871
mins 887 , noise_error =1.0
mins 888 , noise_error =0.9516129032258065
mins 889 , noise_error =1.0
mins 890 , noise_error =1.0
mins 891 , noise_error =1.0
mins 892 , noise_error =1.0
mins 893 , noise_error =1.0
mins 894 , noise_error =1.0
mins 895 , noise_error =0.875
mins 896 , noise_error =1.0
mins 897 , noise_error =1.0
mins 898 , noise_error =1.0
mins 899 , noise_error =1.0
mins 900 , noise_error =0.9436619718309859
mins 901 , noise_error =0.8472222222222222
mins 902 , noise_error =1.0
mins 903 , noise_error =1.0
mins 904 , noise_error =0.9558823529411765
mins 905 , noise_error =1.0
mins 906 , noise_error =1.0
mins 907 , noise_error =0.9852941176470589
mins 908 , noise_error =0.96875
mins 909 , noise_error =0.9692307692307692
mins 910 , noise_error =1.0
mins 911 , noise_error =0.9836065573770492
mins 912 , noise_error =1.0
mins 913 , noise_error =0.9841269841269842
mins 914 , noise_error =0.8333333333333334
mins 915 , noise_error =0.7464788732394366
mins 916 , noise_error =1.0
mins 917 , noise_error =1.0
mins 918 , noise_error =1.0
mins 919 , noise_error =1.0
mins 920 , noise_error =1.0
mins 921 , noise_error =1.0
mins 922 , noise_error =1.0
mins 923 , noise_error =1.0
mins 924 , noise_error =0.8714285714285714
mins 925 , noise_error =1.0
mins 926 , noise_error =1.0
mins 927 , noise_error =1.0
mins 928 , noise_error =1.0
mins 929 , noise_error =1.0
mins 930 , noise_error =1.0
mins 931 , noise_error =1.0
mins 932 , noise_error =1.0
mins 933 , noise_error =1.0
mins 934 , noise_error =0.875
mins 935 , noise_error =1.0
mins 936 , noise_error =1.0
mins 937 , noise_error =1.0
mins 938 , noise_error =1.0
mins 939 , noise_error =0.8235294117647058
