mins 1420 , noise_error =1.0
mins 1421 , noise_error =1.0
mins 1422 , noise_error =1.0
mins 1423 , noise_error =0.9818181818181818
mins 1424 , noise_error =1.0
mins 1425 , noise_error =1.0
mins 1426 , noise_error =1.0
mins 1427 , noise_error =0.990909090909091
mins 1428 , noise_error =0.972972972972973
mins 1429 , noise_error =1.0
mins 1430 , noise_error =0.962962962962963
mins 1431 , noise_error =0.9811320754716981
mins 1432 , noise_error =1.0
mins 1433 , noise_error =1.0
mins 1434 , noise_error =1.0
mins 1435 , noise_error =0.9903846153846154
mins 1436 , noise_error =0.9903846153846154
mins 1437 , noise_error =0.9904761904761905
mins 1438 , noise_error =0.99
mins 1439 , noise_error =1.0
mins 1440 , noise_error =1.0
mins 1441 , noise_error =0.9826086956521739
mins 1442 , noise_error =0.9910714285714286
mins 1443 , noise_error =1.0
mins 1444 , noise_error =0.9821428571428571
mins 1445 , noise_error =1.0
mins 1446 , noise_error =1.0
mins 1447 , noise_error =1.0
mins 1448 , noise_error =1.0
mins 1449 , noise_error =1.0
mins 1450 , noise_error =0.956140350877193
mins 1451 , noise_error =0.9652173913043478
mins 1452 , noise_error =0.9739130434782609
mins 1453 , noise_error =0.9401709401709402
mins 1454 , noise_error =1.0
mins 1455 , noise_error =1.0
mins 1456 , noise_error =0.9826086956521739
mins 1457 , noise_error =1.0
mins 1458 , noise_error =1.0
mins 1459 , noise_error =1.0
mins 1460 , noise_error =1.0
mins 1461 , noise_error =1.0
mins 1462 , noise_error =1.0
mins 1463 , noise_error =0.8679245283018868
mins 1464 , noise_error =0.6785714285714286
mins 1465 , noise_error =0.6274509803921569
mins 1466 , noise_error =0.7247706422018348
mins 1467 , noise_error =0.8
mins 1468 , noise_error =0.808695652173913
mins 1469 , noise_error =1.0
mins 1470 , noise_error =1.0
mins 1471 , noise_error =1.0
mins 1472 , noise_error =1.0
mins 1473 , noise_error =1.0
mins 1474 , noise_error =1.0
mins 1475 , noise_error =1.0
mins 1476 , noise_error =1.0
mins 1477 , noise_error =1.0
mins 1478 , noise_error =1.0
mins 1479 , noise_error =1.0
mins 1480 , noise_error =1.0
mins 1481 , noise_error =1.0
mins 1482 , noise_error =1.0
mins 1483 , noise_error =1.0
mins 1484 , noise_error =0.9908256880733946
mins 1485 , noise_error =1.0
mins 1486 , noise_error =1.0
mins 1487 , noise_error =1.0
mins 1488 , noise_error =1.0
mins 1489 , noise_error =1.0
mins 1490 , noise_error =1.0
mins 1491 , noise_error =0.9906542056074766
mins 1492 , noise_error =1.0
mins 1493 , noise_error =1.0
mins 1494 , noise_error =0.9809523809523809
mins 1495 , noise_error =1.0
mins 1496 , noise_error =1.0
mins 1497 , noise_error =0.981651376146789
mins 1498 , noise_error =0.981651376146789
mins 1499 , noise_error =1.0
mins 1500 , noise_error =1.0
mins 1501 , noise_error =1.0
mins 1502 , noise_error =1.0
mins 1503 , noise_error =0.9807692307692307
mins 1504 , noise_error =0.9801980198019802
mins 1505 , noise_error =1.0
mins 1506 , noise_error =1.0
mins 1507 , noise_error =1.0
mins 1508 , noise_error =0.9905660377358491
mins 1509 , noise_error =1.0
mins 1510 , noise_error =1.0
mins 1511 , noise_error =1.0
mins 1512 , noise_error =1.0
mins 1513 , noise_error =1.0
mins 1514 , noise_error =0.9907407407407407
mins 1515 , noise_error =0.9469026548672567
mins 1516 , noise_error =0.9826086956521739
mins 1517 , noise_error =0.9809523809523809
mins 1518 , noise_error =1.0
mins 1519 , noise_error =1.0
mins 1520 , noise_error =0.9739130434782609
mins 1521 , noise_error =1.0
mins 1522 , noise_error =1.0
mins 1523 , noise_error =1.0
mins 1524 , noise_error =1.0
mins 1525 , noise_error =1.0
mins 1526 , noise_error =1.0
mins 1527 , noise_error =1.0
mins 1528 , noise_error =1.0
mins 1529 , noise_error =1.0
mins 1530 , noise_error =0.9818181818181818
mins 1531 , noise_error =0.9705882352941176
mins 1532 , noise_error =0.99
mins 1533 , noise_error =1.0
mins 1534 , noise_error =1.0
mins 1535 , noise_error =1.0
mins 1536 , noise_error =1.0
mins 1537 , noise_error =1.0
mins 1538 , noise_error =1.0
mins 1539 , noise_error =1.0
mins 1540 , noise_error =0.981651376146789
mins 1541 , noise_error =0.9906542056074766
mins 1542 , noise_error =1.0
mins 1543 , noise_error =1.0
mins 1544 , noise_error =1.0
mins 1545 , noise_error =0.9901960784313726
mins 1546 , noise_error =1.0
mins 1547 , noise_error =0.9807692307692307
mins 1548 , noise_error =1.0
mins 1549 , noise_error =0.9803921568627451
mins 1550 , noise_error =1.0
mins 1551 , noise_error =1.0
mins 1552 , noise_error =1.0
mins 1553 , noise_error =1.0
mins 1554 , noise_error =1.0
mins 1555 , noise_error =1.0
mins 1556 , noise_error =0.9905660377358491
mins 1557 , noise_error =1.0
mins 1558 , noise_error =0.990909090909091
mins 1559 , noise_error =1.0
mins 1560 , noise_error =1.0
mins 1561 , noise_error =1.0
mins 1562 , noise_error =1.0
mins 1563 , noise_error =0.9809523809523809
mins 1564 , noise_error =0.9813084112149533
mins 1565 , noise_error =0.981651376146789
mins 1566 , noise_error =1.0
mins 1567 , noise_error =1.0
mins 1568 , noise_error =0.963963963963964
mins 1569 , noise_error =0.9646017699115044
mins 1570 , noise_error =0.981651376146789
mins 1571 , noise_error =0.9903846153846154
mins 1572 , noise_error =0.9724770642201834
mins 1573 , noise_error =0.9642857142857143
mins 1574 , noise_error =0.9444444444444444
mins 1575 , noise_error =0.8785046728971962
mins 1576 , noise_error =0.9351851851851852
mins 1577 , noise_error =0.9818181818181818
mins 1578 , noise_error =0.9719626168224299
mins 1579 , noise_error =0.9514563106796117
mins 1580 , noise_error =1.0
mins 1581 , noise_error =0.9818181818181818
mins 1582 , noise_error =1.0
mins 1583 , noise_error =0.9636363636363636
mins 1584 , noise_error =0.9743589743589743
mins 1585 , noise_error =0.9831932773109243
mins 1586 , noise_error =0.9915966386554622
mins 1587 , noise_error =0.9385964912280702
mins 1588 , noise_error =1.0
mins 1589 , noise_error =1.0
mins 1590 , noise_error =1.0
mins 1591 , noise_error =1.0
mins 1592 , noise_error =1.0
mins 1593 , noise_error =0.9907407407407407
mins 1594 , noise_error =0.991304347826087
mins 1595 , noise_error =1.0
mins 1596 , noise_error =0.9908256880733946
mins 1597 , noise_error =1.0
mins 1598 , noise_error =1.0
mins 1599 , noise_error =1.0
mins 1600 , noise_error =1.0
mins 1601 , noise_error =1.0
mins 1602 , noise_error =1.0
mins 1603 , noise_error =1.0
mins 1604 , noise_error =1.0
mins 1605 , noise_error =1.0
mins 1606 , noise_error =1.0
mins 1607 , noise_error =1.0
mins 1608 , noise_error =1.0
mins 1609 , noise_error =1.0
mins 1610 , noise_error =0.9893617021276596
mins 1611 , noise_error =0.9894736842105263
mins 1612 , noise_error =1.0
mins 1613 , noise_error =1.0
mins 1614 , noise_error =0.9893617021276596
mins 1615 , noise_error =0.989247311827957
mins 1616 , noise_error =1.0
mins 1617 , noise_error =1.0
mins 1618 , noise_error =1.0
mins 1619 , noise_error =1.0
mins 1620 , noise_error =1.0
mins 1621 , noise_error =1.0
mins 1622 , noise_error =1.0
mins 1623 , noise_error =0.978021978021978
mins 1624 , noise_error =0.9791666666666666
mins 1625 , noise_error =1.0
mins 1626 , noise_error =1.0
mins 1627 , noise_error =1.0
mins 1628 , noise_error =1.0
mins 1629 , noise_error =1.0
mins 1630 , noise_error =1.0
mins 1631 , noise_error =1.0
mins 1632 , noise_error =1.0
mins 1633 , noise_error =1.0
mins 1634 , noise_error =1.0
mins 1635 , noise_error =0.9893617021276596
mins 1636 , noise_error =1.0
mins 1637 , noise_error =1.0
mins 1638 , noise_error =1.0
mins 1639 , noise_error =1.0
mins 1640 , noise_error =1.0
mins 1641 , noise_error =1.0
mins 1642 , noise_error =1.0
mins 1643 , noise_error =1.0
mins 1644 , noise_error =1.0
mins 1645 , noise_error =1.0
mins 1646 , noise_error =1.0
mins 1647 , noise_error =1.0
mins 1648 , noise_error =1.0
mins 1649 , noise_error =1.0
