datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,cPM1,cPM2.5
2019-03-11 09:09:15,0C9A4249DBE1,2019-03-11,09:09:15,20.0,64.2,28,45,59,1027,0,2,-65,-4,43,40,55,3,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,17.377
2019-03-11 09:11:15,0C9A4249DBE1,2019-03-11,09:11:15,19.5,66.0,28,43,61,626,0,2,-66,-3,1525,1837,4305,-5,-51,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.737
2019-03-11 09:11:30,0C9A4249DBE1,2019-03-11,09:11:30,19.4,66.0,28,44,60,607,0,-5,-51,34,346,497,566,5,-64,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,17.057
2019-03-11 09:11:45,0C9A4249DBE1,2019-03-11,09:11:45,19.7,66.2,28,43,55,590,0,5,-64,-4,264,277,296,1,-65,-2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.737
2019-03-11 09:12:00,0C9A4249DBE1,2019-03-11,09:12:00,19.7,64.8,29,43,54,596,0,1,-65,-2,91,104,107,2,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.687,16.737
2019-03-11 09:12:15,0C9A4249DBE1,2019-03-11,09:12:15,19.6,64.6,28,42,54,578,0,2,-65,-3,84,94,77,4,-65,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.416999999999998
2019-03-11 09:12:30,0C9A4249DBE1,2019-03-11,09:12:30,19.7,65.1,27,41,52,549,0,4,-65,-4,93,84,68,3,-65,-2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,16.097
2019-03-11 09:12:45,0C9A4249DBE1,2019-03-11,09:12:45,19.7,65.2,27,40,52,532,0,3,-65,-2,85,99,82,2,-64,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,15.777000000000001
2019-03-11 09:13:00,0C9A4249DBE1,2019-03-11,09:13:00,19.7,65.1,28,41,54,528,0,2,-64,-4,78,71,97,4,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.097
2019-03-11 09:13:15,0C9A4249DBE1,2019-03-11,09:13:15,19.5,64.6,28,43,58,523,0,4,-65,-3,87,88,82,3,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.737
2019-03-11 09:13:30,0C9A4249DBE1,2019-03-11,09:13:30,19.4,65.2,27,42,55,516,0,3,-65,-3,81,85,100,4,-66,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,16.416999999999998
2019-03-11 09:13:45,0C9A4249DBE1,2019-03-11,09:13:45,19.2,65.4,28,42,55,507,0,4,-66,-3,67,91,80,3,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.416999999999998
2019-03-11 09:14:00,0C9A4249DBE1,2019-03-11,09:14:00,19.2,65.8,28,42,55,497,0,3,-65,-3,74,76,82,3,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.416999999999998
2019-03-11 09:14:15,0C9A4249DBE1,2019-03-11,09:14:15,19.2,65.8,27,40,52,488,0,3,-65,-3,84,73,72,3,-66,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,15.777000000000001
2019-03-11 09:14:30,0C9A4249DBE1,2019-03-11,09:14:30,19.3,66.4,27,41,53,487,0,3,-66,-3,78,74,72,3,-64,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,16.097
2019-03-11 09:14:45,0C9A4249DBE1,2019-03-11,09:14:45,19.4,66.5,27,41,52,490,0,3,-64,-3,76,71,91,3,-65,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,16.097
2019-03-11 09:15:00,0C9A4249DBE1,2019-03-11,09:15:00,19.5,66.7,27,41,53,498,0,3,-65,-4,70,75,99,3,-66,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,16.097
2019-03-11 09:15:15,0C9A4249DBE1,2019-03-11,09:15:15,19.5,65.9,28,42,54,507,0,3,-66,-3,81,72,71,2,-64,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.416999999999998
2019-03-11 09:15:30,0C9A4249DBE1,2019-03-11,09:15:30,19.4,65.7,27,42,56,509,0,2,-64,-4,77,93,94,3,-65,-2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,16.416999999999998
2019-03-11 09:15:45,0C9A4249DBE1,2019-03-11,09:15:45,19.3,65.7,28,43,56,508,0,3,-65,-2,94,64,88,3,-65,-2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.737
2019-03-11 09:16:00,0C9A4249DBE1,2019-03-11,09:16:00,19.3,65.6,28,44,56,508,0,3,-65,-2,84,91,93,3,-66,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,17.057
2019-03-11 09:16:15,0C9A4249DBE1,2019-03-11,09:16:15,19.1,65.3,28,43,55,500,0,3,-66,-3,72,93,78,3,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.737
2019-03-11 09:16:30,0C9A4249DBE1,2019-03-11,09:16:30,19.1,65.2,27,40,54,494,0,3,-65,-3,76,72,81,3,-65,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,15.777000000000001
2019-03-11 09:16:45,0C9A4249DBE1,2019-03-11,09:16:45,18.9,65.3,27,39,55,482,0,3,-65,-4,60,88,85,3,-65,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,15.457
2019-03-11 09:17:00,0C9A4249DBE1,2019-03-11,09:17:00,18.6,66.1,27,40,54,472,0,3,-65,-3,74,99,92,3,-66,-5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,14.739,15.777000000000001
2019-03-11 09:17:15,0C9A4249DBE1,2019-03-11,09:17:15,18.6,66.9,28,40,52,464,0,3,-66,-5,86,98,95,3,-66,-2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,15.777000000000001
2019-03-11 09:17:30,0C9A4249DBE1,2019-03-11,09:17:30,18.6,66.7,28,42,53,458,0,3,-66,-2,75,86,86,4,-66,-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.416999999999998
2019-03-11 09:17:45,0C9A4249DBE1,2019-03-11,09:17:45,18.6,66.8,28,42,56,453,0,4,-66,-4,76,100,85,2,-64,-3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0217,15.213,16.416999999999998
