datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,cPM1,cPM2.5
2019-03-19 15:01:00,0C9A4249DB9B,2019-03-19,15:01:00,25.4,75.5,21,28,28,3640,0,-16,-10,61,58,83,77,-14,-9,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.534999999999998,10.534999999999998
2019-03-19 15:02:00,0C9A4249DB9B,2019-03-19,15:02:00,25.9,70.6,19,25,28,1767,0,-12,-13,61,435,652,363,-11,-5,58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.655999999999999,9.655999999999999
2019-03-19 15:02:15,0C9A4249DB9B,2019-03-19,15:02:15,26.1,75.1,20,26,28,1428,0,-11,-5,58,485,828,541,-6,-9,63,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.949,9.949
2019-03-19 15:02:30,0C9A4249DB9B,2019-03-19,15:02:30,26.3,75.1,21,29,33,1230,0,-6,-9,63,712,856,719,2,-15,64,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.617999999999999,10.828
2019-03-19 15:02:45,0C9A4249DB9B,2019-03-19,15:02:45,26.5,73.9,22,31,36,1030,0,2,-15,64,649,934,588,-13,-9,58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,11.036999999999999,11.414
2019-03-19 15:03:00,0C9A4249DB9B,2019-03-19,15:03:00,26.7,73.8,20,30,34,850,0,-13,-9,58,666,628,403,-17,-3,61,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,11.120999999999999
2019-03-19 15:03:15,0C9A4249DB9B,2019-03-19,15:03:15,26.7,67.2,21,30,33,885,0,-17,-3,61,660,825,693,-15,18,62,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.617999999999999,11.120999999999999
2019-03-19 15:03:30,0C9A4249DB9B,2019-03-19,15:03:30,26.7,65.1,19,28,29,891,0,-15,18,62,386,386,294,-17,8,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,10.534999999999998
2019-03-19 15:03:45,0C9A4249DB9B,2019-03-19,15:03:45,26.6,64.2,19,26,29,829,0,-17,8,60,115,104,121,-18,6,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,9.949
2019-03-19 15:04:00,0C9A4249DB9B,2019-03-19,15:04:00,26.5,64.1,19,27,30,736,0,-18,6,59,95,94,85,-17,6,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,10.241999999999999
2019-03-19 15:04:15,0C9A4249DB9B,2019-03-19,15:04:15,26.4,64.2,20,28,31,663,0,-17,6,60,65,55,85,-18,7,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.534999999999998
2019-03-19 15:04:30,0C9A4249DB9B,2019-03-19,15:04:30,26.3,64.8,20,28,30,640,0,-18,7,59,70,38,75,-18,7,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.534999999999998
2019-03-19 15:04:45,0C9A4249DB9B,2019-03-19,15:04:45,26.1,64.8,19,26,28,628,0,-18,7,60,60,48,68,-18,7,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,9.949
2019-03-19 15:05:00,0C9A4249DB9B,2019-03-19,15:05:00,26.0,65.1,19,27,29,625,0,-18,7,60,55,32,79,-17,7,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,10.241999999999999
2019-03-19 15:05:15,0C9A4249DB9B,2019-03-19,15:05:15,26.0,65.1,19,27,29,617,0,-17,7,59,69,58,72,-18,7,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,10.241999999999999
2019-03-19 15:05:30,0C9A4249DB9B,2019-03-19,15:05:30,25.9,65.3,20,30,31,604,0,-18,7,59,74,54,72,-18,7,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,11.120999999999999
2019-03-19 15:05:45,0C9A4249DB9B,2019-03-19,15:05:45,25.9,65.7,20,29,30,599,0,-18,7,59,66,44,56,-18,7,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.828
2019-03-19 15:06:00,0C9A4249DB9B,2019-03-19,15:06:00,25.8,65.7,20,28,29,592,0,-18,7,59,60,46,64,-18,7,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.534999999999998
2019-03-19 15:06:15,0C9A4249DB9B,2019-03-19,15:06:15,25.7,65.7,20,28,30,590,0,-18,7,59,86,91,76,-18,6,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.534999999999998
2019-03-19 15:06:30,0C9A4249DB9B,2019-03-19,15:06:30,25.6,65.9,20,28,30,590,0,-18,6,59,86,98,75,-18,6,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.534999999999998
2019-03-19 15:06:45,0C9A4249DB9B,2019-03-19,15:06:45,25.6,66.3,20,29,31,589,0,-18,6,60,88,106,103,-18,6,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.828
2019-03-19 15:07:00,0C9A4249DB9B,2019-03-19,15:07:00,25.5,66.7,20,28,31,593,0,-18,6,59,132,113,119,-18,7,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,10.198999999999998,10.534999999999998
2019-03-19 15:07:15,0C9A4249DB9B,2019-03-19,15:07:15,25.5,66.5,19,27,29,593,0,-18,7,60,102,103,98,-18,8,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0333,9.78,10.241999999999999
