S_no,Year,Month,Day,Date,WD,Hour,Minute_30,Place1,Place2,Ventilation1,Ventilation2,Activity1,Activity2,AP1,AP2,AP3,Sensor
LA002,2018,10,23,1,1,9,1,1,0,3,0,10,0,5,0,0,0
LA002,2018,10,23,1,1,9,2,1,0,3,0,64,0,8,0,0,1
LA002,2018,10,23,1,1,10,1,1,0,3,0,3,3,1,0,0,1
LA002,2018,10,23,1,1,10,2,1,0,3,0,3,0,1,0,0,1
LA002,2018,10,23,1,1,11,1,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,23,1,1,11,2,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,23,1,1,12,1,13,0,4,0,2,0,0,0,0,1
LA002,2018,10,23,1,1,12,2,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,23,1,1,13,1,7,0,3,0,3,10,65,0,0,1
LA002,2018,10,23,1,1,13,2,7,0,3,0,3,10,65,0,0,1
LA002,2018,10,23,1,1,14,1,61,0,4,0,8,0,65,0,0,1
LA002,2018,10,23,1,1,14,2,19,16,9,9,2,0,2,0,0,1
LA002,2018,10,23,1,1,15,1,7,0,3,0,3,10,65,0,0,1
LA002,2018,10,23,1,1,15,2,7,0,3,0,3,10,65,0,0,1
LA002,2018,10,23,1,1,16,1,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,23,1,1,16,2,13,0,4,0,1,0,65,0,0,1
LA002,2018,10,23,1,1,17,1,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,23,1,1,17,2,1,0,3,0,8,0,65,0,0,1
LA002,2018,10,23,1,1,18,1,1,0,3,0,9,0,2,0,0,1
LA002,2018,10,23,1,1,18,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,19,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,19,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,20,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,20,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,21,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,21,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,22,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,22,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,23,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,23,1,1,23,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,0,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,0,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,1,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,1,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,2,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,2,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,3,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,3,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,4,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,4,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,5,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,5,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,6,1,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,6,2,1,0,3,0,10,0,5,0,0,1
LA002,2018,10,24,2,1,7,1,1,0,3,0,11,0,6,0,0,1
LA002,2018,10,24,2,1,7,2,1,0,3,0,11,0,6,0,0,1
LA002,2018,10,24,2,1,8,1,1,0,3,0,11,0,2,0,0,1
LA002,2018,10,24,2,1,8,2,1,0,3,0,11,0,2,0,0,1
LA002,2018,10,24,2,1,9,1,1,0,3,0,11,0,2,0,0,1
LA002,2018,10,24,2,1,9,2,1,0,3,0,11,0,2,0,0,1
