id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,pressure,ai1_1,ai1_2,ai1_3,ai1_4,ai2_1,ai2_2,ai2_3,ai2_4,ERR
0C9A4249DB6B,2020-04-08,10:04:45,24.8,60.5,5,6,6,759,0,-1,0,62,81,58,69,0,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:05:00,24.8,60.1,5,7,7,1103,0,0,0,61,89,50,75,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:05:15,24.8,60.0,5,6,6,1128,0,-1,0,62,76,32,56,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:05:30,24.8,60.0,6,7,7,827,0,-1,0,62,84,54,110,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:05:45,24.7,60.0,5,6,6,679,0,-1,0,62,75,46,74,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:06:00,24.7,60.0,5,7,7,617,0,0,0,62,62,48,56,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:06:15,24.5,60.1,6,8,8,567,0,0,0,62,70,56,64,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:06:30,24.5,60.3,5,6,6,528,0,0,0,62,81,55,78,-1,-1,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:06:45,24.4,60.5,6,7,8,497,0,-1,-1,62,68,55,80,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:07:00,24.3,60.6,4,6,7,467,0,-1,0,62,69,57,62,0,1,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:07:15,24.2,60.8,6,7,8,449,0,0,1,62,70,41,60,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:07:30,24.2,61.0,6,8,8,435,0,0,0,62,73,54,54,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:07:45,24.1,61.1,5,6,7,428,0,-1,0,62,80,56,72,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:08:00,24.0,61.3,5,6,7,423,0,-1,0,62,68,32,76,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:08:15,24.0,61.5,4,7,7,421,0,-1,0,62,61,62,80,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:08:30,23.9,61.6,6,8,9,419,0,0,0,62,71,58,80,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:08:45,23.9,61.7,5,8,9,418,0,-1,0,62,82,66,68,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:09:00,23.8,61.8,6,8,9,417,0,-1,0,62,79,54,65,0,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:09:15,23.8,61.9,4,7,7,417,0,0,0,61,93,68,74,-1,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:09:30,23.8,62.0,4,6,6,415,0,-1,0,61,64,56,67,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:09:45,23.7,62.1,4,6,6,414,0,-1,0,62,73,47,67,0,1,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:10:00,23.7,62.1,5,7,8,414,0,0,1,61,77,53,69,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:10:15,23.7,62.2,5,7,7,413,0,-1,0,62,66,34,70,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:10:30,23.7,62.3,5,7,7,414,0,-1,0,62,65,44,60,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:10:45,23.7,62.3,5,7,7,413,0,0,0,62,66,48,70,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:11:00,23.6,62.3,4,6,6,412,0,0,0,62,66,58,68,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:11:15,23.6,62.4,5,6,7,412,0,0,0,62,79,50,78,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:11:30,23.6,62.4,6,8,8,412,0,-1,0,62,70,51,77,-1,-1,63,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:11:45,23.6,62.4,5,6,7,414,0,-1,-1,63,65,49,63,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:12:00,23.6,62.5,6,8,8,414,0,0,0,62,81,51,58,-1,-1,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:12:15,23.6,62.5,6,7,8,414,0,-1,-1,62,77,42,67,-2,-1,63,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:12:30,23.6,62.5,5,6,6,414,0,-2,-1,63,71,47,63,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:12:45,23.6,62.5,4,6,6,414,0,-1,0,62,77,52,82,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:13:00,23.6,62.5,4,6,6,413,0,0,0,62,63,68,89,-1,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:13:15,23.6,62.6,6,7,7,414,0,-1,0,61,75,51,81,0,-1,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:13:30,23.6,62.6,5,7,7,414,0,0,-1,62,69,40,75,-1,-1,63,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:13:45,23.6,62.6,5,7,7,414,0,-1,-1,63,82,35,66,-1,0,63,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:14:00,23.6,62.6,6,8,8,415,0,-1,0,63,88,71,91,-1,-1,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:14:15,23.6,62.6,6,8,8,416,0,-1,-1,62,83,69,72,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:14:30,23.6,62.6,6,7,8,417,0,0,0,62,88,48,72,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:14:45,23.6,62.6,5,7,8,417,0,0,0,62,76,48,58,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:15:00,23.6,62.6,5,7,8,416,0,0,0,62,69,47,68,-1,1,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:15:15,23.6,62.6,5,8,8,417,0,-1,1,62,88,49,64,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:15:30,23.6,62.6,5,8,8,418,0,-1,0,62,80,56,69,-1,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:15:45,23.6,62.6,5,7,7,418,0,-1,0,61,79,46,85,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:16:00,23.6,62.6,4,6,7,419,0,0,0,62,70,30,66,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:16:15,23.6,62.6,4,7,7,420,0,0,0,62,72,48,72,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:16:30,23.6,62.6,4,6,6,419,0,0,0,62,67,36,68,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:16:45,23.7,62.6,4,7,7,422,0,-1,0,62,74,40,64,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:17:00,23.7,62.6,4,6,7,422,0,-1,0,62,71,48,64,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:17:15,23.7,62.5,4,6,7,422,0,0,0,62,66,40,60,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:17:30,23.7,62.5,5,8,8,421,0,0,0,62,87,44,63,-1,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:17:45,23.7,62.5,4,6,6,422,0,-1,0,61,76,44,67,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:18:00,23.7,62.5,5,7,7,422,0,-1,0,62,68,44,66,-1,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:18:15,23.7,62.5,5,7,7,422,0,-1,0,62,73,24,70,0,0,62,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:18:30,23.7,62.4,4,6,6,422,0,0,0,62,78,62,65,0,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
0C9A4249DB6B,2020-04-08,10:18:45,23.7,62.4,4,6,6,422,0,0,0,61,82,44,76,0,0,61,0.0,0.0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000
