id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
0C9A4249DB4D,2019-03-06,14:06:30,23.1,70.4,13,15,16,618,0,-4,-15,55,185,152,217,-3,-23,54,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:09:30,23.4,71.7,13,15,16,856,0,-60,0,2,538,821,1238,-64,-3,6,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:09:45,23.6,73.3,13,15,16,957,0,-64,-3,6,347,914,680,-59,-7,22,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:10:00,23.7,71.3,13,16,17,968,0,-59,-7,22,478,1267,1104,-63,14,-26,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:10:15,23.8,71.2,14,17,18,962,0,-63,14,-26,741,1129,967,-16,-3,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:10:30,23.8,70.5,14,18,19,941,0,-16,-3,57,369,476,395,-13,-3,58,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:10:45,23.8,69.6,14,18,18,867,0,-13,-3,58,49,80,81,-14,-1,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:11:00,23.8,69,15,19,20,774,0,-14,-1,57,232,382,263,-16,-5,56,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:11:15,23.8,68.9,13,17,18,712,0,-16,-5,56,42,63,91,-16,-8,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:11:30,23.8,68.8,14,18,19,680,0,-16,-8,57,40,44,98,-16,-6,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:11:45,23.7,68.7,12,17,18,663,0,-16,-6,57,50,60,78,-16,-6,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:12:00,23.7,69.6,13,17,17,649,0,-16,-6,57,52,46,87,-16,-6,56,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:12:15,23.7,70.4,15,19,19,654,0,-16,-6,56,73,94,133,-15,-6,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:12:30,23.7,70.1,14,18,19,701,0,-15,-6,57,132,197,163,-15,-9,60,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:12:45,23.7,69.7,15,19,20,731,0,-15,-9,60,316,217,357,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:13:00,23.6,69.6,14,18,19,726,0,-15,-4,57,78,44,61,-15,-4,58,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:13:15,23.6,69.6,13,17,18,707,0,-15,-4,58,52,30,33,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:13:30,23.6,69.4,13,16,17,689,0,-15,-4,57,57,48,50,-14,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:13:45,23.5,69.4,14,17,18,677,0,-14,-4,57,68,68,54,-14,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:14:00,23.5,69.4,14,18,18,664,0,-14,-4,57,86,87,111,-14,-3,58,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:14:15,23.5,69.4,14,18,19,652,0,-14,-3,58,103,115,117,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:14:30,23.5,69.4,13,16,18,644,0,-15,-4,57,91,123,97,-14,-5,56,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:14:45,23.5,69.5,13,16,17,636,0,-14,-5,56,103,111,107,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:15:00,23.4,69.8,14,16,17,630,0,-15,-4,57,77,87,76,-14,-5,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:15:15,23.4,69.9,14,17,18,627,0,-14,-5,57,71,67,72,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:15:30,23.4,70.3,13,17,18,625,0,-15,-4,57,83,72,76,-14,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:15:45,23.4,70.2,14,19,19,621,0,-14,-4,57,81,64,56,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:16:00,23.4,70,13,17,17,618,0,-15,-4,57,77,56,42,-14,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:16:15,23.4,70,14,17,18,616,0,-14,-4,57,68,34,30,-14,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:16:30,23.4,70,13,16,17,615,0,-14,-4,57,74,58,74,-14,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:16:45,23.4,70,13,16,17,617,0,-14,-4,57,79,64,93,-15,-4,56,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:17:00,23.4,70.2,14,17,18,617,0,-15,-4,56,80,78,53,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-06,14:17:15,23.3,70.2,13,17,17,617,0,-15,-4,57,68,40,34,-15,-4,57,0,0,0,0,0,0,0,0,0,0,0,0
