id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
00A266660002,2019-03-08,00:00:33,-999.0,-1.0,34,56,75,586,91,0,0,0,0,0,0,0,0,0,12.7,68.6,25.028879,121.434917,0,0,0,0,642,501,595,0
00A266660002,2019-03-08,00:00:55,-999.0,-1.0,34,55,71,594,91,0,0,0,0,0,0,0,0,0,12.7,68.1,25.028879,121.434917,0,0,0,0,628,485,581,0
00A266660002,2019-03-08,00:01:34,-999.0,-1.0,35,53,72,612,91,0,0,0,0,0,0,0,0,0,12.7,68.2,25.028879,121.434917,0,0,0,0,639,495,591,0
00A266660002,2019-03-08,00:02:35,-999.0,-1.0,34,54,72,610,91,0,0,0,0,0,0,0,0,0,12.7,68.2,25.028879,121.434917,0,0,0,0,638,496,592,0
00A266660002,2019-03-08,00:03:36,-999.0,-1.0,35,55,73,590,91,0,0,0,0,0,0,0,0,0,12.7,68.0,25.028879,121.434917,0,0,0,0,640,501,595,0
00A266660002,2019-03-08,00:04:37,-999.0,-1.0,35,54,74,591,91,0,0,0,0,0,0,0,0,0,12.7,68.2,25.028879,121.434917,0,0,0,0,642,498,598,0
00A266660002,2019-03-08,00:05:38,-999.0,-1.0,35,57,75,597,91,0,0,0,0,0,0,0,0,0,12.7,68.2,25.028879,121.434917,0,0,0,0,643,498,593,0
00A266660002,2019-03-08,00:06:39,-999.0,-1.0,35,55,72,591,91,0,0,0,0,0,0,0,0,0,12.7,68.3,25.028879,121.434917,0,0,0,0,643,498,595,0
00A266660002,2019-03-08,00:07:39,-999.0,-1.0,35,55,71,588,91,0,0,0,0,0,0,0,0,0,12.8,68.5,25.028879,121.434917,0,0,0,0,643,500,594,0
00A266660002,2019-03-08,00:08:40,-999.0,-1.0,34,59,77,601,91,0,0,0,0,0,0,0,0,0,12.8,68.3,25.028879,121.434917,0,0,0,0,642,497,597,0
00A266660002,2019-03-08,00:09:41,-999.0,-1.0,34,54,66,630,91,0,0,0,0,0,0,0,0,0,12.8,68.4,25.028879,121.434917,0,0,0,0,643,499,595,0
