id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR
0C9A4249DB4D,2019-03-07,00:00:15,22.4,65,16,23,26,571,0,-12,-3,57,42,58,53,-12,-3,58,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:00:45,22.4,64.9,14,20,23,572,0,-12,-3,58,50,49,43,-12,-2,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:01:00,22.4,64.9,15,21,22,572,0,-12,-2,57,14,22,21,-12,-2,58,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:01:15,22.4,64.9,15,20,21,571,0,-12,-2,58,35,35,38,-11,-3,58,0,0,0,0,0,61,1,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:01:30,22.4,64.9,16,22,23,570,0,-11,-3,58,29,34,37,-12,-3,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:01:45,22.4,64.9,16,22,24,572,0,-12,-3,57,35,48,46,-11,-3,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:02:00,22.4,64.9,15,21,23,572,0,-11,-3,57,25,38,32,-12,-3,57,0,0,0,0,0,61,1,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:02:15,22.4,64.9,16,22,24,574,0,-12,-3,57,32,33,45,-12,-2,58,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:02:45,22.4,64.9,15,22,24,574,0,-12,-2,58,46,64,59,-12,-2,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:03:00,22.4,64.9,16,22,24,573,0,-12,-2,57,35,30,42,-11,-2,57,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DB4D,2019-03-07,00:03:15,22.4,65,16,22,24,574,0,-11,-2,57,35,57,54,-12,-3,57,0,0,0,0,0,0,0,0,0,0,0,0
