"time","site","site_pm2.5","high_level_pm2.5","ws","temperature","rh","month","hour","traffic_passing_by","traffic_stop_n_go","temple","market","vendor","gas_stat","school","season"
"2017/7/1 10:05","C_1",0.92,2.3,0.4,32.77,54.54,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:10","C_1",0.8,3.1,0.2,32.976,54.64,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:15","C_1",2.8,2.66,0,33.612,53.5,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:20","C_1",1.86,3.08,0.1,33.59,53.52,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:25","C_1",2,2.66,0.1,33.888,53.8,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:30","C_1",2.15,2.88,1.2,33.434,53.62,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:35","C_1",0.94,2.75,1.1,32.772,54.4,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:40","C_1",1.22,3.3,0.9,33.14,54.98,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:45","C_1",1.08,3.4,0.4,33.242,55.62,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:50","C_1",1.34,3.4,0.6,33.43,55.28,7,10,1,0,0,0,0,0,1,0
"2017/7/1 10:55","C_1",1.48,3.6,1,33.302,55.9,7,10,1,0,0,0,0,0,1,0
"2017/7/1 11:00","C_1",2.54,3.94,1.3,32.964,56.8,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:05","C_1",2.275,4.58,0.9,32.89,57.62,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:10","C_1",3.32,4.26,0.2,33.722,56.94,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:15","C_1",2.66,4.26,0.7,34,54.4,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:20","C_1",1.98,4.6,1.6,33.542,55.9,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:25","C_1",2.52,4.58,1.1,33.208,56.32,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:30","C_1",4.66,4.38,0.1,33.962,56.18,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:35","C_1",2.4,4.46,0.3,34.99,54.04,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:40","C_1",2.475,4.8,0.3,34.554,54.74,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:45","C_1",3.06,4.5,1,34.188,54.68,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:50","C_1",2.52,4.75,1,33.542,56.78,7,11,1,0,0,0,0,0,1,0
"2017/7/1 11:55","C_1",2.94,4.34,1.6,33.408,57.06,7,11,1,0,0,0,0,0,1,0
"2017/7/1 12:00","C_1",2.94,4.9,0.9,33.054,58.14,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:05","C_1",3.15,4.58,0.8,33.626,56.92,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:10","C_1",2.8,4.36,1.1,33.976,56.76,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:15","C_1",2.625,4.8,0.8,34.064,56.68,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:20","C_1",3.06,4.8,0.5,34.192,56.5,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:25","C_1",2.94,4.9,0,35.064,54.56,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:30","C_1",2.94,4.8,0.1,35.146,54.48,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:35","C_1",3.08,4.38,0.8,35.172,54.14,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:40","C_1",2.52,4.38,0.8,34.082,55.16,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:45","C_1",1.98,4.16,0.5,34.328,55.32,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:50","C_1",1.95,3.92,1.4,34.258,54.94,7,12,1,0,0,0,0,0,1,0
"2017/7/1 12:55","C_1",2.54,4.26,0.7,33.786,56.24,7,12,1,0,0,0,0,0,1,0
"2017/7/1 13:00","C_1",1.8,3.82,0.4,34.622,54.28,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:05","C_1",1.74,3.65,0,34.824,53.32,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:10","C_1",1.65,3.6,0.2,35.342,52.16,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:15","C_1",1.48,2.86,1,34.764,52.34,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:20","C_1",1.36,2.78,1.4,34.63,51.98,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:25","C_1",0.66,2.66,0.7,34.754,51.94,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:30","C_1",0.66,2.86,1,35.464,50.92,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:35","C_1",0.8,2.76,0.9,34.796,52.14,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:40","C_1",0.66,2.64,1.7,34.782,52.44,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:45","C_1",0.8,2.78,1.4,34.96,52.06,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:50","C_1",0.275,2.2,0.7,35.944,50.22,7,13,1,0,0,0,0,0,1,0
"2017/7/1 13:55","C_1",0.1,2.1,0.5,35.69,49.58,7,13,1,0,0,0,0,0,1,0
"2017/7/1 14:00","C_1",0.24,1.88,0.9,35.444,50.08,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:05","C_1",0.45,1.88,2.2,34.992,50.1,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:10","C_1",0.1,1.9,1.4,35.284,49.82,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:15","C_1",0.1,2.02,2,35.542,48.54,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:20","C_1",0.566666667,2.45,1.8,35.128,49.12,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:25","C_1",0.45,2.76,1.9,35.232,49.28,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:30","C_1",0.45,3.08,2.4,35.484,48.94,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:35","C_1",1.2,4.06,2,34.716,53.46,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:40","C_1",3.65,5.32,3,33.686,61.68,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:45","C_1",4.45,5.42,2.6,33.824,62.12,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:50","C_1",3.62,5.2,4.4,33.27,63.66,7,14,1,0,0,0,0,0,1,0
"2017/7/1 14:55","C_1",2.94,5.2,3.5,32.504,66.26,7,14,1,0,0,0,0,0,1,0
"2017/7/1 15:00","C_1",2.94,5.1,2.7,32.482,66.74,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:05","C_1",2.8,4.88,3.1,32.602,66.62,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:10","C_1",3.48,5.2,3.1,32.386,67.16,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:15","C_1",4.4,5.64,3.4,31.964,68.6,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:20","C_1",4.4,5.86,3.8,31.404,70.72,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:40","C_1",6.275,7.58,0.1,26.178,87.4,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:45","C_1",8.1,8.52,0.6,26.51,88.64,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:50","C_1",9.68,9.38,1.9,26.73,87.36,7,15,1,0,0,0,0,0,1,0
"2017/7/1 15:55","C_1",5.04,8.34,0.9,26.908,86.64,7,15,1,0,0,0,0,0,1,0
"2017/7/1 16:00","C_1",0.275,3.08,1.9,26.7,83.9,7,16,1,0,0,0,0,0,1,0
"2017/7/1 17:40","C_1",7.8,7.64,0.3,23.742,97.38,7,17,1,0,0,0,0,0,1,0
"2017/7/1 17:45","C_1",7.14,7.04,0.1,23.854,97.14,7,17,1,0,0,0,0,0,1,0
"2017/7/1 17:50","C_1",8.88,6.4,0.1,23.91,96.98,7,17,1,0,0,0,0,0,1,0
"2017/7/1 17:55","C_1",4.38,5.925,0.1,23.98,96.94,7,17,1,0,0,0,0,0,1,0
"2017/7/1 18:05","C_1",3.72,5.32,0.5,24.07,96.46,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:10","C_1",4.52,5.02,0.4,24.14,96.02,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:15","C_1",5.18,5.42,0.6,24.224,96,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:20","C_1",3.98,5.42,0,24.226,96.12,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:25","C_1",2.24,4.68,0.2,24.286,96.06,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:30","C_1",2.24,4.16,0,24.282,95.6,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:35","C_1",2.15,3.92,0.3,24.276,95.18,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:40","C_1",2.66,4.26,0,24.336,95.14,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:45","C_1",6.12,5,0,24.292,95.38,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:50","C_1",7.18,6.62,0.1,24.098,95.76,7,18,1,0,0,0,0,0,1,0
"2017/7/1 18:55","C_1",8.64,7.44,0,23.968,96.22,7,18,1,0,0,0,0,0,1,0
