mins 0 , noise_error =0.8173076923076923, delte = 0.17307692307692313
mins 1 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 2 , noise_error =0.9595959595959596, delte = 0.04040404040404044
mins 3 , noise_error =0.9207920792079208, delte = 0.07920792079207917
mins 4 , noise_error =0.9326923076923077, delte = 0.06730769230769229
mins 5 , noise_error =0.97, delte = 0.030000000000000027
mins 6 , noise_error =0.9514563106796117, delte = 0.04854368932038833
mins 7 , noise_error =0.970873786407767, delte = 0.029126213592232997
mins 8 , noise_error =0.9428571428571428, delte = 0.05714285714285716
mins 9 , noise_error =0.8484848484848485, delte = 0.1515151515151515
mins 10 , noise_error =0.912621359223301, delte = 0.08737864077669899
mins 11 , noise_error =0.9019607843137255, delte = 0.0980392156862745
mins 12 , noise_error =0.912621359223301, delte = 0.08737864077669899
mins 13 , noise_error =0.8942307692307693, delte = 0.10576923076923073
mins 14 , noise_error =0.8773584905660378, delte = 0.09433962264150941
mins 15 , noise_error =0.875, delte = 0.0714285714285714
mins 16 , noise_error =0.9553571428571429, delte = 0.0357142857142857
mins 17 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 18 , noise_error =0.9423076923076923, delte = 0.05769230769230771
mins 19 , noise_error =0.9207920792079208, delte = 0.05940594059405935
mins 20 , noise_error =0.7920792079207921, delte = 0.20792079207920788
mins 21 , noise_error =0.85, delte = 0.14
mins 22 , noise_error =0.9, delte = 0.09999999999999998
mins 23 , noise_error =0.9081632653061225, delte = 0.09183673469387754
mins 24 , noise_error =0.9090909090909091, delte = 0.09090909090909094
mins 25 , noise_error =0.77, delte = 0.22999999999999998
mins 26 , noise_error =0.9117647058823529, delte = 0.08823529411764708
mins 27 , noise_error =0.8877551020408163, delte = 0.09183673469387754
mins 28 , noise_error =0.9693877551020408, delte = 0.010204081632653073
mins 29 , noise_error =0.96, delte = 0.040000000000000036
mins 30 , noise_error =0.8118811881188119, delte = 0.16831683168316824
mins 31 , noise_error =0.9405940594059405, delte = 0.05940594059405946
mins 32 , noise_error =0.84, delte = 0.16000000000000003
