mins 670 , noise_error =1.0
mins 671 , noise_error =1.0
mins 672 , noise_error =1.0
mins 673 , noise_error =1.0
mins 674 , noise_error =1.0
mins 675 , noise_error =1.0
mins 676 , noise_error =1.0
mins 677 , noise_error =1.0
mins 678 , noise_error =1.0
mins 679 , noise_error =1.0
mins 680 , noise_error =0.8791208791208791
mins 681 , noise_error =0.7956989247311828
mins 682 , noise_error =0.9529411764705882
mins 683 , noise_error =1.0
mins 684 , noise_error =1.0
mins 685 , noise_error =1.0
mins 686 , noise_error =1.0
mins 687 , noise_error =1.0
mins 688 , noise_error =1.0
mins 689 , noise_error =1.0
mins 690 , noise_error =1.0
mins 691 , noise_error =1.0
mins 692 , noise_error =1.0
mins 693 , noise_error =1.0
mins 694 , noise_error =1.0
mins 695 , noise_error =1.0
mins 696 , noise_error =0.961038961038961
mins 697 , noise_error =1.0
mins 698 , noise_error =1.0
mins 699 , noise_error =1.0
mins 700 , noise_error =1.0
mins 701 , noise_error =1.0
mins 702 , noise_error =1.0
mins 703 , noise_error =1.0
mins 704 , noise_error =1.0
mins 705 , noise_error =1.0
mins 706 , noise_error =1.0
mins 707 , noise_error =1.0
mins 708 , noise_error =0.9871794871794872
mins 709 , noise_error =1.0
mins 710 , noise_error =1.0
mins 711 , noise_error =1.0
mins 712 , noise_error =1.0
mins 713 , noise_error =1.0
mins 714 , noise_error =1.0
mins 715 , noise_error =0.9655172413793104
mins 716 , noise_error =1.0
mins 717 , noise_error =0.9770114942528736
mins 718 , noise_error =0.9883720930232558
mins 719 , noise_error =1.0
mins 720 , noise_error =1.0
mins 721 , noise_error =1.0
mins 722 , noise_error =1.0
mins 723 , noise_error =1.0
mins 724 , noise_error =1.0
mins 725 , noise_error =1.0
mins 726 , noise_error =0.9879518072289156
mins 727 , noise_error =1.0
mins 728 , noise_error =1.0
mins 729 , noise_error =1.0
mins 730 , noise_error =1.0
mins 731 , noise_error =0.9550561797752809
mins 732 , noise_error =1.0
mins 733 , noise_error =1.0
mins 734 , noise_error =1.0
mins 735 , noise_error =1.0
mins 736 , noise_error =1.0
mins 737 , noise_error =1.0
mins 738 , noise_error =1.0
mins 739 , noise_error =1.0
mins 740 , noise_error =1.0
mins 741 , noise_error =1.0
mins 742 , noise_error =1.0
mins 743 , noise_error =1.0
mins 744 , noise_error =1.0
mins 745 , noise_error =1.0
mins 746 , noise_error =1.0
mins 747 , noise_error =0.8172043010752688
mins 748 , noise_error =1.0
mins 749 , noise_error =1.0
mins 750 , noise_error =0.9878048780487805
mins 751 , noise_error =1.0
mins 752 , noise_error =1.0
mins 753 , noise_error =1.0
mins 754 , noise_error =1.0
mins 755 , noise_error =1.0
mins 756 , noise_error =1.0
mins 757 , noise_error =0.9876543209876543
mins 758 , noise_error =1.0
mins 759 , noise_error =0.9878048780487805
mins 760 , noise_error =1.0
mins 761 , noise_error =1.0
mins 762 , noise_error =1.0
mins 763 , noise_error =1.0
mins 764 , noise_error =1.0
mins 765 , noise_error =0.9876543209876543
mins 766 , noise_error =1.0
mins 767 , noise_error =0.9876543209876543
mins 768 , noise_error =1.0
mins 769 , noise_error =1.0
mins 770 , noise_error =1.0
mins 771 , noise_error =1.0
mins 772 , noise_error =1.0
mins 773 , noise_error =0.9875
mins 774 , noise_error =1.0
mins 775 , noise_error =1.0
mins 776 , noise_error =1.0
mins 777 , noise_error =1.0
mins 778 , noise_error =1.0
mins 779 , noise_error =1.0
mins 780 , noise_error =1.0
mins 781 , noise_error =1.0
mins 782 , noise_error =1.0
mins 783 , noise_error =1.0
mins 784 , noise_error =1.0
mins 785 , noise_error =1.0
mins 786 , noise_error =0.9882352941176471
mins 787 , noise_error =1.0
mins 788 , noise_error =1.0
mins 789 , noise_error =1.0
mins 790 , noise_error =1.0
mins 791 , noise_error =1.0
mins 792 , noise_error =1.0
mins 793 , noise_error =1.0
mins 794 , noise_error =1.0
mins 795 , noise_error =1.0
mins 796 , noise_error =1.0
mins 797 , noise_error =1.0
mins 798 , noise_error =1.0
mins 799 , noise_error =1.0
mins 800 , noise_error =1.0
mins 801 , noise_error =1.0
mins 802 , noise_error =1.0
mins 803 , noise_error =1.0
mins 804 , noise_error =0.9195402298850575
mins 805 , noise_error =1.0
mins 806 , noise_error =0.9880952380952381
mins 807 , noise_error =1.0
mins 808 , noise_error =1.0
mins 809 , noise_error =1.0
mins 810 , noise_error =1.0
mins 811 , noise_error =1.0
mins 812 , noise_error =0.95
mins 813 , noise_error =0.9871794871794872
mins 814 , noise_error =1.0
mins 815 , noise_error =1.0
mins 816 , noise_error =1.0
mins 817 , noise_error =1.0
mins 818 , noise_error =1.0
mins 819 , noise_error =1.0
mins 820 , noise_error =1.0
mins 821 , noise_error =1.0
mins 822 , noise_error =1.0
mins 823 , noise_error =0.9868421052631579
mins 824 , noise_error =1.0
mins 825 , noise_error =1.0
mins 826 , noise_error =1.0
mins 827 , noise_error =0.9875
mins 828 , noise_error =1.0
mins 829 , noise_error =0.987012987012987
mins 830 , noise_error =1.0
mins 831 , noise_error =1.0
mins 832 , noise_error =1.0
mins 833 , noise_error =1.0
mins 834 , noise_error =1.0
mins 835 , noise_error =1.0
mins 836 , noise_error =1.0
mins 837 , noise_error =1.0
mins 838 , noise_error =1.0
mins 839 , noise_error =1.0
mins 840 , noise_error =1.0
mins 841 , noise_error =1.0
mins 842 , noise_error =1.0
mins 843 , noise_error =1.0
mins 844 , noise_error =0.9873417721518988
mins 845 , noise_error =0.9647058823529412
mins 846 , noise_error =1.0
mins 847 , noise_error =0.9259259259259259
mins 848 , noise_error =1.0
mins 849 , noise_error =1.0
mins 850 , noise_error =1.0
mins 851 , noise_error =1.0
mins 852 , noise_error =0.9764705882352941
mins 853 , noise_error =1.0
mins 854 , noise_error =1.0
mins 855 , noise_error =1.0
mins 856 , noise_error =1.0
mins 857 , noise_error =1.0
mins 858 , noise_error =1.0
mins 859 , noise_error =0.975
mins 860 , noise_error =1.0
mins 861 , noise_error =1.0
mins 862 , noise_error =1.0
mins 863 , noise_error =1.0
mins 864 , noise_error =1.0
mins 865 , noise_error =1.0
mins 866 , noise_error =1.0
mins 867 , noise_error =1.0
mins 868 , noise_error =1.0
mins 869 , noise_error =1.0
mins 870 , noise_error =1.0
mins 871 , noise_error =1.0
mins 872 , noise_error =1.0
mins 873 , noise_error =1.0
mins 874 , noise_error =1.0
mins 875 , noise_error =1.0
mins 876 , noise_error =1.0
mins 877 , noise_error =1.0
mins 878 , noise_error =0.9878048780487805
mins 879 , noise_error =1.0
mins 880 , noise_error =1.0
mins 881 , noise_error =0.9878048780487805
mins 882 , noise_error =1.0
mins 883 , noise_error =1.0
mins 884 , noise_error =0.9879518072289156
