datatime,id,date,time,sht_t,sht_h,pm1,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,ai1_2,ai1_3,ai1_4,ERR,aslung_id,lab_id,cPM1,cPM2.5
2019-03-09 00:00:00,0C9A4249DB5C,2019-03-09,00:00:00,24.3,65.5,4,7,8,760,0,-53,-8,34,53,40,39,-52,-8,33,0.0,0.0,25.014665,121.468879,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:00:15,0C9A4249DB5C,2019-03-09,00:00:15,24.3,65.5,4,8,9,761,0,-52,-8,34,42,36,58,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.411
2019-03-09 00:00:30,0C9A4249DB5C,2019-03-09,00:00:30,24.3,65.5,4,7,8,761,0,-52,-8,34,71,52,70,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:00:45,0C9A4249DB5C,2019-03-09,00:00:45,24.3,65.5,4,7,8,761,0,-53,-8,34,63,43,38,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:01:00,0C9A4249DB5C,2019-03-09,00:01:00,24.3,65.5,4,6,7,761,0,-52,-7,34,73,67,68,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:01:15,0C9A4249DB5C,2019-03-09,00:01:15,24.3,65.4,4,6,7,761,0,-53,-8,34,83,78,66,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:01:30,0C9A4249DB5C,2019-03-09,00:01:30,24.3,65.5,4,7,7,762,0,-52,-8,34,61,50,60,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:01:45,0C9A4249DB5C,2019-03-09,00:01:45,24.3,65.5,3,5,6,761,0,-53,-8,34,71,42,58,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
2019-03-09 00:02:00,0C9A4249DB5C,2019-03-09,00:02:00,24.3,65.5,2,4,5,762,0,-52,-8,34,67,42,54,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.041,3.787
2019-03-09 00:02:15,0C9A4249DB5C,2019-03-09,00:02:15,24.3,65.4,4,6,7,762,0,-53,-8,34,72,46,56,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:02:30,0C9A4249DB5C,2019-03-09,00:02:30,24.3,65.4,5,7,8,762,0,-53,-8,34,71,53,56,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.595,5.005
2019-03-09 00:02:45,0C9A4249DB5C,2019-03-09,00:02:45,24.3,65.4,5,7,8,762,0,-52,-7,34,50,30,39,-52,-7,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.595,5.005
2019-03-09 00:03:00,0C9A4249DB5C,2019-03-09,00:03:00,24.3,65.4,4,7,8,763,0,-52,-7,33,54,33,31,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:03:15,0C9A4249DB5C,2019-03-09,00:03:15,24.3,65.4,4,6,6,763,0,-52,-8,34,49,26,50,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:03:30,0C9A4249DB5C,2019-03-09,00:03:30,24.3,65.4,4,7,7,764,0,-53,-8,34,51,44,32,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:03:45,0C9A4249DB5C,2019-03-09,00:03:45,24.3,65.4,4,7,7,764,0,-52,-8,34,66,33,46,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:04:00,0C9A4249DB5C,2019-03-09,00:04:00,24.3,65.4,4,7,8,764,0,-52,-7,34,54,29,36,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:04:15,0C9A4249DB5C,2019-03-09,00:04:15,24.3,65.4,4,8,9,765,0,-52,-8,34,46,19,48,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.411
2019-03-09 00:04:30,0C9A4249DB5C,2019-03-09,00:04:30,24.3,65.5,3,7,8,766,0,-52,-7,34,53,33,53,-53,-8,35,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,5.005
2019-03-09 00:04:45,0C9A4249DB5C,2019-03-09,00:04:45,24.3,65.4,4,7,8,766,0,-53,-8,35,39,29,35,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:05:00,0C9A4249DB5C,2019-03-09,00:05:00,24.3,65.4,4,6,7,766,0,-52,-7,34,56,35,34,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:05:15,0C9A4249DB5C,2019-03-09,00:05:15,24.3,65.4,4,6,6,765,0,-52,-8,34,63,32,35,-53,-8,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:05:30,0C9A4249DB5C,2019-03-09,00:05:30,24.3,65.4,4,6,6,766,0,-53,-8,33,62,28,45,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:05:45,0C9A4249DB5C,2019-03-09,00:05:45,24.3,65.4,4,5,5,766,0,-53,-8,34,54,26,38,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.193
2019-03-09 00:06:00,0C9A4249DB5C,2019-03-09,00:06:00,24.3,65.4,3,5,5,766,0,-53,-8,34,58,34,36,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
2019-03-09 00:06:15,0C9A4249DB5C,2019-03-09,00:06:15,24.3,65.4,3,5,6,766,0,-53,-8,34,46,32,41,-53,-8,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
2019-03-09 00:06:30,0C9A4249DB5C,2019-03-09,00:06:30,24.3,65.4,4,5,6,765,0,-53,-8,33,55,30,53,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.193
2019-03-09 00:06:45,0C9A4249DB5C,2019-03-09,00:06:45,24.3,65.4,3,5,6,766,0,-52,-8,34,59,20,34,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
2019-03-09 00:07:00,0C9A4249DB5C,2019-03-09,00:07:00,24.3,65.4,4,5,6,766,0,-53,-8,34,68,56,45,-53,-8,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.193
2019-03-09 00:07:15,0C9A4249DB5C,2019-03-09,00:07:15,24.3,65.4,4,5,5,766,0,-53,-8,33,54,36,43,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.193
2019-03-09 00:07:30,0C9A4249DB5C,2019-03-09,00:07:30,24.3,65.4,4,6,7,765,0,-53,-8,34,63,36,58,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:07:45,0C9A4249DB5C,2019-03-09,00:07:45,24.3,65.4,4,6,8,765,0,-52,-8,34,63,33,58,-53,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:08:00,0C9A4249DB5C,2019-03-09,00:08:00,24.3,65.4,4,7,9,765,0,-53,-7,34,75,39,60,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:08:15,0C9A4249DB5C,2019-03-09,00:08:15,24.3,65.4,4,6,9,765,0,-52,-8,34,66,27,38,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:08:30,0C9A4249DB5C,2019-03-09,00:08:30,24.3,65.4,4,6,7,765,0,-52,-7,34,66,26,60,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:08:45,0C9A4249DB5C,2019-03-09,00:08:45,24.3,65.4,4,5,6,765,0,-52,-7,34,68,39,56,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.193
2019-03-09 00:09:00,0C9A4249DB5C,2019-03-09,00:09:00,24.3,65.4,4,6,7,764,0,-52,-8,34,67,40,72,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:09:15,0C9A4249DB5C,2019-03-09,00:09:15,24.3,65.4,3,5,6,764,0,-53,-8,34,60,48,54,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
2019-03-09 00:09:30,0C9A4249DB5C,2019-03-09,00:09:30,24.3,65.4,4,6,6,764,0,-53,-8,34,69,35,61,-52,-7,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:09:45,0C9A4249DB5C,2019-03-09,00:09:45,24.3,65.4,4,6,6,764,0,-52,-7,33,62,35,53,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:10:00,0C9A4249DB5C,2019-03-09,00:10:00,24.3,65.4,3,5,5,765,0,-52,-8,34,68,34,64,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
2019-03-09 00:10:15,0C9A4249DB5C,2019-03-09,00:10:15,24.3,65.4,3,6,6,764,0,-52,-8,34,68,42,63,-52,-8,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.599
2019-03-09 00:10:30,0C9A4249DB5C,2019-03-09,00:10:30,24.3,65.4,3,6,6,764,0,-52,-8,33,66,38,59,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.599
2019-03-09 00:10:45,0C9A4249DB5C,2019-03-09,00:10:45,24.3,65.4,3,7,7,764,0,-52,-8,34,77,38,52,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,5.005
2019-03-09 00:11:00,0C9A4249DB5C,2019-03-09,00:11:00,24.3,65.4,4,8,8,763,0,-53,-8,34,67,27,46,-52,-7,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.411
2019-03-09 00:11:15,0C9A4249DB5C,2019-03-09,00:11:15,24.3,65.4,4,7,7,762,0,-52,-7,34,66,23,50,-52,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:11:30,0C9A4249DB5C,2019-03-09,00:11:30,24.3,65.4,4,7,7,762,0,-52,-8,34,36,20,16,-52,-6,32,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,5.005
2019-03-09 00:11:45,0C9A4249DB5C,2019-03-09,00:11:45,24.3,65.4,4,6,6,761,0,-52,-6,32,83,46,53,-53,-8,35,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,4.077,4.599
2019-03-09 00:12:00,0C9A4249DB5C,2019-03-09,00:12:00,24.3,65.4,3,6,6,762,0,-53,-8,35,67,34,56,-52,-8,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.599
2019-03-09 00:12:15,0C9A4249DB5C,2019-03-09,00:12:15,24.3,65.4,3,5,6,761,0,-52,-8,33,61,36,51,-53,-8,34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,AL-0312,AS_Lung_P,3.559,4.193
