mins 0 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 1 , noise_error =0.97, delte = 0.030000000000000027
mins 2 , noise_error =0.9902912621359223, delte = 0.009708737864077666
mins 3 , noise_error =0.9789473684210527, delte = 0.021052631578947323
mins 4 , noise_error =0.85, delte = 0.15000000000000002
mins 5 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 6 , noise_error =0.9583333333333334, delte = 0.04166666666666663
mins 7 , noise_error =0.9690721649484536, delte = 0.030927835051546393
mins 8 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 9 , noise_error =0.967741935483871, delte = 0.032258064516129004
mins 10 , noise_error =0.9791666666666666, delte = 0.02083333333333337
mins 11 , noise_error =0.8979591836734694, delte = 0.10204081632653061
mins 12 , noise_error =0.92, delte = 0.06999999999999995
mins 13 , noise_error =0.8645833333333334, delte = 0.13541666666666663
mins 14 , noise_error =0.9791666666666666, delte = 0.02083333333333337
mins 15 , noise_error =0.9900990099009901, delte = 0.00990099009900991
mins 16 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 17 , noise_error =0.9696969696969697, delte = 0.030303030303030276
mins 18 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 19 , noise_error =0.892156862745098, delte = 0.0980392156862746
mins 20 , noise_error =0.9693877551020408, delte = 0.030612244897959218
mins 21 , noise_error =0.88, delte = 0.12
mins 22 , noise_error =0.9904761904761905, delte = 0.00952380952380949
mins 23 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 24 , noise_error =0.8787878787878788, delte = 0.12121212121212122
mins 25 , noise_error =0.9896907216494846, delte = 0.010309278350515427
mins 26 , noise_error =0.900990099009901, delte = 0.09900990099009899
mins 27 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 28 , noise_error =0.9813084112149533, delte = 0.01869158878504673
mins 29 , noise_error =0.962962962962963, delte = 0.03703703703703698
mins 30 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 31 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 32 , noise_error =0.9693877551020408, delte = 0.030612244897959218
mins 33 , noise_error =0.9797979797979798, delte = 0.02020202020202022
mins 34 , noise_error =0.9897959183673469, delte = 0.010204081632653073
mins 35 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 36 , noise_error =0.8888888888888888, delte = 0.11111111111111116
mins 37 , noise_error =0.9787234042553191, delte = 0.021276595744680882
mins 38 , noise_error =0.9578947368421052, delte = 0.04210526315789476
mins 39 , noise_error =0.8085106382978724, delte = 0.1914893617021276
mins 40 , noise_error =0.9893617021276596, delte = 0.010638297872340385
mins 41 , noise_error =0.9888888888888889, delte = 0.011111111111111072
mins 42 , noise_error =0.9565217391304348, delte = 0.04347826086956519
mins 43 , noise_error =0.967032967032967, delte = 0.03296703296703296
mins 44 , noise_error =0.9893617021276596, delte = 0.010638297872340385
mins 45 , noise_error =1.0, delte = 0.0
mins 46 , noise_error =0.9574468085106383, delte = 0.04255319148936165
mins 47 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 48 , noise_error =0.8571428571428572, delte = 0.1428571428571428
mins 49 , noise_error =0.8484848484848485, delte = 0.1515151515151515
mins 50 , noise_error =0.8571428571428572, delte = 0.13265306122448972
mins 51 , noise_error =0.96875, delte = 0.03125
mins 52 , noise_error =0.9787234042553191, delte = 0.021276595744680882
mins 53 , noise_error =0.956989247311828, delte = 0.043010752688172005
mins 54 , noise_error =0.967032967032967, delte = 0.03296703296703296
mins 55 , noise_error =0.9895833333333334, delte = 0.01041666666666663
mins 56 , noise_error =0.9795918367346939, delte = 0.020408163265306145
mins 57 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 58 , noise_error =0.9719626168224299, delte = 0.028037383177570097
mins 59 , noise_error =0.9821428571428571, delte = 0.017857142857142905
mins 60 , noise_error =0.9719626168224299, delte = 0.028037383177570097
mins 61 , noise_error =0.8979591836734694, delte = 0.09183673469387754
mins 62 , noise_error =0.8613861386138614, delte = 0.13861386138613863
mins 63 , noise_error =0.99, delte = 0.010000000000000009
mins 64 , noise_error =0.9902912621359223, delte = 0.009708737864077666
mins 65 , noise_error =0.9611650485436893, delte = 0.03883495145631066
mins 66 , noise_error =0.96875, delte = 0.03125
mins 67 , noise_error =0.9680851063829787, delte = 0.03191489361702127
mins 68 , noise_error =0.9896907216494846, delte = 0.010309278350515427
mins 69 , noise_error =0.875, delte = 0.11458333333333337
mins 70 , noise_error =0.845360824742268, delte = 0.14432989690721654
mins 71 , noise_error =0.99, delte = 0.010000000000000009
mins 72 , noise_error =0.9615384615384616, delte = 0.038461538461538436
mins 73 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 74 , noise_error =0.9900990099009901, delte = 0.00990099009900991
mins 75 , noise_error =0.9900990099009901, delte = 0.00990099009900991
mins 76 , noise_error =0.8514851485148515, delte = 0.14851485148514854
mins 77 , noise_error =0.9702970297029703, delte = 0.02970297029702973
mins 78 , noise_error =0.9797979797979798, delte = 0.02020202020202022
mins 79 , noise_error =1.0, delte = 0.0
mins 80 , noise_error =0.8613861386138614, delte = 0.13861386138613863
mins 81 , noise_error =0.9702970297029703, delte = 0.02970297029702973
mins 82 , noise_error =0.9787234042553191, delte = 0.021276595744680882
mins 83 , noise_error =0.99, delte = 0.010000000000000009
mins 84 , noise_error =0.8823529411764706, delte = 0.11029411764705888
mins 85 , noise_error =0.8828125, delte = 0.109375
mins 86 , noise_error =0.9663865546218487, delte = 0.025210084033613467
mins 87 , noise_error =0.9736842105263158, delte = 0.02631578947368418
mins 88 , noise_error =0.9026548672566371, delte = 0.09734513274336287
mins 89 , noise_error =0.9727272727272728, delte = 0.027272727272727226
mins 90 , noise_error =0.990909090909091, delte = 0.009090909090909038
mins 91 , noise_error =0.963963963963964, delte = 0.036036036036036
mins 92 , noise_error =0.8070175438596492, delte = 0.14912280701754377
mins 93 , noise_error =0.9487179487179487, delte = 0.03418803418803418
mins 94 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 95 , noise_error =0.9174311926605505, delte = 0.07339449541284404
mins 96 , noise_error =0.9734513274336283, delte = 0.026548672566371723
mins 97 , noise_error =0.9478260869565217, delte = 0.0434782608695653
mins 98 , noise_error =0.9739130434782609, delte = 0.02608695652173909
mins 99 , noise_error =0.9655172413793104, delte = 0.03448275862068961
mins 100 , noise_error =0.9743589743589743, delte = 0.02564102564102566
mins 101 , noise_error =0.990990990990991, delte = 0.009009009009009028
mins 102 , noise_error =0.8981481481481481, delte = 0.10185185185185186
mins 103 , noise_error =0.8598130841121495, delte = 0.14018691588785048
mins 104 , noise_error =0.8653846153846154, delte = 0.13461538461538458
mins 105 , noise_error =0.9903846153846154, delte = 0.009615384615384581
mins 106 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 107 , noise_error =0.9711538461538461, delte = 0.028846153846153855
mins 108 , noise_error =0.9711538461538461, delte = 0.028846153846153855
mins 109 , noise_error =0.9809523809523809, delte = 0.01904761904761909
mins 110 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 111 , noise_error =0.8611111111111112, delte = 0.13888888888888884
mins 112 , noise_error =0.9807692307692307, delte = 0.019230769230769273
mins 113 , noise_error =0.9905660377358491, delte = 0.009433962264150941
mins 114 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 115 , noise_error =0.9722222222222222, delte = 0.02777777777777779
mins 116 , noise_error =0.8771929824561404, delte = 0.12280701754385959
mins 117 , noise_error =0.9823008849557522, delte = 0.017699115044247815
mins 118 , noise_error =0.9074074074074074, delte = 0.09259259259259256
mins 119 , noise_error =0.8598130841121495, delte = 0.12149532710280375
mins 120 , noise_error =0.9814814814814815, delte = 0.01851851851851849
mins 121 , noise_error =0.9734513274336283, delte = 0.008849557522123908
mins 122 , noise_error =0.8416666666666667, delte = 0.09166666666666667
mins 123 , noise_error =0.9739130434782609, delte = 0.02608695652173909
mins 124 , noise_error =0.9907407407407407, delte = 0.0
mins 125 , noise_error =0.954954954954955, delte = 0.036036036036036
mins 126 , noise_error =0.8468468468468469, delte = 0.15315315315315314
mins 127 , noise_error =0.963302752293578, delte = 0.02752293577981657
mins 128 , noise_error =0.9908256880733946, delte = 0.00917431192660545
mins 129 , noise_error =0.9636363636363636, delte = 0.036363636363636376
mins 130 , noise_error =0.8796296296296297, delte = 0.12037037037037035
mins 131 , noise_error =0.9906542056074766, delte = 0.009345794392523366
mins 132 , noise_error =1.0, delte = 0.0
mins 133 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 134 , noise_error =0.8411214953271028, delte = 0.14018691588785048
mins 135 , noise_error =0.9619047619047619, delte = 0.01904761904761898
mins 136 , noise_error =0.8796296296296297, delte = 0.09259259259259256
mins 137 , noise_error =0.962962962962963, delte = 0.03703703703703698
mins 138 , noise_error =0.9459459459459459, delte = 0.027027027027027084
mins 139 , noise_error =0.983739837398374, delte = 0.0
mins 140 , noise_error =0.9827586206896551, delte = 0.017241379310344862
mins 141 , noise_error =0.9636363636363636, delte = 0.036363636363636376
mins 142 , noise_error =0.9, delte = 0.09999999999999998
mins 143 , noise_error =0.9912280701754386, delte = 0.00877192982456143
mins 144 , noise_error =0.864406779661017, delte = 0.13559322033898302
mins 145 , noise_error =0.9745762711864406, delte = 0.025423728813559365
mins 146 , noise_error =0.9833333333333333, delte = 0.01666666666666672
mins 147 , noise_error =0.9916666666666667, delte = 0.008333333333333304
mins 148 , noise_error =0.9098360655737705, delte = 0.08196721311475408
mins 149 , noise_error =0.8548387096774194, delte = 0.12903225806451613
mins 150 , noise_error =0.9583333333333334, delte = 0.02499999999999991
mins 151 , noise_error =0.8869565217391304, delte = 0.11304347826086958
mins 152 , noise_error =0.9649122807017544, delte = 0.03508771929824561
mins 153 , noise_error =0.9649122807017544, delte = 0.03508771929824561
mins 154 , noise_error =0.9464285714285714, delte = 0.044642857142857206
mins 155 , noise_error =0.9357798165137614, delte = 0.06422018348623859
mins 156 , noise_error =0.962962962962963, delte = 0.03703703703703698
mins 157 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 158 , noise_error =0.9439252336448598, delte = 0.03738317757009346
mins 159 , noise_error =0.962962962962963, delte = 0.03703703703703698
mins 160 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 161 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 162 , noise_error =1.0, delte = 0.0
mins 163 , noise_error =0.963302752293578, delte = 0.03669724770642202
mins 164 , noise_error =0.8611111111111112, delte = 0.13888888888888884
mins 165 , noise_error =0.8518518518518519, delte = 0.14814814814814814
mins 166 , noise_error =0.972972972972973, delte = 0.027027027027026973
mins 167 , noise_error =0.963963963963964, delte = 0.036036036036036
mins 168 , noise_error =0.9279279279279279, delte = 0.07207207207207211
mins 169 , noise_error =0.9811320754716981, delte = 0.018867924528301883
mins 170 , noise_error =0.8490566037735849, delte = 0.15094339622641506
mins 171 , noise_error =0.8981481481481481, delte = 0.10185185185185186
mins 172 , noise_error =0.8611111111111112, delte = 0.13888888888888884
mins 173 , noise_error =0.9811320754716981, delte = 0.018867924528301883
mins 174 , noise_error =0.9905660377358491, delte = 0.009433962264150941
mins 175 , noise_error =0.8317757009345794, delte = 0.15887850467289721
mins 176 , noise_error =0.8807339449541285, delte = 0.11926605504587151
mins 177 , noise_error =0.9907407407407407, delte = 0.0092592592592593
mins 178 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 179 , noise_error =0.92, delte = 0.07999999999999996
mins 180 , noise_error =0.8415841584158416, delte = 0.15841584158415845
mins 181 , noise_error =0.9292929292929293, delte = 0.010101010101010166
mins 182 , noise_error =0.9191919191919192, delte = 0.04040404040404033
mins 183 , noise_error =0.97, delte = 0.030000000000000027
mins 184 , noise_error =0.9299999999999999, delte = 0.07000000000000006
mins 185 , noise_error =0.84, delte = 0.16000000000000003
mins 186 , noise_error =0.8383838383838383, delte = 0.1515151515151516
mins 187 , noise_error =0.96, delte = 0.040000000000000036
mins 188 , noise_error =0.98989898989899, delte = 0.010101010101010055
mins 189 , noise_error =0.98989898989899, delte = 0.010101010101010055
mins 190 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 191 , noise_error =0.970873786407767, delte = 0.029126213592232997
mins 192 , noise_error =0.8514851485148515, delte = 0.14851485148514854
mins 193 , noise_error =0.99, delte = 0.010000000000000009
mins 194 , noise_error =0.9702970297029703, delte = 0.02970297029702973
mins 195 , noise_error =0.99, delte = 0.010000000000000009
mins 196 , noise_error =0.9900990099009901, delte = 0.00990099009900991
mins 197 , noise_error =0.9619047619047619, delte = 0.03809523809523807
mins 198 , noise_error =0.9705882352941176, delte = 0.02941176470588236
mins 199 , noise_error =0.8627450980392157, delte = 0.13725490196078427
mins 200 , noise_error =0.9619047619047619, delte = 0.03809523809523807
mins 201 , noise_error =0.8446601941747574, delte = 0.15533980582524265
mins 202 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 203 , noise_error =0.9797979797979798, delte = 0.02020202020202022
mins 204 , noise_error =0.8316831683168316, delte = 0.14851485148514854
mins 205 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 206 , noise_error =0.9595959595959596, delte = 0.04040404040404044
mins 207 , noise_error =0.9795918367346939, delte = 0.020408163265306145
mins 208 , noise_error =0.9897959183673469, delte = 0.010204081632653073
mins 209 , noise_error =0.8383838383838383, delte = 0.1515151515151516
mins 210 , noise_error =0.9595959595959596, delte = 0.04040404040404044
mins 211 , noise_error =0.8484848484848485, delte = 0.1515151515151515
mins 212 , noise_error =0.96, delte = 0.040000000000000036
mins 213 , noise_error =0.9696969696969697, delte = 0.030303030303030276
mins 214 , noise_error =0.9897959183673469, delte = 0.010204081632653073
mins 215 , noise_error =0.8787878787878788, delte = 0.12121212121212122
mins 216 , noise_error =0.9611650485436893, delte = 0.03883495145631066
mins 217 , noise_error =0.9607843137254902, delte = 0.039215686274509776
