mins 2330 , noise_error =0.9166666666666666
mins 2331 , noise_error =1.0
mins 2332 , noise_error =0.9879518072289156
mins 2333 , noise_error =1.0
mins 2334 , noise_error =1.0
mins 2335 , noise_error =1.0
mins 2336 , noise_error =1.0
mins 2337 , noise_error =1.0
mins 2338 , noise_error =1.0
mins 2339 , noise_error =0.8555555555555556
mins 2340 , noise_error =1.0
mins 2341 , noise_error =1.0
mins 2342 , noise_error =1.0
mins 2343 , noise_error =1.0
mins 2344 , noise_error =1.0
mins 2345 , noise_error =1.0
mins 2346 , noise_error =1.0
mins 2347 , noise_error =1.0
mins 2348 , noise_error =1.0
mins 2349 , noise_error =1.0
mins 2350 , noise_error =1.0
mins 2351 , noise_error =1.0
mins 2352 , noise_error =1.0
mins 2353 , noise_error =0.9883720930232558
mins 2354 , noise_error =1.0
mins 2355 , noise_error =1.0
mins 2356 , noise_error =1.0
mins 2357 , noise_error =0.8539325842696629
mins 2358 , noise_error =0.8636363636363636
mins 2359 , noise_error =1.0
mins 2360 , noise_error =1.0
mins 2361 , noise_error =1.0
mins 2362 , noise_error =1.0
mins 2363 , noise_error =0.9882352941176471
mins 2364 , noise_error =1.0
mins 2365 , noise_error =1.0
mins 2366 , noise_error =1.0
mins 2367 , noise_error =1.0
mins 2368 , noise_error =1.0
mins 2369 , noise_error =1.0
mins 2370 , noise_error =1.0
mins 2371 , noise_error =1.0
mins 2372 , noise_error =1.0
mins 2373 , noise_error =1.0
mins 2374 , noise_error =1.0
mins 2375 , noise_error =1.0
mins 2376 , noise_error =0.9885057471264368
mins 2377 , noise_error =1.0
mins 2378 , noise_error =1.0
mins 2379 , noise_error =1.0
mins 2380 , noise_error =1.0
mins 2381 , noise_error =0.9879518072289156
mins 2382 , noise_error =1.0
mins 2383 , noise_error =1.0
mins 2384 , noise_error =1.0
mins 2385 , noise_error =1.0
mins 2386 , noise_error =1.0
mins 2387 , noise_error =1.0
mins 2388 , noise_error =1.0
mins 2389 , noise_error =1.0
mins 2390 , noise_error =1.0
mins 2391 , noise_error =0.9879518072289156
mins 2392 , noise_error =1.0
mins 2393 , noise_error =1.0
mins 2394 , noise_error =1.0
mins 2395 , noise_error =1.0
mins 2396 , noise_error =0.9880952380952381
mins 2397 , noise_error =1.0
mins 2398 , noise_error =1.0
mins 2399 , noise_error =1.0
mins 2400 , noise_error =0.9879518072289156
mins 2401 , noise_error =1.0
mins 2402 , noise_error =1.0
mins 2403 , noise_error =1.0
mins 2404 , noise_error =1.0
mins 2405 , noise_error =0.9655172413793104
mins 2406 , noise_error =0.9456521739130435
mins 2407 , noise_error =1.0
mins 2408 , noise_error =1.0
mins 2409 , noise_error =1.0
mins 2410 , noise_error =1.0
mins 2411 , noise_error =1.0
mins 2412 , noise_error =1.0
mins 2413 , noise_error =0.9873417721518988
mins 2414 , noise_error =1.0
mins 2415 , noise_error =1.0
mins 2416 , noise_error =1.0
mins 2417 , noise_error =1.0
mins 2418 , noise_error =1.0
mins 2419 , noise_error =1.0
