"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2018-10-08 13:05~9","LA001",0,3,26.13,79.085,2.4708,3.1236,513.55
"2018-10-08 13:10~4","LA001",0,3,26.265,78.92,2.9307,3.342,453.2
"2018-10-08 13:15~9","LA001",0,3,26.615,78.37,3.00735,3.4876,449.35
"2018-10-08 13:20~4","LA001",0,3,26.965,77.5,3.0329,3.6332,442.1
"2018-10-08 13:25~9","LA001",0,3,27.135,76.33,3.1862,3.5968,431.05
"2018-10-08 13:30~4","LA001",0,3,27.335,75.4,3.36505,3.8152,425.55
"2018-10-08 13:35~9","LA001",0,3,27.48,75.59,3.4417,3.9244,514.35
"2018-10-08 13:40~4","LA001",0,3,27.6733333333333,75.7933333333333,3.65466666666667,3.979,745.266666666667
"2018-10-08 13:45~9","LA001",0,3,27.505,75.38,4.1434,4.5068,515.15
"2018-10-08 13:50~4","LA001",0,3,27.345,75.845,4.08045,4.5796,478.3
"2018-10-08 13:55~9","LA001",0,3,27.325,76.1052631578947,3.9719,4.3248,478.6
"2018-10-08 14:00~4","LA001",0,3,27.5368421052632,75.4052631578947,4.19915789473684,4.41963157894737,495.842105263158
"2018-10-08 14:05~9","LA001",0,3,28.0421052631579,75.6210526315789,9.36994736842105,9.91794736842105,454.473684210526
"2018-10-08 14:10~4","LA001",0,3,29.1823529411765,72.8411764705882,7.74341176470588,7.85452941176471,454.176470588235
"2018-10-08 14:15~9","LA001",0,3,29.7157894736842,71.4631578947368,7.76089473684211,7.983,462.947368421053
"2018-10-08 14:20~4","LA001",0,3,29.7944444444444,70.7888888888889,7.44661111111111,7.74033333333333,477.888888888889
"2018-10-08 14:25~9","LA001",0,3,29.945,70.035,6.791,7.073,486.6
"2018-10-08 14:30~4","LA001",0,3,30.15625,69.60625,8.674875,8.87025,496.3125
"2018-10-08 14:35~9","LA001",0,3,30.25,68.75,6.48345,6.7636,491.75
"2018-10-08 14:40~4","LA001",0,3,30.3611111111111,68.4666666666667,9.41472222222222,10.5512222222222,466.888888888889
"2018-10-08 14:45~9","LA001",0,3,30.465,67.92,15.57795,16.7554,471.5
"2018-10-08 14:50~4","LA001",0,3,30.385,67.92,8.718,9.0568,463.7
"2018-10-08 14:55~9","LA001",0,3,30.3894736842105,68.0052631578947,6.29089473684211,6.56531578947368,450.368421052632
"2018-10-08 15:00~4","LA001",0,3,30.5277777777778,68.0055555555556,6.47438888888889,6.68877777777778,463.944444444444
"2018-10-08 15:05~9","LA001",0,3,30.505,67.47,14.09605,15.536,462.3
"2018-10-08 15:10~4","LA001",0,3,30.5166666666667,67.5277777777778,12.4523333333333,13.5036666666667,467.611111111111
"2018-10-08 15:15~9","LA001",0,3,30.6,67.665,8.7893,9.1296,481.45
"2018-10-08 15:20~4","LA001",0,3,30.6368421052632,68.4578947368421,9.31736842105263,9.61142105263158,484.105263157895
"2018-10-08 15:25~9","LA001",0,3,30.5578947368421,68.7789473684211,9.178,10.0712105263158,491.684210526316
"2018-10-08 15:30~4","LA001",0,3,30.42,68.485,9.00835,9.3662,492.8
"2018-10-08 15:35~9","LA001",0,3,30.27,69.88,9.65415,9.9486,492.45
"2018-10-08 15:40~4","LA001",0,3,30.2578947368421,69.8,11.2062105263158,12.0444736842105,485.157894736842
"2018-10-08 15:45~9","LA001",0,3,30.47,69.27,11.03025,11.532,484.65
"2018-10-08 15:50~4","LA001",0,3,30.305,69.54,11.8693,12.4966,477.4
"2018-10-08 15:55~9","LA001",0,3,30.4842105263158,69.2947368421053,12.7123157894737,13.5387894736842,483.421052631579
"2018-10-08 16:00~4","LA001",0,3,30.5333333333333,69,13.1620555555556,13.9687777777778,492.055555555556
"2018-10-08 16:05~9","LA001",0,3,30.505,68.295,13.0996,14.1528,488.1
"2018-10-08 16:10~4","LA001",0,3,30.455,67.845,13.7128,14.5714,465.65
"2018-10-08 16:15~9","LA001",0,3,30.39,67.8,14.24935,15.2812,451.8
"2018-10-08 16:20~4","LA001",0,3,30.505,68.365,14.5815,15.5724,470.6
"2018-10-08 16:25~9","LA001",0,3,30.395,68.64,14.65815,15.4632,497.45
"2018-10-08 16:30~4","LA001",0,3,30.3157894736842,68.6736842105263,17.6878421052632,18.9987894736842,481.157894736842
"2018-10-08 16:35~9","LA001",0,3,30.215,68.425,20.3558,21.8878,486.95
"2018-10-08 16:40~4","LA001",0,3,30.385,67.87,17.00875,18.539,489.05
"2018-10-08 16:45~9","LA001",0,3,30.335,68.21,15.62905,16.8282,474.95
"2018-10-08 16:50~4","LA001",0,3,30.175,67.63,16.2167,17.4652,465.7
"2018-10-08 16:55~9","LA001",0,3,30.0052631578947,67.6894736842105,15.9665789473684,17.1213157894737,453.263157894737
"2018-10-08 17:00~4","LA001",0,3,30.39,67.42,16.44665,17.8292,472.15
"2018-10-08 17:05~9","LA001",0,3,30.6,66.6842105263158,16.6120526315789,18.0408947368421,476
"2018-10-08 17:10~4","LA001",0,3,30.6631578947368,67.0578947368421,22.2868421052632,24.9760526315789,470
"2018-10-08 17:15~9","LA001",0,3,30.57,67.23,18.13295,19.6492,473.15
"2018-10-08 17:20~4","LA001",0,3,30.52,67.325,17.1876,18.5208,477.6
"2018-10-08 17:25~9","LA001",0,3,30.23,67.865,17.16205,18.4662,463.75
"2018-10-08 17:30~4","LA001",0,3,30.1941176470588,68.1764705882353,19.6764705882353,21.1512352941176,457.941176470588
"2018-10-08 17:35~9","LA001",0,3,30.0842105263158,68.1947368421053,16.6389473684211,17.8876315789474,462.789473684211
"2018-10-08 17:40~4","LA001",0,3,29.8888888888889,68.5,15.1776666666667,15.991,458.611111111111
"2018-10-08 17:45~9","LA001",0,3,29.93,68.395,15.42465,16.4824,456.15
"2018-10-08 17:50~4","LA001",0,3,30.0736842105263,68.1315789473684,15.6169473684211,16.8147894736842,465.473684210526
"2018-10-08 17:55~9","LA001",0,3,30.1526315789474,67.5631578947368,16.8003157894737,18.1175263157895,457.842105263158
"2018-10-08 18:00~4","LA001",0,3,30.2473684210526,67.9105263157895,18.3064210526316,20.1291052631579,457.315789473684
"2018-10-08 18:05~9","LA001",0,3,30.3631578947368,68.6315789473684,16.5582631578947,17.9259473684211,463.157894736842
"2018-10-08 18:10~4","LA001",0,3,30.4210526315789,68.7368421052632,16.1279473684211,17.5236315789474,486
"2018-10-08 18:15~9","LA001",0,3,30.49,68.195,15.68015,16.6826,505.2
"2018-10-08 18:20~4","LA001",0,3,30.5555555555556,68.85,16.2280555555556,17.629,495.611111111111
"2018-10-08 18:25~9","LA001",0,3,30.5263157894737,69.3,16.7465263157895,18.1558421052632,477.210526315789
"2018-10-08 18:30~4","LA001",0,3,30.4,69.7105263157895,15.9127894736842,17.1979473684211,475.631578947368
"2018-10-08 18:35~9","LA001",0,3,30.23,69.21,15.7057,16.8828,475.7
"2018-10-08 18:40~4","LA001",0,3,29.52,69.925,15.06695,16.1548,465.4
"2018-10-08 18:45~9","LA001",0,3,29.155,71.105,14.55595,15.4632,458.4
"2018-10-08 18:50~4","LA001",0,3,29.21,71.22,14.5815,15.5542,465.5
"2018-10-08 18:55~9","LA001",0,3,29.225,70.96,14.70885,15.4814,468.4
"2018-10-08 19:00~4","LA001",0,3,29.3421052631579,71.1315789473684,15.0521578947368,15.9718421052632,483.526315789474
"2018-10-08 19:05~9","LA001",0,3,29.4611111111111,70.4611111111111,17.7042777777778,19.1456666666667,490.833333333333
"2018-10-08 19:10~4","LA001",0,3,29.615,70.05,18.6184,20.6502,517.7
"2018-10-08 19:15~9","LA001",0,3,29.02,69.965,13.1507,13.989,506.75
"2018-10-08 19:20~4","LA001",0,3,27.4705882352941,72.4176470588235,10.6287647058824,11.4088823529412,452.294117647059
"2018-10-08 19:25~9","LA001",0,3,27.4684210526316,72.3736842105263,11.1524210526316,12.0253157894737,439.157894736842
"2018-10-08 19:30~4","LA001",0,3,27.4611111111111,72.45,11.345,11.9061111111111,439.777777777778
"2018-10-08 19:35~9","LA001",0,3,27.24,73.235,11.5592,12.2054,439.45
"2018-10-08 19:40~4","LA001",0,3,27.19,73.505,11.64325,12.4602,440.6
"2018-10-08 19:45~9","LA001",0,3,27.1631578947368,73.8473684210526,11.9820526315789,12.8299473684211,455.473684210526
"2018-10-08 19:50~4","LA001",0,3,27.0315789473684,74.3578947368421,11.9013684210526,12.7341578947368,445.789473684211
"2018-10-08 19:55~9","LA001",0,3,26.9,75.04,11.8221,12.5512,444.85
"2018-10-08 20:00~4","LA001",0,3,26.915,75.385,11.6688,12.806,449.35
"2018-10-08 20:05~9","LA001",0,3,26.87,75.96,11.74545,12.624,462.6
"2018-10-08 20:10~4","LA001",0,3,26.755,76.14,11.70505,12.4784,459.4
"2018-10-08 20:15~9","LA001",0,3,27.07,75.02,11.79655,12.533,452.55
"2018-10-08 20:20~4","LA001",0,3,27.285,74.17,11.38775,12.1144,457
"2018-10-08 20:25~9","LA001",0,3,27.42,73.775,11.52625,12.1326,447.05
"2018-10-08 20:30~4","LA001",0,3,27.495,73.63,11.4133,12.2782,444.4
"2018-10-08 20:35~9","LA001",0,3,27.205,74.58,11.2633,11.8778,444.9
"2018-10-08 20:40~4","LA001",0,3,26.955,75.35,11.63585,12.2236,444.2
"2018-10-08 20:45~9","LA001",0,3,26.7894736842105,75.8368421052632,11.6634210526316,12.4851052631579,436.947368421053
"2018-10-08 20:50~4","LA001",0,3,26.7555555555556,76.0333333333333,11.6290555555556,12.5532222222222,441.277777777778
"2018-10-08 20:55~9","LA001",0,3,26.7526315789474,76.0631578947368,11.5749473684211,12.351,437.052631578947
"2018-10-08 21:00~4","LA001",0,3,26.7052631578947,76.3052631578947,11.6287368421053,12.4659473684211,433.842105263158
"2018-10-08 21:05~9","LA001",0,3,26.6823529411765,76.3294117647059,11.3414705882353,12.1154705882353,437.470588235294
"2018-10-08 21:10~4","LA001",0,3,26.66875,76.54375,11.6113125,12.28275,437.125
"2018-10-08 21:15~9","LA001",0,3,26.86,75.9933333333333,11.6006,12.2296666666667,437.866666666667
"2018-10-08 21:20~4","LA001",0,3,26.8947368421053,75.9894736842105,11.5558421052632,12.351,430.631578947368
"2018-10-08 21:25~9","LA001",0,3,26.925,76.33125,11.196125,12.169,452.9375
"2018-10-08 21:30~4","LA001",0,3,27.0733333333333,75.5266666666667,11.328,12.0598,489.333333333333
"2018-10-08 21:35~9","LA001",0,3,27.07,75.44,11.1759,11.7504,461.85
"2018-10-08 21:40~4","LA001",0,3,27.095,75.7,10.61055,11.0042,454.55
"2018-10-08 21:45~9","LA001",0,3,27.325,74.695,10.24165,10.6038,464.7
"2018-10-08 21:50~4","LA001",0,3,27.535,74.105,10.2634,10.8768,455.3
"2018-10-08 21:55~9","LA001",0,3,27.685,73.805,10.90225,11.4228,434.4
"2018-10-08 22:00~4","LA001",0,3,27.7,73.76,10.36215,10.9678,427.9
"2018-10-08 22:05~9","LA001",0,3,27.74,73.77,10.46075,10.9496,426.05
"2018-10-08 22:10~4","LA001",0,3,27.79,73.73,10.2498,10.4036,425.7
"2018-10-08 22:15~9","LA001",0,3,27.8,73.8,10.60325,11.1316,436.6
"2018-10-08 22:20~4","LA001",0,3,27.8,73.82,10.4934,10.8586,441.8
"2018-10-08 22:25~9","LA001",0,3,27.8,73.785,10.749,11.0952,439.65
"2018-10-08 22:30~4","LA001",0,3,27.8,73.665,10.03005,10.3854,437.45
"2018-10-08 22:35~9","LA001",0,3,27.87,73.515,10.44615,10.9678,440.45
"2018-10-08 22:40~4","LA001",0,3,27.9,73.485,10.26,10.804,439.85
"2018-10-08 22:45~9","LA001",0,3,27.9,73.475,10.541,10.986,438.8
"2018-10-08 22:50~4","LA001",0,3,27.9,73.42,10.3153,10.6402,442.05
"2018-10-08 22:55~9","LA001",0,3,27.9,73.4,10.38815,10.6948,435.4
"2018-10-08 23:00~4","LA001",0,3,27.9,73.345,10.6725,11.0406,434.65
"2018-10-08 23:05~9","LA001",0,3,27.9,73.35,10.3953,10.8768,433.05
"2018-10-08 23:10~4","LA001",0,3,27.9,73.285,10.36595,10.6584,440.8
"2018-10-08 23:15~9","LA001",0,3,27.9,73.26,10.968,11.5684,443.9
"2018-10-08 23:20~4","LA001",0,3,27.9,73.245,11.0736,11.4774,446.6
"2018-10-08 23:25~9","LA001",0,3,27.97,73.195,10.8511,11.35,451.3
"2018-10-08 23:30~4","LA001",0,3,27.925,73.24,10.51905,11.0952,458.75
"2018-10-08 23:35~9","LA001",0,3,27.88,73.33,10.2422,10.4036,455.8
"2018-10-08 23:40~4","LA001",0,3,27.83,73.36,9.81125,10.1306,442.9
"2018-10-08 23:45~9","LA001",0,3,27.88,73.32,9.63675,9.9304,443.75
"2018-10-08 23:50~4","LA001",0,3,27.86,73.355,9.44355,9.6574,438.8
"2018-10-08 23:55~9","LA001",0,3,27.9,73.285,9.13935,9.621,453.1
"2018-10-09 00:00~4","LA001",0,3,27.905,73.265,46.65675,47.013,456.4
"2018-10-09 00:05~9","LA001",0,3,27.9,73.2684210526316,49.0410526315789,50.7392105263158,453.157894736842
"2018-10-09 00:10~4","LA001",0,3,27.895,73.315,50.79125,51.836,438.95
"2018-10-09 00:15~9","LA001",0,3,27.88,73.29,49.0945,51.563,440.7
"2018-10-09 00:20~4","LA001",0,3,27.865,73.37,45.817,47.377,434.05
"2018-10-09 00:25~9","LA001",0,3,27.8,73.53,45.63925,46.558,428.3
"2018-10-09 00:30~4","LA001",0,3,27.8,73.65,45.146,45.284,425.85
"2018-10-09 00:35~9","LA001",0,3,27.8,73.695,44.53825,45.83,424.5
"2018-10-09 00:40~4","LA001",0,3,27.8,73.855,43.823,44.829,423.45
"2018-10-09 00:45~9","LA001",0,3,27.8,73.895,44.36225,44.738,432.95
"2018-10-09 00:50~4","LA001",0,3,27.8,74.035,45.45875,45.739,433
"2018-10-09 00:55~9","LA001",0,3,27.8,74.085,44.5325,44.92,457
"2018-10-09 01:00~4","LA001",0,3,27.91,73.8,43.0055,44.101,455.25
"2018-10-09 01:05~9","LA001",0,3,27.975,73.63,15.3194,15.5342,441.5
"2018-10-09 01:10~4","LA001",0,3,27.935,73.595,8.4382,8.4562,432.35
"2018-10-09 01:15~9","LA001",0,3,27.96,73.43,8.46955,8.7292,439.25
"2018-10-09 01:20~4","LA001",0,3,27.9947368421053,73.2473684210526,8.36568421052632,8.53857894736842,435.473684210526
"2018-10-09 01:25~9","LA001",0,3,28,73.15,8.55505,8.6382,436.15
"2018-10-09 01:30~4","LA001",0,3,28,73.19,8.4605,8.4926,435.45
"2018-10-09 01:35~9","LA001",0,3,28,73.31,34.9793,35.4942,441.15
"2018-10-09 01:40~4","LA001",0,3,27.9736842105263,73.3578947368421,37.0884210526316,37.5202631578947,442.947368421053
"2018-10-09 01:45~9","LA001",0,3,28,73.31,34.83,35.547,438.4
"2018-10-09 01:50~4","LA001",0,3,27.9894736842105,73.2789473684211,12.5722105263158,12.7514210526316,434.368421052632
"2018-10-09 01:55~9","LA001",0,3,28,73.145,6.34325,6.6544,433.45
"2018-10-09 02:00~4","LA001",0,3,28,73.145,26.6564,27.65,430.05
"2018-10-09 02:05~9","LA001",0,3,28,73.08,31.4835,31.725,434.95
"2018-10-09 02:10~4","LA001",0,3,28,72.965,31.47675,32.908,441.4
"2018-10-09 02:15~9","LA001",0,3,28,72.94,32.34875,33.09,440.35
"2018-10-09 02:20~4","LA001",0,3,28,72.9105263157895,31.2460526315789,32.0602631578947,434.157894736842
"2018-10-09 02:25~9","LA001",0,3,28,72.925,11.8461,12.3674,436.25
"2018-10-09 02:30~4","LA001",0,3,28,72.86,26.371,27.0676,439
"2018-10-09 02:35~9","LA001",0,3,28.005,72.775,11.6092,11.9306,444.2
"2018-10-09 02:40~4","LA001",0,3,28.005,72.77,27.1414,27.377,435.35
"2018-10-09 02:45~9","LA001",0,3,27.97,72.88,11.9608,12.2218,427.95
"2018-10-09 02:50~4","LA001",0,3,27.905,72.97,29.5396,30.0524,426
"2018-10-09 02:55~9","LA001",0,3,27.9,73,12.5196,12.8224,429.45
"2018-10-09 03:00~4","LA001",0,3,27.9,72.995,27.77665,29.47,431.65
"2018-10-09 03:05~9","LA001",0,3,27.995,72.895,32.86925,33.909,432.6
"2018-10-09 03:10~4","LA001",0,3,28,72.89,31.507,32.726,434.75
"2018-10-09 03:15~9","LA001",0,3,28,72.91,31.02975,31.725,447.15
"2018-10-09 03:20~4","LA001",0,3,28,72.995,11.46415,11.9124,439.6
"2018-10-09 03:25~9","LA001",0,3,28,72.99,26.2614,26.5762,439.55
"2018-10-09 03:30~4","LA001",0,3,28,73.05,30.33325,31.361,435.9
"2018-10-09 03:35~9","LA001",0,3,28,73.105,30.33325,30.815,426.55
"2018-10-09 03:40~4","LA001",0,3,28,73.135,10.74845,11.1662,427.85
"2018-10-09 03:45~9","LA001",0,3,28,73.05,5.8416,5.9628,436.25
"2018-10-09 03:50~4","LA001",0,3,28,73.065,5.5368,5.8536,443.8
"2018-10-09 03:55~9","LA001",0,3,28,73.125,5.3494,5.6352,435.55
"2018-10-09 04:00~4","LA001",0,3,28,73.09,5.2313,5.4714,440.3
"2018-10-09 04:05~9","LA001",0,3,28,73.03,5.3529,5.6534,435.1
"2018-10-09 04:10~4","LA001",0,3,28,73.1,22.4314,23.1364,449.35
"2018-10-09 04:15~9","LA001",0,3,28.065,72.965,26.80175,27.63,478.3
"2018-10-09 04:20~4","LA001",0,3,28.06,72.835,9.60365,9.9468,446.3
"2018-10-09 04:25~9","LA001",0,3,28.045,72.875,22.40275,23.373,483.25
"2018-10-09 04:30~4","LA001",0,3,28.05,72.685,27.8375,29.268,473.05
"2018-10-09 04:35~9","LA001",0,3,27.925,73.09,27.764,29.359,436.5
"2018-10-09 04:40~4","LA001",0,3,27.905,73.325,28.5305,29.268,431.2
"2018-10-09 04:45~9","LA001",0,3,27.925,73.375,27.54525,29.177,439.85
"2018-10-09 04:50~4","LA001",0,3,27.995,73.26,10.17235,10.6748,458.3
"2018-10-09 04:55~9","LA001",0,3,27.955,73.245,24.1949,24.9382,453.45
"2018-10-09 05:00~4","LA001",0,3,27.94,73.315,27.3795,28.27325,453.9
