"Season","AL_Type","datatime","date","time","sht_t","sht_h","co2","cPM1","cPM2.5"
0,2,"2018-10-02 00:00:00","2018-10-02","00:00:00",27.8,59.2,441,16.663,17.284
0,2,"2018-10-02 00:00:15","2018-10-02","00:00:15",27.8,59.2,439,16.663,16.86
0,2,"2018-10-02 00:00:30","2018-10-02","00:00:30",27.8,59.2,436,16.059,16.86
0,2,"2018-10-02 00:00:45","2018-10-02","00:00:45",27.8,59.3,435,16.663,16.86
0,2,"2018-10-02 00:01:00","2018-10-02","00:01:00",27.8,59.2,435,16.663,16.86
0,2,"2018-10-02 00:01:15","2018-10-02","00:01:15",27.7,59.3,434,16.86,16.86
0,2,"2018-10-02 00:01:30","2018-10-02","00:01:30",27.7,59.3,434,16.663,16.86
0,2,"2018-10-02 00:01:45","2018-10-02","00:01:45",27.7,59.3,433,16.663,16.86
0,2,"2018-10-02 00:02:00","2018-10-02","00:02:00",27.8,59.3,433,17.267,17.284
0,2,"2018-10-02 00:02:15","2018-10-02","00:02:15",27.7,59.3,432,17.871,18.132
0,2,"2018-10-02 00:02:30","2018-10-02","00:02:30",27.8,59.3,431,17.267,18.556
0,2,"2018-10-02 00:02:45","2018-10-02","00:02:45",27.7,59.2,430,17.267,18.132
0,2,"2018-10-02 00:03:00","2018-10-02","00:03:00",27.7,59.2,428,16.663,17.708
0,2,"2018-10-02 00:03:15","2018-10-02","00:03:15",27.7,59.4,426,16.663,17.284
0,2,"2018-10-02 00:03:30","2018-10-02","00:03:30",27.6,59.5,426,17.267,17.284
0,2,"2018-10-02 00:03:45","2018-10-02","00:03:45",27.6,59.6,425,17.267,17.284
0,2,"2018-10-02 00:04:00","2018-10-02","00:04:00",27.6,59.5,425,17.267,17.284
0,2,"2018-10-02 00:04:15","2018-10-02","00:04:15",27.6,59.4,425,17.267,17.284
0,2,"2018-10-02 00:04:30","2018-10-02","00:04:30",27.7,59.4,425,17.267,17.284
0,2,"2018-10-02 00:04:45","2018-10-02","00:04:45",27.6,59.4,424,17.267,17.284
0,2,"2018-10-02 00:05:00","2018-10-02","00:05:00",27.6,59.4,423,16.663,17.284
0,2,"2018-10-02 00:05:15","2018-10-02","00:05:15",27.6,59.4,423,17.267,17.284
0,2,"2018-10-02 00:05:30","2018-10-02","00:05:30",27.6,59.3,423,17.267,17.284
0,2,"2018-10-02 00:05:45","2018-10-02","00:05:45",27.6,59.5,422,16.663,16.86
0,2,"2018-10-02 00:06:00","2018-10-02","00:06:00",27.6,59.4,424,17.267,17.284
0,2,"2018-10-02 00:06:15","2018-10-02","00:06:15",27.6,59.3,423,16.663,16.86
0,2,"2018-10-02 00:06:30","2018-10-02","00:06:30",27.6,59.3,423,16.059,16.436
0,2,"2018-10-02 00:06:45","2018-10-02","00:06:45",27.6,59.3,421,16.663,16.86
0,2,"2018-10-02 00:07:00","2018-10-02","00:07:00",27.6,59.2,421,16.663,16.86
0,2,"2018-10-02 00:07:15","2018-10-02","00:07:15",27.6,59.2,421,16.663,16.86
0,2,"2018-10-02 00:07:30","2018-10-02","00:07:30",27.6,59.3,421,16.663,16.86
0,2,"2018-10-02 00:07:45","2018-10-02","00:07:45",27.6,59.3,421,16.663,16.86
0,2,"2018-10-02 00:08:00","2018-10-02","00:08:00",27.6,59.3,421,16.663,16.86
0,2,"2018-10-02 00:08:15","2018-10-02","00:08:15",27.6,59.3,422,17.267,17.284
0,2,"2018-10-02 00:08:30","2018-10-02","00:08:30",27.6,59.3,422,17.267,17.284
0,2,"2018-10-02 00:08:45","2018-10-02","00:08:45",27.6,59.3,423,17.267,17.708
0,2,"2018-10-02 00:09:00","2018-10-02","00:09:00",27.6,59.4,423,17.267,17.708
0,2,"2018-10-02 00:09:15","2018-10-02","00:09:15",27.6,59.4,422,17.267,17.284
0,2,"2018-10-02 00:09:30","2018-10-02","00:09:30",27.6,59.4,422,16.663,17.284
0,2,"2018-10-02 00:09:45","2018-10-02","00:09:45",27.6,59.3,423,16.86,16.86
0,2,"2018-10-02 00:10:00","2018-10-02","00:10:00",27.6,59.3,422,16.663,16.86
0,2,"2018-10-02 00:10:15","2018-10-02","00:10:15",27.6,59.4,421,16.059,16.86
0,2,"2018-10-02 00:10:30","2018-10-02","00:10:30",27.6,59.4,421,16.663,17.284
0,2,"2018-10-02 00:10:45","2018-10-02","00:10:45",27.6,59.4,422,17.267,17.284
0,2,"2018-10-02 00:11:00","2018-10-02","00:11:00",27.6,59.4,423,16.86,16.86
0,2,"2018-10-02 00:11:15","2018-10-02","00:11:15",27.6,59.4,423,17.267,17.284
0,2,"2018-10-02 00:11:30","2018-10-02","00:11:30",27.6,59.3,424,16.663,17.284
