"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2018-10-15 00:00~4","LA014",0,2,27.945,67.34,76.63525,86.3576,1009.55
"2018-10-15 00:05~9","LA014",0,2,28.035,67.655,62.0798,68.4334,837.85
"2018-10-15 00:10~4","LA014",0,2,28.095,68.015,62.9079,69.6486,919.35
"2018-10-15 00:15~9","LA014",0,2,28.085,68.81,40.8677,44.6068,636.75
"2018-10-15 00:20~4","LA014",0,2,28.15,69.245,69.62825,78.6107,641.1
"2018-10-15 00:25~9","LA014",0,2,28.135,69.255,61.15615,69.1712,598.4
"2018-10-15 00:30~4","LA014",0,2,28.155,69.21,53.57585,59.6883,542.5
"2018-10-15 00:35~9","LA014",0,2,28.115,69.57,66.0292,77.4389,530.05
"2018-10-15 00:40~4","LA014",0,2,28.2,69.83,70.8704,83.9706,583.9
"2018-10-15 00:45~9","LA014",0,2,28.235,69.425,52.68405,61.1856,559.9
"2018-10-15 00:50~4","LA014",0,2,28.3,68.965,45.1993,51.4423,537.8
"2018-10-15 00:55~9","LA014",0,2,28.26,69.095,32.49115,36.7297,519.2
"2018-10-15 01:00~4","LA014",0,2,28.3,68.965,24.78345,27.6591,497.25
"2018-10-15 01:05~9","LA014",0,2,28.3,68.98,22.5858,24.8381,499.5
"2018-10-15 01:10~4","LA014",0,2,28.3,68.8842105263158,20.0176842105263,22.1004736842105,497.947368421053
"2018-10-15 01:15~9","LA014",0,2,28.3,68.94,18.0631,20.0641,488.55
"2018-10-15 01:20~4","LA014",0,2,28.3,69.38,17.7446,19.3046,507.8
"2018-10-15 01:25~9","LA014",0,2,28.31,69.605,18.28605,19.8688,643.65
"2018-10-15 01:30~4","LA014",0,2,28.305,69.545,16.9802,18.3715,563.75
"2018-10-15 01:35~9","LA014",0,2,28.305,69.23,15.2603,16.5487,511.55
"2018-10-15 01:40~4","LA014",0,2,28.305,69.17,14.08185,15.2684,489.4
"2018-10-15 01:45~9","LA014",0,2,28.3,69.18,13.50855,14.791,484.3
"2018-10-15 01:50~4","LA014",0,2,28.3,69.455,12.8397,13.706,515.2
"2018-10-15 01:55~9","LA014",0,2,28.36,69,12.42565,13.5324,496.65
"2018-10-15 02:00~4","LA014",0,2,28.4,68.865,11.68535,12.4474,485.05
"2018-10-15 02:05~9","LA014",0,2,28.385,68.655,11.34275,11.97,478.8
"2018-10-15 02:10~4","LA014",0,2,28.395,68.6,10.6739,11.4709,475.9
"2018-10-15 02:15~9","LA014",0,2,28.385,68.765,9.5273,10.1906,473.35
"2018-10-15 02:20~4","LA014",0,2,28.305,69.075,9.13455,9.7132,505.15
"2018-10-15 02:25~9","LA014",0,2,28.315,68.74,8.6355,9.2575,484.6
"2018-10-15 02:30~4","LA014",0,2,28.305,68.83,7.89935,8.6065,472.4
"2018-10-15 02:35~9","LA014",0,2,28.3,68.59,8.1259,8.7367,471.35
"2018-10-15 02:40~4","LA014",0,2,28.3,68.75,6.9793,7.8687,469.05
"2018-10-15 02:45~9","LA014",0,2,28.3,68.65,6.62895,7.6951,464.8
"2018-10-15 02:50~4","LA014",0,2,28.3,68.615,5.92825,6.9356,462.5
"2018-10-15 02:55~9","LA014",0,2,28.3,68.48,6.69265,7.7819,460.4
"2018-10-15 03:00~4","LA014",0,2,28.3,68.6315789473684,5.90310526315789,6.61352631578947,459.736842105263
"2018-10-15 03:05~9","LA014",0,2,28.3,68.6,6.148,6.8705,459.85
"2018-10-15 03:10~4","LA014",0,2,28.3,68.62,5.60975,6.6101,462.2
"2018-10-15 03:15~9","LA014",0,2,28.3,68.665,6.2754,7.2611,461.65
"2018-10-15 03:20~4","LA014",0,2,28.3,68.52,6.11935,6.9139,460.85
"2018-10-15 03:25~9","LA014",0,2,28.275,68.64,5.5142,6.6969,461.75
"2018-10-15 03:30~4","LA014",0,2,28.26,68.81,4.59055,5.8289,451.85
"2018-10-15 03:35~9","LA014",0,2,28.275,68.675,4.39945,5.6119,447
"2018-10-15 03:40~4","LA014",0,2,28.3,68.525,5.1957,6.0459,449.95
"2018-10-15 03:45~9","LA014",0,2,28.29,68.635,4.6224,5.8723,456
"2018-10-15 03:50~4","LA014",0,2,28.3,68.425,4.8135,5.8723,457
"2018-10-15 03:55~9","LA014",0,2,28.3,68.68,4.46315,5.677,445.85
"2018-10-15 04:00~4","LA014",0,2,28.3,68.575,4.4313,5.5034,445.9
