"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-09 00:00~4","LA020",1,1,,,11.26,12.711,430.5
"2019-03-09 00:05~9","LA020",1,1,,,10.6244,11.7254,446.8
"2019-03-09 00:10~4","LA020",1,1,,,10.2158,11.9102,457.2
"2019-03-09 00:15~9","LA020",1,1,,,12.1226,13.3886,452.2
"2019-03-09 00:20~4","LA020",1,1,,,11.54375,12.4415,444.75
"2019-03-09 00:25~9","LA020",1,1,,,11.1692,12.557,429.8
"2019-03-09 00:30~4","LA020",1,1,,,12.8036,13.943,439.4
"2019-03-09 00:35~9","LA020",1,1,,,12.5198,13.7582,439.8
"2019-03-09 00:40~4","LA020",1,1,,,13.8932,15.2366,449.2
"2019-03-09 00:45~9","LA020",1,1,,,13.8932,15.2366,455
"2019-03-09 00:50~4","LA020",1,1,,,14.0972,14.4974,435.8
"2019-03-09 00:55~9","LA020",1,1,,,14.8448,15.4214,450
"2019-03-09 01:00~4","LA020",1,1,,,17.162,18.3782,436.8
"2019-03-09 01:05~9","LA020",1,1,,,17.9792,19.3946,436.8
"2019-03-09 01:10~4","LA020",1,1,,,19.4774,20.7806,429.8
"2019-03-09 01:15~9","LA020",1,1,,,20.7032,22.259,429
"2019-03-09 01:20~4","LA020",1,1,,,20.567,21.797,424
"2019-03-09 01:25~9","LA020",1,1,,,20.567,22.0742,445
"2019-03-09 01:30~4","LA020",1,1,,,20.4308,21.6122,429
"2019-03-09 01:35~9","LA020",1,1,,,20.8394,23.0906,440.6
"2019-03-09 01:40~4","LA020",1,1,,,22.2014,23.7374,418.4
"2019-03-09 01:45~9","LA020",1,1,,,21.7928,23.645,427.8
"2019-03-09 01:50~4","LA020",1,1,,,21.5204,23.7374,419.4
"2019-03-09 01:55~9","LA020",1,1,,,21.7928,24.1994,421.6
"2019-03-09 02:00~4","LA020",1,1,,,21.3842,23.645,413.6
"2019-03-09 02:05~9","LA020",1,1,,,21.5204,23.645,414.8
"2019-03-09 02:10~4","LA020",1,1,,,20.567,22.721,421
"2019-03-09 02:15~9","LA020",1,1,,,20.567,22.1666,417.6
"2019-03-09 02:20~4","LA020",1,1,,,20.39675,22.259,417.5
"2019-03-09 02:25~9","LA020",1,1,,,20.1584,22.1666,399.4
"2019-03-09 02:30~4","LA020",1,1,,,20.2946,21.9818,397.4
"2019-03-09 02:35~9","LA020",1,1,,,20.0222,21.7046,425
"2019-03-09 02:40~4","LA020",1,1,,,19.7498,21.5198,415.8
"2019-03-09 02:45~9","LA020",1,1,,,18.6602,20.0414,422.6
