"S_no","Season","AL_Type","Date","TEM","HUM","PM1","PM2.5","CO2"
"LA021",0,3,2018-10-22 14:26:00,27.19,71.065,15.07815,17.19205,511.3
"LA021",0,3,2018-10-22 14:31:00,27.215,70.275,15.4488,17.7486,511.4
"LA021",0,3,2018-10-22 14:36:00,27.32,70.0941176470588,78.0385,88.127,540.7
"LA021",0,3,2018-10-22 14:41:00,27.48,69.31,15.3126,17.467,601.95
"LA021",0,3,2018-10-22 14:46:00,27.615,68.715,75.655,85.311,602.9
"LA021",0,3,2018-10-22 14:51:00,27.695,68.41,71.53175,81.03225,605.65
"LA021",0,3,2018-10-22 14:56:00,27.795,68.38,72.3635,82.143,599.7
"LA021",0,3,2018-10-22 15:01:00,27.915,68.895,71.342,78.975,595.85
"LA021",0,3,2018-10-22 15:06:00,27.93,69.905,67.937,75.279,595.45
"LA021",0,3,2018-10-22 15:11:00,28.14,70.295,12.407,13.8766,593.2
"LA021",0,3,2018-10-22 15:16:00,27.98,70.33,12.3389,13.7006,582.75
"LA021",0,3,2018-10-22 15:21:00,27.8105263157895,68.365,11.5671,12.891,612.1
"LA021",0,3,2018-10-22 15:26:00,26.785,71.34,11.272,12.1694,715.35
"LA021",0,3,2018-10-22 15:31:00,25.84,71.905,10.9315,11.395,737.1
"LA021",0,3,2018-10-22 15:36:00,25.935,73.14,10.9542,11.7646,746.4
"LA021",0,3,2018-10-22 15:41:00,25.695,73.91,54.317,57.327,759.7
"LA021",0,3,2018-10-22 15:46:00,26.99,73.81,12.5432,13.7886,566.75
"LA021",0,3,2018-10-22 15:51:00,27.495,72.4833333333333,13.088,14.2462,474.95
"LA021",0,3,2018-10-22 15:56:00,28.145,70.36,12.1346,13.0142,540.95
"LA021",0,3,2018-10-22 16:01:00,28.195,69.42,10.7726,11.307,515.25
"LA021",0,3,2018-10-22 16:06:00,28.54,68.77,50.521,52.047,545.85
"LA021",0,3,2018-10-22 16:11:00,28.755,68.64,10.5683,11.131,586.3
"LA021",0,3,2018-10-22 16:16:00,28.665,68.925,10.3785,10.9374,534.05
"LA021",0,3,2018-10-22 16:21:00,28.775,69.21,11.2266,11.835,579.4
"LA021",0,3,2018-10-22 16:26:00,28.705,69.115,13.5874,15.2318,541.2
"LA021",0,3,2018-10-22 16:31:00,28.48,69.45,11.7714,12.9438,488.05
"LA021",0,3,2018-10-22 16:36:00,28.135,69.795,11.272,12.4158,453.8
"LA021",0,3,2018-10-22 16:41:00,27.83,70.59,57.268,62.871,471.3
"LA021",0,3,2018-10-22 16:46:00,27.62,71.015,10.2522,10.7262,574.65
"LA021",0,3,2018-10-22 16:51:00,27.855,70.5,11.0677,12.099,481.45
"LA021",0,3,2018-10-22 16:56:00,27.94,70.48,15.3353,16.763,502.25
"LA021",0,3,2018-10-22 17:01:00,28.06,70.16,32.1549,32.3742,610.75
"LA021",0,3,2018-10-22 17:06:00,28.05,70.0894736842105,33.3389,33.8174,491.3
"LA021",0,3,2018-10-22 17:11:00,28.03,70.0684210526316,37.7113,37.8302,464.55
"LA021",0,3,2018-10-22 17:16:00,27.995,70.425,37.7915,38.0238,447.35
