"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-08 00:00~4","LA001",1,3,18.29,65.86,16.76925,19.56005,714.7
"2019-03-08 00:05~9","LA001",1,3,18.27,65.72,16.99525,19.80665,737.7
"2019-03-08 00:10~4","LA001",1,3,18.345,65.7,16.54325,19.39565,811.55
"2019-03-08 00:15~9","LA001",1,3,18.385,65.515,16.402,19.2107,697.6
"2019-03-08 00:20~4","LA001",1,3,18.3894736842105,65.7210526315789,16.6517894736842,19.4205263157895,674.421052631579
"2019-03-08 00:25~9","LA001",1,3,18.4,65.78,16.515,19.35455,673.5
"2019-03-08 00:30~4","LA001",1,3,18.37,66.16,16.628,19.39565,668.05
"2019-03-08 00:35~9","LA001",1,3,18.4,66.2666666666667,17.0548888888889,19.9961666666667,673
"2019-03-08 00:40~4","LA001",1,3,18.395,66.18,17.1365,20.2382,672.7
"2019-03-08 00:45~9","LA001",1,3,18.405,66.135,17.27775,20.46425,672.35
"2019-03-08 00:50~4","LA001",1,3,18.355,66.645,17.67325,20.71085,669.15
"2019-03-08 00:55~9","LA001",1,3,18.3631578947368,66.8052631578947,17.6925789473684,20.8914736842105,659.263157894737
"2019-03-08 01:00~4","LA001",1,3,18.4263157894737,66.7631578947368,16.5438421052632,19.2898421052632,661.315789473684
"2019-03-08 01:05~9","LA001",1,3,18.4842105263158,66.7157894736842,17.1573157894737,20.3290526315789,667.368421052632
"2019-03-08 01:10~4","LA001",1,3,18.4315789473684,66.8578947368421,16.9194210526316,19.6801052631579,667.368421052632
"2019-03-08 01:15~9","LA001",1,3,18.4,66.825,16.37375,19.23125,665.55
"2019-03-08 01:20~4","LA001",1,3,18.355,66.96,16.03475,18.7175,665.35
"2019-03-08 01:25~9","LA001",1,3,18.3105263157895,66.8736842105263,15.5515263157895,18.2307894736842,658.684210526316
"2019-03-08 01:30~4","LA001",1,3,18.3,66.6894736842105,15.1946842105263,17.8846842105263,661.947368421053
"2019-03-08 01:35~9","LA001",1,3,18.2947368421053,66.6894736842105,15.1946842105263,17.7548947368421,667.894736842105
"2019-03-08 01:40~4","LA001",1,3,18.3789473684211,66.6157894736842,15.2244210526316,17.69,659.894736842105
"2019-03-08 01:45~9","LA001",1,3,18.395,66.81,15.2155,17.95715,657.15
"2019-03-08 01:50~4","LA001",1,3,18.395,66.88,15.30025,17.99825,661.15
"2019-03-08 01:55~9","LA001",1,3,18.385,66.835,15.3285,17.75165,664.3
"2019-03-08 02:00~4","LA001",1,3,18.395,66.835,14.96125,17.87495,661.15
"2019-03-08 02:05~9","LA001",1,3,18.365,67.035,15.41325,18.16265,655.7
"2019-03-08 02:10~4","LA001",1,3,18.4,67.21,15.8935,18.3476,657.15
"2019-03-08 02:15~9","LA001",1,3,18.3555555555556,67.3888888888889,15.1401666666667,18.0553333333333,656.277777777778
"2019-03-08 02:20~4","LA001",1,3,18.355,67.685,15.69575,18.2243,658.15
"2019-03-08 02:25~9","LA001",1,3,18.3,68.08,15.52625,18.16265,657.75
"2019-03-08 02:30~4","LA001",1,3,18.3631578947368,67.9684210526316,15.4920526315789,18.0144736842105,659.947368421053
"2019-03-08 02:35~9","LA001",1,3,18.4,68.07,15.13075,17.91605,662.25
"2019-03-08 02:40~4","LA001",1,3,18.4052631578947,68.2473684210526,15.4325789473684,17.8846842105263,658.368421052632
"2019-03-08 02:45~9","LA001",1,3,18.42,68.365,15.2155,17.8955,658
"2019-03-08 02:50~4","LA001",1,3,18.3944444444444,68.6944444444444,15.1087777777778,17.6671666666667,655.555555555556
"2019-03-08 02:55~9","LA001",1,3,18.3789473684211,68.8157894736842,15.3433684210526,17.6683684210526,655.315789473684
"2019-03-08 03:00~4","LA001",1,3,18.355,68.875,14.9895,17.58725,656.8
"2019-03-08 03:05~9","LA001",1,3,18.3157894736842,69.1157894736842,14.7188947368421,17.0410526315789,654.473684210526
"2019-03-08 03:10~4","LA001",1,3,18.305,69.095,14.45275,16.64195,655.5
"2019-03-08 03:15~9","LA001",1,3,18.3,69.1894736842105,14.2431052631579,16.3488421052632,654.684210526316
"2019-03-08 03:20~4","LA001",1,3,18.3684210526316,69.1105263157895,13.9457368421053,15.8945789473684,651.315789473684
"2019-03-08 03:25~9","LA001",1,3,18.3777777777778,69.0388888888889,13.351,15.4295,652.944444444444
"2019-03-08 03:30~4","LA001",1,3,18.4055555555556,68.9833333333333,13.2568333333333,15.1783333333333,650.777777777778
"2019-03-08 03:35~9","LA001",1,3,18.4,69.1105263157895,12.9049473684211,15.1591052631579,649.789473684211
"2019-03-08 03:40~4","LA001",1,3,18.3105263157895,69.5,12.786,14.7913684210526,651.263157894737
"2019-03-08 03:45~9","LA001",1,3,18.2842105263158,69.6157894736842,12.2507368421053,13.9044736842105,651.578947368421
"2019-03-08 03:50~4","LA001",1,3,18.3,69.4111111111111,11.2793333333333,12.5525,657.555555555556
"2019-03-08 03:55~9","LA001",1,3,18.31,69.23,10.3565,11.6894,657.4
"2019-03-08 04:00~4","LA001",1,3,18.3222222222222,69.4277777777778,10.2435,11.4793333333333,654.111111111111
"2019-03-08 04:05~9","LA001",1,3,18.3055555555556,69.55,10.1493333333333,11.2966666666667,645.333333333333
"2019-03-08 04:10~4","LA001",1,3,18.335,69.715,10.074,10.8674,651.9
"2019-03-08 04:15~9","LA001",1,3,18.37,69.72,10.15875,11.21675,651.95
"2019-03-08 04:20~4","LA001",1,3,18.28,69.87,10.1305,11.4017,650.75
"2019-03-08 04:25~9","LA001",1,3,18.1588235294118,70.1,9.82335294117647,10.6062941176471,646.470588235294
"2019-03-08 04:30~4","LA001",1,3,18.1684210526316,69.8894736842105,9.21757894736842,10.0107894736842,648.736842105263
"2019-03-08 04:35~9","LA001",1,3,18.1117647058824,69.7764705882353,8.53188235294118,9.25241176470588,645.823529411765
"2019-03-08 04:40~4","LA001",1,3,18.0611111111111,69.8,7.92072222222222,8.785,645.833333333333
"2019-03-08 04:45~9","LA001",1,3,18.0368421052632,69.6368421052632,7.58052631578947,8.5831052631579,643.631578947368
"2019-03-08 04:50~4","LA001",1,3,18.155,69.24,7.39025,8.25755,649.95
"2019-03-08 04:55~9","LA001",1,3,18.1526315789474,69.4263157894737,7.46310526315789,8.21536842105263,650.578947368421
"2019-03-08 05:00~4","LA001",1,3,18.0421052631579,69.7894736842105,7.31442105263158,8.45331578947368,648.315789473684
"2019-03-08 05:05~9","LA001",1,3,18.05,69.705,7.4185,8.54525,643
"2019-03-08 05:10~4","LA001",1,3,18,69.8222222222222,7.51266666666667,8.48816666666667,643.444444444444
"2019-03-08 05:15~9","LA001",1,3,18.0294117647059,69.7882352941176,7.60129411764706,8.50294117647059,644.294117647059
"2019-03-08 05:20~4","LA001",1,3,18.0611111111111,69.6611111111111,7.60683333333333,8.55666666666667,644.055555555556
"2019-03-08 05:25~9","LA001",1,3,18.0157894736842,69.7,7.01705263157895,7.95578947368421,643.368421052632
"2019-03-08 05:30~4","LA001",1,3,18,69.8388888888889,7.26155555555556,8.21416666666667,648.388888888889
"2019-03-08 05:35~9","LA001",1,3,18.015,69.775,7.16425,8.237,650.7
"2019-03-08 05:40~4","LA001",1,3,18.0263157894737,69.6578947368421,6.92784210526316,8.06394736842105,649.368421052632
"2019-03-08 05:45~9","LA001",1,3,18.0529411764706,69.6941176470588,6.90335294117647,7.68094117647059,647.882352941176
"2019-03-08 05:50~4","LA001",1,3,18.025,69.76,6.91,7.88765,649.8
"2019-03-08 05:55~9","LA001",1,3,17.9294117647059,69.9882352941176,6.83688235294118,7.80182352941176,647.352941176471
"2019-03-08 06:00~4","LA001",1,3,17.9631578947368,69.8052631578947,6.71968421052632,7.67457894736842,645
"2019-03-08 06:05~9","LA001",1,3,17.9,70.0894736842105,6.68994736842105,7.91252631578947,646.578947368421
"2019-03-08 06:10~4","LA001",1,3,17.9823529411765,69.9117647058823,6.67070588235294,7.65676470588235,647.470588235294
"2019-03-08 06:15~9","LA001",1,3,18.0157894736842,69.8263157894737,6.60073684210526,7.60968421052632,648.578947368421
"2019-03-08 06:20~4","LA001",1,3,18.105,70.385,7.72925,8.7302,648.15
"2019-03-08 06:25~9","LA001",1,3,18.205,69.785,7.023,7.9082,665.6
"2019-03-08 06:30~4","LA001",1,3,18.2266666666667,69.8466666666667,6.91,7.9082,668.266666666667
"2019-03-08 06:35~9","LA001",1,3,18.2052631578947,69.9210526315789,6.42231578947368,7.32847368421053,659.947368421053
"2019-03-08 06:40~4","LA001",1,3,18.015,70.36,6.31675,7.23005,666.65
"2019-03-08 06:45~9","LA001",1,3,17.7882352941176,71.6,6.37158823529412,7.14905882352941,668.235294117647
"2019-03-08 06:50~4","LA001",1,3,17.6157894736842,72.8736842105263,6.93984210526316,7.69621052631579,689.842105263158
"2019-03-08 06:55~9","LA001",1,3,17.755,72.67,7.0795,7.7849,692.85
"2019-03-08 07:00~4","LA001",1,3,17.4473684210526,73.1631578947368,6.06547368421053,6.96073684210526,668.210526315789
"2019-03-08 07:05~9","LA001",1,3,17.4315789473684,73.2736842105263,6.36284210526316,7.19868421052632,670.789473684211
"2019-03-08 07:10~4","LA001",1,3,17.4055555555556,73.4055555555556,5.73511111111111,6.43222222222222,662.611111111111
"2019-03-08 07:15~9","LA001",1,3,17.5105263157895,73.1421052631579,5.76810526315789,6.72278947368421,662
"2019-03-08 07:20~4","LA001",1,3,17.4166666666667,73.525,6.10016666666667,6.7985,665.25
"2019-03-08 07:25~9","LA001",1,3,17.40625,73.9125,6.4650625,7.158125,667.1875
"2019-03-08 07:30~4","LA001",1,3,17.5736842105263,75.0631578947368,6.45205263157895,7.13378947368421,708.157894736842
"2019-03-08 07:35~9","LA001",1,3,17.55625,76.39375,6.3238125,7.055375,843.625
"2019-03-08 07:40~4","LA001",1,3,17.5583333333333,77.0666666666667,6.52391666666667,7.2095,888.25
"2019-03-08 07:45~9","LA001",1,3,17.6857142857143,77.3428571428571,5.89985714285714,6.62114285714286,919.785714285714
"2019-03-08 07:50~4","LA001",1,3,17.725,77.33125,6.5356875,7.1324375,946.75
"2019-03-08 07:55~9","LA001",1,3,17.7923076923077,77.6,7.16930769230769,7.826,977.461538461538
"2019-03-08 08:00~4","LA001",1,3,18.1928571428571,72.4428571428572,7.9835,8.8535,739.285714285714
"2019-03-08 08:05~9","LA001",1,3,18.54,71.225,6.71225,7.76435,659.45
"2019-03-08 08:10~4","LA001",1,3,18.985,69.775,6.2885,7.2506,658.8
"2019-03-08 08:15~9","LA001",1,3,19.045,69.33,6.119,6.81905,660.35
"2019-03-08 08:20~4","LA001",1,3,19.06,69.44,5.3489,6.3447,671.65
"2019-03-08 08:25~9","LA001",1,3,18.9388888888889,69.75,6.31988888888889,7.02683333333333,674.555555555556
"2019-03-08 08:30~4","LA001",1,3,18.9,69.0533333333333,6.04366666666667,6.8122,671.666666666667
"2019-03-08 08:35~9","LA001",1,3,18.4764705882353,70.6176470588235,6.07247058823529,6.97982352941176,672.117647058824
"2019-03-08 08:40~4","LA001",1,3,18.1875,72.11875,6.641625,7.4406875,665.875
"2019-03-08 08:45~9","LA001",1,3,16.86,77.365,7.30405,8.0315,660.6
"2019-03-08 08:50~4","LA001",1,3,16.5071428571429,79.6142857142857,7.57992857142857,8.47185714285714,677.785714285714
"2019-03-08 08:55~9","LA001",1,3,16.6277777777778,79.3055555555556,7.23016666666667,8.32833333333333,722.166666666667
"2019-03-08 09:00~4","LA001",1,3,16.9,80.4105263157895,7.84968421052632,9.57815789473684,714.052631578947
"2019-03-08 09:05~9","LA001",1,3,15.8473684210526,85.3421052631579,9.33652631578947,10.3136315789474,710.947368421053
"2019-03-08 09:10~4","LA001",1,3,15.3052631578947,88.7578947368421,9.84205263157895,10.7895263157895,698.421052631579
"2019-03-08 09:15~9","LA001",1,3,17.09,84.65,7.136,7.9493,810.55
"2019-03-08 09:20~4","LA001",1,3,19.0736842105263,77.7315789473684,5.58968421052632,6.44157894736842,964.105263157895
"2019-03-08 09:25~9","LA001",1,3,20.185,74.825,4.33925,5.33945,1067.35
"2019-03-08 09:30~4","LA001",1,3,20.815,72.38,4.3497,5.15365,1110.05
"2019-03-08 09:35~9","LA001",1,3,20.2684210526316,74.6105263157895,6.51152631578947,7.37173684210526,975.263157894737
"2019-03-08 09:40~4","LA001",1,3,17.2111111111111,83.8388888888889,7.76216666666667,8.55666666666667,734.944444444444
"2019-03-08 09:45~9","LA001",1,3,16.8894736842105,84.1263157894737,8.40505263157895,8.95084210526316,736
"2019-03-08 09:50~4","LA001",1,3,16.75,87.8833333333333,13.1626666666667,14.2421666666667,675.222222222222
"2019-03-08 09:55~9","LA001",1,3,18.0631578947368,82.2315789473684,12.3399473684211,13.1257368421053,648.894736842105
"2019-03-08 10:00~4","LA001",1,3,19.02,77.22,12.48645,13.27175,649.1
"2019-03-08 10:05~9","LA001",1,3,19.53,74.7,12.7295,13.72385,653.7
"2019-03-08 10:10~4","LA001",1,3,19.97,72.82,29.31225,31.2119,696.3
"2019-03-08 10:15~9","LA001",1,3,20.335,71.785,32.674,34.39715,732.4
"2019-03-08 10:20~4","LA001",1,3,20.555,71.19,37.41375,38.91815,741
"2019-03-08 10:25~9","LA001",1,3,20.665,70.835,36.10995,36.49325,742.3
"2019-03-08 10:30~4","LA001",1,3,20.825,70.525,33.64545,33.65735,756.8
"2019-03-08 10:35~9","LA001",1,3,20.88,70.44,33.5571,34.0889,783.35
"2019-03-08 10:40~4","LA001",1,3,21.005,70.1,41.79875,43.4186,790.4
"2019-03-08 10:45~9","LA001",1,3,21.145,69.515,33.21075,34.4588,761.6
"2019-03-08 10:50~4","LA001",1,3,21.2,69.25,26.2731,26.8339,753.45
"2019-03-08 10:55~9","LA001",1,3,21.2,69.23,22.0764,23.09465,762.35
"2019-03-08 11:00~4","LA001",1,3,21.25,69.165,20.583,21.6767,774.25
"2019-03-08 11:05~9","LA001",1,3,21.415,68.725,19.227,20.38205,768.35
"2019-03-08 11:10~4","LA001",1,3,21.485,68.535,18.1535,19.2107,773.8
"2019-03-08 11:15~9","LA001",1,3,21.4526315789474,68.5842105263158,16.7112631578947,17.6467368421053,775.052631578947
"2019-03-08 11:20~4","LA001",1,3,21.49,68.515,15.52625,16.31315,775
"2019-03-08 11:25~9","LA001",1,3,21.465,67.625,8.379,9.03845,682.7
"2019-03-08 11:30~4","LA001",1,3,21.16,68.41,11.634,12.3256,657.4
"2019-03-08 11:35~9","LA001",1,3,20.98,69.11,13.4612,14.25815,652.35
"2019-03-08 11:40~4","LA001",1,3,20.83,70.05,11.66715,12.03875,656.1
"2019-03-08 11:45~9","LA001",1,3,20.995,70.185,9.283,9.86045,664.25
"2019-03-08 11:50~4","LA001",1,3,21.16,69.685,7.9206,8.4622,658.7
"2019-03-08 11:55~9","LA001",1,3,21.12,69.69,7.80965,8.3603,654.1
"2019-03-08 12:00~4","LA001",1,3,21.28,69.395,8.53935,9.0179,659.55
"2019-03-08 12:05~9","LA001",1,3,21.435,68.935,9.23245,9.53165,672.25
"2019-03-08 12:10~4","LA001",1,3,21.37,68.78,9.4673,9.73715,660.55
"2019-03-08 12:15~9","LA001",1,3,21.25,69.335,8.5416,8.9357,661.85
"2019-03-08 12:20~4","LA001",1,3,20.565,74.25,7.3888,7.92875,695.55
"2019-03-08 12:25~9","LA001",1,3,19.065,82.035,28.945,36.08225,709.55
"2019-03-08 12:30~4","LA001",1,3,18.7882352941176,84.0705882352941,11.5895294117647,13.0722941176471,672.235294117647
"2019-03-08 12:35~9","LA001",1,3,18.475,85.065,7.35285,8.46305,663.6
"2019-03-08 12:40~4","LA001",1,3,18.2941176470588,81.0411764705882,7.66776470588235,8.43041176470588,676
"2019-03-08 12:45~9","LA001",1,3,18.4,78.19375,7.8069375,8.5709375,655.9375
"2019-03-08 12:50~4","LA001",1,3,18.5,77.6823529411765,7.53311764705882,8.14029411764706,647.411764705882
"2019-03-08 12:55~9","LA001",1,3,18.5647058823529,76.7058823529412,7.43511764705882,7.99523529411765,653.470588235294
"2019-03-08 13:00~4","LA001",1,3,18.6235294117647,76.7117647058824,7.33541176470588,7.97105882352941,661.235294117647
"2019-03-08 13:05~9","LA001",1,3,18.6578947368421,76.6263157894737,6.82357894736842,7.415,673.368421052632
"2019-03-08 13:10~4","LA001",1,3,18.6583333333333,76.875,6.61808333333333,7.3465,685.75
"2019-03-08 13:15~9","LA001",1,3,18.6714285714286,77,6.77278571428571,7.2095,694
"2019-03-08 13:20~4","LA001",1,3,18.6416666666667,77.2666666666667,6.61808333333333,7.31225,683.75
"2019-03-08 13:25~9","LA001",1,3,18.7333333333333,76.6583333333333,6.61808333333333,7.24375,687.333333333333
"2019-03-08 13:30~4","LA001",1,3,18.7666666666667,77.1111111111111,6.63377777777778,7.23233333333333,691.277777777778
"2019-03-08 13:35~9","LA001",1,3,18.75,77.475,6.7475625,7.31225,674.4375
"2019-03-08 13:40~4","LA001",1,3,18.795,76.985,6.5145,7.2095,673.3
"2019-03-08 13:45~9","LA001",1,3,18.7894736842105,77.2578947368421,8.49778947368421,8.79942105263158,671.684210526316
"2019-03-08 13:50~4","LA001",1,3,18.8,76.6823529411765,7.48870588235294,7.826,669.411764705882
"2019-03-08 13:55~9","LA001",1,3,18.6083333333333,78.55,5.62933333333333,6.14775,672
"2019-03-08 14:00~4","LA001",1,3,18.66875,80.39375,10.7731875,11.987375,760.4375
"2019-03-08 14:05~9","LA001",1,3,19.9941176470588,77.2941176470588,23.9862941176471,27.7474117647059,713.470588235294
"2019-03-08 14:10~4","LA001",1,3,20.75,74.525,13.2945,14.58695,727.6
"2019-03-08 14:15~9","LA001",1,3,21.215,73.2,9.42425,10.0865,754.05
"2019-03-08 14:20~4","LA001",1,3,21.555,71.145,10.65665,11.54555,736.65
"2019-03-08 14:25~9","LA001",1,3,21.53,70.675,7.27725,7.92875,681.2
"2019-03-08 14:30~4","LA001",1,3,21.7894736842105,70.5473684210526,7.66973684210526,8.49657894736842,720.684210526316
"2019-03-08 14:35~9","LA001",1,3,21.92,70.07,6.9113,7.5169,684.65
"2019-03-08 14:40~4","LA001",1,3,22.0058823529412,70,6.40482352941176,7.12488235294118,701.176470588235
"2019-03-08 14:45~9","LA001",1,3,21.90625,69.70625,5.1085,5.7453125,688.75
"2019-03-08 14:50~4","LA001",1,3,21.7647058823529,69.6058823529412,4.77629411764706,5.26329411764706,665.823529411765
"2019-03-08 14:55~9","LA001",1,3,21.6388888888889,69.9555555555555,8.36016666666667,9.2645,656.555555555556
"2019-03-08 15:00~4","LA001",1,3,21.515,70.81,28.0975,30.82145,665.95
"2019-03-08 15:05~9","LA001",1,3,21.64,70.77,17.306,19.60115,673.3
"2019-03-08 15:10~4","LA001",1,3,21.565,71.05,7.60965,8.38085,661.2
"2019-03-08 15:15~9","LA001",1,3,21.605,70.6,5.8607,6.4286,655.05
"2019-03-08 15:20~4","LA001",1,3,21.765,70.415,7.588,8.66855,650.35
"2019-03-08 15:25~9","LA001",1,3,21.9,70.27,7.22075,7.96985,657.55
"2019-03-08 15:30~4","LA001",1,3,22.02,70.87,9.622,10.9496,678.5
"2019-03-08 15:35~9","LA001",1,3,22.09,70.75,8.30275,8.9357,689.3
"2019-03-08 15:40~4","LA001",1,3,22.135,69.935,7.7575,8.648,676.8
"2019-03-08 15:45~9","LA001",1,3,22.105,69.72,5.893,6.61355,686.05
"2019-03-08 15:50~4","LA001",1,3,22.155,69.895,6.119,6.65465,697.45
"2019-03-08 15:55~9","LA001",1,3,22.1842105263158,69.3947368421053,5.67889473684211,6.63626315789474,676.736842105263
"2019-03-08 16:00~4","LA001",1,3,22.01,69.975,6.14725,6.7574,658.15
"2019-03-08 16:05~9","LA001",1,3,21.96,70.135,6.4015,7.1684,650.3
"2019-03-08 16:10~4","LA001",1,3,22.105,70.405,10.3,11.525,668.65
"2019-03-08 16:15~9","LA001",1,3,22.2,69.81,11.68425,13.39505,671.2
"2019-03-08 16:20~4","LA001",1,3,22.2,69.58,6.48625,7.2095,661.55
"2019-03-08 16:25~9","LA001",1,3,22.22,70.14,6.571,7.4972,680.8
"2019-03-08 16:30~4","LA001",1,3,22.365,69.445,5.01725,5.83265,684.05
"2019-03-08 16:35~9","LA001",1,3,22.1736842105263,70.0578947368421,4.84626315789474,5.55468421052632,661.842105263158
"2019-03-08 16:40~4","LA001",1,3,22.23,69.615,5.13025,5.7299,659.05
"2019-03-08 16:45~9","LA001",1,3,22.29,69.61,4.75895,5.42165,662.1
"2019-03-08 16:50~4","LA001",1,3,22.39,69.63,5.3845,6.03815,675.6
"2019-03-08 16:55~9","LA001",1,3,22.335,69.345,4.90425,5.75045,672.3
"2019-03-08 17:00~4","LA001",1,3,22.38,70.04,5.215,5.8121,679.75
"2019-03-08 17:05~9","LA001",1,3,22.515,69.865,4.7452,5.4208,698.95
"2019-03-08 17:10~4","LA001",1,3,22.62,69.66,4.56525,5.2778,731.35
"2019-03-08 17:15~9","LA001",1,3,22.5684210526316,69.5,23.2831052631579,28.7004736842105,703.157894736842
"2019-03-08 17:20~4","LA001",1,3,22.55,70.105,7.84225,8.9768,699.3
"2019-03-08 17:25~9","LA001",1,3,22.385,69.65,4.424,5.0312,670.3
"2019-03-08 17:30~4","LA001",1,3,22.23,70,4.198,4.8668,674.65
"2019-03-08 17:35~9","LA001",1,3,22.275,70,4.39575,5.36,664.6
"2019-03-08 17:40~4","LA001",1,3,22.2,70.47,5.63875,6.2642,674.05
"2019-03-08 17:45~9","LA001",1,3,22.26,70.74,20.32875,22.7453,690.25
"2019-03-08 17:50~4","LA001",1,3,22.225,70.3,11.8367,12.2237,705.3
"2019-03-08 17:55~9","LA001",1,3,22.46,69.875,14.84215,15.7172,675.1
"2019-03-08 18:00~4","LA001",1,3,22.625,69.655,12.19215,13.35395,664.5
