"Season","AL_Type","datatime","date","time","sht_t","sht_h","co2","cPM1","cPM2.5"
1,2,"2019-03-05 08:00:00","2019-03-05","08:00:00",21.7,67.9,527,19.21,22.123
1,2,"2019-03-05 08:00:15","2019-03-05","08:00:15",21.7,67.9,528,19.789,22.123
1,2,"2019-03-05 08:00:30","2019-03-05","08:00:30",21.7,67.9,528,19.789,22.541
1,2,"2019-03-05 08:00:45","2019-03-05","08:00:45",21.7,67.9,527,19.789,22.541
1,2,"2019-03-05 08:01:00","2019-03-05","08:01:00",21.7,67.9,527,19.789,22.959
1,2,"2019-03-05 08:01:15","2019-03-05","08:01:15",21.7,67.8,526,20.368,22.959
1,2,"2019-03-05 08:01:30","2019-03-05","08:01:30",21.7,67.8,524,20.947,23.795
1,2,"2019-03-05 08:01:45","2019-03-05","08:01:45",21.7,67.7,522,20.368,22.959
1,2,"2019-03-05 08:02:00","2019-03-05","08:02:00",21.7,67.8,522,19.21,22.541
1,2,"2019-03-05 08:02:15","2019-03-05","08:02:15",21.7,67.9,521,20.368,22.959
1,2,"2019-03-05 08:02:30","2019-03-05","08:02:30",21.7,67.9,519,21.526,23.795
1,2,"2019-03-05 08:02:45","2019-03-05","08:02:45",21.7,67.9,519,20.947,23.795
1,2,"2019-03-05 08:03:00","2019-03-05","08:03:00",21.7,67.9,519,21.526,23.377
1,2,"2019-03-05 08:03:15","2019-03-05","08:03:15",21.8,67.8,519,20.947,22.959
1,2,"2019-03-05 08:03:30","2019-03-05","08:03:30",21.8,67.8,520,20.947,23.377
1,2,"2019-03-05 08:03:45","2019-03-05","08:03:45",21.8,67.7,519,20.947,23.795
1,2,"2019-03-05 08:04:00","2019-03-05","08:04:00",21.8,67.7,517,20.947,23.795
1,2,"2019-03-05 08:04:15","2019-03-05","08:04:15",21.7,67.7,515,20.947,23.377
1,2,"2019-03-05 08:04:30","2019-03-05","08:04:30",21.8,67.8,514,20.947,23.377
1,2,"2019-03-05 08:04:45","2019-03-05","08:04:45",21.8,67.9,513,20.947,23.377
1,2,"2019-03-05 08:05:00","2019-03-05","08:05:00",21.8,67.8,514,20.947,22.959
1,2,"2019-03-05 08:05:15","2019-03-05","08:05:15",21.7,67.9,515,20.947,22.959
1,2,"2019-03-05 08:05:30","2019-03-05","08:05:30",21.7,68,516,20.368,22.959
1,2,"2019-03-05 08:05:45","2019-03-05","08:05:45",21.8,68.1,519,20.368,22.541
1,2,"2019-03-05 08:06:00","2019-03-05","08:06:00",21.8,68,523,19.789,22.123
1,2,"2019-03-05 08:06:15","2019-03-05","08:06:15",21.8,67.9,528,20.368,22.959
1,2,"2019-03-05 08:06:30","2019-03-05","08:06:30",21.8,67.9,530,20.368,22.959
1,2,"2019-03-05 08:06:45","2019-03-05","08:06:45",21.8,67.9,535,19.21,22.541
1,2,"2019-03-05 08:07:00","2019-03-05","08:07:00",21.8,67.8,537,19.21,22.541
1,2,"2019-03-05 08:07:15","2019-03-05","08:07:15",21.9,67.8,539,19.21,22.541
1,2,"2019-03-05 08:07:30","2019-03-05","08:07:30",21.9,67.8,540,19.21,22.123
1,2,"2019-03-05 08:07:45","2019-03-05","08:07:45",21.9,67.9,541,19.21,22.123
1,2,"2019-03-05 08:08:00","2019-03-05","08:08:00",21.9,67.7,544,18.631,21.705
1,2,"2019-03-05 08:08:15","2019-03-05","08:08:15",21.9,67.6,544,19.21,22.123
1,2,"2019-03-05 08:08:30","2019-03-05","08:08:30",22,67.4,543,19.789,22.541
1,2,"2019-03-05 08:08:45","2019-03-05","08:08:45",22,67.4,542,19.789,22.959
1,2,"2019-03-05 08:09:00","2019-03-05","08:09:00",22,67.4,540,19.789,22.541
1,2,"2019-03-05 08:09:15","2019-03-05","08:09:15",22,67.4,540,19.789,22.541
1,2,"2019-03-05 08:09:30","2019-03-05","08:09:30",22,67.3,539,19.21,22.123
1,2,"2019-03-05 08:09:45","2019-03-05","08:09:45",22,67.3,537,19.21,21.287
1,2,"2019-03-05 08:10:00","2019-03-05","08:10:00",21.9,67.9,537,19.21,21.287
1,2,"2019-03-05 08:10:15","2019-03-05","08:10:15",22,67.7,538,19.21,21.287
1,2,"2019-03-05 08:11:00","2019-03-05","08:11:00",22,67.3,549,19.21,21.705
1,2,"2019-03-05 08:11:30","2019-03-05","08:11:30",22,67.3,595,18.631,20.869
1,2,"2019-03-05 08:11:45","2019-03-05","08:11:45",22.1,67.3,551,19.21,21.705
1,2,"2019-03-05 08:12:00","2019-03-05","08:12:00",22,67.2,557,19.789,22.541
1,2,"2019-03-05 08:12:15","2019-03-05","08:12:15",22.1,67.3,554,19.789,22.123
1,2,"2019-03-05 08:12:30","2019-03-05","08:12:30",22.1,67.2,549,20.368,22.541
1,2,"2019-03-05 08:12:45","2019-03-05","08:12:45",22.1,67.1,542,19.21,22.123
1,2,"2019-03-05 08:13:00","2019-03-05","08:13:00",22.1,67.1,539,19.21,22.123
1,2,"2019-03-05 08:13:15","2019-03-05","08:13:15",22.2,67.1,535,18.631,21.705
1,2,"2019-03-05 08:13:30","2019-03-05","08:13:30",22.1,67,533,19.21,21.705
1,2,"2019-03-05 08:13:45","2019-03-05","08:13:45",22.1,67,533,19.21,21.705
1,2,"2019-03-05 08:14:00","2019-03-05","08:14:00",22.1,67.1,533,19.789,21.705
1,2,"2019-03-05 08:14:15","2019-03-05","08:14:15",22.1,67.1,534,19.789,22.123
1,2,"2019-03-05 08:14:30","2019-03-05","08:14:30",22.1,67.1,535,19.789,22.123
1,2,"2019-03-05 08:14:45","2019-03-05","08:14:45",22.1,67.1,537,19.789,22.959
1,2,"2019-03-05 08:15:00","2019-03-05","08:15:00",22.1,67.1,538,19.789,22.959
1,2,"2019-03-05 08:15:15","2019-03-05","08:15:15",22.1,67,540,19.789,22.541
1,2,"2019-03-05 08:15:30","2019-03-05","08:15:30",22.1,67,540,19.789,22.541
1,2,"2019-03-05 08:16:00","2019-03-05","08:16:00",22.1,67,540,19.789,22.541
1,2,"2019-03-05 08:16:15","2019-03-05","08:16:15",22.1,66.9,540,19.21,22.123
1,2,"2019-03-05 08:16:30","2019-03-05","08:16:30",22.1,67,541,19.789,21.705
1,2,"2019-03-05 08:16:45","2019-03-05","08:16:45",22.1,66.9,540,19.21,21.705
1,2,"2019-03-05 08:17:00","2019-03-05","08:17:00",22.1,66.9,539,19.21,21.705
1,2,"2019-03-05 08:17:15","2019-03-05","08:17:15",22.1,66.9,537,19.21,22.123
1,2,"2019-03-05 08:17:30","2019-03-05","08:17:30",22.1,67,533,19.789,22.541
1,2,"2019-03-05 08:17:45","2019-03-05","08:17:45",22.1,67,531,20.368,22.959
1,2,"2019-03-05 08:18:00","2019-03-05","08:18:00",22.1,67,530,20.368,22.541
1,2,"2019-03-05 08:18:15","2019-03-05","08:18:15",22,67.1,530,20.368,22.541
1,2,"2019-03-05 08:18:30","2019-03-05","08:18:30",22,67.1,529,20.368,22.959
1,2,"2019-03-05 08:18:45","2019-03-05","08:18:45",22,67.1,528,20.368,22.959
1,2,"2019-03-05 08:19:00","2019-03-05","08:19:00",22,67.1,527,20.368,22.959
1,2,"2019-03-05 08:19:15","2019-03-05","08:19:15",22,67.1,525,20.368,23.377
1,2,"2019-03-05 08:19:30","2019-03-05","08:19:30",22.1,67.2,522,20.368,23.377
1,2,"2019-03-05 08:19:45","2019-03-05","08:19:45",22.1,67.1,519,20.368,22.959
1,2,"2019-03-05 08:20:00","2019-03-05","08:20:00",22.1,67,519,19.789,22.541
1,2,"2019-03-05 08:20:15","2019-03-05","08:20:15",22.1,67,519,19.789,22.959
1,2,"2019-03-05 08:20:30","2019-03-05","08:20:30",22.1,66.9,518,19.21,22.123
1,2,"2019-03-05 08:20:45","2019-03-05","08:20:45",22.1,66.9,518,19.21,21.705
1,2,"2019-03-05 08:21:00","2019-03-05","08:21:00",22.1,66.9,518,20.947,23.377
1,2,"2019-03-05 08:21:15","2019-03-05","08:21:15",22.1,66.9,517,21.526,23.795
1,2,"2019-03-05 08:21:30","2019-03-05","08:21:30",22.1,67,516,21.526,23.377
1,2,"2019-03-05 08:21:45","2019-03-05","08:21:45",22.1,67,516,21.526,23.377
1,2,"2019-03-05 08:22:00","2019-03-05","08:22:00",22.1,67,515,21.526,23.377
1,2,"2019-03-05 08:22:15","2019-03-05","08:22:15",22.1,67,514,21.526,23.377
1,2,"2019-03-05 08:22:30","2019-03-05","08:22:30",22.1,67.1,513,22.105,24.213
1,2,"2019-03-05 08:22:45","2019-03-05","08:22:45",22.1,67.1,511,22.684,24.213
1,2,"2019-03-05 08:23:00","2019-03-05","08:23:00",22,67.2,509,22.684,24.213
1,2,"2019-03-05 08:23:15","2019-03-05","08:23:15",22,67.3,508,22.684,24.213
1,2,"2019-03-05 08:23:30","2019-03-05","08:23:30",21.9,67.5,507,22.684,24.631
1,2,"2019-03-05 08:23:45","2019-03-05","08:23:45",21.9,67.5,507,22.105,24.213
