"S_no","Season","AL_Type","Date","TEM","HUM","PM1","PM2.5","CO2"
"LA010",1,3,2019-03-05 08:01:00,22.285,65.86,19.9698,21.8026,456.25
"LA010",1,3,2019-03-05 08:06:00,22.59,65.785,18.5706,20.48905,521.85
"LA010",1,3,2019-03-05 08:11:00,21.785,66.545,16.09285,18.1747,606.05
"LA010",1,3,2019-03-05 08:16:00,22.17,53.335,9.73815,10.7104,1140.35
"LA010",1,3,2019-03-05 08:21:00,22.9473684210526,45.6842105263158,7.16221052631579,7.75189473684211,1328.94736842105
"LA010",1,3,2019-03-05 08:26:00,24,41.335,5.3948,6.22765,1691.2
"LA010",1,3,2019-03-05 08:31:00,24.33,36.73,4.84095,5.64385,1823.9
"LA010",1,3,2019-03-05 08:36:00,24.445,44.6,8.1349,9.27175,1482.45
"LA010",1,3,2019-03-05 08:41:00,23.62,61.11,15.33495,17.6326,469.55
"LA010",1,3,2019-03-05 08:46:00,23.355,63.22,27.7237,31.45615,503.7
"LA010",1,3,2019-03-05 08:51:00,22.885,63.385,13.8483,15.69355,463.95
"LA010",1,3,2019-03-05 08:56:00,23.785,61.13,14.69365,16.23565,476.8
"LA010",1,3,2019-03-05 09:01:00,24.635,58.905,14.57705,16.2982,482.45
"LA010",1,3,2019-03-05 09:06:00,25.055,57.665,14.46045,16.23565,490.7
"LA010",1,3,2019-03-05 09:11:00,25.34,56.93,14.22725,16.2148,490.4
"LA010",1,3,2019-03-05 09:16:00,25.485,56.595,13.99405,15.4225,490.5
"LA010",1,3,2019-03-05 09:21:00,25.6,56.325,13.93575,15.35995,492.45
"LA010",1,3,2019-03-05 09:26:00,25.665,56.195,13.8483,15.19315,487.55
"LA010",1,3,2019-03-05 09:31:00,25.71,56.07,13.6151,15.1723,485.3
"LA010",1,3,2019-03-05 09:36:00,25.775,56.06,13.207,14.7553,485.2
"LA010",1,3,2019-03-05 09:41:00,25.825,56.04,13.06125,14.56765,495.3
"LA010",1,3,2019-03-05 09:46:00,25.89,56.025,13.06125,14.8804,497.5
"LA010",1,3,2019-03-05 09:51:00,25.96,56.01,12.9738,14.35915,503.35
"LA010",1,3,2019-03-05 09:56:00,26,55.945,12.8572,14.1715,500.55
"LA010",1,3,2019-03-05 10:01:00,26,56.01,12.2742,13.7962,498.6
"LA010",1,3,2019-03-05 10:06:00,26.08,55.96,12.01185,13.6711,506.15
"LA010",1,3,2019-03-05 10:11:00,26.07,56.105,12.2159,13.9213,504.05
"LA010",1,3,2019-03-05 10:16:00,26.08,56.215,11.5163,12.8788,504.15
"LA010",1,3,2019-03-05 10:21:00,26.1,56.165,11.479,12.52435,502.75
"LA010",1,3,2019-03-05 10:26:00,26.11,56.275,11.1665,11.85715,497.95
"LA010",1,3,2019-03-05 10:31:00,26.2,56.16,11.13735,12.35755,494.25
"LA010",1,3,2019-03-05 10:36:00,26.2,56.21,11.07905,11.9614,488.65
"LA010",1,3,2019-03-05 10:41:00,26.235,56.245,10.96245,11.7112,491.65
