"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-05 11:00~4","LA014",1,2,24.32,67.365,40.7488,40.7488,662.2
"2019-03-05 11:05~9","LA014",1,2,24.375,67.135,38.017,38.017,657.4
"2019-03-05 11:10~4","LA014",1,2,24.44,66.885,42.5857,42.5857,636.35
"2019-03-05 11:15~9","LA014",1,2,24.39,66.2,38.18185,38.18185,582.5
"2019-03-05 11:20~4","LA014",1,2,24.305,66.3,40.1365,40.1365,554.9
"2019-03-05 11:25~9","LA014",1,2,24.27,66.44,40.96075,40.96075,531.6
"2019-03-05 11:30~4","LA014",1,2,24.2,66.135,37.14565,37.14565,496.85
"2019-03-05 11:35~9","LA014",1,2,24.18,65.955,31.39945,31.39945,473.75
"2019-03-05 11:40~4","LA014",1,2,24.155,65.955,32.0824,32.0824,471.15
"2019-03-05 11:45~9","LA014",1,2,24.225,65.74,31.7527,31.7527,464.95
"2019-03-05 11:50~4","LA014",1,2,24.295,65.71,36.6982,36.6982,466.35
"2019-03-05 11:55~9","LA014",1,2,24.24,65.7,36.1801,36.1801,469.8
"2019-03-05 12:00~4","LA014",1,2,24.17,65.665,35.2852,35.2852,459.7
"2019-03-05 12:05~9","LA014",1,2,24.18,65.69,37.0279,37.0279,461.9
"2019-03-05 12:10~4","LA014",1,2,24.295,65.48,38.6293,38.6293,463.2
"2019-03-05 12:15~9","LA014",1,2,24.205,65.765,38.93545,38.93545,487
"2019-03-05 12:20~4","LA014",1,2,24.3,65.71,38.8177,38.8177,494.15
"2019-03-05 12:25~9","LA014",1,2,24.3,65.77,39.3358,39.3358,490.85
"2019-03-05 12:30~4","LA014",1,2,24.255,66.015,43.88095,43.88095,498.5
"2019-03-05 12:35~9","LA014",1,2,24.28,65.835,41.0314,41.0314,497.25
"2019-03-05 12:40~4","LA014",1,2,24.3,66.005,45.10555,45.10555,500.2
"2019-03-05 12:45~9","LA014",1,2,24.3,66.2,46.18885,46.18885,507.7
"2019-03-05 12:50~4","LA014",1,2,24.255,66.405,44.21065,44.21065,510.2
"2019-03-05 12:55~9","LA014",1,2,24.3,66.53,42.79765,42.79765,523.1
"2019-03-05 13:00~4","LA014",1,2,24.34,66.605,43.3393,43.3393,537.75
"2019-03-05 13:05~9","LA014",1,2,24.4,66.68,46.09465,46.09465,547.2
"2019-03-05 13:10~4","LA014",1,2,24.315,66.845,51.9586,51.9586,569.05
"2019-03-05 13:15~9","LA014",1,2,24.39,66.78,43.31575,43.31575,545
"2019-03-05 13:20~4","LA014",1,2,24.405,67.085,47.1544,47.1544,565.25
"2019-03-05 13:25~9","LA014",1,2,24.4,67.125,51.2992,51.2992,563.7
"2019-03-05 13:30~4","LA014",1,2,24.365,67.015,50.6398,50.6398,556.65
"2019-03-05 13:35~9","LA014",1,2,24.38,67.075,50.33365,50.33365,549.95
"2019-03-05 13:40~4","LA014",1,2,24.38,67.135,55.46755,55.46755,564.15
"2019-03-05 13:45~9","LA014",1,2,24.4,67.09,58.15225,58.15225,560.9
"2019-03-05 13:50~4","LA014",1,2,24.395,67.145,47.1073,47.1073,545.55
"2019-03-05 13:55~9","LA014",1,2,24.4,67.255,39.2416,39.2416,531.65
"2019-03-05 14:00~4","LA014",1,2,24.44,67.31,47.93155,47.93155,533.45
"2019-03-05 14:05~9","LA014",1,2,24.4,67.495,59.0707,59.0707,556.75
"2019-03-05 14:10~4","LA014",1,2,24.4,67.65,63.61585,63.61585,570.25
"2019-03-05 14:15~9","LA014",1,2,24.4,67.61,62.5561,62.5561,572.45
"2019-03-05 14:20~4","LA014",1,2,24.4,67.69,65.73535,65.73535,567.35
"2019-03-05 14:25~9","LA014",1,2,24.41,67.645,61.59055,61.59055,554.3
"2019-03-05 14:30~4","LA014",1,2,24.44,67.735,58.71745,58.71745,549.8
"2019-03-05 14:35~9","LA014",1,2,24.415,67.69,58.6468,58.6468,540
"2019-03-05 14:40~4","LA014",1,2,24.42,67.7,86.22385,86.22385,553.2
"2019-03-05 14:45~9","LA014",1,2,24.4,67.29,63.05065,63.05065,508.8
"2019-03-05 14:50~4","LA014",1,2,24.405,67.35,43.12735,43.12735,489.75
"2019-03-05 14:55~9","LA014",1,2,24.395,67.45,37.66375,37.66375,483.8
"2019-03-05 15:00~4","LA014",1,2,24.36,67.875,37.3105,37.3105,485.85
"2019-03-05 15:05~9","LA014",1,2,24.35,67.555,28.5499,28.5499,475.75
"2019-03-05 15:10~4","LA014",1,2,24.375,67.56,25.39855,25.8181,467.7
"2019-03-05 15:15~9","LA014",1,2,24.355,67.61,22.8851,24.42865,461.1
"2019-03-05 15:20~4","LA014",1,2,24.4,68.08,22.0925,23.887,459.3
"2019-03-05 15:25~9","LA014",1,2,24.4,67.76,20.36825,22.40335,456.6
"2019-03-05 15:30~4","LA014",1,2,24.395,68.025,20.5195,22.45045,455.3
"2019-03-05 15:35~9","LA014",1,2,24.36,67.95,20.12625,21.93235,453.95
"2019-03-05 15:40~4","LA014",1,2,24.305,67.745,19.007,20.9197,450.8
"2019-03-05 15:45~9","LA014",1,2,24.34,68.645,19.27925,21.532,453.95
"2019-03-05 15:50~4","LA014",1,2,24.335,69.015,19.249,21.2965,454.2
"2019-03-05 15:55~9","LA014",1,2,24.375,68.675,18.3415,20.33095,458.4
"2019-03-05 16:00~4","LA014",1,2,24.4,69.5526315789474,18.523,20.8378947368421,485.157894736842
"2019-03-05 16:05~9","LA014",1,2,24.39,68.325,16.7685,18.63535,505.6
"2019-03-05 16:10~4","LA014",1,2,24.365,68.21,17.313,19.48315,491.25
"2019-03-05 16:15~9","LA014",1,2,24.335,68.205,18.43225,21.4849,468.65
"2019-03-05 16:20~4","LA014",1,2,24.3052631578947,69.4157894736842,19.9240526315789,23.2424736842105,466
"2019-03-05 16:25~9","LA014",1,2,24.335,70.605,20.61025,24.2167,459.4
"2019-03-05 16:30~4","LA014",1,2,24.305,71.055,21.2455,25.1116,458.8
"2019-03-05 16:35~9","LA014",1,2,24.3052631578947,70.6842105263158,21.548,25.5726842105263,452.631578947368
"2019-03-05 16:40~4","LA014",1,2,24.2368421052632,70.6894736842105,21.2295789473684,25.3743684210526,446.263157894737
"2019-03-05 16:45~9","LA014",1,2,24.025,71.335,21.69925,26.6188,431.15
"2019-03-05 16:50~4","LA014",1,2,23.96,71.25,22.5765,28.24375,426.55
"2019-03-05 16:55~9","LA014",1,2,23.92,70.855,23.33275,29.5861,426.45
"2019-03-05 17:00~4","LA014",1,2,23.83,70.24,24.6335,31.0462,427.7
"2019-03-05 17:05~9","LA014",1,2,23.805,70.105,25.7225,32.5534,428.05
"2019-03-05 17:10~4","LA014",1,2,23.735,69.685,26.9325,34.13125,429.3
"2019-03-05 17:15~9","LA014",1,2,23.645,69.155,28.41475,36.15655,430
"2019-03-05 17:20~4","LA014",1,2,23.65,68.365,28.7475,36.76885,431.55
"2019-03-05 17:25~9","LA014",1,2,23.51,68.18,30.35075,38.37025,439.7
"2019-03-05 17:30~4","LA014",1,2,23.545,67.845,30.986,38.74705,444.6
"2019-03-05 17:35~9","LA014",1,2,23.52,67.325,28.324,35.30875,444.8
"2019-03-05 17:40~4","LA014",1,2,23.655,66.695,27.80975,34.1548,453
"2019-03-05 17:45~9","LA014",1,2,23.72,66.1,25.9645,31.5643,468.5
"2019-03-05 17:50~4","LA014",1,2,23.93,66,42.0575,48.1435,497.95
"2019-03-05 17:55~9","LA014",1,2,24.025,67.06,50.951,57.49285,584.85
"2019-03-05 18:00~4","LA014",1,2,24.18,68.21,50.1645,58.19935,622.4
"2019-03-05 18:05~9","LA014",1,2,24.345,68.95,67.13475,93.66565,699.65
"2019-03-05 18:10~4","LA014",1,2,24.575,68.205,128.391,197.4034,668.5
"2019-03-05 18:15~9","LA014",1,2,24.63,67.37,67.31625,85.47025,592.6
"2019-03-05 18:20~4","LA014",1,2,24.7,66.375,39.214,49.3681,573.3
"2019-03-05 18:25~9","LA014",1,2,24.64,65.67,37.85275,47.74315,501.9
"2019-03-05 18:30~4","LA014",1,2,24.7,65.87,59.75375,73.83655,511.85
"2019-03-05 18:35~9","LA014",1,2,24.69,65.695,43.66075,51.676,505.5
"2019-03-05 18:40~4","LA014",1,2,24.61,64.47,23.87725,28.3144,466.05
"2019-03-05 18:45~9","LA014",1,2,24.51,63.995,23.03025,27.184,473.15
"2019-03-05 18:50~4","LA014",1,2,24.52,64.245,22.78825,26.6188,485.2
"2019-03-05 18:55~9","LA014",1,2,24.53,64.55,49.4533,71.3638,532.2
"2019-03-05 19:00~4","LA014",1,2,24.535,64.33,29.32225,32.5063,661.85
"2019-03-05 19:05~9","LA014",1,2,24.4,66.035,17.313,20.0248,848.45
"2019-03-05 19:10~4","LA014",1,2,24.48,67.2,12.98725,14.86735,755
"2019-03-05 19:15~9","LA014",1,2,24.465,67.59,12.24645,13.8547,710.1
"2019-03-05 19:20~4","LA014",1,2,24.365,66.65,9.8123,10.62835,578.8
"2019-03-05 19:25~9","LA014",1,2,24.41,65.735,9.72025,10.8403,561.8
"2019-03-05 19:30~4","LA014",1,2,24.51,65.395,12.20075,13.4779,549.55
"2019-03-05 19:35~9","LA014",1,2,24.6,66.92,42.32975,69.03235,672.2
"2019-03-05 19:40~4","LA014",1,2,24.69,67.845,75.54425,94.93735,664.75
"2019-03-05 19:45~9","LA014",1,2,24.685,67.55,55.791,63.61585,659.25
"2019-03-05 19:50~4","LA014",1,2,24.695,67.02,77.35925,92.0407,613.8
"2019-03-05 19:55~9","LA014",1,2,24.695,66.475,91.849,121.9021,596.1
"2019-03-05 20:00~4","LA014",1,2,24.655,66.12,59.784,68.2552,580.8
"2019-03-05 20:05~9","LA014",1,2,24.68,65.495,43.3885,48.73225,548.05
"2019-03-05 20:10~4","LA014",1,2,24.665,65.72,39.7585,44.3755,566.8
"2019-03-05 20:15~9","LA014",1,2,24.73,65.885,37.42925,41.99695,560.6
"2019-03-05 20:20~4","LA014",1,2,24.765,65.76,73.5175,87.8017,544.55
"2019-03-05 20:25~9","LA014",1,2,24.715,65.785,49.862,56.36245,540.8
"2019-03-05 20:30~4","LA014",1,2,24.73,65.61,42.965,48.40255,547.6
"2019-03-05 20:35~9","LA014",1,2,24.77,65.805,59.3,67.9255,574.15
"2019-03-05 20:40~4","LA014",1,2,24.795,65.36,49.58975,55.84435,555.9
"2019-03-05 20:45~9","LA014",1,2,24.78,64.9,33.7085,37.75795,531.5
"2019-03-05 20:50~4","LA014",1,2,24.695,65.405,47.41175,59.09425,548.4
"2019-03-05 20:55~9","LA014",1,2,24.72,65.44,115.65575,168.55465,539.75
"2019-03-05 21:00~4","LA014",1,2,24.765,65.66,62.7485,70.68085,554.1
"2019-03-05 21:05~9","LA014",1,2,24.76,65.44,60.026,67.0306,564.45
"2019-03-05 21:10~4","LA014",1,2,24.76,65.405,57.1825,63.38035,576.95
"2019-03-05 21:15~9","LA014",1,2,24.79,64.705,58.574,68.18455,534.35
"2019-03-05 21:20~4","LA014",1,2,24.8,63.91,34.9185,38.2996,523.25
"2019-03-05 21:25~9","LA014",1,2,24.81,64.315,64.5635,72.1645,545.05
"2019-03-05 21:30~4","LA014",1,2,24.76,64.425,67.07425,74.44885,551.45
"2019-03-05 21:35~9","LA014",1,2,24.675,63.345,43.7515,47.9551,506
"2019-03-05 21:40~4","LA014",1,2,24.6,62.95,33.1035,35.9917,486.2
"2019-03-05 21:45~9","LA014",1,2,24.58,63.335,30.29025,32.85955,483.15
"2019-03-05 21:50~4","LA014",1,2,24.59,63.58,25.45025,28.2202,505.4
"2019-03-05 21:55~9","LA014",1,2,24.555,64.255,56.275,66.34765,525.4
"2019-03-05 22:00~4","LA014",1,2,24.52,66.57,117.1985,149.7853,688.4
"2019-03-05 22:05~9","LA014",1,2,24.655,66.575,97.02175,116.32075,701.4
"2019-03-05 22:10~4","LA014",1,2,24.65,66.485,87.009,102.0259,686.4
"2019-03-05 22:15~9","LA014",1,2,24.66,67.775,74.546,84.62245,717.25
"2019-03-05 22:20~4","LA014",1,2,24.7,68.59,48.652,53.48935,776.7
"2019-03-05 22:25~9","LA014",1,2,24.6631578947368,68.8,41.0672105263158,45.4786315789474,818.736842105263
"2019-03-05 22:30~4","LA014",1,2,24.61,68.835,46.20175,51.93505,753.3
"2019-03-05 22:35~9","LA014",1,2,24.6,68.415,51.40475,57.77545,882.7
"2019-03-05 22:40~4","LA014",1,2,24.58,68.04,56.396,63.94555,847.75
