"Season","AL_Type","datatime","date","time","sht_t","sht_h","co2","cPM1","cPM2.5"
1,3,"2019-03-09 00:00:00","2019-03-09","00:00:00",24.3,65.5,760,4.077,5.005
1,3,"2019-03-09 00:00:15","2019-03-09","00:00:15",24.3,65.5,761,4.077,5.411
1,3,"2019-03-09 00:00:30","2019-03-09","00:00:30",24.3,65.5,761,4.077,5.005
1,3,"2019-03-09 00:00:45","2019-03-09","00:00:45",24.3,65.5,761,4.077,5.005
1,3,"2019-03-09 00:01:00","2019-03-09","00:01:00",24.3,65.5,761,4.077,4.599
1,3,"2019-03-09 00:01:15","2019-03-09","00:01:15",24.3,65.4,761,4.077,4.599
1,3,"2019-03-09 00:01:30","2019-03-09","00:01:30",24.3,65.5,762,4.077,5.005
1,3,"2019-03-09 00:01:45","2019-03-09","00:01:45",24.3,65.5,761,3.559,4.193
1,3,"2019-03-09 00:02:00","2019-03-09","00:02:00",24.3,65.5,762,3.041,3.787
1,3,"2019-03-09 00:02:15","2019-03-09","00:02:15",24.3,65.4,762,4.077,4.599
1,3,"2019-03-09 00:02:30","2019-03-09","00:02:30",24.3,65.4,762,4.595,5.005
1,3,"2019-03-09 00:02:45","2019-03-09","00:02:45",24.3,65.4,762,4.595,5.005
1,3,"2019-03-09 00:03:00","2019-03-09","00:03:00",24.3,65.4,763,4.077,5.005
1,3,"2019-03-09 00:03:15","2019-03-09","00:03:15",24.3,65.4,763,4.077,4.599
1,3,"2019-03-09 00:03:30","2019-03-09","00:03:30",24.3,65.4,764,4.077,5.005
1,3,"2019-03-09 00:03:45","2019-03-09","00:03:45",24.3,65.4,764,4.077,5.005
1,3,"2019-03-09 00:04:00","2019-03-09","00:04:00",24.3,65.4,764,4.077,5.005
1,3,"2019-03-09 00:04:15","2019-03-09","00:04:15",24.3,65.4,765,4.077,5.411
1,3,"2019-03-09 00:04:30","2019-03-09","00:04:30",24.3,65.5,766,3.559,5.005
1,3,"2019-03-09 00:04:45","2019-03-09","00:04:45",24.3,65.4,766,4.077,5.005
1,3,"2019-03-09 00:05:00","2019-03-09","00:05:00",24.3,65.4,766,4.077,4.599
1,3,"2019-03-09 00:05:15","2019-03-09","00:05:15",24.3,65.4,765,4.077,4.599
1,3,"2019-03-09 00:05:30","2019-03-09","00:05:30",24.3,65.4,766,4.077,4.599
1,3,"2019-03-09 00:05:45","2019-03-09","00:05:45",24.3,65.4,766,4.077,4.193
1,3,"2019-03-09 00:06:00","2019-03-09","00:06:00",24.3,65.4,766,3.559,4.193
1,3,"2019-03-09 00:06:15","2019-03-09","00:06:15",24.3,65.4,766,3.559,4.193
1,3,"2019-03-09 00:06:30","2019-03-09","00:06:30",24.3,65.4,765,4.077,4.193
1,3,"2019-03-09 00:06:45","2019-03-09","00:06:45",24.3,65.4,766,3.559,4.193
1,3,"2019-03-09 00:07:00","2019-03-09","00:07:00",24.3,65.4,766,4.077,4.193
1,3,"2019-03-09 00:07:15","2019-03-09","00:07:15",24.3,65.4,766,4.077,4.193
