"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-14 00:00~4","LA026",1,1,,,16.6755,18.8328333333333,509.833333333333
"2019-03-14 00:05~9","LA026",1,1,,,15.9574,18.2466,518.8
"2019-03-14 00:10~4","LA026",1,1,,,16.6588,19.0646,513.2
"2019-03-14 00:15~9","LA026",1,1,,,15.5566,17.1832,500.2
"2019-03-14 00:20~4","LA026",1,1,,,15.9574,17.8376,507
"2019-03-14 00:25~9","LA026",1,1,,,15.256,17.57175,504.25
"2019-03-14 00:30~4","LA026",1,1,,,15.256,17.4286,504.6
"2019-03-14 00:35~9","LA026",1,1,,,15.4564,17.5922,511.8
"2019-03-14 00:40~4","LA026",1,1,,,15.4564,18.083,502.8
"2019-03-14 00:45~9","LA026",1,1,,,15.5566,17.4286,494.2
"2019-03-14 00:50~4","LA026",1,1,,,15.3562,17.5922,509.2
"2019-03-14 00:55~9","LA026",1,1,,,15.6568,17.8376,498.8
"2019-03-14 01:00~4","LA026",1,1,,,15.6568,17.674,501.4
"2019-03-14 01:05~9","LA026",1,1,,,15.256,17.9194,511.6
"2019-03-14 01:10~4","LA026",1,1,,,15.1558,17.5104,501.2
"2019-03-14 01:15~9","LA026",1,1,,,15.6568,17.7558,510.4
"2019-03-14 01:20~4","LA026",1,1,,,15.6568,17.7558,499.4
"2019-03-14 01:25~9","LA026",1,1,,,15.9574,18.3284,498
"2019-03-14 01:30~4","LA026",1,1,,,15.8572,17.8376,500.8
"2019-03-14 01:35~9","LA026",1,1,,,17.88625,20.23025,499.75
"2019-03-14 01:40~4","LA026",1,1,,,15.3562,17.674,502.4
"2019-03-14 01:45~9","LA026",1,1,,,15.5566,18.0012,501.8
"2019-03-14 01:50~4","LA026",1,1,,,15.3562,17.7558,501.2
"2019-03-14 01:55~9","LA026",1,1,,,19.3642,22.3366,497.2
"2019-03-14 02:00~4","LA026",1,1,,,15.4564,17.7558,503.2
"2019-03-14 02:05~9","LA026",1,1,,,15.5566,18.4102,501
"2019-03-14 02:10~4","LA026",1,1,,,15.6568,18.2466,498.4
"2019-03-14 02:15~9","LA026",1,1,,,15.6568,18.083,499.6
"2019-03-14 02:20~4","LA026",1,1,,,15.4564,17.7558,499.6
"2019-03-14 02:25~9","LA026",1,1,,,15.3562,18.1648,493.8
"2019-03-14 02:30~4","LA026",1,1,,,16.0576,18.5738,503.6
"2019-03-14 02:35~9","LA026",1,1,,,15.4564,17.9194,500.4
"2019-03-14 02:40~4","LA026",1,1,,,15.88225,18.2875,505.75
"2019-03-14 02:45~9","LA026",1,1,,,15.6568,17.8376,501.8
"2019-03-14 02:50~4","LA026",1,1,,,15.3562,17.7558,508.6
"2019-03-14 02:55~9","LA026",1,1,,,15.3562,17.7558,499
"2019-03-14 03:00~4","LA026",1,1,,,15.1558,17.3468,499
"2019-03-14 03:05~9","LA026",1,1,,,15.256,17.3468,498
"2019-03-14 03:10~4","LA026",1,1,,,15.1558,17.8376,501.6
"2019-03-14 03:15~9","LA026",1,1,,,15.1558,17.3468,496.4
"2019-03-14 03:20~4","LA026",1,1,,,15.4564,17.674,510.4
"2019-03-14 03:25~9","LA026",1,1,,,14.9554,17.5922,501
"2019-03-14 03:30~4","LA026",1,1,,,15.5566,17.7558,506.4
"2019-03-14 03:35~9","LA026",1,1,,,15.3562,17.674,503.2
"2019-03-14 03:40~4","LA026",1,1,,,15.1558,17.674,497.6
"2019-03-14 03:45~9","LA026",1,1,,,14.9554,17.5104,497.6
"2019-03-14 03:50~4","LA026",1,1,,,15.63175,18.083,499.75
"2019-03-14 03:55~9","LA026",1,1,,,14.9554,17.5922,499.4
"2019-03-14 04:00~4","LA026",1,1,,,15.5566,17.5922,504.4
"2019-03-14 04:05~9","LA026",1,1,,,15.3562,17.1014,495.8
"2019-03-14 04:10~4","LA026",1,1,,,15.3562,17.5104,500.6
"2019-03-14 04:15~9","LA026",1,1,,,14.9554,17.5104,494.8
"2019-03-14 04:20~4","LA026",1,1,,,15.256,17.4286,500.2
"2019-03-14 04:25~9","LA026",1,1,,,15.3562,17.674,495.4
"2019-03-14 04:30~4","LA026",1,1,,,15.0556,17.0196,493.4
"2019-03-14 04:35~9","LA026",1,1,,,15.0556,17.1832,500.6
"2019-03-14 04:40~4","LA026",1,1,,,15.1558,17.265,499
"2019-03-14 04:45~9","LA026",1,1,,,15.1558,17.4286,507.2
"2019-03-14 04:50~4","LA026",1,1,,,15.3562,17.5922,501.6
"2019-03-14 04:55~9","LA026",1,1,,,14.755,17.36725,505.5
"2019-03-14 05:00~4","LA026",1,1,,,14.9554,17.1832,511.2
"2019-03-14 05:05~9","LA026",1,1,,,15.0556,17.3468,503.8
"2019-03-14 05:10~4","LA026",1,1,,,15.0556,17.1832,504
"2019-03-14 05:15~9","LA026",1,1,,,14.8552,17.265,508
"2019-03-14 05:20~4","LA026",1,1,,,15.256,17.4286,503.6
"2019-03-14 05:25~9","LA026",1,1,,,14.8552,16.9378,502.2
"2019-03-14 05:30~4","LA026",1,1,,,15.757,18.083,507.8
"2019-03-14 05:35~9","LA026",1,1,,,15.757,17.9194,520.4
"2019-03-14 05:40~4","LA026",1,1,,,15.6568,17.674,519
"2019-03-14 05:45~9","LA026",1,1,,,16.0576,18.2466,512.2
"2019-03-14 05:50~4","LA026",1,1,,,16.1578,18.4102,519.8
"2019-03-14 05:55~9","LA026",1,1,,,16.1578,18.492,527
"2019-03-14 06:00~4","LA026",1,1,,,16.13275,18.6965,514.5
"2019-03-14 06:05~9","LA026",1,1,,,17.3602,19.8826,524.8
"2019-03-14 06:10~4","LA026",1,1,,,17.3602,19.6372,534
"2019-03-14 06:15~9","LA026",1,1,,,16.759,19.3918,532.6
"2019-03-14 06:20~4","LA026",1,1,,,18.5626,21.6004,554.2
"2019-03-14 06:25~9","LA026",1,1,,,19.1638,22.0094,556.8
"2019-03-14 06:30~4","LA026",1,1,,,19.0636,21.8458,565.8
"2019-03-14 06:35~9","LA026",1,1,,,18.5626,21.6004,558.6
"2019-03-14 06:40~4","LA026",1,1,,,18.763,21.764,576.4
"2019-03-14 06:45~9","LA026",1,1,,,19.4644,22.4184,583.4
"2019-03-14 06:50~4","LA026",1,1,,,20.5666,23.4,586.4
"2019-03-14 06:55~9","LA026",1,1,,,19.1638,22.2548,576.2
"2019-03-14 07:00~4","LA026",1,1,,,19.0636,22.0094,585.2
"2019-03-14 07:05~9","LA026",1,1,,,19.5646,22.4184,603.4
"2019-03-14 07:10~4","LA026",1,1,,,19.38925,22.47975,607
"2019-03-14 07:15~9","LA026",1,1,,,19.4644,22.582,591.4
"2019-03-14 07:20~4","LA026",1,1,,,20.1658,23.7272,628
"2019-03-14 07:25~9","LA026",1,1,,,19.8652,22.9092,615.8
"2019-03-14 07:30~4","LA026",1,1,,,20.9674,24.1362,647.6
"2019-03-14 07:35~9","LA026",1,1,,,21.0676,24.5452,626.8
"2019-03-14 07:40~4","LA026",1,1,,,20.6668,23.7272,619.4
"2019-03-14 07:45~9","LA026",1,1,,,20.767,24.1362,623.6
"2019-03-14 07:50~4","LA026",1,1,,,20.3662,23.809,580.2
"2019-03-14 07:55~9","LA026",1,1,,,20.6668,24.1362,588.6
"2019-03-14 08:00~4","LA026",1,1,,,20.4664,23.809,606
"2019-03-14 08:05~9","LA026",1,1,,,20.767,24.0544,618.2
"2019-03-14 08:10~4","LA026",1,1,,,19.8652,23.4,612.4
"2019-03-14 08:15~9","LA026",1,1,,,20.64175,23.70675,627.75
"2019-03-14 08:20~4","LA026",1,1,,,19.8652,22.7456,597.6
"2019-03-14 08:25~9","LA026",1,1,,,19.6648,22.0912,587.8
"2019-03-14 08:30~4","LA026",1,1,,,19.0636,22.0094,590
"2019-03-14 08:35~9","LA026",1,1,,,19.4644,22.582,586.2
"2019-03-14 08:40~4","LA026",1,1,,,18.9634,21.9276,609
"2019-03-14 08:45~9","LA026",1,1,,,18.6628,21.1914,616.8
"2019-03-14 08:50~4","LA026",1,1,,,18.0616,20.946,597.2
"2019-03-14 08:55~9","LA026",1,1,,,19.1638,22.0912,599.8
"2019-03-14 09:00~4","LA026",1,1,,,19.6648,23.0728,597.8
"2019-03-14 09:05~9","LA026",1,1,,,20.0656,23.1546,597.6
"2019-03-14 09:10~4","LA026",1,1,,,19.3642,22.7456,571.8
"2019-03-14 09:15~9","LA026",1,1,,,19.264,22.582,573.6
"2019-03-14 09:20~4","LA026",1,1,,,19.6648,22.582,586.4
"2019-03-14 09:25~9","LA026",1,1,,,19.38925,21.9685,594.75
"2019-03-14 09:30~4","LA026",1,1,,,19.3642,22.0094,575.6
"2019-03-14 09:35~9","LA026",1,1,,,19.8652,22.8274,590.6
"2019-03-14 09:40~4","LA026",1,1,,,22.4704,25.854,608.4
"2019-03-14 09:45~9","LA026",1,1,,,23.0716,27.2446,597.8
"2019-03-14 09:50~4","LA026",1,1,,,20.9674,24.5452,564.8
"2019-03-14 09:55~9","LA026",1,1,,,21.6688,24.7906,572.2
"2019-03-14 10:00~4","LA026",1,1,,,19.765,23.4,543.6
"2019-03-14 10:05~9","LA026",1,1,,,20.3662,24.2998,556.2
"2019-03-14 10:10~4","LA026",1,1,,,19.8652,24.3816,547
"2019-03-14 10:15~9","LA026",1,1,,,21.268,26.3448,555.2
"2019-03-14 10:20~4","LA026",1,1,,,21.1678,26.263,563.6
"2019-03-14 10:25~9","LA026",1,1,,,22.1698,27.49,564.4
"2019-03-14 10:30~4","LA026",1,1,,,21.89425,27.59225,586.5
"2019-03-14 10:35~9","LA026",1,1,,,23.1718,29.126,588.2
"2019-03-14 10:40~4","LA026",1,1,,,22.771,28.9624,593.4
"2019-03-14 10:45~9","LA026",1,1,,,23.272,29.8622,582.8
"2019-03-14 10:50~4","LA026",1,1,,,23.5726,29.2896,563.2
"2019-03-14 10:55~9","LA026",1,1,,,23.272,28.7988,565
"2019-03-14 11:00~4","LA026",1,1,,,23.773,29.6168,546.2
"2019-03-14 11:05~9","LA026",1,1,,,22.9714,28.717,538.4
"2019-03-14 11:10~4","LA026",1,1,,,22.5706,28.3898,551.2
"2019-03-14 11:15~9","LA026",1,1,,,22.6708,28.2262,550.4
"2019-03-14 11:20~4","LA026",1,1,,,23.5726,29.2896,544.2
"2019-03-14 11:25~9","LA026",1,1,,,24.1738,30.1894,553.4
"2019-03-14 11:30~4","LA026",1,1,,,22.8712,28.1444,531.6
"2019-03-14 11:35~9","LA026",1,1,,,28.783,34.6884,584.6
"2019-03-14 11:40~4","LA026",1,1,,,24.90025,30.762,594.75
"2019-03-14 11:45~9","LA026",1,1,,,25.0756,30.4348,563.4
"2019-03-14 11:50~4","LA026",1,1,,,24.4744,30.0258,550.4
"2019-03-14 11:55~9","LA026",1,1,,,24.4744,30.1894,547.6
