mins 1130 , noise_error =1.0
mins 1131 , noise_error =1.0
mins 1132 , noise_error =1.0
mins 1133 , noise_error =1.0
mins 1134 , noise_error =1.0
mins 1135 , noise_error =1.0
mins 1136 , noise_error =1.0
mins 1137 , noise_error =0.98989898989899
mins 1138 , noise_error =1.0
mins 1139 , noise_error =1.0
mins 1140 , noise_error =1.0
mins 1141 , noise_error =1.0
mins 1142 , noise_error =1.0
mins 1143 , noise_error =1.0
mins 1144 , noise_error =1.0
mins 1145 , noise_error =1.0
mins 1146 , noise_error =0.9896907216494846
mins 1147 , noise_error =1.0
mins 1148 , noise_error =1.0
mins 1149 , noise_error =1.0
mins 1150 , noise_error =1.0
mins 1151 , noise_error =0.9900990099009901
mins 1152 , noise_error =1.0
mins 1153 , noise_error =1.0
mins 1154 , noise_error =1.0
mins 1155 , noise_error =1.0
mins 1156 , noise_error =1.0
mins 1157 , noise_error =1.0
mins 1158 , noise_error =1.0
mins 1159 , noise_error =1.0
mins 1160 , noise_error =1.0
mins 1161 , noise_error =0.9900990099009901
mins 1162 , noise_error =1.0
mins 1163 , noise_error =1.0
mins 1164 , noise_error =1.0
mins 1165 , noise_error =0.9904761904761905
mins 1166 , noise_error =1.0
mins 1167 , noise_error =1.0
mins 1168 , noise_error =1.0
mins 1169 , noise_error =0.9803921568627451
mins 1170 , noise_error =0.9108910891089109
mins 1171 , noise_error =1.0
mins 1172 , noise_error =1.0
mins 1173 , noise_error =1.0
mins 1174 , noise_error =1.0
mins 1175 , noise_error =0.979381443298969
mins 1176 , noise_error =0.9896907216494846
mins 1177 , noise_error =0.9895833333333334
mins 1178 , noise_error =1.0
mins 1179 , noise_error =1.0
mins 1180 , noise_error =1.0
mins 1181 , noise_error =1.0
mins 1182 , noise_error =0.9901960784313726
mins 1183 , noise_error =1.0
mins 1184 , noise_error =1.0
mins 1185 , noise_error =1.0
mins 1186 , noise_error =1.0
mins 1187 , noise_error =0.9905660377358491
mins 1188 , noise_error =1.0
mins 1189 , noise_error =0.9901960784313726
mins 1190 , noise_error =1.0
mins 1191 , noise_error =1.0
mins 1192 , noise_error =1.0
mins 1193 , noise_error =1.0
mins 1194 , noise_error =1.0
mins 1195 , noise_error =1.0
mins 1196 , noise_error =1.0
mins 1197 , noise_error =1.0
mins 1198 , noise_error =1.0
mins 1199 , noise_error =1.0
mins 1200 , noise_error =1.0
mins 1201 , noise_error =1.0
mins 1202 , noise_error =1.0
mins 1203 , noise_error =0.98989898989899
mins 1204 , noise_error =1.0
mins 1205 , noise_error =1.0
mins 1206 , noise_error =1.0
mins 1207 , noise_error =1.0
mins 1208 , noise_error =1.0
mins 1209 , noise_error =1.0
mins 1210 , noise_error =1.0
mins 1211 , noise_error =1.0
mins 1212 , noise_error =1.0
mins 1213 , noise_error =1.0
mins 1214 , noise_error =1.0
mins 1215 , noise_error =1.0
mins 1216 , noise_error =0.9357798165137614
mins 1217 , noise_error =1.0
mins 1218 , noise_error =1.0
mins 1219 , noise_error =1.0
mins 1220 , noise_error =1.0
mins 1221 , noise_error =1.0
mins 1222 , noise_error =1.0
mins 1223 , noise_error =1.0
mins 1224 , noise_error =1.0
mins 1225 , noise_error =1.0
mins 1226 , noise_error =0.9901960784313726
mins 1227 , noise_error =1.0
mins 1228 , noise_error =1.0
mins 1229 , noise_error =1.0
mins 1230 , noise_error =0.9900990099009901
mins 1231 , noise_error =1.0
mins 1232 , noise_error =1.0
mins 1233 , noise_error =1.0
mins 1234 , noise_error =0.9814814814814815
mins 1235 , noise_error =1.0
mins 1236 , noise_error =1.0
mins 1237 , noise_error =0.9739130434782609
mins 1238 , noise_error =0.8793103448275862
mins 1239 , noise_error =0.859504132231405
mins 1240 , noise_error =0.9689922480620154
mins 1241 , noise_error =0.9206349206349207
mins 1242 , noise_error =0.9384615384615385
mins 1243 , noise_error =0.9914529914529915
mins 1244 , noise_error =1.0
mins 1245 , noise_error =1.0
mins 1246 , noise_error =1.0
mins 1247 , noise_error =1.0
mins 1248 , noise_error =1.0
mins 1249 , noise_error =0.9661016949152542
mins 1250 , noise_error =1.0
mins 1251 , noise_error =1.0
mins 1252 , noise_error =0.990990990990991
mins 1253 , noise_error =1.0
mins 1254 , noise_error =1.0
