"S_no","Season","AL_Type","Date","TEM","HUM","PM1","PM2.5","CO2"
"LA014",1,3,2019-03-05 10:24:00,24.845,66.685,28.2238,28.2238,751.45
"LA014",1,3,2019-03-05 10:29:00,24.85,66.595,29.0584,29.0584,762.15
"LA014",1,3,2019-03-05 10:34:00,24.895,66.87,24.9496,24.9496,725.75
"LA014",1,3,2019-03-05 10:39:00,24.825,66.665,24.13105,24.13105,677.9
"LA014",1,3,2019-03-05 10:44:00,24.81,64.52,21.9964,21.9964,652.7
"LA014",1,3,2019-03-05 10:49:00,24.675,63.705,18.03205,18.03205,597.2
"LA014",1,3,2019-03-05 10:54:00,24.495,64.555,37.3081,37.3081,601.6
"LA014",1,3,2019-03-05 10:59:00,24.245,64.98,53.95195,53.95195,603.95
"LA014",1,3,2019-03-05 11:04:00,24.32,66.135,43.0219,43.0219,624.45
"LA014",1,3,2019-03-05 11:09:00,24.96,65.3,27.11635,27.11635,747.25
"LA014",1,3,2019-03-05 11:14:00,24.895,64.63,26.98795,26.98795,664.65
"LA014",1,3,2019-03-05 11:19:00,25.155,63.92,28.3201,28.3201,634.65
"LA014",1,3,2019-03-05 11:24:00,25.255,63.585,27.82255,27.82255,616.65
"LA014",1,3,2019-03-05 11:29:00,25.3,63.08,25.1422,25.1422,585.05
"LA014",1,3,2019-03-05 11:34:00,25.415,63.085,21.226,21.226,594.1
"LA014",1,3,2019-03-05 11:39:00,25.66,62.45,21.5791,21.5791,581.9
"LA014",1,3,2019-03-05 11:44:00,25.745,62.18,20.85685,20.85685,575.9
"LA014",1,3,2019-03-05 11:49:00,25.89,61.93,23.87425,23.87425,564.55
"LA014",1,3,2019-03-05 11:54:00,25.995,61.55,23.93845,23.93845,578.2
"LA014",1,3,2019-03-05 11:59:00,26.03,61.185,23.36065,23.36065,556.1
"LA014",1,3,2019-03-05 12:04:00,26.0894736842105,61.2947368421053,25.3652105263158,25.3652105263158,565.105263157895
"LA014",1,3,2019-03-05 12:09:00,25.97,61.47,23.68165,23.68165,657.95
"LA014",1,3,2019-03-05 12:14:00,25.88,62.39,23.4088,23.4088,803.8
"LA014",1,3,2019-03-05 12:19:00,26.155,61.815,24.3718,24.3718,604.7
"LA014",1,3,2019-03-05 12:24:00,26.15,62.375,22.84505,22.84505,655.1
"LA014",1,3,2019-03-05 12:29:00,26.27,60.925,26.34595,26.34595,607.25
"LA014",1,3,2019-03-05 12:34:00,25.69,61.61,25.25455,25.25455,595.65
"LA014",1,3,2019-03-05 12:39:00,25.66,62.195,28.5769,28.5769,597.35
"LA014",1,3,2019-03-05 12:44:00,25.725,62.895,30.6955,30.6955,605.6
"LA014",1,3,2019-03-05 12:49:00,25.59,63.13,30.8881,30.8881,611.2
"LA014",1,3,2019-03-05 12:54:00,25.345,63.935,31.0165,31.0165,655.95
"LA014",1,3,2019-03-05 12:59:00,25.21,64.84,32.2684,32.2684,635.5
"LA014",1,3,2019-03-05 13:04:00,25.15,65.48,35.8315,35.8315,659.6
"LA014",1,3,2019-03-05 13:09:00,25.2,65.17,35.04505,35.04505,649.15
"LA014",1,3,2019-03-05 13:14:00,25.21,65.135,154.601,154.601,631.3
"LA014",1,3,2019-03-05 13:19:00,25.03,65.64,172.49675,172.49675,639
"LA014",1,3,2019-03-05 13:24:00,25.09,65.44,36.0562,36.0562,644.05
"LA014",1,3,2019-03-05 13:29:00,25.22,65.05,37.51675,37.51675,641
"LA014",1,3,2019-03-05 13:34:00,25.305,64.98,37.6612,37.6612,648.6
"LA014",1,3,2019-03-05 13:39:00,25.38,64.545,39.15385,39.15385,659.05
"LA014",1,3,2019-03-05 13:44:00,25.445,64.175,39.25015,39.25015,657.35
"LA014",1,3,2019-03-05 13:49:00,25.39,65.335,41.36875,41.36875,660.8
"LA014",1,3,2019-03-05 13:54:00,25.15,66.91,39.8761,39.8761,673.5
"LA014",1,3,2019-03-05 13:59:00,25.02,68.15,40.53415,40.53415,666.6
"LA014",1,3,2019-03-05 14:04:00,25.62,64.925,34.88455,34.88455,762.5
"LA014",1,3,2019-03-05 14:09:00,25.65,65.185,40.82305,40.82305,700.8
"LA014",1,3,2019-03-05 14:14:00,26.295,63.98,41.43295,41.43295,668.7
"LA014",1,3,2019-03-05 14:19:00,26.39,62.765,43.2145,43.2145,667.4
"LA014",1,3,2019-03-05 14:24:00,26.09,63.41,39.8761,39.8761,640.35
"LA014",1,3,2019-03-05 14:29:00,26.01,64.64,39.25015,39.25015,649.55
"LA014",1,3,2019-03-05 14:34:00,26.095,65.015,41.6737,41.6737,637.55
"LA014",1,3,2019-03-05 14:39:00,25.99,63.535,27.87095,27.9028,1114.9
"LA014",1,3,2019-03-05 14:44:00,27.37,56.76,45.62525,46.9055,514.4
"LA014",1,3,2019-03-05 14:49:00,28.72,44.145,12.7379,12.92815,1080.15
"LA014",1,3,2019-03-05 14:54:00,26.065,46.39,9.45545,9.7984,1215.95
