"Season","AL_Type","datatime","date","time","sht_t","sht_h","co2","cPM1","cPM2.5"
1,2,"2019-03-06 14:17:45","2019-03-06","14:17:45",23,75.7,880,7.712,8.214
1,2,"2019-03-06 14:19:15","2019-03-06","14:19:15",23.1,74.8,851,8.78,8.984
1,2,"2019-03-06 14:19:30","2019-03-06","14:19:30",23.1,73.8,851,7.178,7.829
1,2,"2019-03-06 14:19:45","2019-03-06","14:19:45",23.1,73.3,746,8.214,8.214
1,2,"2019-03-06 14:20:00","2019-03-06","14:20:00",23.2,74.5,753,8.246,8.599
1,2,"2019-03-06 14:20:15","2019-03-06","14:20:15",23.3,74.6,762,8.599,8.599
1,2,"2019-03-06 14:20:30","2019-03-06","14:20:30",23.2,73,772,7.712,8.214
1,2,"2019-03-06 14:20:45","2019-03-06","14:20:45",23.2,72.4,768,8.599,8.599
1,2,"2019-03-06 14:21:00","2019-03-06","14:21:00",23.2,72.4,748,7.829,7.829
1,2,"2019-03-06 14:21:15","2019-03-06","14:21:15",23.1,72.5,717,8.599,8.599
1,2,"2019-03-06 14:21:30","2019-03-06","14:21:30",23.1,72.9,694,8.78,8.984
1,2,"2019-03-06 14:21:45","2019-03-06","14:21:45",23.1,72.7,673,8.78,8.984
1,2,"2019-03-06 14:22:00","2019-03-06","14:22:00",23,72.4,651,8.246,8.599
1,2,"2019-03-06 14:22:15","2019-03-06","14:22:15",23,72.7,636,8.78,8.984
1,2,"2019-03-06 14:22:30","2019-03-06","14:22:30",22.9,73,627,8.599,8.599
1,2,"2019-03-06 14:22:45","2019-03-06","14:22:45",22.9,73.2,628,8.599,8.599
1,2,"2019-03-06 14:23:00","2019-03-06","14:23:00",22.9,73.1,634,8.214,8.214
1,2,"2019-03-06 14:23:15","2019-03-06","14:23:15",22.8,73.3,637,7.712,7.829
1,2,"2019-03-06 14:23:30","2019-03-06","14:23:30",22.8,72.9,635,8.599,8.599
1,2,"2019-03-06 14:23:45","2019-03-06","14:23:45",22.8,73.3,631,8.246,8.599
1,2,"2019-03-06 14:24:00","2019-03-06","14:24:00",22.7,73.4,630,8.246,8.599
1,2,"2019-03-06 14:24:15","2019-03-06","14:24:15",22.7,73.4,629,7.712,7.829
1,2,"2019-03-06 14:24:30","2019-03-06","14:24:30",22.7,73.7,629,8.599,8.599
1,2,"2019-03-06 14:24:45","2019-03-06","14:24:45",22.7,73.6,629,8.78,8.984
1,2,"2019-03-06 14:25:00","2019-03-06","14:25:00",22.6,73.6,629,8.599,8.599
1,2,"2019-03-06 14:25:15","2019-03-06","14:25:15",22.7,73.6,628,8.599,8.599
1,2,"2019-03-06 14:25:30","2019-03-06","14:25:30",22.6,73.5,624,8.214,8.214
1,2,"2019-03-06 14:25:45","2019-03-06","14:25:45",22.6,73.5,620,8.214,8.214
1,2,"2019-03-06 14:26:00","2019-03-06","14:26:00",22.6,73.5,614,8.78,8.984
1,2,"2019-03-06 14:26:15","2019-03-06","14:26:15",22.6,73.7,611,8.599,8.599
1,2,"2019-03-06 14:26:30","2019-03-06","14:26:30",22.6,73.5,609,8.214,8.214
1,2,"2019-03-06 14:26:45","2019-03-06","14:26:45",22.6,73.8,605,8.214,8.214
1,2,"2019-03-06 14:27:00","2019-03-06","14:27:00",22.5,73.6,601,7.829,7.829
1,2,"2019-03-06 14:27:15","2019-03-06","14:27:15",22.6,73.6,600,7.829,7.829
1,2,"2019-03-06 14:27:30","2019-03-06","14:27:30",22.5,73.6,598,8.214,8.214
1,2,"2019-03-06 14:27:45","2019-03-06","14:27:45",22.5,73.8,596,8.214,8.214
1,2,"2019-03-06 14:28:00","2019-03-06","14:28:00",22.5,73.7,594,8.214,8.214
1,2,"2019-03-06 14:28:15","2019-03-06","14:28:15",22.5,73.8,593,8.214,8.214
1,2,"2019-03-06 14:28:30","2019-03-06","14:28:30",22.5,73.7,593,8.214,8.214
1,2,"2019-03-06 14:28:45","2019-03-06","14:28:45",22.5,73.6,595,8.599,8.599
1,2,"2019-03-06 14:29:00","2019-03-06","14:29:00",22.5,73.6,595,8.214,8.214
1,2,"2019-03-06 14:29:15","2019-03-06","14:29:15",22.5,73.6,595,7.712,7.829
