"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-06 14:10~4","LA021",1,3,23.665,69.675,9.6033,9.86895,734.85
"2019-03-06 14:15~9","LA021",1,3,23.36,70.115,9.4361,9.63345,624.75
"2019-03-06 14:20~4","LA021",1,3,23.36,70.14,9.5522,9.86895,682.6
"2019-03-06 14:25~9","LA021",1,3,23.4,70.29,9.0009,9.3744,687.7
"2019-03-06 14:30~4","LA021",1,3,23.18,71.915,9.11865,9.30375,694.05
"2019-03-06 14:35~9","LA021",1,3,23.205,72.71,9.59035,9.96315,657.35
"2019-03-06 14:40~4","LA021",1,3,23.315,72.525,11.49575,11.89425,647
"2019-03-06 14:45~9","LA021",1,3,23.76,71.29,12.7095,13.21305,627
"2019-03-06 14:50~4","LA021",1,3,23.91,70.06,12.24675,12.5301,629.45
"2019-03-06 14:55~9","LA021",1,3,23.73,68.85,10.13835,10.33995,633.9
"2019-03-06 15:00~4","LA021",1,3,23.595,68.73,10.3722,10.599,608.25
"2019-03-06 15:05~9","LA021",1,3,23.7,68.67,10.27965,10.599,656.35
"2019-03-06 15:10~4","LA021",1,3,22.63,69.795,10.94375,11.28195,565
"2019-03-06 15:15~9","LA021",1,3,22.735,70.64,11.52495,12.27105,590.7
"2019-03-06 15:20~4","LA021",1,3,22.69,70.555,12.24015,13.21305,555.4
"2019-03-06 15:25~9","LA021",1,3,22.345,71.025,12.2053,12.7656,543.2
"2019-03-06 15:30~4","LA021",1,3,21.98,72.595,12.1728,13.0482,534.85
"2019-03-06 15:35~9","LA021",1,3,22.585,72.04,12.6518,13.11885,647.7
"2019-03-06 15:40~4","LA021",1,3,23.185,69.695,11.9001,12.45945,615.45
"2019-03-06 15:45~9","LA021",1,3,23.51,68.96,44.43485,45.2682,635.4
"2019-03-06 15:50~4","LA021",1,3,23.755,67.98,65.11125,68.067,577.65
"2019-03-06 15:55~9","LA021",1,3,23.735,67.795,65.985,67.24275,555.7
"2019-03-06 16:00~4","LA021",1,3,23.67,67.76,32.8101,34.17495,541.8
"2019-03-06 16:05~9","LA021",1,3,23.7,67.845,12.2272,12.88335,562.7
"2019-03-06 16:10~4","LA021",1,3,23.72,67.675,12.36355,13.11885,559
"2019-03-06 16:15~9","LA021",1,3,23.78,67.245,12.6591,13.5192,545.25
"2019-03-06 16:20~4","LA021",1,3,23.7,66.85,12.24015,12.93045,551.65
"2019-03-06 16:25~9","LA021",1,3,23.675,66.4,11.70275,12.45945,558.5
"2019-03-06 16:30~4","LA021",1,3,23.595,66.09,11.68485,12.64785,582.9
"2019-03-06 16:35~9","LA021",1,3,23.57,65.735,10.82105,11.9178,560.15
"2019-03-06 16:40~4","LA021",1,3,23.5,65.64,11.12955,12.1062,561
"2019-03-06 16:45~9","LA021",1,3,23.575,65.045,10.9753,11.9178,560.85
"2019-03-06 16:50~4","LA021",1,3,23.575,64.895,11.857,12.7185,572
"2019-03-06 16:55~9","LA021",1,3,23.5,64.5,11.7157,12.6714,560.25
"2019-03-06 17:00~4","LA021",1,3,23.5,64.265,12.2093,13.40145,547.05
"2019-03-06 17:05~9","LA021",1,3,23.495,64.235,12.91885,14.57895,544.65
"2019-03-06 17:10~4","LA021",1,3,23.16,64.815,14.122,15.9213,548.5
"2019-03-06 17:15~9","LA021",1,3,21.69,69.565,13.5667,15.56805,546.65
"2019-03-06 17:20~4","LA021",1,3,22.18,68.835,16.7751,19.05345,537.6
"2019-03-06 17:25~9","LA021",1,3,22.37,68.51,47.8719,50.42205,547.2
"2019-03-06 17:30~4","LA021",1,3,22.575,68.045,49.07505,51.74085,577.65
"2019-03-06 17:35~9","LA021",1,3,22.555,67.71,52.77705,55.17915,575
"2019-03-06 17:40~4","LA021",1,3,22.56,67.745,42.22635,44.1342,563.6
"2019-03-06 17:45~9","LA021",1,3,22.61,67.32,47.7485,50.23365,576.15
"2019-03-06 17:50~4","LA021",1,3,22.435,67.35,47.1932,49.7391,576.75
"2019-03-06 17:55~9","LA021",1,3,22.02,68.54,44.8486,47.4312,550.05
"2019-03-06 18:00~4","LA021",1,3,22.045,68.48,45.86665,49.1739,563.35
