"Season","AL_Type","datatime","date","time","sht_t","sht_h","co2","cPM1","cPM2.5"
1,3,"2019/3/6 14:06","2019/3/6","14:06:30",23.1,70.4,618,8.715,8.715
1,3,"2019/3/6 14:09","2019/3/6","14:09:30",23.4,71.7,856,8.715,8.715
1,3,"2019/3/6 14:09","2019/3/6","14:09:45",23.6,73.3,957,8.715,8.715
1,3,"2019/3/6 14:10","2019/3/6","14:10:00",23.7,71.3,968,9.186,9.186
1,3,"2019/3/6 14:10","2019/3/6","14:10:15",23.8,71.2,962,9.657,9.657
1,3,"2019/3/6 14:10","2019/3/6","14:10:30",23.8,70.5,941,9.803,10.128
1,3,"2019/3/6 14:10","2019/3/6","14:10:45",23.8,69.6,867,9.803,10.128
1,3,"2019/3/6 14:11","2019/3/6","14:11:00",23.8,69,774,10.42,10.599
1,3,"2019/3/6 14:11","2019/3/6","14:11:15",23.8,68.9,712,9.186,9.657
1,3,"2019/3/6 14:11","2019/3/6","14:11:30",23.8,68.8,680,9.803,10.128
1,3,"2019/3/6 14:11","2019/3/6","14:11:45",23.7,68.7,663,8.569,9.657
1,3,"2019/3/6 14:12","2019/3/6","14:12:00",23.7,69.6,649,9.186,9.657
1,3,"2019/3/6 14:12","2019/3/6","14:12:15",23.7,70.4,654,10.42,10.599
1,3,"2019/3/6 14:12","2019/3/6","14:12:30",23.7,70.1,701,9.803,10.128
1,3,"2019/3/6 14:12","2019/3/6","14:12:45",23.7,69.7,731,10.42,10.599
1,3,"2019/3/6 14:13","2019/3/6","14:13:00",23.6,69.6,726,9.803,10.128
1,3,"2019/3/6 14:13","2019/3/6","14:13:15",23.6,69.6,707,9.186,9.657
1,3,"2019/3/6 14:13","2019/3/6","14:13:30",23.6,69.4,689,9.186,9.186
1,3,"2019/3/6 14:13","2019/3/6","14:13:45",23.5,69.4,677,9.657,9.657
1,3,"2019/3/6 14:14","2019/3/6","14:14:00",23.5,69.4,664,9.803,10.128
1,3,"2019/3/6 14:14","2019/3/6","14:14:15",23.5,69.4,652,9.803,10.128
1,3,"2019/3/6 14:14","2019/3/6","14:14:30",23.5,69.4,644,9.186,9.186
1,3,"2019/3/6 14:14","2019/3/6","14:14:45",23.5,69.5,636,9.186,9.186
1,3,"2019/3/6 14:15","2019/3/6","14:15:00",23.4,69.8,630,9.186,9.186
1,3,"2019/3/6 14:15","2019/3/6","14:15:15",23.4,69.9,627,9.657,9.657
1,3,"2019/3/6 14:15","2019/3/6","14:15:30",23.4,70.3,625,9.186,9.657
1,3,"2019/3/6 14:15","2019/3/6","14:15:45",23.4,70.2,621,9.803,10.599
1,3,"2019/3/6 14:16","2019/3/6","14:16:00",23.4,70,618,9.186,9.657
1,3,"2019/3/6 14:16","2019/3/6","14:16:15",23.4,70,616,9.657,9.657
1,3,"2019/3/6 14:16","2019/3/6","14:16:30",23.4,70,615,9.186,9.186
1,3,"2019/3/6 14:16","2019/3/6","14:16:45",23.4,70,617,9.186,9.186
1,3,"2019/3/6 14:17","2019/3/6","14:17:00",23.4,70.2,617,9.657,9.657
1,3,"2019/3/6 14:17","2019/3/6","14:17:15",23.3,70.2,617,9.186,9.657
1,3,"2019/3/6 14:17","2019/3/6","14:17:30",23.3,70.2,616,9.186,9.657
1,3,"2019/3/6 14:17","2019/3/6","14:17:45",23.3,70.2,618,9.657,9.657
1,3,"2019/3/6 14:18","2019/3/6","14:18:00",23.3,70.1,619,9.803,10.128
1,3,"2019/3/6 14:18","2019/3/6","14:18:15",23.3,70.1,622,8.569,9.186
1,3,"2019/3/6 14:18","2019/3/6","14:18:30",23.3,70.1,626,9.657,9.657
1,3,"2019/3/6 14:18","2019/3/6","14:18:45",23.4,70.2,630,9.657,9.657
1,3,"2019/3/6 14:19","2019/3/6","14:19:00",23.3,70.2,634,9.186,9.186
1,3,"2019/3/6 14:19","2019/3/6","14:19:15",23.3,70.2,638,9.657,9.657
1,3,"2019/3/6 14:19","2019/3/6","14:19:30",23.4,70.2,642,9.657,9.657
1,3,"2019/3/6 14:19","2019/3/6","14:19:45",23.4,70.2,647,9.803,10.128
1,3,"2019/3/6 14:20","2019/3/6","14:20:00",23.3,70.2,651,9.803,10.128
1,3,"2019/3/6 14:20","2019/3/6","14:20:15",23.4,70.2,656,9.803,10.128
1,3,"2019/3/6 14:20","2019/3/6","14:20:30",23.3,70.2,662,9.803,10.128
