"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2018-10-01 00:00~4","LA026",0,1,24.05,65.9666666666667,23.5775,24.7486666666667,487.666666666667
"2018-10-01 00:05~9","LA026",0,1,23.98,65.98,22.7976,24.4676,490.4
"2018-10-01 00:10~4","LA026",0,1,23.88,66.06,23.5066,24.666,495.6
"2018-10-01 00:15~9","LA026",0,1,23.8,66.1,23.0812,24.2692,487
"2018-10-01 00:20~4","LA026",0,1,23.78,66.1,23.3648,24.7652,492
"2018-10-01 00:25~9","LA026",0,1,23.7,66.14,23.223,24.666,486.6
"2018-10-01 00:30~4","LA026",0,1,23.7,66.16,22.7976,24.2692,494.6
"2018-10-01 00:35~9","LA026",0,1,23.7,66.1,22.9394,24.17,489.2
"2018-10-01 00:40~4","LA026",0,1,23.7,66.1,22.514,24.2692,485.4
"2018-10-01 00:45~9","LA026",0,1,23.62,66.12,22.9394,24.3684,475.6
"2018-10-01 00:50~4","LA026",0,1,23.6,66.1,22.6558,24.5668,473.8
"2018-10-01 00:55~9","LA026",0,1,23.6,66.1,22.3722,23.3764,473.2
"2018-10-01 01:00~4","LA026",0,1,23.68,66.06,22.0886,23.3764,471.6
"2018-10-01 01:05~9","LA026",0,1,23.7,66,21.4505,22.434,477
"2018-10-01 01:10~4","LA026",0,1,23.7,66,21.805,22.9796,470.8
"2018-10-01 01:15~9","LA026",0,1,23.76,65.94,21.805,22.4836,471.6
"2018-10-01 01:20~4","LA026",0,1,23.8,65.9,21.3796,22.5828,468.8
"2018-10-01 01:25~9","LA026",0,1,23.88,65.86,21.3796,22.4836,464
"2018-10-01 01:30~4","LA026",0,1,23.9,65.8,20.8124,21.69,471
"2018-10-01 01:35~9","LA026",0,1,23.9,65.8,21.2378,22.4836,465
"2018-10-01 01:40~4","LA026",0,1,23.9,65.8,21.5214,22.4836,471.2
"2018-10-01 01:45~9","LA026",0,1,23.9,65.82,21.096,21.9876,466.8
"2018-10-01 01:50~4","LA026",0,1,23.88,65.84,20.8124,22.0868,471.6
"2018-10-01 01:55~9","LA026",0,1,23.82,65.88,21.6632,22.682,475.2
"2018-10-01 02:00~4","LA026",0,1,23.84,65.84,21.096,22.186,473.2
"2018-10-01 02:05~9","LA026",0,1,23.9,65.8,20.8124,21.4916,477
"2018-10-01 02:10~4","LA026",0,1,23.9,65.75,21.27325,22.062,466.25
"2018-10-01 02:15~9","LA026",0,1,23.94,65.72,20.9542,21.69,481
"2018-10-01 02:20~4","LA026",0,1,24,65.7,20.9738,21.5908,474.4
"2018-10-01 02:25~9","LA026",0,1,24,65.64,20.5288,21.4916,469.8
"2018-10-01 02:30~4","LA026",0,1,24,65.66,20.4492,21.0948,470.2
"2018-10-01 02:35~9","LA026",0,1,24,65.7,21.0164,21.5908,471.8
"2018-10-01 02:40~4","LA026",0,1,24,65.68,21.3566,21.69,477.6
"2018-10-01 02:45~9","LA026",0,1,24,65.7,20.8124,21.4916,468
"2018-10-01 02:50~4","LA026",0,1,24,65.68,20.9738,21.69,472
"2018-10-01 02:55~9","LA026",0,1,23.94,65.7,20.9542,21.7892,467.6
"2018-10-01 03:00~4","LA026",0,1,23.9,65.72,21.3796,22.2852,465.8
"2018-10-01 03:05~9","LA026",0,1,23.9,65.76,21.096,21.8884,469.6
"2018-10-01 03:10~4","LA026",0,1,23.82,65.78,21.096,21.7892,470.4
"2018-10-01 03:15~9","LA026",0,1,23.8,65.8,21.3796,22.4836,472.6
"2018-10-01 03:20~4","LA026",0,1,23.74,65.8,20.9542,21.7892,464
"2018-10-01 03:25~9","LA026",0,1,23.7,65.86,21.3796,22.0868,488.2
"2018-10-01 03:30~4","LA026",0,1,23.7,65.82,21.4984,22.2852,474.8
"2018-10-01 03:35~9","LA026",0,1,23.7,65.84,21.2378,22.2852,465.6
"2018-10-01 03:40~4","LA026",0,1,23.7,65.84,21.2378,22.186,474.8
"2018-10-01 03:45~9","LA026",0,1,23.7,65.8,21.096,22.0868,468.4
"2018-10-01 03:50~4","LA026",0,1,23.68,65.8,21.096,22.0868,472.4
"2018-10-01 03:55~9","LA026",0,1,23.66,65.8,21.805,22.4836,469.2
"2018-10-01 04:00~4","LA026",0,1,23.6,65.86,21.2378,22.4836,463.8
"2018-10-01 04:05~9","LA026",0,1,23.6,65.88,21.2378,22.186,466
"2018-10-01 04:10~4","LA026",0,1,23.6,65.9,20.8124,21.9876,469.6
"2018-10-01 04:15~9","LA026",0,1,23.6,65.9,20.5288,21.7892,465.4
"2018-10-01 04:20~4","LA026",0,1,23.64,65.82,20.5288,21.4916,469.8
"2018-10-01 04:25~9","LA026",0,1,23.62,65.8,21.096,21.69,474.2
"2018-10-01 04:30~4","LA026",0,1,23.6,65.8,21.3796,22.3844,469.8
"2018-10-01 04:35~9","LA026",0,1,23.6,65.8,21.2148,21.9876,473.4
"2018-10-01 04:40~4","LA026",0,1,23.6,65.78,20.9542,21.69,472.6
"2018-10-01 04:45~9","LA026",0,1,23.6,65.82,20.9542,21.7892,470.4
"2018-10-01 04:50~4","LA026",0,1,23.5,65.86,20.5288,21.69,483.2
"2018-10-01 04:55~9","LA026",0,1,23.5,65.9,20.9542,22.0868,471
"2018-10-01 05:00~4","LA026",0,1,23.4,65.9,21.096,21.9876,472.6
"2018-10-01 05:05~9","LA026",0,1,23.36,65.94,20.6706,21.7892,480
"2018-10-01 05:10~4","LA026",0,1,23.3,65.98,20.35,21.2932,479.8
"2018-10-01 05:15~9","LA026",0,1,23.3,66,20.8124,21.8884,470.4
"2018-10-01 05:20~4","LA026",0,1,23.22,66,20.5288,21.3924,473.6
"2018-10-01 05:25~9","LA026",0,1,23.2,66,20.2452,21.3924,476.2
"2018-10-01 05:30~4","LA026",0,1,23.2,66,20.5288,21.9876,481.4
"2018-10-01 05:35~9","LA026",0,1,23.2,66,20.9542,22.0868,476.6
"2018-10-01 05:40~4","LA026",0,1,23.2,66,20.8124,21.8884,492.6
"2018-10-01 05:45~9","LA026",0,1,23.2,66,20.8124,21.69,487.2
"2018-10-01 05:50~4","LA026",0,1,23.1,66,20.9542,21.9876,501.4
"2018-10-01 05:55~9","LA026",0,1,23.1,66,22.2304,23.2772,492.2
"2018-10-01 06:00~4","LA026",0,1,23.1,66,20.7754,21.5908,482.2
"2018-10-01 06:05~9","LA026",0,1,23.06,66,22.7976,23.4756,489.2
"2018-10-01 06:10~4","LA026",0,1,23,66,21.3796,22.5828,495.8
"2018-10-01 06:15~9","LA026",0,1,23.02,66,20.5288,21.9876,502.6
"2018-10-01 06:20~4","LA026",0,1,23.08,66,20.9542,21.9876,498.8
"2018-10-01 06:25~9","LA026",0,1,23.075,65.975,19.678,20.946,502.25
"2018-10-01 06:30~4","LA026",0,1,23,66,20.387,21.69,494
"2018-10-01 06:35~9","LA026",0,1,22.98,66.04,19.8198,20.7972,495.2
"2018-10-01 06:40~4","LA026",0,1,23,66.04,19.678,20.8964,505
"2018-10-01 06:45~9","LA026",0,1,23.08,66,20.1034,20.7972,513.2
"2018-10-01 06:50~4","LA026",0,1,23.24,65.88,20.387,21.8884,522.2
"2018-10-01 06:55~9","LA026",0,1,23.38,65.76,19.678,20.4996,509.6
"2018-10-01 07:00~4","LA026",0,1,23.46,65.7,19.3944,20.202,501
"2018-10-01 07:05~9","LA026",0,1,23.58,65.66,21.096,21.9876,518.2
"2018-10-01 07:10~4","LA026",0,1,23.88,65.46,20.5288,20.9956,511.6
"2018-10-01 07:15~9","LA026",0,1,24.22,65.22,20.6706,21.3924,547.2
"2018-10-01 07:20~4","LA026",0,1,24.54,65,19.3944,20.4996,520
"2018-10-01 07:25~9","LA026",0,1,24.86,64.78,20.5288,21.5908,540
"2018-10-01 07:30~4","LA026",0,1,25.12,64.6,20.9452,21.7892,541
"2018-10-01 07:35~9","LA026",0,1,25.38,64.48,20.9172,21.4916,532.4
"2018-10-01 07:40~4","LA026",0,1,25.6,64.32,21.1582,21.5908,541
"2018-10-01 07:45~9","LA026",0,1,25.84,64.26,20.8124,21.2932,525.6
"2018-10-01 07:50~4","LA026",0,1,26.06,64.16,22.0656,23.0788,545.4
"2018-10-01 07:55~9","LA026",0,1,26.38,63.6,21.2378,21.9876,518.4
"2018-10-01 08:10~4","LA026",0,1,27.78,55.36,22.0886,23.178,527.8
"2018-10-01 08:15~9","LA026",0,1,27.8,56.55,21.096,22.31,550
"2018-10-01 08:20~4","LA026",0,1,27.94,57.34,22.4904,22.8804,536.4
"2018-10-01 08:25~9","LA026",0,1,28.16,57.86,19.8198,20.4004,535.8
"2018-10-01 08:30~4","LA026",0,1,28.4,58.2,18.55075,19.086,516.25
"2018-10-01 08:35~9","LA026",0,1,28.66,58.46,22.5184,22.8804,528.4
