18, 1551744243, lead_off:False/0.909, confidence:0.748, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
19, 1551744303, lead_off:False/0.909, confidence:0.481, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 2
20, 1551744363, lead_off:False/0.909, confidence:0.301, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 9
21, 1551744423, lead_off:False/0.908, confidence:0.576, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 3
22, 1551744483, lead_off:False/0.908, confidence:0.575, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
23, 1551744543, lead_off:False/0.908, confidence:0.593, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
24, 1551744603, lead_off:False/0.908, confidence:0.670, big_r:0, small_r1, Polarity:0, No_R:109, hfb: 0
25, 1551744663, lead_off:False/0.908, confidence:0.293, big_r:1, small_r0, Polarity:0, No_R:92, hfb: 4
26, 1551744723, lead_off:False/0.908, confidence:0.091, big_r:2, small_r0, Polarity:0, No_R:88, hfb: 6
27, 1551744783, lead_off:False/0.908, confidence:0.173, big_r:5, small_r0, Polarity:0, No_R:98, hfb: 13
28, 1551744843, lead_off:False/0.908, confidence:0.377, big_r:1, small_r0, Polarity:0, No_R:114, hfb: 4
29, 1551744903, lead_off:False/0.908, confidence:0.602, big_r:0, small_r0, Polarity:0, No_R:88, hfb: 0
30, 1551744963, lead_off:False/0.908, confidence:0.450, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
34, 1551745203, lead_off:False/0.907, confidence:0.747, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
35, 1551745263, lead_off:False/0.907, confidence:0.710, big_r:0, small_r0, Polarity:0, No_R:93, hfb: 0
37, 1551745383, lead_off:False/0.907, confidence:0.547, big_r:0, small_r0, Polarity:0, No_R:95, hfb: 0
38, 1551745443, lead_off:False/0.907, confidence:0.372, big_r:0, small_r0, Polarity:0, No_R:94, hfb: 0
39, 1551745503, lead_off:False/0.907, confidence:0.370, big_r:0, small_r0, Polarity:0, No_R:81, hfb: 0
41, 1551745623, lead_off:False/0.906, confidence:0.646, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
42, 1551745683, lead_off:False/0.906, confidence:0.673, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
46, 1551745923, lead_off:False/0.907, confidence:0.532, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
48, 1551746043, lead_off:False/0.906, confidence:0.717, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
49, 1551746103, lead_off:False/0.906, confidence:0.615, big_r:0, small_r1, Polarity:0, No_R:96, hfb: 0
50, 1551746163, lead_off:False/0.906, confidence:0.583, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 0
51, 1551746223, lead_off:False/0.906, confidence:0.484, big_r:0, small_r1, Polarity:0, No_R:93, hfb: 0
52, 1551746283, lead_off:False/0.906, confidence:0.167, big_r:2, small_r0, Polarity:0, No_R:102, hfb: 5
53, 1551746343, lead_off:False/0.906, confidence:0.140, big_r:0, small_r0, Polarity:0, No_R:93, hfb: 4
54, 1551746403, lead_off:False/0.906, confidence:0.195, big_r:0, small_r2, Polarity:0, No_R:77, hfb: 6
55, 1551746463, lead_off:False/0.906, confidence:0.272, big_r:0, small_r0, Polarity:0, No_R:81, hfb: 5
58, 1551746643, lead_off:False/0.907, confidence:0.381, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
59, 1551746703, lead_off:False/0.907, confidence:0.686, big_r:1, small_r0, Polarity:0, No_R:105, hfb: 2
61, 1551746823, lead_off:False/0.906, confidence:0.697, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 1
62, 1551746883, lead_off:False/0.906, confidence:0.561, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 4
64, 1551747003, lead_off:False/0.906, confidence:0.305, big_r:1, small_r0, Polarity:0, No_R:105, hfb: 6
65, 1551747063, lead_off:False/0.906, confidence:0.089, big_r:3, small_r1, Polarity:0, No_R:90, hfb: 12
66, 1551747123, lead_off:False/0.906, confidence:0.138, big_r:2, small_r1, Polarity:0, No_R:94, hfb: 17
67, 1551747183, lead_off:False/0.906, confidence:0.114, big_r:1, small_r0, Polarity:0, No_R:79, hfb: 15
69, 1551747303, lead_off:False/0.906, confidence:0.521, big_r:1, small_r0, Polarity:0, No_R:94, hfb: 11
82, 1551748083, lead_off:False/0.904, confidence:0.692, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 2
83, 1551748143, lead_off:False/0.904, confidence:0.500, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 4
118, 1551750243, lead_off:False/0.902, confidence:0.746, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
128, 1551750843, lead_off:False/0.902, confidence:0.427, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 4
129, 1551750903, lead_off:False/0.902, confidence:0.360, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 2
130, 1551750963, lead_off:False/0.902, confidence:0.440, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 4
131, 1551751023, lead_off:False/0.902, confidence:0.566, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 2
132, 1551751083, lead_off:False/0.902, confidence:0.206, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 1
133, 1551751143, lead_off:False/0.902, confidence:0.130, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
134, 1551751203, lead_off:False/0.902, confidence:0.231, big_r:1, small_r1, Polarity:0, No_R:104, hfb: 2
135, 1551751263, lead_off:False/0.902, confidence:0.598, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 0
221, 1551756423, lead_off:False/0.901, confidence:0.731, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 2
222, 1551756483, lead_off:False/0.902, confidence:0.553, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
223, 1551756543, lead_off:False/0.902, confidence:0.552, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
224, 1551756603, lead_off:False/0.902, confidence:0.652, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
225, 1551756663, lead_off:False/0.902, confidence:0.463, big_r:0, small_r1, Polarity:0, No_R:108, hfb: 1
226, 1551756723, lead_off:False/0.902, confidence:0.563, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 0
227, 1551756783, lead_off:False/0.902, confidence:0.690, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 1
228, 1551756843, lead_off:False/0.902, confidence:0.606, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 2
229, 1551756903, lead_off:False/0.902, confidence:0.704, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 1
