57, 1539346440, lead_off:False/0.820, confidence:0.714, big_r:0,  small_r0, Polarity:0, No_R:91, hfb: 0
59, 1539346560, lead_off:False/0.820, confidence:0.726, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 0
60, 1539346620, lead_off:False/0.820, confidence:0.581, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 0
61, 1539346680, lead_off:False/0.820, confidence:0.731, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 0
63, 1539346800, lead_off:False/0.820, confidence:0.592, big_r:0,  small_r0, Polarity:0, No_R:98, hfb: 0
64, 1539346860, lead_off:False/0.820, confidence:0.264, big_r:0,  small_r0, Polarity:0, No_R:91, hfb: 0
65, 1539346920, lead_off:False/0.820, confidence:0.526, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 0
66, 1539346980, lead_off:False/0.820, confidence:0.505, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 0
69, 1539347160, lead_off:False/0.820, confidence:0.556, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
70, 1539347220, lead_off:False/0.820, confidence:0.610, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
71, 1539347280, lead_off:False/0.820, confidence:0.519, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
72, 1539347340, lead_off:False/0.821, confidence:0.480, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
73, 1539347400, lead_off:False/0.821, confidence:0.569, big_r:0,  small_r0, Polarity:0, No_R:109, hfb: 0
74, 1539347460, lead_off:False/0.821, confidence:0.484, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 0
75, 1539347520, lead_off:False/2.017, confidence:0.359, big_r:1,  small_r0, Polarity:0, No_R:64, hfb: 3
76, 1539347580, lead_off:False/1.618, confidence:0.450, big_r:2,  small_r0, Polarity:0, No_R:80, hfb: 3
77, 1539347640, lead_off:False/0.813, confidence:0.213, big_r:1,  small_r0, Polarity:0, No_R:80, hfb: 1
78, 1539347700, lead_off:False/0.962, confidence:0.157, big_r:1,  small_r0, Polarity:0, No_R:70, hfb: 1
